"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-26.07 -25.47 -21.97 -9.47 2.33 16.13 19.33 16.33 9.43 -3.97 -18.07 -24.27
-24.87 -23.77 -19.07 -9.27 4.93 16.13 19.13 16.23 9.43 -4.07 -18.27 -26.07
-27.07 -23.87 -16.97 -9.07 4.83 15.73 19.23 16.33 9.53 -3.97 -18.37 -24.27
-24.97 -23.57 -19.07 -9.37 4.83 16.23 19.33 16.23 9.63 -3.97 -18.37 -24.17
-30.77 -26.67 -20.57 -10.27 5.33 15.83 18.73 16.33 9.03 -3.87 -19.57 -27.47
-25.02 -24.22 -23.82 -11.72 5.78 15.88 19.08 13.88 7.98 -4.12 -17.32 -25.82
-23.92 -21.72 -15.32 -5.52 4.48 14.08 17.78 15.18 5.68 -5.92 -17.52 -24.22
-20.52 -22.12 -20.92 -10.02 1.48 13.08 17.78 13.68 8.38 -7.22 -17.12 -22.32
-34.12 -25.12 -21.52 -11.52 3.58 18.28 17.18 15.08 6.08 -5.72 -19.82 -22.72
-27.82 -27.32 -19.52 -10.82 2.38 15.28 16.98 13.88 5.78 -6.52 -17.42 -29.62
-28.72 -28.02 -19.52 -12.32 4.28 15.98 17.68 15.68 9.18 -6.52 -15.22 -22.52
-30.02 -27.02 -16.12 -11.42 8.18 16.18 17.48 13.88 9.58 -2.32 -20.52 -24.72
-21.82 -22.02 -17.02 -10.22 4.18 15.28 18.28 17.28 9.68 -6.02 -20.52 -29.42
-17.82 -26.72 -22.92 -9.62 5.18 16.48 19.58 17.08 10.28 -6.02 -23.52 -24.42
-24.02 -23.32 -19.82 -10.92 5.98 18.18 17.28 14.08 11.08 -5.92 -20.32 -23.92
-26.12 -25.52 -20.52 -9.22 4.28 14.78 20.08 16.58 9.28 -4.82 -19.52 -25.62
-28.22 -20.52 -19.32 -9.22 5.28 12.88 19.18 15.38 9.08 -3.12 -22.92 -22.72
-31.82 -24.52 -23.12 -8.82 3.48 17.08 19.68 14.68 8.48 -4.92 -16.82 -24.32
-27.22 -27.02 -17.82 -10.42 3.68 16.48 20.28 17.18 9.78 -0.52 -18.62 -30.32
-29.32 -21.82 -18.72 -10.22 3.48 13.98 18.08 16.88 8.58 -3.62 -17.22 -26.12
-23.78 -28.68 -21.78 -12.88 1.82 14.52 18.42 15.92 9.92 -7.68 -20.58 -27.68
-21.48 -27.08 -25.18 -7.78 3.92 16.22 19.82 16.62 9.52 -6.48 -21.78 -24.38
-22.48 -27.48 -18.68 -10.38 3.72 13.82 17.72 15.72 7.62 -4.18 -16.08 -28.18
-22.38 -20.88 -20.38 -13.68 4.82 13.82 16.72 13.82 6.92 -6.48 -20.78 -26.58
-21.68 -22.48 -19.18 -12.78 3.42 15.22 17.22 16.52 10.22 -5.48 -23.88 -20.58
-23.88 -23.98 -18.18 -7.38 5.92 16.42 18.02 15.92 9.22 -1.78 -16.88 -26.48
-27.88 -20.78 -19.28 -9.98 0.72 13.12 18.52 15.62 9.52 -3.08 -23.48 -24.88
-24.48 -23.88 -18.68 -11.98 4.52 14.52 19.42 16.52 9.62 -7.78 -22.98 -19.78
-23.98 -31.58 -19.18 -9.38 5.32 15.12 17.02 14.82 8.42 -1.38 -14.88 -27.68
-23.58 -19.38 -22.58 -11.98 0.72 13.82 19.32 13.82 7.92 -6.08 -12.88 -20.08
-28.38 -21.28 -20.68 -7.28 4.52 16.02 16.72 13.92 7.22 -5.08 -14.48 -23.28
-24.98 -29.08 -18.48 -11.98 3.22 14.22 20.02 15.92 7.42 -4.48 -21.98 -30.68
-23.88 -23.58 -20.68 -8.48 3.32 15.32 20.42 14.32 9.92 -2.28 -19.38 -24.68
-31.58 -17.78 -16.78 -11.28 4.12 17.32 18.12 15.62 10.92 -4.08 -20.98 -22.08
-26.88 -30.48 -14.98 -4.48 7.52 16.22 18.52 16.62 8.02 -4.28 -17.38 -27.18
-24.02 -28.92 -22.02 -13.12 1.58 14.28 18.18 15.68 9.68 -7.92 -20.82 -27.92
-21.72 -27.32 -25.42 -8.02 3.68 15.98 19.58 16.38 9.28 -6.72 -22.02 -24.62
-22.72 -27.72 -18.92 -10.62 3.48 13.58 17.48 15.48 7.38 -4.42 -16.32 -28.42
-22.62 -21.12 -20.62 -13.92 4.58 13.58 16.48 13.58 6.68 -6.72 -21.02 -26.82
-21.92 -22.72 -19.42 -13.02 3.18 14.98 16.98 16.28 9.98 -5.72 -24.12 -20.82
-24.12 -24.22 -18.42 -7.62 5.68 16.18 17.78 15.68 8.98 -2.02 -17.12 -26.72
-28.12 -21.02 -19.52 -10.22 0.48 12.88 18.28 15.38 9.28 -3.32 -23.72 -25.12
-24.72 -24.12 -18.92 -12.22 4.28 14.28 19.18 16.28 9.38 -8.02 -23.22 -20.02
-24.22 -31.82 -19.42 -9.62 5.08 14.88 16.78 14.58 8.18 -1.62 -15.12 -27.92
-23.82 -19.62 -22.82 -12.22 0.48 13.58 19.08 13.58 7.68 -6.32 -13.12 -20.32
-28.62 -21.52 -20.92 -7.52 4.28 15.78 16.48 13.68 6.98 -5.32 -14.72 -23.52
-25.22 -29.32 -18.72 -12.22 2.98 13.98 19.78 15.68 7.18 -4.72 -22.22 -30.92
-24.12 -23.82 -20.92 -8.72 3.08 15.08 20.18 14.08 9.68 -2.52 -19.62 -24.92
-31.82 -18.02 -17.02 -11.52 3.88 17.08 17.88 15.38 10.68 -4.32 -21.22 -22.32
-27.12 -30.72 -15.22 -4.72 7.28 15.98 18.28 16.38 7.78 -4.52 -17.62 -27.42
-24.84 -23.64 -21.74 -12.54 0.06 13.96 18.46 15.26 8.26 -4.34 -23.34 -31.74
-31.84 -18.34 -16.64 -7.64 6.46 15.26 17.76 14.96 7.96 -4.94 -20.14 -25.14
-32.24 -22.94 -17.34 -10.84 4.16 15.36 18.26 15.96 8.56 -4.44 -19.84 -26.54
-28.64 -26.44 -18.64 -11.04 3.16 14.66 18.46 14.66 8.96 -4.44 -18.74 -24.74
-30.84 -28.24 -22.14 -9.54 4.36 15.46 18.66 15.76 8.96 -4.64 -18.94 -24.94
-25.34 -24.04 -19.54 -9.94 4.26 15.56 18.56 15.66 9.06 -4.54 -18.54 -25.04
-25.44 -24.44 -19.44 -9.94 4.26 15.56 18.56 15.66 8.96 -4.64 -18.94 -24.74
-25.44 -24.24 -19.34 -9.84 4.26 15.56 18.56 15.66 8.96 -4.54 -18.74 -24.84
-25.44 -24.34 -19.44 -9.94 4.26 15.56 18.56 15.66 9.06 -4.54 -18.64 -24.74
-25.24 -24.34 -19.34 -9.94 4.36 15.46 18.66 15.66 8.86 -4.54 -18.84 -24.84
-25.34 -24.24 -18.44 -9.14 3.86 15.76 18.76 15.86 9.86 -3.24 -17.04 -26.24
-27.14 -25.34 -21.14 -10.54 3.46 16.16 19.16 16.36 9.16 -4.64 -14.24 -21.14
-26.64 -23.54 -20.64 -8.74 3.46 15.46 18.56 15.56 8.86 -4.44 -19.94 -25.34
