"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-30.71 -29.91 -26.41 -14.21 -1.91 11.79 14.99 11.99 4.99 -8.51 -22.71 -28.91
-29.51 -28.41 -23.71 -14.01 0.49 11.79 14.79 11.89 4.99 -8.61 -22.91 -30.51
-31.41 -28.51 -21.81 -13.81 0.39 11.39 14.89 11.99 5.09 -8.51 -23.01 -28.91
-29.61 -28.21 -23.71 -14.11 0.39 11.89 14.99 11.89 5.19 -8.51 -23.01 -28.81
-35.01 -31.11 -25.01 -14.91 0.79 11.49 14.49 11.89 4.59 -8.41 -24.21 -31.91
-29.64 -29.14 -27.94 -16.54 1.56 11.76 14.76 9.66 3.76 -8.34 -21.44 -29.94
-28.44 -26.24 -20.14 -10.44 0.06 9.86 13.46 10.96 1.36 -10.34 -21.94 -28.64
-25.54 -26.94 -25.64 -14.64 -2.54 8.86 13.56 9.46 4.06 -11.74 -21.74 -26.84
-38.34 -29.24 -26.14 -16.24 -0.84 13.86 12.76 11.06 1.96 -9.94 -24.34 -27.84
-31.84 -31.84 -24.14 -15.64 -2.34 11.06 12.86 9.66 1.46 -10.84 -21.74 -34.24
-33.14 -32.74 -24.34 -16.64 -0.04 11.76 13.56 11.46 4.76 -10.74 -19.94 -27.24
-34.34 -31.94 -20.84 -15.64 3.76 11.86 13.16 9.66 5.26 -6.64 -25.14 -29.34
-26.74 -26.94 -21.54 -14.94 0.06 11.16 14.16 13.16 5.46 -9.94 -24.94 -33.54
-22.84 -31.24 -27.44 -14.24 0.86 12.36 15.26 12.66 5.96 -10.34 -28.14 -28.74
-28.54 -27.94 -24.64 -15.64 1.56 13.86 13.26 9.96 6.56 -10.64 -24.94 -28.24
-30.94 -29.44 -24.64 -13.94 0.16 10.86 15.86 12.36 5.16 -9.34 -23.54 -29.94
-33.24 -25.34 -23.74 -13.64 1.26 8.66 15.06 11.16 4.76 -7.54 -27.24 -27.34
