"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
17.25 7.55 5.15 6.55 5.95 39.75 42.25 21.55 18.25 8.75 8.35 6.85
16.45 8.85 1.95 8.05 15.05 35.95 33.75 60.75 58.65 16.25 9.85 13.95
17.05 6.15 1.45 8.25 12.25 23.75 62.85 40.15 7.95 8.95 10.05 11.75
16.65 15.85 5.75 4.75 12.45 25.95 56.75 34.05 27.65 10.15 18.95 12.85
9.85 15.45 6.35 1.75 4.65 41.55 63.15 22.55 5.85 17.65 8.75 5.85
12.85 6.75 7.25 10.05 12.85 32.05 62.25 25.15 17.45 10.95 10.25 13.25
19.85 14.05 8.45 16.15 14.95 7.55 9.75 21.75 11.85 16.05 13.25 18.35
10.05 4.85 2.75 7.75 10.55 8.65 36.85 28.15 21.05 10.55 8.05 28.55
12.85 1.45 3.35 3.85 17.55 22.15 79.05 44.35 39.95 19.45 16.95 13.45
12.95 11.85 4.75 6.55 8.65 23.25 42.65 39.75 18.35 11.05 23.85 14.55
5.35 9.85 8.75 3.55 20.95 29.35 48.85 29.85 21.65 17.05 10.75 9.85
11.15 2.05 8.65 5.85 15.85 53.35 14.45 36.35 15.35 23.05 9.15 12.55
16.45 10.75 0.75 5.55 3.05 13.95 43.95 50.55 18.65 10.25 5.35 5.35
9.15 24.55 8.15 15.75 15.35 19.65 38.95 72.95 17.15 14.75 8.05 5.15
6.35 3.35 4.45 9.95 18.65 45.05 59.45 48.55 34.15 16.55 29.75 7.55
9.58 4.88 6.08 4.98 5.78 30.18 45.58 32.98 27.58 12.58 16.18 9.58
8.48 6.68 6.68 4.88 7.18 23.08 28.28 19.78 23.68 15.98 17.98 13.68
10.48 11.68 10.78 5.98 10.38 33.38 51.58 29.58 14.78 12.78 12.18 14.78
9.48 13.08 7.98 4.98 16.48 41.48 22.58 44.58 29.68 13.28 18.88 12.78
12.08 8.68 9.28 5.48 9.78 50.38 28.98 33.68 14.08 11.38 16.38 12.68
9.48 6.88 4.68 10.98 8.58 24.38 30.28 39.38 16.38 11.48 13.18 10.78
15.98 14.28 4.98 8.08 5.38 50.88 82.48 40.88 18.58 10.28 12.28 20.38
11.58 13.38 7.38 4.48 11.68 30.18 42.48 28.08 15.68 13.28 17.38 15.08
7.68 14.28 8.58 6.08 8.48 31.58 47.38 29.28 18.08 11.78 13.38 12.28
13.38 5.28 6.08 11.58 15.78 20.28 43.18 57.78 17.58 9.38 18.88 15.88
11.28 4.98 5.38 3.78 11.28 31.18 35.78 37.08 19.68 18.68 8.38 13.08
14.48 11.98 8.48 4.48 5.58 27.68 42.88 26.38 17.58 19.68 17.58 4.48
9.28 7.88 4.68 4.58 13.98 27.58 44.68 24.38 29.48 21.08 13.08 10.58
13.28 8.48 6.08 5.48 10.48 40.78 59.48 45.48 22.88 23.68 20.98 16.88
5.28 4.98 5.38 16.18 9.58 40.08 66.68 25.98 28.38 17.98 22.28 15.68
10.64 6.54 3.44 7.44 26.14 18.64 30.84 31.64 19.94 11.14 12.74 19.64
11.64 8.94 5.24 5.94 22.24 26.44 43.24 28.34 16.34 13.24 22.44 10.54
11.44 6.64 6.14 10.04 5.74 53.44 39.84 24.74 23.04 17.04 15.24 10.54
8.74 14.24 5.04 8.94 13.74 15.94 28.94 17.94 17.64 16.14 16.34 8.84
14.44 14.94 6.94 5.84 7.24 18.24 46.64 34.74 33.54 16.74 12.64 8.44
9.74 11.74 6.74 7.14 7.64 28.84 23.24 38.14 19.04 16.74 13.34 18.04
12.74 6.64 7.24 4.14 13.74 35.64 49.14 21.04 20.74 16.74 17.74 13.74
16.74 10.74 6.74 8.74 13.74 26.74 45.74 37.74 9.74 11.54 19.84 9.64
16.74 10.74 6.74 8.74 13.74 26.74 45.74 37.74 20.74 16.74 17.74 13.74
16.74 10.74 6.74 8.74 13.74 26.74 58.74 36.84 20.74 16.74 17.74 13.74
16.74 10.74 6.74 8.74 13.74 26.74 45.74 37.74 20.74 16.74 17.74 13.74
16.74 10.74 6.74 8.74 13.74 26.74 45.74 37.74 20.74 16.74 17.74 13.74
16.74 10.74 6.74 8.74 13.74 26.74 45.74 37.74 20.74 16.74 17.74 13.74
16.74 10.74 6.74 8.74 13.74 26.74 45.74 37.74 20.74 16.74 17.74 13.74
16.74 10.74 6.74 8.74 13.74 26.74 45.74 37.74 20.74 16.74 17.74 13.74
6.48 3.78 4.88 0.58 7.58 23.28 45.58 58.18 20.38 12.08 23.18 10.08
10.08 18.88 5.78 2.08 16.18 32.78 25.98 35.48 18.68 26.98 10.08 4.88
11.48 7.58 7.18 8.28 14.38 17.48 57.88 40.88 13.58 9.18 8.78 5.08
16.18 8.88 12.88 7.68 8.58 33.18 50.78 44.98 2.58 15.28 8.28 16.08
29.78 12.18 6.08 4.28 9.58 25.88 61.08 65.98 11.88 15.48 23.98 10.48
9.18 4.98 7.38 4.08 7.18 20.98 28.58 14.98 23.58 19.68 11.48 14.78
13.38 7.18 4.28 6.98 11.08 15.78 37.18 25.98 18.08 23.28 15.68 7.58
15.48 11.38 1.48 4.78 6.98 16.58 46.58 30.68 22.28 13.18 26.58 3.18
21.28 7.18 8.28 13.48 10.28 35.48 55.08 37.08 21.08 12.28 18.48 14.38
5.28 4.78 16.58 4.48 15.78 23.78 35.88 47.98 30.88 7.38 6.48 19.38
21.78 5.38 4.48 14.18 12.68 19.08 56.48 27.48 22.28 19.38 7.38 13.58
28.48 11.48 7.28 10.78 9.68 26.48 74.08 51.08 14.98 24.18 11.98 13.08
13.88 5.88 13.88 3.48 7.58 35.38 36.78 23.18 7.98 15.88 18.08 16.38
24.28 13.68 0.88 14.58 9.78 40.78 46.68 48.18 24.08 8.98 10.68 9.58
12.58 11.58 12.78 1.78 12.38 25.08 23.58 49.48 19.58 15.78 7.38 12.68
9.57 4.87 6.07 4.97 5.77 30.17 45.57 32.97 27.57 12.57 16.17 9.57
8.47 6.67 6.67 4.87 7.17 23.07 28.27 19.77 23.67 15.97 17.97 13.67
10.47 11.67 10.77 5.97 10.37 33.37 51.57 29.57 14.77 12.77 12.17 14.77
9.47 13.07 7.97 4.97 16.47 41.47 22.57 44.57 29.67 13.27 18.87 12.77
12.07 8.67 9.27 5.47 9.77 50.37 28.97 33.67 14.07 11.37 16.37 12.67
9.47 6.87 4.67 10.97 8.57 24.37 30.27 39.37 16.37 11.47 13.17 10.77
15.97 14.27 4.97 8.07 5.37 50.87 82.47 40.87 18.57 10.27 12.27 20.37
11.57 13.37 7.37 4.47 11.67 30.17 42.47 28.07 15.67 13.27 17.37 15.07
7.67 14.27 8.57 6.07 8.47 31.57 47.37 29.27 18.07 11.77 13.37 12.27
13.37 5.27 6.07 11.57 15.77 20.27 43.17 57.77 17.57 9.37 18.87 15.87
11.27 4.97 5.37 3.77 11.27 31.17 35.77 37.07 19.67 18.67 8.37 13.07
14.47 11.97 8.47 4.47 5.57 27.67 42.87 26.37 17.57 19.67 17.57 4.47
9.27 7.87 4.67 4.57 13.97 27.57 44.67 24.37 29.47 21.07 13.07 10.57
13.27 8.47 6.07 5.47 10.47 40.77 59.47 45.47 22.87 23.67 20.97 16.87
5.27 4.97 5.37 16.17 9.57 40.07 66.67 25.97 28.37 17.97 22.27 15.67
16.21 10.21 6.21 8.21 13.21 26.21 45.21 37.21 20.21 11.01 10.01 5.71
10.71 9.51 9.21 4.71 8.71 29.71 45.21 37.21 20.21 16.81 12.41 13.21
16.21 6.61 6.21 8.21 13.21 26.21 45.21 37.21 20.21 16.21 17.21 13.21
16.21 10.21 6.21 8.21 13.21 26.21 45.21 37.21 20.21 16.21 17.21 13.21
16.21 10.21 6.21 8.21 13.21 26.21 45.21 37.21 20.21 16.21 17.21 13.21
16.21 10.21 6.21 8.21 13.21 26.21 45.21 37.21 20.21 16.21 17.21 13.21
16.21 10.21 6.21 8.21 13.21 26.21 45.21 37.21 20.21 16.21 17.21 13.21
16.21 10.21 6.21 8.21 13.21 26.21 45.21 37.21 20.21 16.21 17.21 13.21
16.21 10.21 6.21 8.21 13.21 26.21 45.21 37.21 20.21 16.21 17.21 13.21
