"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-27.14 -26.74 -23.44 -10.54 0.96 14.66 17.96 15.06 8.16 -5.04 -19.34 -25.24
-25.84 -24.84 -20.24 -10.34 3.76 14.66 17.76 14.96 8.16 -5.14 -19.44 -27.24
-28.24 -24.94 -17.94 -10.04 3.66 14.26 17.86 15.06 8.26 -5.04 -19.54 -25.24
-25.84 -24.64 -20.14 -10.34 3.66 14.76 17.96 14.96 8.36 -5.04 -19.54 -25.24
-32.14 -27.94 -21.84 -11.34 4.16 14.36 17.36 15.06 7.66 -4.84 -20.84 -28.64
-25.92 -25.32 -25.22 -12.82 4.58 14.38 17.68 12.68 6.68 -5.22 -18.62 -26.82
-24.92 -22.72 -16.42 -6.62 3.38 12.68 16.38 13.88 4.38 -7.12 -18.72 -25.22
-21.42 -23.22 -22.22 -11.12 0.28 11.48 16.38 12.38 7.18 -8.32 -18.32 -23.32
-35.22 -26.42 -22.72 -12.62 2.38 16.78 15.78 13.78 4.68 -6.82 -21.02 -23.62
-28.92 -28.42 -20.72 -11.92 1.18 13.78 15.58 12.58 4.48 -7.72 -18.62 -30.62
-29.62 -29.02 -20.62 -13.42 3.08 14.48 16.28 14.38 7.88 -7.72 -16.52 -23.52
-31.02 -28.12 -17.22 -12.62 6.98 14.68 16.08 12.58 8.18 -3.52 -21.82 -25.72
-22.72 -23.22 -18.22 -11.32 2.88 13.78 16.88 15.88 8.38 -7.22 -21.72 -30.42
-18.72 -27.72 -24.12 -10.72 3.88 14.88 18.18 15.78 9.08 -7.12 -24.72 -25.52
-25.12 -24.42 -21.02 -11.92 4.78 16.68 15.88 12.78 9.88 -6.92 -21.52 -24.92
-27.02 -26.72 -21.72 -10.32 3.08 13.28 18.68 15.28 7.98 -5.92 -20.72 -26.62
-29.12 -21.62 -20.52 -10.32 3.98 11.38 17.78 14.08 7.68 -4.22 -24.02 -23.62
-32.92 -25.62 -24.42 -9.92 2.28 15.48 18.28 13.38 7.28 -5.92 -18.02 -25.32
-28.22 -28.12 -19.02 -11.62 2.48 14.98 18.78 15.88 8.58 -1.62 -19.82 -31.42
-30.52 -22.92 -19.92 -11.32 2.38 12.48 16.68 15.58 7.38 -4.62 -18.42 -27.12
-24.69 -29.89 -22.99 -14.09 0.61 13.01 17.01 14.61 8.61 -8.79 -21.79 -28.69
-22.49 -28.19 -26.49 -8.89 2.71 14.71 18.31 15.31 8.21 -7.69 -22.99 -25.29
-23.39 -28.59 -19.79 -11.49 2.51 12.21 16.31 14.41 6.31 -5.29 -17.29 -29.29
-23.29 -21.89 -21.49 -14.79 3.51 12.31 15.31 12.51 5.61 -7.49 -21.89 -27.59
-22.59 -23.59 -20.29 -13.89 2.31 13.71 15.81 15.21 8.91 -6.59 -25.09 -21.59
-24.99 -25.19 -19.39 -8.49 4.71 15.01 16.61 14.61 7.91 -2.89 -18.09 -27.59
-28.89 -21.79 -20.39 -11.19 -0.39 11.61 17.01 14.31 8.21 -4.09 -24.69 -25.89
-25.49 -24.99 -19.89 -13.09 3.31 13.11 18.01 15.21 8.31 -8.89 -24.29 -20.59
-24.99 -32.79 -20.39 -10.49 4.21 13.61 15.61 13.51 7.11 -2.49 -16.09 -28.69
-24.59 -20.49 -23.89 -13.09 -0.49 12.31 17.91 12.61 6.61 -7.19 -13.99 -20.99
-29.29 -22.29 -21.89 -8.29 3.41 14.51 15.31 12.61 5.91 -6.09 -15.59 -24.29
-26.09 -30.19 -19.69 -13.09 2.01 12.71 18.61 14.61 6.11 -5.49 -23.09 -31.69
-24.89 -24.69 -21.99 -9.59 2.11 13.91 19.01 13.01 8.61 -3.29 -20.69 -25.69
-32.79 -18.79 -18.09 -12.49 3.01 15.81 16.71 14.31 9.61 -5.29 -22.39 -23.19
-27.89 -31.79 -16.29 -5.59 6.11 14.71 17.01 15.21 6.71 -5.39 -18.59 -28.19
-24.93 -30.13 -23.23 -14.33 0.37 12.77 16.77 14.37 8.37 -9.03 -22.03 -28.93
-22.73 -28.43 -26.73 -9.13 2.47 14.47 18.07 15.07 7.97 -7.93 -23.23 -25.53
-23.63 -28.83 -20.03 -11.73 2.27 11.97 16.07 14.17 6.07 -5.53 -17.53 -29.53
-23.53 -22.13 -21.73 -15.03 3.27 12.07 15.07 12.27 5.37 -7.73 -22.13 -27.83
-22.83 -23.83 -20.53 -14.13 2.07 13.47 15.57 14.97 8.67 -6.83 -25.33 -21.83
-25.23 -25.43 -19.63 -8.73 4.47 14.77 16.37 14.37 7.67 -3.13 -18.33 -27.83
-29.13 -22.03 -20.63 -11.43 -0.63 11.37 16.77 14.07 7.97 -4.33 -24.93 -26.13
-25.73 -25.23 -20.13 -13.33 3.07 12.87 17.77 14.97 8.07 -9.13 -24.53 -20.83
-25.23 -33.03 -20.63 -10.73 3.97 13.37 15.37 13.27 6.87 -2.73 -16.33 -28.93
-24.83 -20.73 -24.13 -13.33 -0.73 12.07 17.67 12.37 6.37 -7.43 -14.23 -21.23
-29.53 -22.53 -22.13 -8.53 3.17 14.27 15.07 12.37 5.67 -6.33 -15.83 -24.53
-26.33 -30.43 -19.93 -13.33 1.77 12.47 18.37 14.37 5.87 -5.73 -23.33 -31.93
-25.13 -24.93 -22.23 -9.83 1.87 13.67 18.77 12.77 8.37 -3.53 -20.93 -25.93
-33.03 -19.03 -18.33 -12.73 2.77 15.57 16.47 14.07 9.37 -5.53 -22.63 -23.43
-28.13 -32.03 -16.53 -5.83 5.87 14.47 16.77 14.97 6.47 -5.63 -18.83 -28.43
-25.83 -24.63 -23.13 -13.83 -1.33 12.37 17.07 13.97 6.87 -5.43 -24.83 -33.13
-33.23 -19.03 -17.63 -8.63 5.37 13.67 16.27 13.57 6.67 -6.03 -21.43 -26.13
-33.63 -23.83 -18.43 -12.03 2.97 13.87 16.87 14.77 7.27 -5.53 -21.13 -27.63
-29.93 -27.63 -19.73 -12.33 1.87 13.07 17.07 13.27 7.57 -5.53 -19.93 -25.73
-32.23 -29.63 -23.53 -10.73 3.17 14.07 17.27 14.47 7.67 -5.73 -20.13 -25.93
-26.33 -25.23 -20.73 -11.03 3.07 14.07 17.17 14.37 7.77 -5.63 -19.73 -26.03
-26.43 -25.53 -20.63 -11.03 3.07 14.07 17.17 14.37 7.67 -5.73 -20.13 -25.73
-26.43 -25.33 -20.53 -10.93 3.07 14.07 17.17 14.37 7.67 -5.63 -20.03 -25.83
-26.43 -25.43 -20.63 -11.03 3.07 14.07 17.17 14.37 7.77 -5.63 -19.83 -25.73
-26.23 -25.43 -20.53 -11.03 3.17 14.07 17.27 14.37 7.57 -5.63 -20.03 -25.83
-26.33 -25.33 -19.53 -10.23 2.67 14.37 17.37 14.57 8.67 -4.23 -18.13 -27.13
-28.23 -26.43 -22.23 -11.63 2.27 14.57 17.67 15.07 7.87 -5.73 -15.13 -21.83
-27.73 -24.63 -21.93 -9.83 2.27 13.97 17.17 14.37 7.57 -5.53 -21.13 -26.33
-25.33 -23.73 -21.73 -11.33 2.77 13.77 16.87 14.07 7.07 -6.43 -21.53 -25.63
-24.43 -26.73 -20.93 -10.73 2.37 14.27 17.27 14.47 7.67 -5.63 -19.63 -26.63
-25.79 -24.59 -23.09 -13.79 -1.29 12.41 17.11 14.01 6.91 -5.39 -24.79 -33.09
-33.19 -18.99 -17.59 -8.59 5.41 13.71 16.31 13.61 6.71 -5.99 -21.39 -26.09
-33.59 -23.79 -18.39 -11.99 3.01 13.91 16.91 14.81 7.31 -5.49 -21.09 -27.59
-29.89 -27.59 -19.69 -12.29 1.91 13.11 17.11 13.31 7.61 -5.49 -19.89 -25.69
-32.19 -29.59 -23.49 -10.69 3.21 14.11 17.31 14.51 7.71 -5.69 -20.09 -25.89
-26.29 -25.19 -20.69 -10.99 3.11 14.11 17.21 14.41 7.81 -5.59 -19.69 -25.99
-26.39 -25.49 -20.59 -10.99 3.11 14.11 17.21 14.41 7.71 -5.69 -20.09 -25.69
-26.39 -25.29 -20.49 -10.89 3.11 14.11 17.21 14.41 7.71 -5.59 -19.99 -25.79
-26.39 -25.39 -20.59 -10.99 3.11 14.11 17.21 14.41 7.81 -5.59 -19.79 -25.69
-26.19 -25.39 -20.49 -10.99 3.21 14.11 17.31 14.41 7.61 -5.59 -19.99 -25.79
-26.29 -25.29 -19.49 -10.19 2.71 14.41 17.41 14.61 8.71 -4.19 -18.09 -27.09
-28.19 -26.39 -22.19 -11.59 2.31 14.61 17.71 15.11 7.91 -5.69 -15.09 -21.79
-27.69 -24.59 -21.89 -9.79 2.31 14.01 17.21 14.41 7.61 -5.49 -21.09 -26.29
-25.29 -23.69 -21.69 -11.29 2.81 13.81 16.91 14.11 7.11 -6.39 -21.49 -25.59
-24.39 -26.69 -20.89 -10.69 2.41 14.31 17.31 14.51 7.71 -5.59 -19.59 -26.59
-33.95 -27.15 -24.15 -7.15 2.75 14.45 17.35 13.85 7.75 -4.25 -17.75 -20.65
-30.05 -31.25 -22.05 -11.35 2.35 13.65 18.15 13.45 6.05 -8.45 -19.35 -27.35
-35.05 -28.85 -20.05 -11.45 1.55 12.15 17.15 14.05 8.25 -2.85 -16.85 -27.55
-31.75 -18.65 -15.45 -12.15 2.15 12.05 17.65 13.35 7.05 -6.35 -18.75 -25.55
-26.15 -25.65 -18.45 -9.75 -1.25 12.75 15.45 13.75 7.55 -5.45 -23.55 -28.55
-31.95 -28.05 -18.85 -8.95 -0.85 12.55 14.75 14.55 8.95 -4.05 -19.95 -20.45
-26.45 -28.05 -21.35 -12.65 3.35 13.25 16.55 13.45 6.85 -4.55 -22.65 -31.05
-31.35 -22.45 -21.35 -16.35 1.75 14.05 17.85 13.75 7.95 -3.35 -22.15 -23.95
-23.35 -23.85 -24.75 -8.15 1.15 12.15 17.25 14.95 8.35 -4.45 -17.15 -28.15
-35.25 -23.55 -23.45 -12.05 0.95 12.05 17.15 14.45 9.75 -4.85 -21.05 -24.75
-27.45 -27.05 -23.75 -10.85 0.65 14.35 17.65 14.75 7.85 -5.35 -19.65 -25.55
-26.15 -25.15 -20.55 -10.65 3.45 14.35 17.45 14.65 7.85 -5.45 -19.75 -27.55
-28.55 -25.25 -18.25 -10.35 3.35 13.95 17.55 14.75 7.95 -5.35 -19.85 -25.55
-26.15 -24.95 -20.45 -10.65 3.35 14.45 17.65 14.65 8.05 -5.35 -19.85 -25.55
-32.45 -28.25 -22.15 -11.65 3.85 14.05 17.05 14.75 7.35 -5.15 -21.15 -28.95
-25.98 -25.38 -25.28 -12.88 4.52 14.32 17.62 12.62 6.62 -5.28 -18.68 -26.88
-24.98 -22.78 -16.48 -6.68 3.32 12.62 16.32 13.82 4.32 -7.18 -18.78 -25.28
-21.48 -23.28 -22.28 -11.18 0.22 11.42 16.32 12.32 7.12 -8.38 -18.38 -23.38
-35.28 -26.48 -22.78 -12.68 2.32 16.72 15.72 13.72 4.62 -6.88 -21.08 -23.68
-28.98 -28.48 -20.78 -11.98 1.12 13.72 15.52 12.52 4.42 -7.78 -18.68 -30.68
-29.68 -29.08 -20.68 -13.48 3.02 14.42 16.22 14.32 7.82 -7.78 -16.58 -23.58
-31.08 -28.18 -17.28 -12.68 6.92 14.62 16.02 12.52 8.12 -3.58 -21.88 -25.78
-22.78 -23.28 -18.28 -11.38 2.82 13.72 16.82 15.82 8.32 -7.28 -21.78 -30.48
-18.78 -27.78 -24.18 -10.78 3.82 14.82 18.12 15.72 9.02 -7.18 -24.78 -25.58
-25.18 -24.48 -21.08 -11.98 4.72 16.62 15.82 12.72 9.82 -6.98 -21.58 -24.98
-27.08 -26.78 -21.78 -10.38 3.02 13.22 18.62 15.22 7.92 -5.98 -20.78 -26.68
