"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-29.26 -28.86 -25.56 -12.66 -1.16 12.54 15.84 12.94 6.04 -7.16 -21.46 -27.36
-27.96 -26.96 -22.36 -12.46 1.64 12.54 15.64 12.84 6.04 -7.26 -21.56 -29.36
-30.36 -27.06 -20.06 -12.16 1.54 12.14 15.74 12.94 6.14 -7.16 -21.66 -27.36
-27.96 -26.76 -22.26 -12.46 1.54 12.64 15.84 12.84 6.24 -7.16 -21.66 -27.36
-34.26 -30.06 -23.96 -13.46 2.04 12.24 15.24 12.94 5.54 -6.96 -22.96 -30.76
-27.99 -27.39 -27.29 -14.89 2.51 12.31 15.61 10.61 4.61 -7.29 -20.69 -28.89
-26.99 -24.79 -18.49 -8.69 1.31 10.61 14.31 11.81 2.31 -9.19 -20.79 -27.29
-23.49 -25.29 -24.29 -13.19 -1.79 9.41 14.31 10.31 5.11 -10.39 -20.39 -25.39
-37.29 -28.49 -24.79 -14.69 0.31 14.71 13.71 11.71 2.61 -8.89 -23.09 -25.69
-30.99 -30.49 -22.79 -13.99 -0.89 11.71 13.51 10.51 2.41 -9.79 -20.69 -32.69
-31.69 -31.09 -22.69 -15.49 1.01 12.41 14.21 12.31 5.81 -9.79 -18.59 -25.59
-33.09 -30.19 -19.29 -14.69 4.91 12.61 14.01 10.51 6.11 -5.59 -23.89 -27.79
-24.79 -25.29 -20.29 -13.39 0.81 11.71 14.81 13.81 6.31 -9.29 -23.79 -32.49
-20.79 -29.79 -26.19 -12.79 1.81 12.81 16.11 13.71 7.01 -9.19 -26.79 -27.59
-27.19 -26.49 -23.09 -13.99 2.71 14.61 13.81 10.71 7.81 -8.99 -23.59 -26.99
-29.09 -28.79 -23.79 -12.39 1.01 11.21 16.61 13.21 5.91 -7.99 -22.79 -28.69
-31.19 -23.69 -22.59 -12.39 1.91 9.31 15.71 12.01 5.61 -6.29 -26.09 -25.69
-34.99 -27.69 -26.49 -11.99 0.21 13.41 16.21 11.31 5.21 -7.99 -20.09 -27.39
-30.29 -30.19 -21.09 -13.69 0.41 12.91 16.71 13.81 6.51 -3.69 -21.89 -33.49
-32.59 -24.99 -21.99 -13.39 0.31 10.41 14.61 13.51 5.31 -6.69 -20.49 -29.19
-26.79 -31.99 -25.09 -16.19 -1.49 10.91 14.91 12.51 6.51 -10.89 -23.89 -30.79
-24.59 -30.29 -28.59 -10.99 0.61 12.61 16.21 13.21 6.11 -9.79 -25.09 -27.39
-25.49 -30.69 -21.89 -13.59 0.41 10.11 14.21 12.31 4.21 -7.39 -19.39 -31.39
-25.39 -23.99 -23.59 -16.89 1.41 10.21 13.21 10.41 3.51 -9.59 -23.99 -29.69
-24.69 -25.69 -22.39 -15.99 0.21 11.61 13.71 13.11 6.81 -8.69 -27.19 -23.69
-27.09 -27.29 -21.49 -10.59 2.61 12.91 14.51 12.51 5.81 -4.99 -20.19 -29.69
