"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
13.79 16.09 18.99 27.79 32.19 35.69 36.69 51.09 40.99 40.49 32.59 31.39
17.49 18.49 11.79 32.19 25.79 39.29 71.99 49.39 26.99 16.39 19.29 21.99
15.89 8.59 23.19 20.49 34.19 36.69 47.39 57.09 71.79 23.89 33.69 34.79
18.39 11.69 11.89 14.19 32.99 25.49 55.59 63.49 55.39 27.89 21.29 14.89
19.59 18.79 21.19 26.69 45.09 80.89 86.59 64.79 64.89 23.39 22.89 18.09
16.21 20.51 11.21 15.21 23.61 26.61 62.81 50.71 32.71 14.71 25.41 17.71
16.11 17.21 13.21 14.51 20.11 67.81 46.61 95.31 70.51 16.51 15.71 21.71
13.81 21.91 15.31 5.51 17.21 58.21 42.81 37.31 57.51 40.21 21.61 23.21
21.11 8.11 6.61 14.21 68.91 47.01 107.31 64.11 45.91 15.51 21.61 22.21
9.91 18.81 12.61 12.81 47.31 39.61 72.61 85.71 48.81 39.91 28.91 23.61
11.21 7.51 18.91 20.71 38.01 74.51 42.41 103.81 50.51 11.61 28.51 19.91
13.91 9.71 17.01 10.51 13.71 9.41 37.91 16.41 18.21 19.81 6.41 6.61
18.91 9.81 14.61 9.31 52.21 16.21 22.01 39.61 65.61 17.51 14.31 9.11
12.81 9.81 10.71 6.91 6.91 39.01 135.21 89.11 36.81 13.51 25.11 17.21
14.81 7.31 29.11 11.81 18.21 18.41 99.11 58.71 63.91 20.41 19.11 18.41
13.71 16.01 18.91 27.71 32.11 35.61 36.61 51.01 40.91 40.41 32.51 31.31
17.41 18.41 11.71 32.11 25.71 39.21 71.91 49.31 26.91 16.31 19.21 21.91
15.81 8.51 23.11 20.41 34.11 36.61 47.31 57.01 71.71 23.81 33.61 34.71
18.31 11.61 11.81 14.11 32.91 25.41 55.51 63.41 55.31 27.81 21.21 14.81
19.51 18.71 21.11 26.61 45.01 80.81 86.51 64.71 64.81 23.31 22.81 18.01
20.16 13.36 4.96 6.36 48.76 33.56 25.26 66.46 55.96 26.46 27.36 17.66
16.56 5.16 7.36 23.66 31.56 19.26 52.66 40.46 66.26 47.36 14.46 13.06
20.26 9.06 7.16 7.76 22.96 49.66 108.76 75.66 53.96 47.76 17.96 26.46
24.26 16.56 17.66 23.06 55.06 19.66 35.96 52.26 40.16 43.46 23.66 25.46
19.76 15.16 15.86 22.66 34.46 50.56 58.56 60.76 43.86 31.16 13.76 19.66
19.26 15.66 14.46 22.46 35.36 51.46 75.06 57.86 56.26 33.36 24.26 19.26
16.16 16.66 24.26 9.16 26.36 26.16 72.36 84.76 44.46 34.76 33.76 33.76
16.06 13.26 14.46 5.96 35.76 39.36 74.66 75.86 51.26 41.36 13.06 19.06
7.46 2.96 19.06 16.46 31.86 52.56 121.46 51.76 35.46 16.66 34.06 11.16
19.96 17.66 12.16 19.36 21.96 39.46 20.36 66.66 57.56 34.86 23.26 14.96
11.46 6.86 8.16 7.36 14.26 31.96 59.56 104.66 32.66 31.66 22.76 11.26
4.76 5.36 9.46 21.86 44.26 27.66 41.26 47.36 92.06 25.56 19.06 7.86
12.26 12.86 8.06 9.76 20.76 38.56 47.76 34.86 45.16 26.36 13.26 14.76
11.46 10.46 18.36 29.16 25.46 71.06 82.16 80.16 34.86 43.36 15.76 10.56
11.96 7.56 15.76 29.76 25.96 62.06 39.16 31.66 55.06 19.46 14.56 10.26
13.29 11.49 6.69 19.09 19.19 29.19 32.39 43.89 10.39 16.99 17.09 18.99
4.49 2.29 16.69 13.19 30.29 24.69 62.79 22.29 27.29 30.19 23.79 7.89
12.89 4.09 6.69 11.99 21.09 63.19 88.39 40.49 44.69 39.29 11.99 8.29
19.49 6.29 2.29 18.09 26.49 48.29 69.99 53.99 36.99 39.99 17.09 6.49
5.09 11.69 12.49 27.89 40.49 46.99 58.79 58.59 59.99 23.69 11.29 14.69
15.19 5.89 13.89 25.19 28.89 50.39 108.59 58.39 97.89 32.19 26.89 22.39
23.09 2.89 8.59 19.39 22.69 44.99 36.99 70.19 58.79 26.29 2.99 12.59
17.59 7.69 19.69 17.99 21.69 35.69 80.89 42.09 93.29 34.29 5.69 16.59
18.09 11.99 17.29 10.99 20.69 91.29 33.79 45.09 53.29 33.49 18.79 5.79
16.59 6.09 13.69 11.59 54.59 66.09 49.99 47.89 37.59 55.59 31.29 7.19
7.39 0.99 5.49 12.19 39.89 35.99 101.99 77.49 92.89 27.79 27.09 31.09
