"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
13.79 16.09 18.99 27.79 32.19 35.69 36.69 51.09 40.99 40.49 32.59 31.39
17.49 18.49 11.79 32.19 25.79 39.29 71.99 49.39 26.99 16.39 19.29 21.99
15.89 8.59 23.19 20.49 34.19 36.69 47.39 57.09 71.79 23.89 33.69 34.79
18.39 11.69 11.89 14.19 32.99 25.49 55.59 63.49 55.39 27.89 21.29 14.89
19.59 18.79 21.19 26.69 45.09 80.89 86.59 64.79 64.89 23.39 22.89 18.09
23.77 15.87 16.97 19.57 33.47 36.37 9.07 39.87 36.57 26.67 33.77 28.17
25.67 16.27 15.87 15.67 33.57 59.27 39.57 52.27 50.37 39.87 22.67 29.07
8.47 21.97 2.77 7.27 23.67 52.77 46.67 80.87 43.87 25.57 24.87 10.77
19.97 3.97 8.07 11.37 20.67 22.77 60.07 69.27 76.57 32.17 16.57 8.17
6.27 1.87 10.17 11.87 33.57 43.37 126.37 64.17 55.77 36.87 8.77 18.57
24.17 8.77 10.87 13.07 25.17 64.17 116.27 90.87 88.77 41.37 41.87 1.67
14.87 7.97 14.07 33.67 40.77 53.47 59.77 29.77 39.07 46.87 21.17 23.27
5.87 9.87 27.87 17.07 35.17 32.67 78.57 78.47 37.97 22.37 11.57 7.67
3.67 2.17 10.27 15.57 15.97 68.27 54.37 46.17 38.27 20.77 22.27 3.17
19.07 9.27 7.77 14.57 28.47 31.57 30.37 30.27 42.67 32.97 18.47 19.77
27.57 1.27 10.47 15.97 31.07 62.07 61.77 66.17 48.07 42.17 43.17 12.07
16.57 21.67 8.87 29.87 31.37 15.77 46.37 63.07 32.47 36.07 32.47 29.77
21.97 9.67 17.87 22.07 19.57 42.27 54.47 43.17 42.87 43.37 29.77 18.57
10.67 10.17 15.07 20.07 19.87 15.37 35.37 32.87 60.27 34.07 8.57 24.77
16.17 16.77 12.07 34.47 45.87 86.27 79.67 75.77 55.77 29.07 24.37 12.07
20.16 13.36 4.96 6.36 48.76 33.56 25.26 66.46 55.96 26.46 27.36 17.66
16.56 5.16 7.36 23.66 31.56 19.26 52.66 40.46 66.26 47.36 14.46 13.06
20.26 9.06 7.16 7.76 22.96 49.66 108.76 75.66 53.96 47.76 17.96 26.46
24.26 16.56 17.66 23.06 55.06 19.66 35.96 52.26 40.16 43.46 23.66 25.46
19.76 15.16 15.86 22.66 34.46 50.56 58.56 60.76 43.86 31.16 13.76 19.66
19.26 15.66 14.46 22.46 35.36 51.46 75.06 57.86 56.26 33.36 24.26 19.26
16.16 16.66 24.26 9.16 26.36 26.16 72.36 84.76 44.46 34.76 33.76 33.76
16.06 13.26 14.46 5.96 35.76 39.36 74.66 75.86 51.26 41.36 13.06 19.06
7.46 2.96 19.06 16.46 31.86 52.56 121.46 51.76 35.46 16.66 34.06 11.16
19.96 17.66 12.16 19.36 21.96 39.46 20.36 66.66 57.56 34.86 23.26 14.96
11.46 6.86 8.16 7.36 14.26 31.96 59.56 104.66 32.66 31.66 22.76 11.26
4.76 5.36 9.46 21.86 44.26 27.66 41.26 47.36 92.06 25.56 19.06 7.86
12.26 12.86 8.06 9.76 20.76 38.56 47.76 34.86 45.16 26.36 13.26 14.76
11.46 10.46 18.36 29.16 25.46 71.06 82.16 80.16 34.86 43.36 15.76 10.56
11.96 7.56 15.76 29.76 25.96 62.06 39.16 31.66 55.06 19.46 14.56 10.26
23.52 15.62 16.72 19.32 33.22 36.12 8.82 39.62 36.32 26.42 33.52 27.92
25.42 16.02 15.62 15.42 33.32 59.02 39.32 52.02 50.12 39.62 22.42 28.82
8.22 21.72 2.52 7.02 23.42 52.52 46.42 80.62 43.62 25.32 24.62 10.52
19.72 3.72 7.82 11.12 20.42 22.52 59.82 69.02 76.32 31.92 16.32 7.92
6.02 1.62 9.92 11.62 33.32 43.12 126.12 63.92 55.52 36.62 8.52 18.32
23.92 8.52 10.62 12.82 24.92 63.92 116.02 90.62 88.52 41.12 41.62 1.42
14.62 7.72 13.82 33.42 40.52 53.22 59.52 29.52 38.82 46.62 20.92 23.02
5.62 9.62 27.62 16.82 34.92 32.42 78.32 78.22 37.72 22.12 11.32 7.42
3.42 1.92 10.02 15.32 15.72 68.02 54.12 45.92 38.02 20.52 22.02 2.92
18.82 9.02 7.52 14.32 28.22 31.32 30.12 30.02 42.42 32.72 18.22 19.52
27.32 1.02 10.22 15.72 30.82 61.82 61.52 65.92 47.82 41.92 42.92 11.82
