"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
11.33 19.43 5.03 16.23 21.53 33.43 27.53 52.83 40.23 23.63 22.93 21.63
8.63 6.13 19.33 15.23 39.83 47.03 30.63 28.13 52.73 26.83 31.13 18.73
15.73 16.93 20.93 16.43 25.83 31.63 74.03 20.53 43.13 30.53 21.23 18.53
19.33 16.43 12.63 13.63 30.53 39.23 71.23 70.03 83.43 34.83 21.13 16.13
7.73 11.73 2.53 8.13 17.03 31.13 45.73 68.63 55.23 28.33 32.23 20.63
18.23 11.03 14.93 31.63 28.13 31.83 34.13 91.73 41.23 32.53 14.23 20.83
19.93 16.43 4.03 23.53 44.73 63.53 71.73 112.53 54.43 25.13 35.03 27.93
14.13 14.23 20.13 18.23 13.83 88.73 80.53 71.73 47.53 39.23 26.43 21.93
15.23 18.13 10.43 19.73 22.63 43.23 53.53 66.33 32.03 23.73 17.83 18.03
12.73 0.53 9.73 33.83 40.83 39.33 44.83 42.43 34.03 35.83 17.23 22.73
12.43 9.73 13.43 23.53 15.83 28.93 124.63 46.13 55.33 61.23 19.43 8.83
21.43 13.93 10.63 13.63 33.43 36.73 77.53 45.33 11.73 24.53 18.63 26.03
21.43 8.73 7.53 34.53 30.83 36.53 45.53 43.73 42.43 45.93 25.03 25.93
18.43 11.03 16.63 12.43 31.93 48.53 56.93 42.03 31.23 31.93 25.63 16.43
14.13 19.33 19.83 13.13 26.63 48.93 49.43 49.03 46.53 32.13 17.63 29.13
18.51 4.31 13.61 10.61 17.21 92.01 60.31 25.21 59.81 40.31 21.81 6.61
17.01 13.01 12.31 13.31 23.01 53.11 60.51 58.21 50.61 56.91 22.41 12.21
10.01 3.81 10.31 12.01 32.91 38.61 28.41 71.41 58.81 34.31 20.31 8.51
12.81 9.11 9.81 16.61 42.71 40.21 30.21 61.21 25.71 27.51 23.21 17.51
6.61 13.31 10.41 24.11 36.91 63.01 28.41 61.71 43.71 21.41 12.81 11.81
11.91 12.61 10.11 11.01 18.41 22.51 56.31 39.81 64.01 29.51 19.71 14.61
9.61 8.51 13.21 9.01 13.61 48.41 88.61 15.11 54.91 37.71 9.81 8.11
6.91 10.71 21.41 37.01 47.61 60.81 40.41 77.51 47.41 19.91 26.81 13.51
17.81 14.91 6.21 37.81 32.01 63.71 89.41 81.71 58.51 33.41 12.01 10.81
