"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-19.33 -22.73 -18.23 -5.73 1.47 12.77 18.97 12.07 7.57 -2.23 -11.73 -14.33
-20.83 -27.53 -16.83 -5.53 2.57 11.97 13.27 11.77 8.27 -6.23 -10.93 -17.93
-22.03 -21.83 -11.43 -4.63 1.77 11.17 16.37 14.57 7.07 -3.93 -11.23 -10.93
-23.63 -20.33 -15.83 -9.33 3.37 10.37 12.47 16.67 7.97 -1.63 -12.73 -12.33
-20.23 -13.63 -16.13 -3.23 6.17 14.57 19.97 14.27 7.77 -2.93 -13.03 -24.43
-16.88 -15.08 -4.98 -5.78 1.52 11.82 18.62 14.42 7.52 -0.68 -11.78 -17.18
-15.08 -11.58 -13.28 -1.08 6.92 11.42 19.12 12.42 10.02 -2.78 -8.38 -18.78
-20.68 -17.08 -22.48 -5.48 4.12 12.52 17.02 13.82 7.62 1.12 -12.48 -22.78
-24.88 -18.78 -17.58 -10.58 1.22 10.62 18.22 13.02 8.32 -0.48 -17.88 -14.48
-19.58 -21.38 -10.48 -5.28 0.82 11.62 17.42 13.12 7.02 -3.28 -19.78 -15.78
-20.48 -30.88 -17.78 -7.68 2.92 9.72 16.82 13.02 7.92 -5.78 -8.58 -18.48
-22.28 -16.98 -4.18 1.52 3.02 11.72 18.02 14.42 7.52 2.82 -3.88 -13.68
-23.38 -16.18 -6.98 -7.88 3.12 9.12 12.92 12.92 5.32 -3.08 -21.68 -26.18
-27.48 -24.48 -15.58 -7.58 -2.18 8.32 16.62 10.72 7.22 -3.48 -6.58 -16.48
-23.78 -18.78 -8.78 -7.18 -0.18 8.62 15.92 11.12 9.82 -2.68 -13.08 -16.18
-19.48 -24.68 -13.68 -9.68 1.92 9.22 15.32 12.72 8.42 -4.28 -7.98 -16.08
-24.88 -16.28 -13.68 -3.78 -1.38 11.12 15.52 13.12 5.32 -0.38 -17.88 -15.68
-24.38 -14.58 -11.78 -2.08 3.82 12.42 14.92 14.42 5.52 -2.18 -10.18 -17.58
-22.48 -23.58 -9.18 -5.98 1.12 11.32 19.62 14.12 9.22 -2.88 -20.68 -9.48
-17.88 -19.28 -9.88 -3.08 1.92 10.22 15.12 12.62 9.32 -3.38 -11.38 -14.58
-22.26 -20.56 -11.66 -1.56 2.24 11.54 16.44 15.04 7.64 -8.36 -8.86 -14.26
-22.76 -27.96 -15.66 -1.36 6.54 14.74 16.94 13.14 7.64 -8.86 -5.96 -17.86
-18.06 -19.76 -12.06 -11.46 -0.76 7.24 14.84 10.74 6.84 -1.16 -10.06 -25.86
-24.96 -25.36 -15.96 -9.86 3.54 8.64 15.94 13.04 9.64 -4.46 -9.16 -19.36
-23.86 -19.06 -13.26 -3.96 2.34 11.34 12.84 10.24 7.94 -0.86 -13.16 -15.46
-11.66 -15.96 -16.16 -7.06 0.44 13.04 15.54 17.14 8.04 3.04 -6.86 -11.46
-24.46 -22.16 -16.66 -1.76 5.24 11.24 17.54 11.24 7.24 -6.76 -9.06 -10.96
-15.66 -18.56 -11.36 -6.46 -0.36 11.84 17.04 12.34 8.14 0.54 -11.16 -15.16
-12.96 -12.76 -7.96 -12.06 2.74 11.94 17.24 13.14 7.44 -3.56 -18.86 -16.96
-26.26 -27.76 -9.76 -6.86 -0.36 11.94 14.24 12.94 9.44 -0.56 -12.36 -22.16
-18.96 -22.66 -8.06 -4.66 0.04 10.34 13.94 11.24 5.14 0.44 -5.36 -25.96
-24.36 -20.06 -11.56 -10.06 4.24 10.24 17.74 11.94 7.74 1.94 -15.16 -19.16
-17.26 -19.76 -7.66 -9.26 2.54 11.64 17.54 13.84 7.64 -0.66 -13.06 -14.06
-23.26 -16.46 -5.86 -8.66 5.24 15.44 18.44 13.64 7.84 -0.46 -11.46 -19.66
-25.86 -15.46 -9.96 -0.56 2.94 13.34 20.44 13.44 6.24 -3.86 -18.16 -17.06
-22.44 -20.74 -11.84 -1.74 2.06 11.36 16.26 14.86 7.46 -8.54 -9.04 -14.44
-22.94 -28.14 -15.84 -1.54 6.36 14.56 16.76 12.96 7.46 -9.04 -6.14 -18.04
-18.24 -19.94 -12.24 -11.64 -0.94 7.06 14.66 10.56 6.66 -1.34 -10.24 -26.04
-25.14 -25.54 -16.14 -10.04 3.36 8.46 15.76 12.86 9.46 -4.64 -9.34 -19.54
-24.04 -19.24 -13.44 -4.14 2.16 11.16 12.66 10.06 7.76 -1.04 -13.34 -15.64
-11.84 -16.14 -16.34 -7.24 0.26 12.86 15.36 16.96 7.86 2.86 -7.04 -11.64
-24.64 -22.34 -16.84 -1.94 5.06 11.06 17.36 11.06 7.06 -6.94 -9.24 -11.14
-15.84 -18.74 -11.54 -6.64 -0.54 11.66 16.86 12.16 7.96 0.36 -11.34 -15.34
