"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-26.05 -24.35 -15.45 -5.35 -1.55 7.75 12.65 11.25 3.85 -12.15 -12.65 -18.05
-26.55 -31.75 -19.45 -5.15 2.75 10.95 13.15 9.35 3.85 -12.65 -9.75 -21.65
-21.85 -23.55 -15.85 -15.25 -4.55 3.45 11.05 6.95 3.05 -4.95 -13.85 -29.65
-28.75 -29.15 -19.75 -13.65 -0.25 4.85 12.15 9.25 5.85 -8.25 -12.95 -23.15
-27.65 -22.85 -17.05 -7.75 -1.45 7.55 9.05 6.45 4.15 -4.65 -16.95 -19.25
-15.45 -19.75 -19.95 -10.85 -3.35 9.25 11.75 13.35 4.25 -0.75 -10.65 -15.25
-28.25 -25.95 -20.45 -5.55 1.45 7.45 13.75 7.45 3.45 -10.55 -12.85 -14.75
-19.45 -22.35 -15.15 -10.25 -4.15 8.05 13.25 8.55 4.35 -3.25 -14.95 -18.95
-16.75 -16.55 -11.75 -15.85 -1.05 8.15 13.45 9.35 3.65 -7.35 -22.65 -20.75
-30.05 -31.55 -13.55 -10.65 -4.15 8.15 10.45 9.15 5.65 -4.35 -16.15 -25.95
-22.75 -26.45 -11.85 -8.45 -3.75 6.55 10.15 7.45 1.35 -3.35 -9.15 -29.75
-28.15 -23.85 -15.35 -13.85 0.45 6.45 13.95 8.15 3.95 -1.85 -18.95 -22.95
-21.05 -23.55 -11.45 -13.05 -1.25 7.85 13.75 10.05 3.85 -4.45 -16.85 -17.85
-27.05 -20.25 -9.65 -12.45 1.45 11.65 14.65 9.85 4.05 -4.25 -15.25 -23.45
-29.65 -19.25 -13.75 -4.35 -0.85 9.55 16.65 9.65 2.45 -7.65 -21.95 -20.85
-23.79 -22.79 -19.69 -10.39 -1.79 8.31 12.51 11.41 4.51 -3.69 -14.59 -23.09
-19.79 -26.49 -20.09 -6.09 -2.39 5.11 11.01 11.51 5.61 -4.39 -17.29 -23.79
-25.09 -26.09 -23.19 -9.69 -4.59 4.21 13.71 6.91 1.71 -3.99 -18.89 -29.19
-16.39 -18.39 -17.69 -11.69 -0.39 6.11 9.41 9.31 0.21 -4.39 -9.69 -19.29
-21.09 -15.39 -15.39 -13.19 -2.79 6.41 11.11 8.11 3.11 -7.99 -13.69 -19.19
-24.79 -26.49 -18.99 -8.19 -2.49 8.31 11.71 9.81 3.81 -4.99 -10.39 -14.69
-18.29 -17.69 -20.69 -11.19 -3.49 8.31 10.61 8.61 3.21 -3.29 -13.19 -24.89
-22.69 -25.39 -14.29 -6.09 -0.19 8.01 12.11 9.21 4.61 -7.59 -14.09 -26.09
-23.99 -21.29 -17.29 -9.69 -4.39 7.71 11.11 6.11 0.01 -6.39 -11.59 -19.49
-33.79 -21.99 -20.19 -8.39 -4.89 6.01 12.21 12.31 5.61 -9.29 -13.09 -28.09
-30.99 -25.29 -24.69 -14.29 -1.59 5.91 7.51 9.31 2.71 -4.89 -15.69 -27.39
-27.79 -21.09 -26.59 -10.79 -1.69 9.01 12.01 8.81 4.01 -7.99 -14.89 -18.79
-27.79 -16.29 -16.39 -4.59 1.61 8.21 13.31 10.01 4.91 -4.89 -11.09 -19.49
-18.79 -18.49 -16.79 -8.19 -1.19 6.11 10.21 7.51 4.61 -2.29 -13.79 -17.39
-20.99 -24.99 -21.89 -9.19 -1.89 8.61 9.41 11.81 4.51 -5.79 -19.59 -28.59
-26.15 -18.75 -14.25 -7.65 -1.05 6.95 11.05 7.85 0.95 -4.85 -18.35 -28.15
-28.65 -22.95 -25.65 -12.55 -4.55 5.35 15.85 10.25 3.05 -12.15 -25.55 -28.35
-25.45 -19.05 -14.65 -7.65 -2.65 5.55 11.45 10.15 3.65 -7.05 -15.35 -19.25
-19.75 -27.45 -12.75 -6.45 0.75 8.85 11.75 11.05 3.55 -2.05 -14.15 -24.35
-23.55 -18.45 -14.95 -9.95 -0.65 4.85 11.95 9.65 5.05 -3.85 -14.75 -18.35
-27.25 -23.05 -15.75 -6.35 0.25 8.75 11.95 10.95 3.65 -3.65 -16.15 -18.25
-30.05 -18.35 -11.45 -4.65 -3.95 6.25 13.45 12.25 5.95 -5.55 -19.75 -29.25
-29.65 -18.85 -20.05 -7.65 -1.35 7.35 11.35 9.85 4.25 -6.75 -17.85 -26.45
-23.85 -18.25 -17.95 -12.65 -3.45 7.85 13.35 9.35 5.25 -3.15 -12.25 -20.05
-22.45 -14.95 -19.95 -10.05 -0.05 6.15 13.35 9.05 4.45 -8.35 -18.85 -20.95
-23.35 -26.75 -22.25 -9.75 -2.55 8.75 14.95 8.05 3.55 -6.25 -15.75 -18.35
-24.85 -31.55 -20.85 -9.55 -1.45 7.95 9.25 7.75 4.25 -10.25 -14.95 -21.95
-26.05 -25.85 -15.45 -8.65 -2.25 7.15 12.35 10.55 3.05 -7.95 -15.25 -14.95
-27.65 -24.35 -19.85 -13.35 -0.65 6.35 8.45 12.65 3.95 -5.65 -16.75 -16.35
-24.25 -17.65 -20.15 -7.25 2.15 10.55 15.95 10.25 3.75 -6.95 -17.05 -28.45
-21.65 -25.15 -17.35 -8.55 -2.85 4.05 10.95 11.55 3.05 -7.65 -14.55 -19.95
-22.55 -28.15 -17.15 -6.95 -1.75 7.15 8.55 9.85 4.55 -1.85 -15.45 -20.85
-22.25 -23.35 -18.65 -7.25 2.65 8.65 10.65 8.75 5.85 -2.25 -9.65 -24.25
-16.35 -28.45 -15.85 -5.45 -1.85 5.55 8.45 11.35 1.85 -4.05 -15.75 -21.65
-29.85 -23.75 -12.55 -4.85 -0.35 8.05 10.75 8.55 4.95 -2.55 -14.85 -16.85
-23.45 -27.15 -17.75 -1.95 -1.65 6.35 12.35 9.75 5.35 -2.25 -13.95 -16.15
-20.15 -18.75 -23.95 -10.45 -3.65 7.25 13.45 8.35 5.45 -7.85 -19.35 -25.55
-23.85 -24.35 -19.55 -2.25 0.15 9.35 13.45 12.65 1.55 -4.85 -19.55 -14.05
-21.35 -26.45 -15.15 -6.45 -0.35 8.75 15.15 9.05 5.05 -2.35 -15.45 -17.15
-16.05 -28.25 -22.65 -6.05 1.65 8.65 12.55 7.95 3.45 -1.65 -18.55 -30.55
-22.65 -25.25 -11.75 -14.65 0.45 8.55 12.85 10.85 1.05 -7.25 -18.75 -18.45
-22.05 -21.25 -25.65 -9.45 1.15 8.45 13.75 13.05 6.05 -5.85 -22.15 -23.25
-21.25 -23.15 -25.35 -12.65 -4.15 6.75 10.75 8.15 0.25 -4.35 -13.35 -31.05
