"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
12.95 14.45 17.85 27.25 27.45 35.95 33.45 53.45 36.25 38.75 28.25 31.65
15.95 18.15 10.15 31.15 24.75 38.85 74.15 50.05 25.55 16.15 17.95 20.75
14.55 7.85 25.25 23.05 36.25 31.05 52.05 61.35 72.65 22.65 30.75 32.65
14.25 9.95 11.35 13.45 33.75 26.85 57.85 66.45 51.55 28.75 17.05 13.65
16.05 16.15 19.45 25.85 45.35 87.35 74.95 67.55 59.45 20.45 19.35 15.25
15.17 19.77 10.87 12.97 24.77 28.87 53.77 51.57 31.37 12.97 23.87 14.87
15.87 13.47 12.87 14.67 20.97 77.47 43.27 94.77 64.77 14.47 11.17 19.37
11.87 19.97 15.47 4.97 16.47 63.57 43.67 36.17 52.97 36.17 20.07 22.37
18.87 7.37 6.57 15.17 70.27 41.87 108.37 62.07 44.77 12.47 18.07 20.07
9.17 17.07 11.47 12.57 51.57 41.27 70.37 86.87 47.37 36.97 26.77 19.97
8.67 5.87 16.67 21.27 40.37 75.37 43.47 115.47 48.67 9.47 27.77 19.17
12.77 8.87 17.57 10.67 14.27 9.87 38.47 16.97 17.77 18.57 6.17 6.37
17.37 8.97 15.07 9.37 54.67 16.97 22.47 40.77 62.97 16.47 13.17 8.57
11.87 8.97 10.97 6.97 7.07 40.97 136.47 91.37 35.57 12.77 22.77 15.97
13.37 6.57 31.67 10.07 14.37 12.57 97.57 59.07 62.87 18.17 18.17 17.07
12.87 14.37 17.77 27.17 27.37 35.87 33.37 53.37 36.17 38.67 28.17 31.57
15.87 18.07 10.07 31.07 24.67 38.77 74.07 49.97 25.47 16.07 17.87 20.67
14.47 7.77 25.17 22.97 36.17 30.97 51.97 61.27 72.57 22.57 30.67 32.57
14.17 9.87 11.27 13.37 33.67 26.77 57.77 66.37 51.47 28.67 16.97 13.57
15.97 16.07 19.37 25.77 45.27 87.27 74.87 67.47 59.37 20.37 19.27 15.17
16.48 11.28 5.38 6.68 47.28 36.88 27.98 75.78 56.08 23.28 22.78 14.18
12.68 4.58 8.58 21.38 29.88 22.48 62.78 43.08 59.58 43.28 13.68 12.48
15.58 7.68 7.38 7.38 16.78 58.28 102.08 62.08 47.38 40.58 13.18 19.78
17.78 13.28 16.88 22.98 50.78 18.38 29.78 50.08 39.88 39.28 20.38 19.38
17.18 11.98 14.28 20.78 37.98 55.28 50.88 61.68 45.28 26.78 13.98 15.38
16.08 12.88 12.88 20.48 40.38 57.58 91.98 54.38 56.58 31.48 18.58 14.58
11.68 13.58 23.28 9.68 29.48 38.48 80.58 108.28 37.48 29.68 26.98 27.98
14.08 11.28 14.48 6.78 34.18 41.98 87.28 86.78 58.78 39.08 10.28 17.58
7.08 3.58 20.18 17.88 35.18 56.68 123.18 60.98 35.88 17.08 30.48 10.38
17.38 14.28 11.78 21.28 20.98 40.68 21.58 69.28 48.08 30.18 21.08 13.48
9.98 6.48 8.48 8.88 13.38 31.38 52.98 101.48 33.08 29.18 20.08 10.68
