"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
19.53 21.03 24.43 33.83 34.03 42.53 40.03 60.03 42.83 45.33 34.83 38.23
22.53 24.73 16.73 37.73 31.33 45.43 80.73 56.63 32.13 22.73 24.53 27.33
21.13 14.43 31.83 29.63 42.83 37.63 58.63 67.93 79.23 29.23 37.33 39.23
20.83 16.53 17.93 20.03 40.33 33.43 64.43 73.03 58.13 35.33 23.63 20.23
22.63 22.73 26.03 32.43 51.93 93.93 81.53 74.13 66.03 27.03 25.93 21.83
27.64 19.84 22.14 27.14 45.24 47.34 15.54 43.14 44.44 30.44 35.34 29.84
28.84 20.04 21.84 24.94 43.34 69.24 46.34 65.74 53.84 42.14 26.54 30.94
12.84 25.34 8.94 13.94 31.84 63.04 55.04 86.24 53.24 29.84 26.54 15.54
25.04 10.24 17.34 15.54 25.64 32.24 65.54 83.74 79.94 36.24 19.24 12.24
11.44 6.64 16.44 19.44 42.24 53.64 133.04 74.84 63.54 38.64 12.24 21.64
28.74 10.24 16.64 16.74 38.84 75.84 132.84 93.84 90.74 43.24 46.04 8.54
18.84 14.84 23.64 42.04 48.24 58.74 58.44 33.24 44.24 50.44 24.74 25.74
10.04 13.34 37.44 24.94 47.94 42.74 91.74 94.34 39.34 24.94 15.74 13.24
10.04 7.94 19.64 23.34 27.54 79.14 65.14 49.44 45.24 22.84 26.94 9.14
22.04 12.64 14.04 20.14 38.34 42.74 36.14 35.94 45.44 35.74 22.94 23.94
31.24 5.94 16.24 22.34 36.94 64.04 74.74 81.34 49.24 40.64 44.74 15.44
22.04 26.24 15.14 38.84 39.74 22.14 50.84 74.34 31.64 37.14 30.34 31.94
24.94 16.24 25.44 31.14 28.74 54.54 52.64 53.84 46.44 47.24 32.94 21.14
14.64 13.34 22.14 25.54 24.14 22.24 39.74 36.44 67.84 34.94 11.84 28.74
20.34 18.34 21.14 41.54 51.34 101.04 78.84 80.54 62.34 35.14 25.74 16.54
14.01 24.21 14.11 25.21 31.31 39.71 34.21 60.81 42.81 31.11 29.61 29.31
14.01 10.91 25.21 22.51 47.21 57.91 38.81 33.21 60.41 30.81 34.31 24.91
19.91 21.11 29.11 23.11 31.41 34.31 79.21 25.81 40.61 29.41 23.61 22.91
26.91 22.21 18.31 20.41 38.71 50.01 79.91 79.51 84.61 37.71 26.61 20.31
14.21 16.51 9.81 15.91 26.61 42.21 55.51 73.61 57.21 35.31 32.21 24.41
23.31 16.21 21.01 40.61 36.41 41.11 36.31 95.11 46.31 38.71 19.01 25.81
23.71 19.01 10.91 32.71 48.11 70.71 85.11 131.91 58.31 29.81 35.31 30.11
17.91 17.51 25.01 25.71 21.11 100.61 89.71 84.81 50.51 40.51 32.61 25.61
21.01 25.61 18.31 28.31 33.41 53.71 57.91 79.61 35.21 28.21 22.11 26.51
15.81 6.71 19.51 40.71 51.01 49.11 46.41 49.61 40.21 39.91 22.21 23.91
17.41 14.41 22.31 31.11 23.11 34.71 127.41 51.61 60.01 61.11 22.81 14.01
26.91 17.31 19.01 18.91 40.31 49.61 86.71 58.91 14.71 30.51 21.81 29.41
26.11 13.41 14.51 40.31 42.91 47.11 55.11 47.51 46.51 51.21 29.61 31.41
22.01 16.31 26.61 22.51 39.71 66.31 71.91 49.21 43.51 37.61 31.11 22.11
17.31 21.61 24.81 19.61 33.51 57.11 57.91 55.51 51.91 34.51 20.61 36.11
13.83 24.03 13.93 25.03 31.13 39.53 34.03 60.63 42.63 30.93 29.43 29.13
13.83 10.73 25.03 22.33 47.03 57.73 38.63 33.03 60.23 30.63 34.13 24.73
19.73 20.93 28.93 22.93 31.23 34.13 79.03 25.63 40.43 29.23 23.43 22.73
26.73 22.03 18.13 20.23 38.53 49.83 79.73 79.33 84.43 37.53 26.43 20.13
14.03 16.33 9.63 15.73 26.43 42.03 55.33 73.43 57.03 35.13 32.03 24.23
23.13 16.03 20.83 40.43 36.23 40.93 36.13 94.93 46.13 38.53 18.83 25.63
23.53 18.83 10.73 32.53 47.93 70.53 84.93 131.73 58.13 29.63 35.13 29.93
17.73 17.33 24.83 25.53 20.93 100.43 89.53 84.63 50.33 40.33 32.43 25.43
20.83 25.43 18.13 28.13 33.23 53.53 57.73 79.43 35.03 28.03 21.93 26.33
15.63 6.53 19.33 40.53 50.83 48.93 46.23 49.43 40.03 39.73 22.03 23.73
17.23 14.23 22.13 30.93 22.93 34.53 127.23 51.43 59.83 60.93 22.63 13.83
26.73 17.13 18.83 18.73 40.13 49.43 86.53 58.73 14.53 30.33 21.63 29.23
25.93 13.23 14.33 40.13 42.73 46.93 54.93 47.33 46.33 51.03 29.43 31.23
21.83 16.13 26.43 22.33 39.53 66.13 71.73 49.03 43.33 37.43 30.93 21.93
17.13 21.43 24.63 19.43 33.33 56.93 57.73 55.33 51.73 34.33 20.43 35.93
22.13 16.93 11.03 12.33 52.93 42.53 33.63 81.43 61.73 28.93 28.43 19.83
18.33 10.23 14.23 27.03 35.53 28.13 68.43 48.73 65.23 48.93 19.33 18.13
21.23 13.33 13.03 13.03 22.43 63.93 107.73 67.73 53.03 46.23 18.83 25.43
23.43 18.93 22.53 28.63 56.43 24.03 35.43 55.73 45.53 44.93 26.03 25.03
22.83 17.63 19.93 26.43 43.63 60.93 56.53 67.33 50.93 32.43 19.63 21.03
21.73 18.53 18.53 26.13 46.03 63.23 97.63 60.03 62.23 37.13 24.23 20.23
17.33 19.23 28.93 15.33 35.13 44.13 86.23 113.93 43.13 35.33 32.63 33.63
19.73 16.93 20.13 12.43 39.83 47.63 92.93 92.43 64.43 44.73 15.93 23.23
12.73 9.23 25.83 23.53 40.83 62.33 128.83 66.63 41.53 22.73 36.13 16.03
23.03 19.93 17.43 26.93 26.63 46.33 27.23 74.93 53.73 35.83 26.73 19.13
15.63 12.13 14.13 14.53 19.03 37.03 58.63 107.13 38.73 34.83 25.73 16.33
