"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
18.32 19.82 23.22 32.62 32.82 41.32 38.82 58.82 41.62 44.12 33.62 37.02
21.32 23.52 15.52 36.52 30.12 44.22 79.52 55.42 30.92 21.52 23.32 26.12
19.92 13.22 30.62 28.42 41.62 36.42 57.42 66.72 78.02 28.02 36.12 38.02
19.62 15.32 16.72 18.82 39.12 32.22 63.22 71.82 56.92 34.12 22.42 19.02
21.42 21.52 24.82 31.22 50.72 92.72 80.32 72.92 64.82 25.82 24.72 20.62
26.44 18.64 20.94 25.94 44.04 46.14 14.34 41.94 43.24 29.24 34.14 28.64
27.64 18.84 20.64 23.74 42.14 68.04 45.14 64.54 52.64 40.94 25.34 29.74
11.64 24.14 7.74 12.74 30.64 61.84 53.84 85.04 52.04 28.64 25.34 14.34
23.84 9.04 16.14 14.34 24.44 31.04 64.34 82.54 78.74 35.04 18.04 11.04
10.24 5.44 15.24 18.24 41.04 52.44 131.84 73.64 62.34 37.44 11.04 20.44
27.54 9.04 15.44 15.54 37.64 74.64 131.64 92.64 89.54 42.04 44.84 7.34
17.64 13.64 22.44 40.84 47.04 57.54 57.24 32.04 43.04 49.24 23.54 24.54
8.84 12.14 36.24 23.74 46.74 41.54 90.54 93.14 38.14 23.74 14.54 12.04
8.84 6.74 18.44 22.14 26.34 77.94 63.94 48.24 44.04 21.64 25.74 7.94
20.84 11.44 12.84 18.94 37.14 41.54 34.94 34.74 44.24 34.54 21.74 22.74
30.04 4.74 15.04 21.14 35.74 62.84 73.54 80.14 48.04 39.44 43.54 14.24
20.84 25.04 13.94 37.64 38.54 20.94 49.64 73.14 30.44 35.94 29.14 30.74
23.74 15.04 24.24 29.94 27.54 53.34 51.44 52.64 45.24 46.04 31.74 19.94
13.44 12.14 20.94 24.34 22.94 21.04 38.54 35.24 66.64 33.74 10.64 27.54
19.14 17.14 19.94 40.34 50.14 99.84 77.64 79.34 61.14 33.94 24.54 15.34
12.81 23.01 12.91 24.01 30.11 38.51 33.01 59.61 41.61 29.91 28.41 28.11
12.81 9.71 24.01 21.31 46.01 56.71 37.61 32.01 59.21 29.61 33.11 23.71
18.71 19.91 27.91 21.91 30.21 33.11 78.01 24.61 39.41 28.21 22.41 21.71
25.71 21.01 17.11 19.21 37.51 48.81 78.71 78.31 83.41 36.51 25.41 19.11
13.01 15.31 8.61 14.71 25.41 41.01 54.31 72.41 56.01 34.11 31.01 23.21
22.11 15.01 19.81 39.41 35.21 39.91 35.11 93.91 45.11 37.51 17.81 24.61
22.51 17.81 9.71 31.51 46.91 69.51 83.91 130.71 57.11 28.61 34.11 28.91
16.71 16.31 23.81 24.51 19.91 99.41 88.51 83.61 49.31 39.31 31.41 24.41
19.81 24.41 17.11 27.11 32.21 52.51 56.71 78.41 34.01 27.01 20.91 25.31
14.61 5.51 18.31 39.51 49.81 47.91 45.21 48.41 39.01 38.71 21.01 22.71
16.21 13.21 21.11 29.91 21.91 33.51 126.21 50.41 58.81 59.91 21.61 12.81
25.71 16.11 17.81 17.71 39.11 48.41 85.51 57.71 13.51 29.31 20.61 28.21
24.91 12.21 13.31 39.11 41.71 45.91 53.91 46.31 45.31 50.01 28.41 30.21
20.81 15.11 25.41 21.31 38.51 65.11 70.71 48.01 42.31 36.41 29.91 20.91
16.11 20.41 23.61 18.41 32.31 55.91 56.71 54.31 50.71 33.31 19.41 34.91
12.65 22.85 12.75 23.85 29.95 38.35 32.85 59.45 41.45 29.75 28.25 27.95
12.65 9.55 23.85 21.15 45.85 56.55 37.45 31.85 59.05 29.45 32.95 23.55
18.55 19.75 27.75 21.75 30.05 32.95 77.85 24.45 39.25 28.05 22.25 21.55
25.55 20.85 16.95 19.05 37.35 48.65 78.55 78.15 83.25 36.35 25.25 18.95
12.85 15.15 8.45 14.55 25.25 40.85 54.15 72.25 55.85 33.95 30.85 23.05
21.95 14.85 19.65 39.25 35.05 39.75 34.95 93.75 44.95 37.35 17.65 24.45
22.35 17.65 9.55 31.35 46.75 69.35 83.75 130.55 56.95 28.45 33.95 28.75
16.55 16.15 23.65 24.35 19.75 99.25 88.35 83.45 49.15 39.15 31.25 24.25
19.65 24.25 16.95 26.95 32.05 52.35 56.55 78.25 33.85 26.85 20.75 25.15
14.45 5.35 18.15 39.35 49.65 47.75 45.05 48.25 38.85 38.55 20.85 22.55
16.05 13.05 20.95 29.75 21.75 33.35 126.05 50.25 58.65 59.75 21.45 12.65
25.55 15.95 17.65 17.55 38.95 48.25 85.35 57.55 13.35 29.15 20.45 28.05
24.75 12.05 13.15 38.95 41.55 45.75 53.75 46.15 45.15 49.85 28.25 30.05
20.65 14.95 25.25 21.15 38.35 64.95 70.55 47.85 42.15 36.25 29.75 20.75
15.95 20.25 23.45 18.25 32.15 55.75 56.55 54.15 50.55 33.15 19.25 34.75
21.06 15.86 9.96 11.26 51.86 41.46 32.56 80.36 60.66 27.86 27.36 18.76
17.26 9.16 13.16 25.96 34.46 27.06 67.36 47.66 64.16 47.86 18.26 17.06
20.16 12.26 11.96 11.96 21.36 62.86 106.66 66.66 51.96 45.16 17.76 24.36
22.36 17.86 21.46 27.56 55.36 22.96 34.36 54.66 44.46 43.86 24.96 23.96
21.76 16.56 18.86 25.36 42.56 59.86 55.46 66.26 49.86 31.36 18.56 19.96
20.66 17.46 17.46 25.06 44.96 62.16 96.56 58.96 61.16 36.06 23.16 19.16
16.26 18.16 27.86 14.26 34.06 43.06 85.16 112.86 42.06 34.26 31.56 32.56
18.66 15.86 19.06 11.36 38.76 46.56 91.86 91.36 63.36 43.66 14.86 22.16
11.66 8.16 24.76 22.46 39.76 61.26 127.76 65.56 40.46 21.66 35.06 14.96
21.96 18.86 16.36 25.86 25.56 45.26 26.16 73.86 52.66 34.76 25.66 18.06
14.56 11.06 13.06 13.46 17.96 35.96 57.56 106.06 37.66 33.76 24.66 15.26
9.66 10.26 14.86 25.66 47.76 34.26 43.46 56.66 88.96 27.96 20.36 11.76
15.26 14.06 12.76 12.96 27.06 37.16 48.76 39.16 48.76 28.16 16.56 17.26
14.26 13.66 21.66 30.26 29.56 80.26 77.76 84.26 41.56 45.96 20.06 15.36
15.46 11.36 18.96 32.06 30.06 66.06 45.66 34.86 57.16 21.96 17.46 13.96
21.17 15.97 10.07 11.37 51.97 41.57 32.67 80.47 60.77 27.97 27.47 18.87
17.37 9.27 13.27 26.07 34.57 27.17 67.47 47.77 64.27 47.97 18.37 17.17
20.27 12.37 12.07 12.07 21.47 62.97 106.77 66.77 52.07 45.27 17.87 24.47
22.47 17.97 21.57 27.67 55.47 23.07 34.47 54.77 44.57 43.97 25.07 24.07
21.87 16.67 18.97 25.47 42.67 59.97 55.57 66.37 49.97 31.47 18.67 20.07
20.77 17.57 17.57 25.17 45.07 62.27 96.67 59.07 61.27 36.17 23.27 19.27
16.37 18.27 27.97 14.37 34.17 43.17 85.27 112.97 42.17 34.37 31.67 32.67
18.77 15.97 19.17 11.47 38.87 46.67 91.97 91.47 63.47 43.77 14.97 22.27
11.77 8.27 24.87 22.57 39.87 61.37 127.87 65.67 40.57 21.77 35.17 15.07
22.07 18.97 16.47 25.97 25.67 45.37 26.27 73.97 52.77 34.87 25.77 18.17
14.67 11.17 13.17 13.57 18.07 36.07 57.67 106.17 37.77 33.87 24.77 15.37
9.77 10.37 14.97 25.77 47.87 34.37 43.57 56.77 89.07 28.07 20.47 11.87
15.37 14.17 12.87 13.07 27.17 37.27 48.87 39.27 48.87 28.27 16.67 17.37
14.37 13.77 21.77 30.37 29.67 80.37 77.87 84.37 41.67 46.07 20.17 15.47
15.57 11.47 19.07 32.17 30.17 66.17 45.77 34.97 57.27 22.07 17.57 14.07
19.73 24.33 15.43 17.53 29.33 33.43 58.33 56.13 35.93 17.53 28.43 19.43
20.43 18.03 17.43 19.23 25.53 82.03 47.83 99.33 69.33 19.03 15.73 23.93
16.43 24.53 20.03 9.53 21.03 68.13 48.23 40.73 57.53 40.73 24.63 26.93
23.43 11.93 11.13 19.73 74.83 46.43 112.93 66.63 49.33 17.03 22.63 24.63
13.73 21.63 16.03 17.13 56.13 45.83 74.93 91.43 51.93 41.53 31.33 24.53
13.23 10.43 21.23 25.83 44.93 79.93 48.03 120.03 53.23 14.03 32.33 23.73
17.33 13.43 22.13 15.23 18.83 14.43 43.03 21.53 22.33 23.13 10.73 10.93
21.93 13.53 19.63 13.93 59.23 21.53 27.03 45.33 67.53 21.03 17.73 13.13
16.43 13.53 15.53 11.53 11.63 45.53 141.03 95.93 40.13 17.33 27.33 20.53
17.93 11.13 36.23 14.63 18.93 17.13 102.13 63.63 67.43 22.73 22.73 21.63
17.43 18.93 22.33 31.73 31.93 40.43 37.93 57.93 40.73 43.23 32.73 36.13
20.43 22.63 14.63 35.63 29.23 43.33 78.63 54.53 30.03 20.63 22.43 25.23
19.03 12.33 29.73 27.53 40.73 35.53 56.53 65.83 77.13 27.13 35.23 37.13
18.73 14.43 15.83 17.93 38.23 31.33 62.33 70.93 56.03 33.23 21.53 18.13
20.53 20.63 23.93 30.33 49.83 91.83 79.43 72.03 63.93 24.93 23.83 19.73
25.4 17.6 19.9 24.9 43 45.1 13.3 40.9 42.2 28.2 33.1 27.6
26.6 17.8 19.6 22.7 41.1 67 44.1 63.5 51.6 39.9 24.3 28.7
10.6 23.1 6.7 11.7 29.6 60.8 52.8 84 51 27.6 24.3 13.3
22.8 8 15.1 13.3 23.4 30 63.3 81.5 77.7 34 17 10
9.2 4.4 14.2 17.2 40 51.4 130.8 72.6 61.3 36.4 10 19.4
26.5 8 14.4 14.5 36.6 73.6 130.6 91.6 88.5 41 43.8 6.3
16.6 12.6 21.4 39.8 46 56.5 56.2 31 42 48.2 22.5 23.5
7.8 11.1 35.2 22.7 45.7 40.5 89.5 92.1 37.1 22.7 13.5 11
7.8 5.7 17.4 21.1 25.3 76.9 62.9 47.2 43 20.6 24.7 6.9
19.8 10.4 11.8 17.9 36.1 40.5 33.9 33.7 43.2 33.5 20.7 21.7
29 3.7 14 20.1 34.7 61.8 72.5 79.1 47 38.4 42.5 13.2
19.8 24 12.9 36.6 37.5 19.9 48.6 72.1 29.4 34.9 28.1 29.7
22.7 14 23.2 28.9 26.5 52.3 50.4 51.6 44.2 45 30.7 18.9
12.4 11.1 19.9 23.3 21.9 20 37.5 34.2 65.6 32.7 9.6 26.5
18.1 16.1 18.9 39.3 49.1 98.8 76.6 78.3 60.1 32.9 23.5 14.3
13.17 23.37 13.27 24.37 30.47 38.87 33.37 59.97 41.97 30.27 28.77 28.47
13.17 10.07 24.37 21.67 46.37 57.07 37.97 32.37 59.57 29.97 33.47 24.07
19.07 20.27 28.27 22.27 30.57 33.47 78.37 24.97 39.77 28.57 22.77 22.07
26.07 21.37 17.47 19.57 37.87 49.17 79.07 78.67 83.77 36.87 25.77 19.47
13.37 15.67 8.97 15.07 25.77 41.37 54.67 72.77 56.37 34.47 31.37 23.57
22.47 15.37 20.17 39.77 35.57 40.27 35.47 94.27 45.47 37.87 18.17 24.97
22.87 18.17 10.07 31.87 47.27 69.87 84.27 131.07 57.47 28.97 34.47 29.27
17.07 16.67 24.17 24.87 20.27 99.77 88.87 83.97 49.67 39.67 31.77 24.77
20.17 24.77 17.47 27.47 32.57 52.87 57.07 78.77 34.37 27.37 21.27 25.67
14.97 5.87 18.67 39.87 50.17 48.27 45.57 48.77 39.37 39.07 21.37 23.07
16.57 13.57 21.47 30.27 22.27 33.87 126.57 50.77 59.17 60.27 21.97 13.17
26.07 16.47 18.17 18.07 39.47 48.77 85.87 58.07 13.87 29.67 20.97 28.57
25.27 12.57 13.67 39.47 42.07 46.27 54.27 46.67 45.67 50.37 28.77 30.57
21.17 15.47 25.77 21.67 38.87 65.47 71.07 48.37 42.67 36.77 30.27 21.27
16.47 20.77 23.97 18.77 32.67 56.27 57.07 54.67 51.07 33.67 19.77 35.27
20.67 25.27 16.37 18.47 30.27 34.37 59.27 57.07 36.87 18.47 29.37 20.37
21.37 18.97 18.37 20.17 26.47 82.97 48.77 100.27 70.27 19.97 16.67 24.87
17.37 25.47 20.97 10.47 21.97 69.07 49.17 41.67 58.47 41.67 25.57 27.87
24.37 12.87 12.07 20.67 75.77 47.37 113.87 67.57 50.27 17.97 23.57 25.57
14.67 22.57 16.97 18.07 57.07 46.77 75.87 92.37 52.87 42.47 32.27 25.47
14.17 11.37 22.17 26.77 45.87 80.87 48.97 120.97 54.17 14.97 33.27 24.67
18.27 14.37 23.07 16.17 19.77 15.37 43.97 22.47 23.27 24.07 11.67 11.87
22.87 14.47 20.57 14.87 60.17 22.47 27.97 46.27 68.47 21.97 18.67 14.07
17.37 14.47 16.47 12.47 12.57 46.47 141.97 96.87 41.07 18.27 28.27 21.47
18.87 12.07 37.17 15.57 19.87 18.07 103.07 64.57 68.37 23.67 23.67 22.57
18.37 19.87 23.27 32.67 32.87 41.37 38.87 58.87 41.67 44.17 33.67 37.07
21.37 23.57 15.57 36.57 30.17 44.27 79.57 55.47 30.97 21.57 23.37 26.17
19.97 13.27 30.67 28.47 41.67 36.47 57.47 66.77 78.07 28.07 36.17 38.07
19.67 15.37 16.77 18.87 39.17 32.27 63.27 71.87 56.97 34.17 22.47 19.07
21.47 21.57 24.87 31.27 50.77 92.77 80.37 72.97 64.87 25.87 24.77 20.67
19.39 9.29 17.99 15.39 21.39 96.29 64.39 37.29 61.59 39.79 22.59 10.49
20.09 14.89 15.99 17.49 26.49 59.99 60.89 78.59 55.69 54.49 21.29 15.89
14.49 8.69 16.19 16.79 36.59 44.59 36.19 80.59 62.89 36.99 20.79 12.09
15.39 11.79 13.79 19.89 48.09 48.49 39.39 75.29 30.59 28.99 23.59 18.99
9.99 15.09 15.29 27.59 43.19 66.69 32.99 62.19 46.59 23.89 16.99 14.49
14.39 13.29 14.59 16.39 26.09 32.29 71.49 52.99 70.19 33.39 22.49 18.39
13.49 11.69 18.39 13.79 17.19 57.09 95.89 24.39 57.29 43.49 14.79 12.09
10.49 13.39 25.59 39.59 49.39 63.69 46.29 87.19 57.39 25.29 26.49 16.39
20.09 16.99 11.09 41.39 38.19 74.99 98.09 91.49 57.79 32.39 15.39 14.19
10.69 16.79 19.29 32.49 22.89 41.49 77.39 41.69 30.79 19.19 24.99 13.39
17.89 10.89 12.49 16.89 32.79 109.79 52.99 70.19 72.29 27.89 14.49 18.59
10.09 12.19 16.99 26.49 33.39 83.99 117.89 93.69 37.99 35.19 18.39 16.69
11.79 14.49 20.99 35.79 35.89 71.19 36.79 99.09 68.19 51.89 18.09 14.59
23.19 14.89 17.99 33.09 39.29 59.09 71.09 100.09 54.59 36.39 14.09 10.99
11.09 8.99 11.39 23.59 45.79 57.39 65.49 73.59 54.39 48.69 23.09 12.09
13.76 11.86 11.16 23.06 25.46 34.86 47.36 54.36 15.36 19.76 17.86 20.36
7.76 5.66 20.36 18.56 33.36 34.16 71.96 29.66 35.06 37.06 21.56 10.46
14.66 7.36 11.76 17.96 30.76 72.56 90.96 46.16 46.86 40.06 16.36 12.06
20.86 8.46 7.96 23.26 32.96 51.26 91.96 64.96 46.16 43.26 18.86 9.56
9.56 12.36 17.86 32.36 47.46 56.06 53.26 52.86 56.16 26.96 14.66 17.06
16.66 9.56 17.26 30.86 32.96 65.66 111.06 70.06 96.76 35.86 26.96 22.06
22.26 7.76 12.96 22.86 29.86 53.16 49.66 78.96 64.56 29.86 6.96 14.86
18.66 10.36 23.36 24.16 23.36 48.96 103.76 51.06 94.16 35.16 9.66 20.56
20.56 15.16 23.46 16.16 25.16 102.36 33.96 53.76 52.96 35.16 20.66 9.66
19.56 8.76 18.86 16.56 60.46 81.86 52.16 56.26 45.36 59.46 31.66 11.86
11.06 5.76 12.26 16.86 48.36 41.96 111.16 75.36 88.66 31.16 27.66 31.76
