"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
6.97 17.17 7.07 18.17 24.27 32.67 27.17 53.77 35.77 24.07 22.57 22.27
6.97 3.87 18.17 15.47 40.17 50.87 31.77 26.17 53.37 23.77 27.27 17.87
12.87 14.07 22.07 16.07 24.37 27.27 72.17 18.77 33.57 22.37 16.57 15.87
19.87 15.17 11.27 13.37 31.67 42.97 72.87 72.47 77.57 30.67 19.57 13.27
7.17 9.47 2.77 8.87 19.57 35.17 48.47 66.57 50.17 28.27 25.17 17.37
16.27 9.17 13.97 33.57 29.37 34.07 29.27 88.07 39.27 31.67 11.97 18.77
16.67 11.97 3.87 25.67 41.07 63.67 78.07 124.87 51.27 22.77 28.27 23.07
10.87 10.47 17.97 18.67 14.07 93.57 82.67 77.77 43.47 33.47 25.57 18.57
13.97 18.57 11.27 21.27 26.37 46.67 50.87 72.57 28.17 21.17 15.07 19.47
8.77 0 12.47 33.67 43.97 42.07 39.37 42.57 33.17 32.87 15.17 16.87
10.37 7.37 15.27 24.07 16.07 27.67 120.37 44.57 52.97 54.07 15.77 6.97
19.87 10.27 11.97 11.87 33.27 42.57 79.67 51.87 7.67 23.47 14.77 22.37
19.07 6.37 7.47 33.27 35.87 40.07 48.07 40.47 39.47 44.17 22.57 24.37
14.97 9.27 19.57 15.47 32.67 59.27 64.87 42.17 36.47 30.57 24.07 15.07
10.27 14.57 17.77 12.57 26.47 50.07 50.87 48.47 44.87 27.47 13.57 29.07
14.07 3.97 12.67 10.07 16.07 90.97 59.07 31.97 56.27 34.47 17.27 5.17
14.77 9.57 10.67 12.17 21.17 54.67 55.57 73.27 50.37 49.17 15.97 10.57
9.17 3.37 10.87 11.47 31.27 39.27 30.87 75.27 57.57 31.67 15.47 6.77
10.07 6.47 8.47 14.57 42.77 43.17 34.07 69.97 25.27 23.67 18.27 13.67
4.67 9.77 9.97 22.27 37.87 61.37 27.67 56.87 41.27 18.57 11.67 9.17
9.07 7.97 9.27 11.07 20.77 26.97 66.17 47.67 64.87 28.07 17.17 13.07
8.17 6.37 13.07 8.47 11.87 51.77 90.57 19.07 51.97 38.17 9.47 6.77
5.17 8.07 20.27 34.27 44.07 58.37 40.97 81.87 52.07 19.97 21.17 11.07
14.77 11.67 5.77 36.07 32.87 69.67 92.77 86.17 52.47 27.07 10.07 8.87
5.37 11.47 13.97 27.17 17.57 36.17 72.07 36.37 25.47 13.87 19.67 8.07
12.57 5.57 7.17 11.57 27.47 104.47 47.67 64.87 66.97 22.57 9.17 13.27
4.77 6.87 11.67 21.17 28.07 78.67 112.57 88.37 32.67 29.87 13.07 11.37
6.47 9.17 15.67 30.47 30.57 65.87 31.47 93.77 62.87 46.57 12.77 9.27
17.87 9.57 12.67 27.77 33.97 53.77 65.77 94.77 49.27 31.07 8.77 5.67
5.77 3.67 6.07 18.27 40.47 52.07 60.17 68.27 49.07 43.37 17.77 6.77
14.6 19.2 10.3 12.4 24.2 28.3 53.2 51 30.8 12.4 23.3 14.3
15.3 12.9 12.3 14.1 20.4 76.9 42.7 94.2 64.2 13.9 10.6 18.8
11.3 19.4 14.9 4.4 15.9 63 43.1 35.6 52.4 35.6 19.5 21.8
