"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-21.32 -24.82 -20.82 -8.22 -0.82 10.18 16.58 9.98 5.48 -4.12 -13.82 -16.42
-22.72 -29.32 -19.72 -7.82 0.08 9.38 10.98 9.58 6.18 -8.42 -12.82 -19.82
-24.12 -24.12 -13.92 -7.12 -0.62 8.68 14.08 12.28 4.98 -6.12 -13.32 -12.62
-25.32 -22.32 -18.52 -11.72 0.98 7.98 10.18 14.48 5.88 -3.62 -14.62 -14.22
-22.12 -15.82 -18.82 -5.72 3.68 12.08 17.68 12.08 5.68 -5.02 -15.12 -26.22
-18.78 -17.38 -7.58 -8.28 -0.88 9.32 16.22 12.22 5.42 -2.78 -13.78 -18.98
-16.98 -13.78 -15.98 -3.48 4.52 8.92 16.82 10.22 7.92 -4.78 -10.48 -20.68
-22.58 -19.38 -24.98 -7.98 1.62 10.02 14.72 11.72 5.52 -0.88 -14.48 -24.58
-26.78 -20.88 -20.18 -13.18 -1.18 8.12 15.92 10.82 6.22 -2.58 -19.88 -16.28
-21.48 -23.58 -13.18 -7.78 -1.58 9.12 15.12 10.92 4.92 -5.38 -21.78 -17.68
-22.38 -33.08 -20.38 -10.28 0.52 7.22 14.42 10.82 5.72 -7.88 -10.68 -20.18
-24.28 -19.18 -6.78 -0.98 0.62 9.22 15.72 12.12 5.42 0.72 -5.88 -15.48
-25.18 -18.28 -9.58 -10.38 0.72 6.62 10.62 10.72 3.32 -5.18 -23.78 -27.98
-29.38 -26.68 -18.18 -10.18 -4.58 5.82 14.32 8.52 5.12 -5.58 -8.48 -18.18
-25.68 -20.98 -11.28 -9.68 -2.58 6.12 13.62 8.92 7.72 -4.78 -15.08 -18.08
-21.48 -26.88 -16.18 -12.18 -0.38 6.72 12.92 10.62 6.32 -6.38 -10.08 -17.98
-26.68 -18.48 -16.28 -6.28 -3.78 8.62 13.32 10.92 3.32 -2.48 -19.88 -17.58
-26.28 -16.78 -14.28 -4.58 1.42 9.92 12.62 12.22 3.42 -4.28 -12.18 -19.38
-24.38 -25.78 -11.78 -8.48 -1.28 8.82 17.32 11.92 7.02 -4.98 -22.68 -11.28
-19.78 -21.48 -12.58 -5.58 -0.48 7.72 12.82 10.42 7.22 -5.48 -13.38 -16.38
-24.16 -22.66 -14.26 -4.06 -0.16 9.04 14.14 12.84 5.54 -10.56 -10.86 -16.06
-24.56 -30.16 -18.36 -3.86 4.14 12.24 14.64 10.94 5.54 -10.96 -7.86 -19.66
-20.06 -22.06 -14.76 -13.96 -3.06 4.84 12.54 8.54 4.84 -3.26 -12.06 -27.66
-26.86 -27.66 -18.66 -12.36 1.04 6.14 13.64 10.84 7.54 -6.46 -11.16 -21.36
-25.76 -21.16 -15.86 -6.46 -0.06 8.74 10.44 8.04 5.74 -3.06 -15.26 -17.26
-13.56 -18.16 -18.86 -9.46 -1.96 10.54 13.24 14.94 5.94 1.04 -8.86 -13.26
-26.36 -24.46 -19.16 -4.16 2.84 8.64 15.24 9.04 5.14 -8.86 -11.06 -12.76
-17.56 -20.66 -13.96 -8.96 -2.76 9.24 14.74 10.14 6.04 -1.56 -13.16 -16.96
-14.86 -14.96 -10.56 -14.56 0.24 9.44 14.94 11.04 5.44 -5.66 -20.86 -18.66
-28.16 -29.86 -12.36 -9.36 -2.66 9.44 11.94 10.74 7.34 -2.66 -14.36 -23.86
-20.86 -24.86 -10.66 -7.26 -2.26 7.84 11.74 9.14 3.04 -1.66 -7.26 -27.76
-26.26 -22.26 -14.06 -12.56 1.84 7.64 15.54 9.74 5.64 -0.16 -17.16 -20.96
-19.06 -22.06 -10.26 -11.86 0.14 9.14 15.14 11.74 5.54 -2.76 -15.06 -15.86
-25.16 -18.66 -8.46 -11.16 2.84 12.84 16.14 11.44 5.64 -2.56 -13.56 -21.46
-27.76 -17.76 -12.56 -2.96 0.64 10.84 18.24 11.14 4.14 -6.06 -20.36 -18.96
-24.34 -22.84 -14.44 -4.24 -0.34 8.86 13.96 12.66 5.36 -10.74 -11.04 -16.24
-24.74 -30.34 -18.54 -4.04 3.96 12.06 14.46 10.76 5.36 -11.14 -8.04 -19.84
-20.24 -22.24 -14.94 -14.14 -3.24 4.66 12.36 8.36 4.66 -3.44 -12.24 -27.84
-27.04 -27.84 -18.84 -12.54 0.86 5.96 13.46 10.66 7.36 -6.64 -11.34 -21.54
-25.94 -21.34 -16.04 -6.64 -0.24 8.56 10.26 7.86 5.56 -3.24 -15.44 -17.44
-13.74 -18.34 -19.04 -9.64 -2.14 10.36 13.06 14.76 5.76 0.86 -9.04 -13.44
-26.54 -24.64 -19.34 -4.34 2.66 8.46 15.06 8.86 4.96 -9.04 -11.24 -12.94
-17.74 -20.84 -14.14 -9.14 -2.94 9.06 14.56 9.96 5.86 -1.74 -13.34 -17.14
-15.04 -15.14 -10.74 -14.74 0.06 9.26 14.76 10.86 5.26 -5.84 -21.04 -18.84
-28.34 -30.04 -12.54 -9.54 -2.84 9.26 11.76 10.56 7.16 -2.84 -14.54 -24.04
-21.04 -25.04 -10.84 -7.44 -2.44 7.66 11.56 8.96 2.86 -1.84 -7.44 -27.94
-26.44 -22.44 -14.24 -12.74 1.66 7.46 15.36 9.56 5.46 -0.34 -17.34 -21.14
-19.24 -22.24 -10.44 -12.04 -0.04 8.96 14.96 11.56 5.36 -2.94 -15.24 -16.04
-25.34 -18.84 -8.64 -11.34 2.66 12.66 15.96 11.26 5.46 -2.74 -13.74 -21.64
-27.94 -17.94 -12.74 -3.14 0.46 10.66 18.06 10.96 3.96 -6.24 -20.54 -19.14
-21.06 -17.26 -17.66 -9.76 -3.56 9.24 12.74 8.64 4.94 -4.06 -13.26 -21.06
-23.86 -29.16 -20.16 -7.36 -0.76 7.24 14.04 7.74 6.64 -2.86 -14.26 -15.96
-22.86 -22.56 -19.16 -6.06 -6.16 8.94 14.44 8.44 5.44 -4.36 -12.36 -19.96
-25.46 -25.86 -18.16 -7.46 -1.96 8.24 12.64 12.94 6.54 -2.26 -16.86 -22.56
-21.36 -22.06 -8.86 -4.96 4.44 11.84 12.34 12.34 6.34 -9.36 -14.26 -18.46
-18.76 -21.56 -12.76 -5.76 0.24 13.44 14.44 9.74 4.94 -3.16 -12.06 -20.96
-21.16 -24.96 -13.56 -9.06 2.24 12.14 15.14 11.24 6.94 -4.66 -11.26 -18.36
-17.06 -20.46 -17.16 -12.36 -3.46 11.04 14.74 12.44 8.24 0.14 -14.06 -14.16
-23.56 -21.06 -12.36 -6.86 1.64 6.74 14.54 10.64 6.04 -1.96 -8.76 -17.56
-17.16 -18.66 -18.16 -8.66 -2.66 7.24 12.64 10.64 5.74 -3.76 -14.16 -20.66
-18.06 -21.76 -9.86 -8.66 -5.36 8.44 10.44 9.74 4.54 -2.66 -13.66 -20.56
-27.86 -18.76 -19.56 -8.26 1.84 10.04 12.94 11.74 6.14 -4.16 -15.66 -22.46
-21.46 -19.06 -18.66 -11.86 -0.46 7.64 14.74 12.44 7.14 -4.36 -16.36 -15.76
-24.86 -25.26 -19.26 -11.26 -2.36 9.14 13.04 9.84 5.64 0.04 -8.96 -20.96
-15.46 -25.86 -19.96 -11.56 -1.86 6.94 12.04 12.74 4.54 -4.56 -10.76 -21.76
-21.03 -17.23 -17.63 -9.73 -3.53 9.27 12.77 8.67 4.97 -4.03 -13.23 -21.03
-23.83 -29.13 -20.13 -7.33 -0.73 7.27 14.07 7.77 6.67 -2.83 -14.23 -15.93
-22.83 -22.53 -19.13 -6.03 -6.13 8.97 14.47 8.47 5.47 -4.33 -12.33 -19.93
-25.43 -25.83 -18.13 -7.43 -1.93 8.27 12.67 12.97 6.57 -2.23 -16.83 -22.53
-21.33 -22.03 -8.83 -4.93 4.47 11.87 12.37 12.37 6.37 -9.33 -14.23 -18.43
-18.73 -21.53 -12.73 -5.73 0.27 13.47 14.47 9.77 4.97 -3.13 -12.03 -20.93
