"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
14.18 16.58 22.28 29.08 35.88 37.68 38.68 51.48 44.78 40.68 36.08 30.18
18.58 16.78 14.58 33.78 26.88 41.78 69.18 50.88 28.08 16.48 20.28 22.58
16.58 8.88 24.88 18.98 32.98 42.28 43.98 56.88 70.08 24.08 35.18 35.88
21.88 12.68 13.78 15.18 32.08 25.38 52.88 62.18 59.98 24.38 26.58 15.88
22.38 20.28 26.58 27.48 45.68 80.78 95.78 61.98 67.68 25.48 25.58 20.88
24.71 15.81 23.41 20.11 31.01 36.61 10.21 45.11 33.71 26.31 37.71 33.61
27.41 16.11 21.41 14.21 30.31 62.11 40.91 50.51 51.81 41.01 23.51 32.41
10.51 22.91 5.41 7.81 22.01 54.11 42.61 89.01 40.41 26.01 30.31 12.01
20.11 2.91 8.01 16.01 23.91 23.21 58.61 61.91 79.61 31.11 21.01 11.11
7.91 3.41 13.71 11.61 33.21 42.01 123.91 63.21 55.51 39.71 12.11 21.41
24.21 12.71 16.81 20.31 22.91 59.71 103.41 95.31 89.51 42.81 41.01 2.71
16.71 7.51 15.51 32.11 36.91 54.61 59.81 34.61 37.61 47.81 22.81 28.91
9.21 10.91 29.91 16.41 31.91 33.31 74.61 69.31 40.71 26.21 13.01 6.91
4.51 2.51 10.81 16.51 18.61 74.51 47.21 55.11 39.51 23.41 23.91 4.01
19.71 10.71 10.51 15.81 26.31 30.21 31.11 31.91 42.71 34.41 19.71 19.61
29.01 2.71 15.21 18.51 30.91 74.61 56.21 62.21 53.51 47.91 43.61 16.71
16.71 20.11 10.31 27.61 31.21 16.61 45.81 61.41 41.81 37.81 43.11 32.61
23.41 9.81 20.41 20.51 21.01 41.91 58.31 40.51 40.61 44.41 31.81 22.11
11.41 11.91 16.11 21.11 21.71 18.81 36.91 40.41 59.71 35.51 10.71 22.71
17.11 17.91 13.01 34.51 46.11 80.91 90.51 81.51 53.51 29.91 26.51 13.91
23.02 13.42 5.62 6.92 48.82 34.12 25.42 60.52 55.82 29.42 29.32 20.52
21.72 5.92 8.42 26.62 32.72 17.62 41.22 39.12 70.72 46.02 16.52 14.22
24.52 10.42 8.42 9.02 33.82 40.82 114.42 113.22 58.72 51.62 23.92 34.12
32.02 18.12 21.52 23.02 58.92 23.22 42.02 56.82 40.12 45.72 23.42 32.02
21.12 16.12 19.12 24.22 32.22 50.02 61.72 62.02 30.32 25.22 12.82 19.32
21.22 16.22 18.22 24.12 32.52 50.52 63.42 61.82 54.32 26.12 29.02 22.92
19.72 18.82 30.02 9.22 24.12 16.22 64.52 69.52 49.82 37.92 40.62 39.12
18.12 14.42 17.22 5.82 38.42 28.02 57.92 66.92 39.92 41.52 16.92 20.42
8.22 2.32 21.82 16.02 29.12 51.82 116.72 41.92 35.62 15.12 37.92 12.32
23.42 21.02 16.32 18.82 24.62 42.02 19.52 68.42 67.42 39.32 25.22 17.12
12.52 6.52 9.42 6.02 15.72 35.32 67.32 113.92 33.32 32.02 24.02 11.42
4.52 4.72 10.52 22.72 44.82 28.62 41.62 45.42 95.72 26.72 22.12 8.52
14.02 16.62 8.82 12.82 20.72 50.12 50.82 37.72 43.42 28.92 14.42 16.52
12.92 11.02 23.92 35.02 26.62 70.42 90.42 84.22 32.32 42.22 16.52 10.82
12.12 7.52 20.32 31.22 25.92 67.92 36.62 34.92 54.62 19.82 16.32 11.02
24.47 15.57 23.17 19.87 30.77 36.37 9.97 44.87 33.47 26.07 37.47 33.37
27.17 15.87 21.17 13.97 30.07 61.87 40.67 50.27 51.57 40.77 23.27 32.17
10.27 22.67 5.17 7.57 21.77 53.87 42.37 88.77 40.17 25.77 30.07 11.77
19.87 2.67 7.77 15.77 23.67 22.97 58.37 61.67 79.37 30.87 20.77 10.87
7.67 3.17 13.47 11.37 32.97 41.77 123.67 62.97 55.27 39.47 11.87 21.17
23.97 12.47 16.57 20.07 22.67 59.47 103.17 95.07 89.27 42.57 40.77 2.47
16.47 7.27 15.27 31.87 36.67 54.37 59.57 34.37 37.37 47.57 22.57 28.67
8.97 10.67 29.67 16.17 31.67 33.07 74.37 69.07 40.47 25.97 12.77 6.67
4.27 2.27 10.57 16.27 18.37 74.27 46.97 54.87 39.27 23.17 23.67 3.77
19.47 10.47 10.27 15.57 26.07 29.97 30.87 31.67 42.47 34.17 19.47 19.37
28.77 2.47 14.97 18.27 30.67 74.37 55.97 61.97 53.27 47.67 43.37 16.47
16.47 19.87 10.07 27.37 30.97 16.37 45.57 61.17 41.57 37.57 42.87 32.37
23.17 9.57 20.17 20.27 20.77 41.67 58.07 40.27 40.37 44.17 31.57 21.87
11.17 11.67 15.87 20.87 21.47 18.57 36.67 40.17 59.47 35.27 10.47 22.47
16.87 17.67 12.77 34.27 45.87 80.67 90.27 81.27 53.27 29.67 26.27 13.67
17.74 14.94 9.14 21.04 18.94 28.74 22.64 38.84 10.24 18.24 20.64 21.04
5.84 3.54 21.74 13.34 33.04 22.54 55.54 21.54 23.54 26.54 32.74 10.24
14.84 4.74 8.54 10.14 16.94 65.34 91.74 40.14 46.04 41.74 12.34 9.14
21.74 8.64 2.64 17.94 25.44 54.74 51.84 52.44 31.24 38.44 18.54 8.14
5.04 15.24 15.14 27.24 39.04 46.94 70.24 73.44 64.74 23.44 11.24 15.44
17.34 5.24 17.84 24.84 30.54 45.14 106.94 52.74 98.24 30.34 28.54 25.24
26.34 1.14 11.04 21.04 21.44 44.54 28.84 70.54 55.64 26.84 3.44 14.74
20.44 8.54 24.84 15.94 27.24 32.44 61.04 40.14 94.74 37.14 6.34 16.04
18.54 11.34 19.04 11.04 21.94 89.64 37.14 44.74 57.14 35.44 20.94 6.74
17.14 7.34 16.44 12.24 55.04 67.04 48.74 48.84 34.64 50.64 34.24 6.74
7.84 0.04 4.94 12.74 36.34 37.94 94.74 84.34 95.64 27.64 30.74 34.84
20.54 14.94 10.54 10.24 38.14 98.84 65.54 52.34 70.04 50.94 40.24 38.74
16.84 28.04 17.34 17.34 26.04 33.44 65.24 78.24 60.94 43.74 27.64 12.74
21.14 7.74 10.84 20.74 33.74 37.34 48.14 40.84 84.64 32.24 11.34 12.04
9.34 20.64 10.64 7.94 7.44 39.14 23.94 43.44 55.44 26.34 17.34 8.44
15.65 18.45 5.75 16.85 20.25 40.75 31.45 47.95 44.45 22.55 22.65 19.45
10.55 7.65 22.55 14.45 38.15 43.85 28.45 31.65 50.65 31.45 32.45 17.75
16.45 16.65 22.55 17.95 24.45 37.25 68.15 21.35 49.35 36.95 24.25 19.65
18.65 16.95 16.75 13.95 28.25 39.95 70.05 66.85 82.95 32.55 21.35 16.75
8.15 11.45 3.25 7.35 16.35 30.55 42.55 71.25 57.05 26.45 36.55 21.95
18.75 10.45 16.05 28.55 27.15 30.65 36.15 94.75 40.95 34.15 16.75 21.65
21.85 15.65 5.85 23.55 48.05 69.95 62.05 102.55 50.65 28.15 36.75 27.85
16.95 14.55 25.85 20.35 12.65 89.05 69.35 72.05 48.05 42.25 29.45 22.65
14.75 14.85 11.95 18.15 19.35 46.85 53.25 69.05 39.25 23.75 19.75 15.85
15.35 0.85 9.85 35.55 40.05 38.75 45.35 48.75 33.35 36.15 19.05 26.55
13.35 9.55 13.95 23.35 15.05 28.75 123.25 51.65 58.35 61.45 20.65 9.75
20.75 14.15 10.45 15.45 32.45 36.25 80.35 40.85 15.85 23.55 20.35 26.05
22.05 9.65 8.95 34.15 27.65 40.65 38.15 42.75 44.05 46.05 28.65 26.95
20.05 11.05 17.35 10.55 33.35 46.75 53.45 45.25 30.45 30.75 25.95 19.05
18.05 20.25 24.55 13.75 27.25 51.35 49.25 57.25 45.45 32.95 20.35 27.55
15.51 18.31 5.61 16.71 20.11 40.61 31.31 47.81 44.31 22.41 22.51 19.31
10.41 7.51 22.41 14.31 38.01 43.71 28.31 31.51 50.51 31.31 32.31 17.61
16.31 16.51 22.41 17.81 24.31 37.11 68.01 21.21 49.21 36.81 24.11 19.51
18.51 16.81 16.61 13.81 28.11 39.81 69.91 66.71 82.81 32.41 21.21 16.61
8.01 11.31 3.11 7.21 16.21 30.41 42.41 71.11 56.91 26.31 36.41 21.81
18.61 10.31 15.91 28.41 27.01 30.51 36.01 94.61 40.81 34.01 16.61 21.51
21.71 15.51 5.71 23.41 47.91 69.81 61.91 102.41 50.51 28.01 36.61 27.71
16.81 14.41 25.71 20.21 12.51 88.91 69.21 71.91 47.91 42.11 29.31 22.51
14.61 14.71 11.81 18.01 19.21 46.71 53.11 68.91 39.11 23.61 19.61 15.71
15.21 0.71 9.71 35.41 39.91 38.61 45.21 48.61 33.21 36.01 18.91 26.41
13.21 9.41 13.81 23.21 14.91 28.61 123.11 51.51 58.21 61.31 20.51 9.61
20.61 14.01 10.31 15.31 32.31 36.11 80.21 40.71 15.71 23.41 20.21 25.91
