"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
16.2 19 6.3 17.4 20.8 41.3 32 48.5 45 23.1 23.2 20
11.1 8.2 23.1 15 38.7 44.4 29 32.2 51.2 32 33 18.3
17 17.2 23.1 18.5 25 37.8 68.7 21.9 49.9 37.5 24.8 20.2
19.2 17.5 17.3 14.5 28.8 40.5 70.6 67.4 83.5 33.1 21.9 17.3
8.7 12 3.8 7.9 16.9 31.1 43.1 71.8 57.6 27 37.1 22.5
19.3 11 16.6 29.1 27.7 31.2 36.7 95.3 41.5 34.7 17.3 22.2
22.4 16.2 6.4 24.1 48.6 70.5 62.6 103.1 51.2 28.7 37.3 28.4
17.5 15.1 26.4 20.9 13.2 89.6 69.9 72.6 48.6 42.8 30 23.2
15.3 15.4 12.5 18.7 19.9 47.4 53.8 69.6 39.8 24.3 20.3 16.4
15.9 1.4 10.4 36.1 40.6 39.3 45.9 49.3 33.9 36.7 19.6 27.1
13.9 10.1 14.5 23.9 15.6 29.3 123.8 52.2 58.9 62 21.2 10.3
21.3 14.7 11 16 33 36.8 80.9 41.4 16.4 24.1 20.9 26.6
22.6 10.2 9.5 34.7 28.2 41.2 38.7 43.3 44.6 46.6 29.2 27.5
20.6 11.6 17.9 11.1 33.9 47.3 54 45.8 31 31.3 26.5 19.6
18.6 20.8 25.1 14.3 27.8 51.9 49.8 57.8 46 33.5 20.9 28.1
21.36 3.66 17.06 11.26 19.26 99.66 57.06 21.66 60.66 43.56 25.76 8.46
19.06 15.56 17.06 14.96 26.26 57.16 64.36 48.96 50.16 60.46 29.36 13.26
10.06 3.46 11.46 12.76 34.56 40.16 25.26 70.46 58.66 35.06 24.76 9.86
14.56 11.26 13.06 18.56 44.46 39.16 25.46 54.76 26.36 29.16 26.56 19.86
8.36 15.46 12.06 26.76 37.76 67.86 29.06 69.16 44.26 23.46 12.96 13.76
14.56 16.76 12.56 10.96 16.86 19.66 44.36 34.26 61.26 29.86 21.56 15.56
10.06 9.46 15.16 9.96 15.86 48.36 83.96 12.56 57.36 34.06 9.16 8.96
8.86 11.76 25.86 40.86 51.56 70.46 39.66 74.06 40.56 17.76 31.96 14.86
20.16 16.16 7.96 40.86 32.16 62.46 82.36 80.46 63.86 38.26 13.76 12.86
8.36 15.16 17.36 35.16 17.96 35.16 76.16 34.26 29.96 15.06 29.46 12.06
19.46 7.86 11.76 12.66 31.46 107.06 39.56 50.66 75.76 26.86 10.56 21.06
8.06 8.66 16.96 24.26 27.66 72.56 101.46 73.46 31.86 43.86 21.06 16.26
9.46 11.96 19.76 35.66 36.66 50.16 26.96 90.66 70.36 44.56 17.76 14.26
28.36 14.26 19.36 34.36 39.36 54.86 71.96 86.06 55.66 27.06 12.16 7.16
8.26 5.76 9.56 18.96 43.76 38.06 54.16 67.76 61.16 62.46 29.26 9.76
16.34 19.04 12.24 16.94 22.64 26.14 67.94 51.54 33.24 15.54 25.84 19.34
15.54 18.74 14.54 14.24 19.34 64.04 48.04 98.64 74.04 17.54 19.34 22.84
14.74 21.24 16.54 5.64 17.54 51.34 41.24 40.04 61.14 43.64 22.44 22.34
21.54 7.74 6.44 12.44 69.04 54.74 104.54 67.44 44.14 17.64 24.34 23.14
10.04 18.54 15.74 13.14 42.64 41.04 72.34 85.64 49.34 40.54 27.94 25.84
14.34 8.24 24.94 19.34 35.24 82.14 40.64 97.84 51.04 13.04 27.84 19.74
14.14 9.44 18.14 10.54 14.04 9.34 36.84 17.94 18.34 20.24 6.44 6.84
19.34 9.54 15.54 9.14 50.34 17.24 22.04 40.24 66.04 17.84 15.14 9.14
12.94 9.54 11.14 7.24 7.34 40.04 130.84 89.84 37.24 14.04 26.14 17.44
15.34 7.34 30.44 13.04 20.94 23.74 97.34 60.34 63.34 21.54 19.24 18.64
13.54 15.94 21.64 28.44 35.24 37.04 38.04 50.84 44.14 40.04 35.44 29.54
17.94 16.14 13.94 33.14 26.24 41.14 68.54 50.24 27.44 15.84 19.64 21.94
15.94 8.24 24.24 18.34 32.34 41.64 43.34 56.24 69.44 23.44 34.54 35.24
21.24 12.04 13.14 14.54 31.44 24.74 52.24 61.54 59.34 23.74 25.94 15.24
21.74 19.64 25.94 26.84 45.04 80.14 95.14 61.34 67.04 24.84 24.94 20.24
19.05 16.25 10.45 22.35 20.25 30.05 23.95 40.15 11.55 19.55 21.95 22.35
7.15 4.85 23.05 14.65 34.35 23.85 56.85 22.85 24.85 27.85 34.05 11.55
16.15 6.05 9.85 11.45 18.25 66.65 93.05 41.45 47.35 43.05 13.65 10.45
23.05 9.95 3.95 19.25 26.75 56.05 53.15 53.75 32.55 39.75 19.85 9.45
6.35 16.55 16.45 28.55 40.35 48.25 71.55 74.75 66.05 24.75 12.55 16.75
18.65 6.55 19.15 26.15 31.85 46.45 108.25 54.05 99.55 31.65 29.85 26.55
27.65 2.45 12.35 22.35 22.75 45.85 30.15 71.85 56.95 28.15 4.75 16.05
21.75 9.85 26.15 17.25 28.55 33.75 62.35 41.45 96.05 38.45 7.65 17.35
19.85 12.65 20.35 12.35 23.25 90.95 38.45 46.05 58.45 36.75 22.25 8.05
18.45 8.65 17.75 13.55 56.35 68.35 50.05 50.15 35.95 51.95 35.55 8.05
9.15 1.35 6.25 14.05 37.65 39.25 96.05 85.65 96.95 28.95 32.05 36.15
21.85 16.25 11.85 11.55 39.45 100.15 66.85 53.65 71.35 52.25 41.55 40.05
18.15 29.35 18.65 18.65 27.35 34.75 66.55 79.55 62.25 45.05 28.95 14.05
22.45 9.05 12.15 22.05 35.05 38.65 49.45 42.15 85.95 33.55 12.65 13.35
10.65 21.95 11.95 9.25 8.75 40.45 25.25 44.75 56.75 27.65 18.65 9.75
21.44 3.74 17.14 11.34 19.34 99.74 57.14 21.74 60.74 43.64 25.84 8.54
19.14 15.64 17.14 15.04 26.34 57.24 64.44 49.04 50.24 60.54 29.44 13.34
10.14 3.54 11.54 12.84 34.64 40.24 25.34 70.54 58.74 35.14 24.84 9.94
14.64 11.34 13.14 18.64 44.54 39.24 25.54 54.84 26.44 29.24 26.64 19.94
8.44 15.54 12.14 26.84 37.84 67.94 29.14 69.24 44.34 23.54 13.04 13.84
14.64 16.84 12.64 11.04 16.94 19.74 44.44 34.34 61.34 29.94 21.64 15.64
10.14 9.54 15.24 10.04 15.94 48.44 84.04 12.64 57.44 34.14 9.24 9.04
8.94 11.84 25.94 40.94 51.64 70.54 39.74 74.14 40.64 17.84 32.04 14.94
20.24 16.24 8.04 40.94 32.24 62.54 82.44 80.54 63.94 38.34 13.84 12.94
8.44 15.24 17.44 35.24 18.04 35.24 76.24 34.34 30.04 15.14 29.54 12.14
19.54 7.94 11.84 12.74 31.54 107.14 39.64 50.74 75.84 26.94 10.64 21.14
8.14 8.74 17.04 24.34 27.74 72.64 101.54 73.54 31.94 43.94 21.14 16.34
9.54 12.04 19.84 35.74 36.74 50.24 27.04 90.74 70.44 44.64 17.84 14.34
28.44 14.34 19.44 34.44 39.44 54.94 72.04 86.14 55.74 27.14 12.24 7.24
8.34 5.84 9.64 19.04 43.84 38.14 54.24 67.84 61.24 62.54 29.34 9.84
23.4 13.8 6 7.3 49.2 34.5 25.8 60.9 56.2 29.8 29.7 20.9
22.1 6.3 8.8 27 33.1 18 41.6 39.5 71.1 46.4 16.9 14.6
24.9 10.8 8.8 9.4 34.2 41.2 114.8 113.6 59.1 52 24.3 34.5
