"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-18.99 -22.09 -17.49 -4.89 2.31 13.61 19.71 12.51 8.01 -1.59 -11.39 -14.19
-20.29 -27.19 -16.09 -4.59 3.41 12.51 14.01 12.21 8.61 -5.69 -10.59 -17.79
-21.79 -21.39 -10.59 -3.99 2.71 12.01 17.01 15.11 7.51 -3.39 -10.69 -10.59
-23.09 -19.79 -15.09 -8.49 4.21 11.11 13.11 17.31 8.41 -1.09 -12.29 -12.09
-20.09 -13.29 -15.19 -2.39 7.11 15.51 20.71 14.91 8.21 -2.39 -12.49 -23.99
-16.43 -14.53 -4.13 -5.03 2.37 12.47 19.27 14.97 8.07 -0.13 -11.23 -16.93
-14.63 -11.03 -12.23 -0.23 7.87 12.17 19.77 12.97 10.47 -2.23 -7.83 -18.33
-20.43 -16.53 -21.63 -4.63 4.87 13.27 17.67 14.37 8.07 1.67 -12.03 -22.53
-24.53 -18.43 -16.83 -9.63 2.07 11.37 18.87 13.67 8.77 0.07 -17.33 -14.33
-19.23 -21.03 -9.53 -4.53 1.77 12.37 17.97 13.77 7.47 -2.73 -19.33 -15.53
-20.03 -30.33 -16.83 -6.83 3.77 10.47 17.47 13.57 8.37 -5.23 -8.13 -18.43
-21.83 -16.53 -3.33 2.27 3.87 12.37 18.67 14.97 7.97 3.37 -3.43 -13.33
-23.13 -15.83 -6.03 -7.03 3.97 9.87 13.67 13.57 5.77 -2.53 -21.23 -26.13
-27.33 -24.03 -14.73 -6.73 -1.33 9.07 17.37 11.37 7.67 -3.03 -6.13 -16.43
-23.43 -18.23 -7.93 -6.33 0.67 9.27 16.67 11.67 10.37 -2.13 -12.73 -15.93
-19.03 -24.33 -12.93 -8.83 2.77 9.87 15.97 13.27 8.97 -3.63 -7.43 -15.83
-24.73 -15.83 -12.83 -2.93 -0.53 11.87 16.07 13.67 5.77 0.17 -17.53 -15.53
-24.03 -14.23 -10.93 -1.23 4.77 13.17 15.57 15.07 5.87 -1.63 -9.63 -17.23
-22.13 -23.23 -8.33 -5.03 1.97 11.97 20.37 14.67 9.67 -2.33 -20.23 -9.23
-17.53 -18.63 -9.03 -2.23 2.77 10.97 15.77 13.17 9.77 -2.93 -11.03 -14.33
-21.93 -20.23 -10.93 -0.73 3.07 12.27 17.07 15.57 8.07 -7.83 -8.43 -14.03
-22.53 -27.43 -14.83 -0.53 7.37 15.47 17.47 13.67 8.07 -8.33 -5.53 -17.73
-17.63 -19.23 -11.13 -10.63 0.07 7.97 15.47 11.27 7.27 -0.63 -9.63 -25.53
-24.63 -24.83 -15.03 -9.03 4.37 9.27 16.57 13.57 10.07 -3.93 -8.63 -18.93
-23.63 -18.73 -12.43 -3.03 3.17 12.07 13.47 10.77 8.37 -0.13 -12.63 -15.23
-11.33 -15.53 -15.33 -6.23 1.27 13.87 16.17 17.67 8.47 3.57 -6.53 -11.13
-24.03 -21.63 -15.93 -0.93 6.07 11.97 18.17 11.77 7.77 -6.23 -8.53 -10.63
-15.33 -18.03 -10.53 -5.63 0.47 12.57 17.67 12.87 8.57 1.07 -10.63 -14.83
-12.63 -12.33 -7.13 -11.23 3.57 12.67 17.77 13.67 7.87 -3.03 -18.53 -16.73
-25.83 -27.43 -8.93 -6.03 0.47 12.67 14.77 13.47 9.87 -0.03 -12.03 -21.83
-18.63 -22.23 -7.23 -3.83 0.87 11.07 14.57 11.77 5.47 0.97 -4.93 -25.73
-23.93 -19.53 -10.73 -9.13 5.07 10.97 18.37 12.47 8.17 2.37 -14.73 -18.93
-16.83 -19.23 -6.83 -8.33 3.37 12.37 18.17 14.37 8.07 -0.03 -12.63 -13.83
-22.93 -16.03 -5.03 -7.83 5.97 16.17 18.97 14.17 8.27 0.07 -11.03 -19.43
-25.33 -15.23 -9.23 -0.03 3.67 14.07 20.97 13.97 6.67 -3.33 -17.63 -16.73
-22.05 -20.35 -11.05 -0.85 2.95 12.15 16.95 15.45 7.95 -7.95 -8.55 -14.15
-22.65 -27.55 -14.95 -0.65 7.25 15.35 17.35 13.55 7.95 -8.45 -5.65 -17.85
-17.75 -19.35 -11.25 -10.75 -0.05 7.85 15.35 11.15 7.15 -0.75 -9.75 -25.65
-24.75 -24.95 -15.15 -9.15 4.25 9.15 16.45 13.45 9.95 -4.05 -8.75 -19.05
-23.75 -18.85 -12.55 -3.15 3.05 11.95 13.35 10.65 8.25 -0.25 -12.75 -15.35
-11.45 -15.65 -15.45 -6.35 1.15 13.75 16.05 17.55 8.35 3.45 -6.65 -11.25
-24.15 -21.75 -16.05 -1.05 5.95 11.85 18.05 11.65 7.65 -6.35 -8.65 -10.75
-15.45 -18.15 -10.65 -5.75 0.35 12.45 17.55 12.75 8.45 0.95 -10.75 -14.95
-12.75 -12.45 -7.25 -11.35 3.45 12.55 17.65 13.55 7.75 -3.15 -18.65 -16.85
-25.95 -27.55 -9.05 -6.15 0.35 12.55 14.65 13.35 9.75 -0.15 -12.15 -21.95
-18.75 -22.35 -7.35 -3.95 0.75 10.95 14.45 11.65 5.35 0.85 -5.05 -25.85
-24.05 -19.65 -10.85 -9.25 4.95 10.85 18.25 12.35 8.05 2.25 -14.85 -19.05
-16.95 -19.35 -6.95 -8.45 3.25 12.25 18.05 14.25 7.95 -0.15 -12.75 -13.95
-23.05 -16.15 -5.15 -7.95 5.85 16.05 18.85 14.05 8.15 -0.05 -11.15 -19.55
-25.45 -15.35 -9.35 -0.15 3.55 13.95 20.85 13.85 6.55 -3.45 -17.75 -16.85
-18.78 -14.68 -14.18 -6.48 -0.18 12.52 15.62 11.52 7.62 -1.18 -10.98 -19.28
-21.38 -26.38 -16.78 -3.58 2.12 10.52 16.92 10.52 9.62 0.42 -11.38 -14.08
-19.88 -20.18 -15.88 -2.58 -2.98 12.32 17.42 11.12 7.92 -1.38 -9.98 -18.08
-23.38 -22.98 -14.48 -3.98 1.02 11.42 15.62 15.72 8.82 0.32 -14.48 -20.28
-19.58 -20.48 -5.68 -1.18 8.22 15.52 15.42 14.92 8.82 -6.98 -12.18 -16.98
-16.48 -19.28 -9.48 -2.38 3.52 16.82 17.52 12.52 7.32 -0.58 -9.88 -18.98
-19.58 -21.98 -10.28 -5.68 5.52 15.32 18.02 14.02 9.52 -1.88 -8.68 -16.08
-14.68 -18.28 -13.88 -9.38 -0.08 14.52 17.82 15.02 10.92 3.02 -11.78 -11.68
-20.78 -18.78 -9.18 -3.18 4.92 9.82 17.22 13.22 8.42 0.52 -6.48 -15.28
-15.08 -15.68 -14.58 -5.48 0.32 10.52 15.72 13.72 8.62 -1.18 -11.68 -18.58
-15.68 -18.48 -6.58 -5.48 -2.28 11.82 13.12 12.42 7.22 0.12 -11.18 -18.58
-25.68 -16.18 -16.08 -4.88 5.22 13.52 16.22 14.52 8.92 -1.38 -13.38 -20.68
-19.28 -16.48 -15.18 -8.38 2.82 10.92 17.82 15.22 9.82 -1.48 -13.78 -13.88
-22.78 -22.58 -15.48 -7.88 0.92 12.52 16.12 12.62 8.22 2.72 -6.58 -19.28
-13.48 -23.18 -16.18 -8.18 1.52 10.42 15.22 15.32 7.22 -1.88 -8.38 -19.58
-18.76 -14.66 -14.16 -6.46 -0.16 12.54 15.64 11.54 7.64 -1.16 -10.96 -19.26
-21.36 -26.36 -16.76 -3.56 2.14 10.54 16.94 10.54 9.64 0.44 -11.36 -14.06
-19.86 -20.16 -15.86 -2.56 -2.96 12.34 17.44 11.14 7.94 -1.36 -9.96 -18.06
-23.36 -22.96 -14.46 -3.96 1.04 11.44 15.64 15.74 8.84 0.34 -14.46 -20.26
-19.56 -20.46 -5.66 -1.16 8.24 15.54 15.44 14.94 8.84 -6.96 -12.16 -16.96
-16.46 -19.26 -9.46 -2.36 3.54 16.84 17.54 12.54 7.34 -0.56 -9.86 -18.96
-19.56 -21.96 -10.26 -5.66 5.54 15.34 18.04 14.04 9.54 -1.86 -8.66 -16.06
-14.66 -18.26 -13.86 -9.36 -0.06 14.54 17.84 15.04 10.94 3.04 -11.76 -11.66
-20.76 -18.76 -9.16 -3.16 4.94 9.84 17.24 13.24 8.44 0.54 -6.46 -15.26
-15.06 -15.66 -14.56 -5.46 0.34 10.54 15.74 13.74 8.64 -1.16 -11.66 -18.56
-15.66 -18.46 -6.56 -5.46 -2.26 11.84 13.14 12.44 7.24 0.14 -11.16 -18.56
-25.66 -16.16 -16.06 -4.86 5.24 13.54 16.24 14.54 8.94 -1.36 -13.36 -20.66
-19.26 -16.46 -15.16 -8.36 2.84 10.94 17.84 15.24 9.84 -1.46 -13.76 -13.86
-22.76 -22.56 -15.46 -7.86 0.94 12.54 16.14 12.64 8.24 2.74 -6.56 -19.26
-13.46 -23.16 -16.16 -8.16 1.54 10.44 15.24 15.34 7.24 -1.86 -8.36 -19.56
-22.25 -14.25 -9.55 -3.05 3.65 11.55 15.55 12.25 5.25 -0.55 -14.05 -23.95
-24.35 -18.55 -20.95 -7.95 0.05 9.95 20.35 14.65 7.45 -7.75 -21.25 -24.25
-21.15 -14.65 -10.05 -3.05 2.05 10.15 15.95 14.45 8.05 -2.55 -11.15 -15.25
-15.75 -23.05 -7.95 -1.75 5.55 13.45 16.25 15.45 7.85 2.35 -9.65 -20.15
-19.55 -14.25 -10.35 -5.45 4.05 9.45 16.35 14.05 9.35 0.65 -10.35 -14.35
-23.25 -18.75 -10.95 -1.75 4.85 13.35 16.35 15.45 8.05 0.75 -11.85 -14.05
-25.65 -14.05 -6.75 0.05 0.75 10.75 17.85 16.75 10.35 -1.25 -15.25 -24.95
-25.35 -14.55 -15.45 -3.05 3.45 11.95 15.85 14.25 8.55 -2.35 -13.55 -22.45
-19.95 -13.95 -13.25 -7.85 1.25 12.55 17.85 13.75 9.55 1.15 -7.85 -16.05
-18.35 -10.75 -15.45 -5.45 4.65 10.75 17.85 13.55 8.75 -3.95 -14.55 -17.05
-19.15 -22.25 -17.65 -5.05 2.15 13.45 19.55 12.35 7.85 -1.75 -11.55 -14.35
-20.45 -27.35 -16.25 -4.75 3.25 12.35 13.85 12.05 8.45 -5.85 -10.75 -17.95
-21.95 -21.55 -10.75 -4.15 2.55 11.85 16.85 14.95 7.35 -3.55 -10.85 -10.75
-23.25 -19.95 -15.25 -8.65 4.05 10.95 12.95 17.15 8.25 -1.25 -12.45 -12.25
-20.25 -13.45 -15.35 -2.55 6.95 15.35 20.55 14.75 8.05 -2.55 -12.65 -24.15
-16.45 -14.55 -4.15 -5.05 2.35 12.45 19.25 14.95 8.05 -0.15 -11.25 -16.95
-14.65 -11.05 -12.25 -0.25 7.85 12.15 19.75 12.95 10.45 -2.25 -7.85 -18.35
-20.45 -16.55 -21.65 -4.65 4.85 13.25 17.65 14.35 8.05 1.65 -12.05 -22.55
-24.55 -18.45 -16.85 -9.65 2.05 11.35 18.85 13.65 8.75 0.05 -17.35 -14.35
-19.25 -21.05 -9.55 -4.55 1.75 12.35 17.95 13.75 7.45 -2.75 -19.35 -15.55
-20.05 -30.35 -16.85 -6.85 3.75 10.45 17.45 13.55 8.35 -5.25 -8.15 -18.45
-21.85 -16.55 -3.35 2.25 3.85 12.35 18.65 14.95 7.95 3.35 -3.45 -13.35
-23.15 -15.85 -6.05 -7.05 3.95 9.85 13.65 13.55 5.75 -2.55 -21.25 -26.15
-27.35 -24.05 -14.75 -6.75 -1.35 9.05 17.35 11.35 7.65 -3.05 -6.15 -16.45
-23.45 -18.25 -7.95 -6.35 0.65 9.25 16.65 11.65 10.35 -2.15 -12.75 -15.95
-19.05 -24.35 -12.95 -8.85 2.75 9.85 15.95 13.25 8.95 -3.65 -7.45 -15.85
-24.75 -15.85 -12.85 -2.95 -0.55 11.85 16.05 13.65 5.75 0.15 -17.55 -15.55
-24.05 -14.25 -10.95 -1.25 4.75 13.15 15.55 15.05 5.85 -1.65 -9.65 -17.25
-22.15 -23.25 -8.35 -5.05 1.95 11.95 20.35 14.65 9.65 -2.35 -20.25 -9.25
-17.55 -18.65 -9.05 -2.25 2.75 10.95 15.75 13.15 9.75 -2.95 -11.05 -14.35
-22.01 -20.31 -11.01 -0.81 2.99 12.19 16.99 15.49 7.99 -7.91 -8.51 -14.11
-22.61 -27.51 -14.91 -0.61 7.29 15.39 17.39 13.59 7.99 -8.41 -5.61 -17.81
-17.71 -19.31 -11.21 -10.71 -0.01 7.89 15.39 11.19 7.19 -0.71 -9.71 -25.61
