"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-21.59 -24.69 -20.09 -7.49 -0.29 11.01 17.11 9.91 5.41 -4.19 -13.99 -16.79
-22.89 -29.79 -18.69 -7.19 0.81 9.91 11.41 9.61 6.01 -8.29 -13.19 -20.39
-24.39 -23.99 -13.19 -6.59 0.11 9.41 14.41 12.51 4.91 -5.99 -13.29 -13.19
-25.69 -22.39 -17.69 -11.09 1.61 8.51 10.51 14.71 5.81 -3.69 -14.89 -14.69
-22.69 -15.89 -17.79 -4.99 4.51 12.91 18.11 12.31 5.61 -4.99 -15.09 -26.59
-19.12 -17.22 -6.82 -7.72 -0.32 9.78 16.58 12.28 5.38 -2.82 -13.92 -19.62
-17.32 -13.72 -14.92 -2.92 5.18 9.48 17.08 10.28 7.78 -4.92 -10.52 -21.02
-23.12 -19.22 -24.32 -7.32 2.18 10.58 14.98 11.68 5.38 -1.02 -14.72 -25.22
-27.22 -21.12 -19.52 -12.32 -0.62 8.68 16.18 10.98 6.08 -2.62 -20.02 -17.02
-21.92 -23.72 -12.22 -7.22 -0.92 9.68 15.28 11.08 4.78 -5.42 -22.02 -18.22
-22.72 -33.02 -19.52 -9.52 1.08 7.78 14.78 10.88 5.68 -7.92 -10.82 -21.12
-24.52 -19.22 -6.02 -0.42 1.18 9.68 15.98 12.28 5.28 0.68 -6.12 -16.02
-25.82 -18.52 -8.72 -9.72 1.28 7.18 10.98 10.88 3.08 -5.22 -23.92 -28.82
-30.02 -26.72 -17.42 -9.42 -4.02 6.38 14.68 8.68 4.98 -5.72 -8.82 -19.12
-26.12 -20.92 -10.62 -9.02 -2.02 6.58 13.98 8.98 7.68 -4.82 -15.42 -18.62
-21.72 -27.02 -15.62 -11.52 0.08 7.18 13.28 10.58 6.28 -6.32 -10.12 -18.52
-27.42 -18.52 -15.52 -5.62 -3.22 9.18 13.38 10.98 3.08 -2.52 -20.22 -18.22
-26.72 -16.92 -13.62 -3.92 2.08 10.48 12.88 12.38 3.18 -4.32 -12.32 -19.92
-24.82 -25.92 -11.02 -7.72 -0.72 9.28 17.68 11.98 6.98 -5.02 -22.92 -11.92
-20.22 -21.32 -11.72 -4.92 0.08 8.28 13.08 10.48 7.08 -5.62 -13.72 -17.02
-21.38 -17.28 -16.78 -9.08 -2.78 9.92 13.02 8.92 5.02 -3.78 -13.58 -21.88
-23.98 -28.98 -19.38 -6.18 -0.48 7.92 14.32 7.92 7.02 -2.18 -13.98 -16.68
-22.48 -22.78 -18.48 -5.18 -5.58 9.72 14.82 8.52 5.32 -3.98 -12.58 -20.68
-25.98 -25.58 -17.08 -6.58 -1.58 8.82 13.02 13.12 6.22 -2.28 -17.08 -22.88
-22.18 -23.08 -8.28 -3.78 5.62 12.92 12.82 12.32 6.22 -9.58 -14.78 -19.58
-19.08 -21.88 -12.08 -4.98 0.92 14.22 14.92 9.92 4.72 -3.18 -12.48 -21.58
-22.18 -24.58 -12.88 -8.28 2.92 12.72 15.42 11.42 6.92 -4.48 -11.28 -18.68
-17.28 -20.88 -16.48 -11.98 -2.68 11.92 15.22 12.42 8.32 0.42 -14.38 -14.28
-23.38 -21.38 -11.78 -5.78 2.32 7.22 14.62 10.62 5.82 -2.08 -9.08 -17.88
-17.68 -18.28 -17.18 -8.08 -2.28 7.92 13.12 11.12 6.02 -3.78 -14.28 -21.18
-18.28 -21.08 -9.18 -8.08 -4.88 9.22 10.52 9.82 4.62 -2.48 -13.78 -21.18
-28.28 -18.78 -18.68 -7.48 2.62 10.92 13.62 11.92 6.32 -3.98 -15.98 -23.28
-21.88 -19.08 -17.78 -10.98 0.22 8.32 15.22 12.62 7.22 -4.08 -16.38 -16.48
-25.38 -25.18 -18.08 -10.48 -1.68 9.92 13.52 10.02 5.62 0.12 -9.18 -21.88
-16.08 -25.78 -18.78 -10.78 -1.08 7.82 12.62 12.72 4.62 -4.48 -10.98 -22.18
-19.32 -17.42 -7.02 -7.92 -0.52 9.58 16.38 12.08 5.18 -3.02 -14.12 -19.82
-17.52 -13.92 -15.12 -3.12 4.98 9.28 16.88 10.08 7.58 -5.12 -10.72 -21.22
-23.32 -19.42 -24.52 -7.52 1.98 10.38 14.78 11.48 5.18 -1.22 -14.92 -25.42
-27.42 -21.32 -19.72 -12.52 -0.82 8.48 15.98 10.78 5.88 -2.82 -20.22 -17.22
-22.12 -23.92 -12.42 -7.42 -1.12 9.48 15.08 10.88 4.58 -5.62 -22.22 -18.42
-22.92 -33.22 -19.72 -9.72 0.88 7.58 14.58 10.68 5.48 -8.12 -11.02 -21.32
-24.72 -19.42 -6.22 -0.62 0.98 9.48 15.78 12.08 5.08 0.48 -6.32 -16.22
-26.02 -18.72 -8.92 -9.92 1.08 6.98 10.78 10.68 2.88 -5.42 -24.12 -29.02
-30.22 -26.92 -17.62 -9.62 -4.22 6.18 14.48 8.48 4.78 -5.92 -9.02 -19.32
-26.32 -21.12 -10.82 -9.22 -2.22 6.38 13.78 8.78 7.48 -5.02 -15.62 -18.82
-21.92 -27.22 -15.82 -11.72 -0.12 6.98 13.08 10.38 6.08 -6.52 -10.32 -18.72
-27.62 -18.72 -15.72 -5.82 -3.42 8.98 13.18 10.78 2.88 -2.72 -20.42 -18.42
-26.92 -17.12 -13.82 -4.12 1.88 10.28 12.68 12.18 2.98 -4.52 -12.52 -20.12
-25.02 -26.12 -11.22 -7.92 -0.92 9.08 17.48 11.78 6.78 -5.22 -23.12 -12.12
-20.42 -21.52 -11.92 -5.12 -0.12 8.08 12.88 10.28 6.88 -5.82 -13.92 -17.22
