"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-24.65 -22.95 -13.65 -3.45 0.35 9.55 14.35 12.85 5.35 -10.55 -11.15 -16.75
-25.25 -30.15 -17.55 -3.25 4.65 12.75 14.75 10.95 5.35 -11.05 -8.25 -20.45
-20.35 -21.95 -13.85 -13.35 -2.65 5.25 12.75 8.55 4.55 -3.35 -12.35 -28.25
-27.35 -27.55 -17.75 -11.75 1.65 6.55 13.85 10.85 7.35 -6.65 -11.35 -21.65
-26.35 -21.45 -15.15 -5.75 0.45 9.35 10.75 8.05 5.65 -2.85 -15.35 -17.95
-14.05 -18.25 -18.05 -8.95 -1.45 11.15 13.45 14.95 5.75 0.85 -9.25 -13.85
-26.75 -24.35 -18.65 -3.65 3.35 9.25 15.45 9.05 5.05 -8.95 -11.25 -13.35
-18.05 -20.75 -13.25 -8.35 -2.25 9.85 14.95 10.15 5.85 -1.65 -13.35 -17.55
-15.35 -15.05 -9.85 -13.95 0.85 9.95 15.05 10.95 5.15 -5.75 -21.25 -19.45
-28.55 -30.15 -11.65 -8.75 -2.25 9.95 12.05 10.75 7.15 -2.75 -14.75 -24.55
-21.35 -24.95 -9.95 -6.55 -1.85 8.35 11.85 9.05 2.75 -1.75 -7.65 -28.45
-26.65 -22.25 -13.45 -11.85 2.35 8.25 15.65 9.75 5.45 -0.35 -17.45 -21.65
-19.55 -21.95 -9.55 -11.05 0.65 9.65 15.45 11.65 5.35 -2.75 -15.35 -16.55
-25.65 -18.75 -7.75 -10.55 3.25 13.45 16.25 11.45 5.55 -2.65 -13.75 -22.15
-28.05 -17.95 -11.95 -2.75 0.95 11.35 18.25 11.25 3.95 -6.05 -20.35 -19.45
-22.37 -21.37 -17.67 -8.57 0.03 10.13 14.23 12.93 6.03 -2.07 -13.17 -21.77
-18.37 -24.77 -18.07 -4.17 -0.47 6.93 12.73 13.03 7.13 -2.67 -15.87 -22.47
-24.17 -25.17 -21.17 -7.87 -2.67 5.93 15.43 8.63 3.23 -2.37 -17.47 -27.97
-15.17 -16.67 -15.87 -9.87 1.53 7.93 11.03 10.93 1.63 -2.77 -8.27 -18.07
-19.47 -14.17 -13.47 -11.17 -0.87 8.03 12.53 9.93 4.83 -6.47 -11.97 -17.77
-23.27 -24.77 -17.07 -6.37 -0.57 10.03 13.33 11.43 5.33 -3.27 -8.97 -13.47
-17.27 -16.47 -19.07 -9.77 -1.77 10.03 12.33 10.23 4.73 -1.57 -11.77 -24.07
-21.67 -23.97 -12.67 -4.17 1.73 9.83 13.53 10.93 5.93 -6.07 -12.57 -25.17
-22.77 -19.47 -15.17 -7.57 -2.27 9.83 12.83 7.73 1.63 -4.67 -10.47 -18.07
-32.37 -20.37 -17.97 -6.17 -3.07 7.93 13.83 13.83 7.13 -7.77 -11.47 -26.57
-29.17 -23.97 -22.27 -12.27 0.23 7.93 9.13 10.93 4.43 -3.17 -14.57 -25.47
-26.37 -19.37 -24.17 -8.87 0.23 10.83 13.83 10.43 5.53 -6.17 -13.17 -17.47
-26.37 -14.97 -14.47 -2.67 3.63 9.83 14.73 11.83 6.53 -3.37 -9.97 -18.27
-17.57 -16.97 -14.57 -6.17 0.83 8.23 12.03 9.33 6.13 -0.77 -12.67 -16.07
-19.67 -23.37 -19.97 -7.37 0.03 10.53 11.23 13.53 6.13 -4.07 -18.17 -27.17
-25.05 -17.05 -12.35 -5.85 0.85 8.75 12.75 9.45 2.45 -3.35 -16.85 -26.75
-27.15 -21.35 -23.75 -10.75 -2.75 7.15 17.55 11.85 4.65 -10.55 -24.05 -27.05
-23.95 -17.45 -12.85 -5.85 -0.75 7.35 13.15 11.65 5.25 -5.35 -13.95 -18.05
-18.55 -25.85 -10.75 -4.55 2.75 10.65 13.45 12.65 5.05 -0.45 -12.45 -22.95
-22.35 -17.05 -13.15 -8.25 1.25 6.65 13.55 11.25 6.55 -2.15 -13.15 -17.15
-26.05 -21.55 -13.75 -4.55 2.05 10.55 13.55 12.65 5.25 -2.05 -14.65 -16.85
-28.45 -16.85 -9.55 -2.75 -2.05 7.95 15.05 13.95 7.55 -4.05 -18.05 -27.75
-28.15 -17.35 -18.25 -5.85 0.65 9.15 13.05 11.45 5.75 -5.15 -16.35 -25.25
-22.75 -16.75 -16.05 -10.65 -1.55 9.75 15.05 10.95 6.75 -1.65 -10.65 -18.85
-21.15 -13.55 -18.25 -8.25 1.85 7.95 15.05 10.75 5.95 -6.75 -17.35 -19.85
-21.95 -25.05 -20.45 -7.85 -0.65 10.65 16.75 9.55 5.05 -4.55 -14.35 -17.15
-23.25 -30.15 -19.05 -7.55 0.45 9.55 11.05 9.25 5.65 -8.65 -13.55 -20.75
-24.75 -24.35 -13.55 -6.95 -0.25 9.05 14.05 12.15 4.55 -6.35 -13.65 -13.55
-26.05 -22.75 -18.05 -11.45 1.25 8.15 10.15 14.35 5.45 -4.05 -15.25 -15.05
-23.05 -16.25 -18.15 -5.35 4.15 12.55 17.75 11.95 5.25 -5.35 -15.45 -26.95
-20.35 -22.95 -15.75 -6.55 -0.85 5.95 12.65 13.25 4.65 -6.25 -12.95 -18.65
-21.15 -26.65 -15.25 -4.95 0.25 8.65 10.25 11.55 6.05 -0.25 -13.85 -19.65
-20.95 -21.65 -16.75 -5.45 4.15 10.25 12.55 10.45 7.45 -0.65 -8.25 -23.15
-14.65 -26.75 -14.05 -3.65 0.05 7.35 10.25 13.15 3.35 -2.35 -14.35 -20.65
-28.65 -22.15 -10.75 -2.95 1.55 9.85 12.55 10.15 6.45 -0.95 -13.45 -15.45
-22.15 -25.65 -15.85 -0.05 0.15 8.15 14.05 11.75 6.95 -0.75 -12.45 -14.75
-18.65 -17.35 -22.05 -8.65 -1.75 9.05 15.15 9.95 6.95 -6.25 -17.95 -24.15
-22.45 -22.85 -17.65 -0.35 2.05 11.15 15.15 14.35 3.05 -3.25 -18.25 -12.85
-19.95 -24.95 -13.35 -4.55 1.55 10.45 16.85 10.65 6.55 -0.75 -14.05 -16.05
-14.75 -26.75 -20.75 -4.25 3.55 10.55 14.25 9.55 4.95 -0.05 -16.85 -29.35
