"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
13.69 15.99 18.79 26.69 30.99 34.89 35.89 50.29 39.29 40.49 31.49 30.29
17.39 18.49 11.59 30.89 24.89 38.39 70.89 48.49 25.99 16.29 18.69 21.19
15.59 8.39 23.49 19.69 33.19 34.19 47.89 57.19 69.39 23.39 32.19 33.89
18.09 11.59 11.59 13.69 31.39 23.59 54.19 63.99 53.59 28.09 20.39 13.99
19.29 18.59 21.29 25.79 43.69 79.69 85.19 62.19 62.09 22.79 22.19 17.59
16.12 20.52 11.12 14.62 22.92 26.12 61.32 49.82 31.52 14.52 24.62 16.92
16.12 16.92 13.12 13.92 19.52 66.72 45.72 93.62 67.82 16.32 15.02 20.92
13.62 21.82 15.22 5.32 16.62 55.92 42.12 36.22 54.62 40.42 21.12 21.82
20.82 7.92 6.52 13.72 67.92 47.12 106.52 62.32 42.32 15.42 21.12 21.32
9.62 19.02 12.52 12.32 46.12 38.72 71.42 82.42 47.82 39.82 27.62 22.62
11.02 7.32 18.72 19.72 36.72 73.62 41.72 102.62 48.62 11.42 27.62 19.22
13.72 9.62 16.92 10.22 13.32 9.22 37.32 16.12 17.62 19.62 6.22 6.42
18.82 9.72 14.52 9.02 50.72 15.82 21.62 39.02 63.22 17.42 13.82 8.72
12.72 9.72 10.62 6.72 6.72 38.22 133.12 87.72 35.52 13.42 24.32 16.52
14.72 7.22 29.12 11.32 17.42 17.72 97.42 57.72 61.62 20.32 18.52 17.72
13.62 15.92 18.72 26.62 30.92 34.82 35.82 50.22 39.22 40.42 31.42 30.22
17.32 18.42 11.52 30.82 24.82 38.32 70.82 48.42 25.92 16.22 18.62 21.12
15.52 8.32 23.42 19.62 33.12 34.12 47.82 57.12 69.32 23.32 32.12 33.82
18.02 11.52 11.52 13.62 31.32 23.52 54.12 63.92 53.52 28.02 20.32 13.92
19.22 18.52 21.22 25.72 43.62 79.62 85.12 62.12 62.02 22.72 22.12 17.52
20.06 13.16 4.86 5.96 47.66 32.66 25.36 66.56 54.16 26.86 25.96 16.66
16.36 5.06 7.66 22.36 30.36 19.46 52.76 40.16 64.46 47.36 15.16 13.56
20.36 9.86 7.16 7.46 22.26 51.26 108.66 74.06 52.26 47.26 17.26 25.86
24.66 16.86 17.96 22.36 53.96 18.96 35.06 51.56 38.56 43.26 23.26 24.86
20.06 15.56 16.36 22.26 33.26 49.36 59.16 60.06 42.76 31.56 13.56 19.06
19.66 15.96 14.36 22.16 33.96 50.06 71.66 57.86 55.16 33.76 23.56 18.36
15.96 16.26 24.16 8.76 25.56 25.96 71.46 84.06 42.56 34.66 32.36 32.16
15.96 13.16 14.36 5.76 34.46 39.06 75.16 76.16 50.86 41.36 12.06 18.16
7.46 2.96 19.26 15.96 31.46 53.06 120.56 52.46 32.66 16.36 32.06 10.66
19.66 17.16 11.76 18.26 20.16 38.36 19.96 64.46 53.46 34.06 22.36 14.96
11.06 6.76 7.96 6.96 13.06 29.86 57.36 101.96 30.86 30.86 20.96 10.46
4.66 5.36 9.36 20.36 41.86 26.76 40.66 47.96 86.66 25.66 17.76 7.26
12.16 12.66 7.66 9.36 19.36 36.76 45.56 34.76 42.86 25.56 12.46 13.66
10.86 10.36 17.96 27.06 23.76 67.06 79.76 75.46 36.06 42.96 16.16 11.26
11.76 7.36 15.06 27.56 24.46 60.26 36.96 29.66 53.06 18.56 13.76 9.56
12.98 10.98 6.58 18.18 19.18 27.58 36.48 42.88 9.48 17.28 15.78 17.68
4.48 2.08 16.48 12.08 28.18 23.78 61.18 22.28 26.98 30.68 22.18 7.28
12.68 4.18 6.78 11.08 22.08 64.08 90.58 39.58 43.18 39.78 11.48 7.88
19.98 5.98 2.48 17.28 25.58 46.38 70.38 54.88 36.38 39.48 15.78 5.68
5.18 11.38 12.18 25.18 37.08 47.08 55.48 57.18 55.08 23.58 10.78 13.58
14.88 5.98 13.48 22.88 28.08 50.58 107.28 56.68 92.58 33.88 24.88 20.88
22.48 3.38 8.48 18.08 23.18 46.58 35.88 71.58 55.18 26.78 2.88 11.68
17.28 7.58 19.18 16.48 20.48 38.38 83.18 40.88 90.88 34.68 5.28 15.98
17.28 11.58 16.48 9.88 19.18 89.98 32.38 47.78 48.68 33.68 17.58 5.28
16.58 5.68 13.08 10.68 51.48 65.98 49.28 48.08 37.68 55.68 29.38 6.98
7.28 1.08 5.68 11.18 37.98 34.38 99.08 75.38 87.18 28.28 25.98 29.78
22.28 17.88 9.48 11.58 36.18 102.08 55.98 49.28 66.08 50.38 32.78 34.58
17.38 26.68 16.38 17.68 24.88 41.38 79.68 71.08 55.88 38.78 27.38 10.28
20.58 9.68 12.38 20.08 34.18 42.48 48.58 37.18 80.18 29.68 12.08 12.08
9.48 19.98 10.08 8.28 7.78 36.38 27.88 44.18 47.78 24.48 20.38 9.08
12.08 10.08 5.68 17.28 18.28 26.68 35.58 41.98 8.58 16.38 14.88 16.78
3.58 1.18 15.58 11.18 27.28 22.88 60.28 21.38 26.08 29.78 21.28 6.38
11.78 3.28 5.88 10.18 21.18 63.18 89.68 38.68 42.28 38.88 10.58 6.98
19.08 5.08 1.58 16.38 24.68 45.48 69.48 53.98 35.48 38.58 14.88 4.78
4.28 10.48 11.28 24.28 36.18 46.18 54.58 56.28 54.18 22.68 9.88 12.68
13.98 5.08 12.58 21.98 27.18 49.68 106.38 55.78 91.68 32.98 23.98 19.98
21.58 2.48 7.58 17.18 22.28 45.68 34.98 70.68 54.28 25.88 1.98 10.78
16.38 6.68 18.28 15.58 19.58 37.48 82.28 39.98 89.98 33.78 4.38 15.08
16.38 10.68 15.58 8.98 18.28 89.08 31.48 46.88 47.78 32.78 16.68 4.38
15.68 4.78 12.18 9.78 50.58 65.08 48.38 47.18 36.78 54.78 28.48 6.08
6.38 0.18 4.78 10.28 37.08 33.48 98.18 74.48 86.28 27.38 25.08 28.88
21.38 16.98 8.58 10.68 35.28 101.18 55.08 48.38 65.18 49.48 31.88 33.68
16.48 25.78 15.48 16.78 23.98 40.48 78.78 70.18 54.98 37.88 26.48 9.38
19.68 8.78 11.48 19.18 33.28 41.58 47.68 36.28 79.28 28.78 11.18 11.18
8.58 19.08 9.18 7.38 6.88 35.48 26.98 43.28 46.88 23.58 19.48 8.18
16.8 3.4 12.2 8.9 15.4 86.5 58 25.3 55.7 38.7 19.2 4.8
14.9 11.2 10.9 10.9 20.6 52 58.6 58.9 47.9 54.7 20.2 11
9.7 3 10 10.5 32.4 38.2 27.7 69.6 55.1 32.9 18.1 6.7
11.5 7.9 8.2 13.9 39.5 39.8 30.6 59.8 24.1 26 20.7 15.1
5.5 12 9 21.4 34.3 60.8 27.6 60 40.4 19.4 11.2 9.9
10.7 11.1 8.8 9.5 17.1 21.3 55.4 38.6 62.1 28.4 17.8 12.9
8.5 7.2 12.1 7.4 11.9 46.2 87.1 14.6 51 36.8 8.3 6.5
5.8 9.3 20 34 43.8 56.5 38.6 73.8 45.2 19 24.8 11.4
16.9 13.7 5.1 35.3 30.4 61.8 86.5 81.6 55.7 31.5 10.2 9.3
5.7 13.3 13.1 27.2 15.7 33.6 72.7 32.5 26.1 13.7 22.3 8.4
14.8 6.1 7 10.4 26.2 99.4 46.8 57.4 69.9 23.4 8.9 15.6
5.4 7.6 12 20.6 26.5 72.1 109.6 79.3 30.3 36.1 15.3 12.7
7.3 10.6 15.4 30.4 30.6 55.5 28 85.4 62 47.7 13.8 10.2
22.2 11.5 13.1 28.3 33.9 49.4 68.3 86.1 50.7 29.7 9.1 5.4
6 4.1 5.7 17.1 38.6 41.9 60.1 63.5 51 51.6 20.7 6.9
23.07 15.17 15.17 17.77 34.17 35.57 7.97 34.77 34.57 23.87 31.27 26.17
24.77 15.37 14.67 14.97 30.67 57.97 38.77 51.87 48.77 38.17 20.07 25.87
7.47 22.17 1.67 5.27 20.77 51.07 42.37 75.77 42.67 24.37 23.27 9.07
20.17 3.67 8.07 9.57 18.07 22.17 55.97 69.27 72.67 29.97 15.07 6.37
5.67 0.87 8.57 10.17 31.37 40.07 124.47 65.27 53.97 35.47 6.57 15.87
23.77 7.37 8.97 9.97 24.07 64.27 116.27 88.57 82.97 40.37 39.77 0.37
13.77 6.97 12.57 30.77 37.07 49.67 57.97 28.17 36.47 45.47 19.07 20.37
4.37 8.47 27.37 14.87 32.97 30.57 77.47 78.67 34.27 21.67 10.27 6.47
2.07 1.07 9.47 13.37 14.07 65.77 55.17 43.07 35.27 18.87 20.77 1.57
17.57 7.67 6.57 12.27 26.37 31.37 30.57 29.17 39.07 30.97 16.37 16.47
25.87 0.07 9.27 13.47 27.77 58.97 58.87 63.57 46.37 39.77 41.37 9.77
15.37 20.47 7.27 28.07 29.27 13.67 43.77 62.27 28.37 35.07 27.87 26.17
20.67 8.37 16.67 19.47 17.17 39.97 50.77 42.17 41.87 42.47 27.77 16.47
9.57 8.67 14.37 17.97 18.07 13.57 32.67 30.87 57.07 32.87 6.87 22.07
15.17 15.17 10.57 31.47 42.87 84.97 74.07 72.47 51.57 27.77 21.17 9.77
11.79 9.79 5.39 16.99 17.99 26.39 35.29 41.69 8.29 16.09 14.59 16.49
3.29 0.89 15.29 10.89 26.99 22.59 59.99 21.09 25.79 29.49 20.99 6.09
11.49 2.99 5.59 9.89 20.89 62.89 89.39 38.39 41.99 38.59 10.29 6.69
18.79 4.79 1.29 16.09 24.39 45.19 69.19 53.69 35.19 38.29 14.59 4.49
3.99 10.19 10.99 23.99 35.89 45.89 54.29 55.99 53.89 22.39 9.59 12.39
13.69 4.79 12.29 21.69 26.89 49.39 106.09 55.49 91.39 32.69 23.69 19.69
21.29 2.19 7.29 16.89 21.99 45.39 34.69 70.39 53.99 25.59 1.69 10.49
16.09 6.39 17.99 15.29 19.29 37.19 81.99 39.69 89.69 33.49 4.09 14.79
16.09 10.39 15.29 8.69 17.99 88.79 31.19 46.59 47.49 32.49 16.39 4.09
15.39 4.49 11.89 9.49 50.29 64.79 48.09 46.89 36.49 54.49 28.19 5.79
6.09 0 4.49 9.99 36.79 33.19 97.89 74.19 85.99 27.09 24.79 28.59
21.09 16.69 8.29 10.39 34.99 100.89 54.79 48.09 64.89 49.19 31.59 33.39
16.19 25.49 15.19 16.49 23.69 40.19 78.49 69.89 54.69 37.59 26.19 9.09
19.39 8.49 11.19 18.89 32.99 41.29 47.39 35.99 78.99 28.49 10.89 10.89
8.29 18.79 8.89 7.09 6.59 35.19 26.69 42.99 46.59 23.29 19.19 7.89
18.25 4.85 13.65 10.35 16.85 87.95 59.45 26.75 57.15 40.15 20.65 6.25
16.35 12.65 12.35 12.35 22.05 53.45 60.05 60.35 49.35 56.15 21.65 12.45
11.15 4.45 11.45 11.95 33.85 39.65 29.15 71.05 56.55 34.35 19.55 8.15
12.95 9.35 9.65 15.35 40.95 41.25 32.05 61.25 25.55 27.45 22.15 16.55
6.95 13.45 10.45 22.85 35.75 62.25 29.05 61.45 41.85 20.85 12.65 11.35
12.15 12.55 10.25 10.95 18.55 22.75 56.85 40.05 63.55 29.85 19.25 14.35
9.95 8.65 13.55 8.85 13.35 47.65 88.55 16.05 52.45 38.25 9.75 7.95
7.25 10.75 21.45 35.45 45.25 57.95 40.05 75.25 46.65 20.45 26.25 12.85
18.35 15.15 6.55 36.75 31.85 63.25 87.95 83.05 57.15 32.95 11.65 10.75
7.15 14.75 14.55 28.65 17.15 35.05 74.15 33.95 27.55 15.15 23.75 9.85
16.25 7.55 8.45 11.85 27.65 100.85 48.25 58.85 71.35 24.85 10.35 17.05
6.85 9.05 13.45 22.05 27.95 73.55 111.05 80.75 31.75 37.55 16.75 14.15
8.75 12.05 16.85 31.85 32.05 56.95 29.45 86.85 63.45 49.15 15.25 11.65
23.65 12.95 14.55 29.75 35.35 50.85 69.75 87.55 52.15 31.15 10.55 6.85
7.45 5.55 7.15 18.55 40.05 43.35 61.55 64.95 52.45 53.05 22.15 8.35
17.94 4.54 13.34 10.04 16.54 87.64 59.14 26.44 56.84 39.84 20.34 5.94
16.04 12.34 12.04 12.04 21.74 53.14 59.74 60.04 49.04 55.84 21.34 12.14
10.84 4.14 11.14 11.64 33.54 39.34 28.84 70.74 56.24 34.04 19.24 7.84
12.64 9.04 9.34 15.04 40.64 40.94 31.74 60.94 25.24 27.14 21.84 16.24
6.64 13.14 10.14 22.54 35.44 61.94 28.74 61.14 41.54 20.54 12.34 11.04
11.84 12.24 9.94 10.64 18.24 22.44 56.54 39.74 63.24 29.54 18.94 14.04
9.64 8.34 13.24 8.54 13.04 47.34 88.24 15.74 52.14 37.94 9.44 7.64
6.94 10.44 21.14 35.14 44.94 57.64 39.74 74.94 46.34 20.14 25.94 12.54
18.04 14.84 6.24 36.44 31.54 62.94 87.64 82.74 56.84 32.64 11.34 10.44
6.84 14.44 14.24 28.34 16.84 34.74 73.84 33.64 27.24 14.84 23.44 9.54
15.94 7.24 8.14 11.54 27.34 100.54 47.94 58.54 71.04 24.54 10.04 16.74
6.54 8.74 13.14 21.74 27.64 73.24 110.74 80.44 31.44 37.24 16.44 13.84
8.44 11.74 16.54 31.54 31.74 56.64 29.14 86.54 63.14 48.84 14.94 11.34
23.34 12.64 14.24 29.44 35.04 50.54 69.44 87.24 51.84 30.84 10.24 6.54
7.14 5.24 6.84 18.24 39.74 43.04 61.24 64.64 52.14 52.74 21.84 8.04
13.05 11.05 6.65 18.25 19.25 27.65 36.55 42.95 9.55 17.35 15.85 17.75
4.55 2.15 16.55 12.15 28.25 23.85 61.25 22.35 27.05 30.75 22.25 7.35
12.75 4.25 6.85 11.15 22.15 64.15 90.65 39.65 43.25 39.85 11.55 7.95
20.05 6.05 2.55 17.35 25.65 46.45 70.45 54.95 36.45 39.55 15.85 5.75
5.25 11.45 12.25 25.25 37.15 47.15 55.55 57.25 55.15 23.65 10.85 13.65
14.95 6.05 13.55 22.95 28.15 50.65 107.35 56.75 92.65 33.95 24.95 20.95
22.55 3.45 8.55 18.15 23.25 46.65 35.95 71.65 55.25 26.85 2.95 11.75
17.35 7.65 19.25 16.55 20.55 38.45 83.25 40.95 90.95 34.75 5.35 16.05
17.35 11.65 16.55 9.95 19.25 90.05 32.45 47.85 48.75 33.75 17.65 5.35
16.65 5.75 13.15 10.75 51.55 66.05 49.35 48.15 37.75 55.75 29.45 7.05
7.35 1.15 5.75 11.25 38.05 34.45 99.15 75.45 87.25 28.35 26.05 29.85
22.35 17.95 9.55 11.65 36.25 102.15 56.05 49.35 66.15 50.45 32.85 34.65
17.45 26.75 16.45 17.75 24.95 41.45 79.75 71.15 55.95 38.85 27.45 10.35
20.65 9.75 12.45 20.15 34.25 42.55 48.65 37.25 80.25 29.75 12.15 12.15
9.55 20.05 10.15 8.35 7.85 36.45 27.95 44.25 47.85 24.55 20.45 9.15
17.52 4.12 12.92 9.62 16.12 87.22 58.72 26.02 56.42 39.42 19.92 5.52
15.62 11.92 11.62 11.62 21.32 52.72 59.32 59.62 48.62 55.42 20.92 11.72
10.42 3.72 10.72 11.22 33.12 38.92 28.42 70.32 55.82 33.62 18.82 7.42
12.22 8.62 8.92 14.62 40.22 40.52 31.32 60.52 24.82 26.72 21.42 15.82
6.22 12.72 9.72 22.12 35.02 61.52 28.32 60.72 41.12 20.12 11.92 10.62
11.42 11.82 9.52 10.22 17.82 22.02 56.12 39.32 62.82 29.12 18.52 13.62
9.22 7.92 12.82 8.12 12.62 46.92 87.82 15.32 51.72 37.52 9.02 7.22
6.52 10.02 20.72 34.72 44.52 57.22 39.32 74.52 45.92 19.72 25.52 12.12
17.62 14.42 5.82 36.02 31.12 62.52 87.22 82.32 56.42 32.22 10.92 10.02
6.42 14.02 13.82 27.92 16.42 34.32 73.42 33.22 26.82 14.42 23.02 9.12
15.52 6.82 7.72 11.12 26.92 100.12 47.52 58.12 70.62 24.12 9.62 16.32
6.12 8.32 12.72 21.32 27.22 72.82 110.32 80.02 31.02 36.82 16.02 13.42
8.02 11.32 16.12 31.12 31.32 56.22 28.72 86.12 62.72 48.42 14.52 10.92
22.92 12.22 13.82 29.02 34.62 50.12 69.02 86.82 51.42 30.42 9.82 6.12
6.72 4.82 6.42 17.82 39.32 42.62 60.82 64.22 51.72 52.32 21.42 7.62
16.46 3.06 11.86 8.56 15.06 86.16 57.66 24.96 55.36 38.36 18.86 4.46
14.56 10.86 10.56 10.56 20.26 51.66 58.26 58.56 47.56 54.36 19.86 10.66
9.36 2.66 9.66 10.16 32.06 37.86 27.36 69.26 54.76 32.56 17.76 6.36
11.16 7.56 7.86 13.56 39.16 39.46 30.26 59.46 23.76 25.66 20.36 14.76
5.16 11.66 8.66 21.06 33.96 60.46 27.26 59.66 40.06 19.06 10.86 9.56
10.36 10.76 8.46 9.16 16.76 20.96 55.06 38.26 61.76 28.06 17.46 12.56
8.16 6.86 11.76 7.06 11.56 45.86 86.76 14.26 50.66 36.46 7.96 6.16
5.46 8.96 19.66 33.66 43.46 56.16 38.26 73.46 44.86 18.66 24.46 11.06
16.56 13.36 4.76 34.96 30.06 61.46 86.16 81.26 55.36 31.16 9.86 8.96
5.36 12.96 12.76 26.86 15.36 33.26 72.36 32.16 25.76 13.36 21.96 8.06
14.46 5.76 6.66 10.06 25.86 99.06 46.46 57.06 69.56 23.06 8.56 15.26
5.06 7.26 11.66 20.26 26.16 71.76 109.26 78.96 29.96 35.76 14.96 12.36
6.96 10.26 15.06 30.06 30.26 55.16 27.66 85.06 61.66 47.36 13.46 9.86
21.86 11.16 12.76 27.96 33.56 49.06 67.96 85.76 50.36 29.36 8.76 5.06
5.66 3.76 5.36 16.76 38.26 41.56 59.76 63.16 50.66 51.26 20.36 6.56
12.6 10.6 6.2 17.8 18.8 27.2 36.1 42.5 9.1 16.9 15.4 17.3
4.1 1.7 16.1 11.7 27.8 23.4 60.8 21.9 26.6 30.3 21.8 6.9
12.3 3.8 6.4 10.7 21.7 63.7 90.2 39.2 42.8 39.4 11.1 7.5
19.6 5.6 2.1 16.9 25.2 46 70 54.5 36 39.1 15.4 5.3
