"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
9.71 8.71 10.71 14.41 26.41 43.41 59.01 73.41 36.71 32.91 32.01 13.81
15.51 10.31 15.51 20.01 22.41 40.81 54.01 37.41 40.51 35.61 30.31 16.01
18.51 14.71 12.91 16.61 20.11 48.01 56.41 57.81 44.91 32.71 19.31 18.41
16.61 15.41 19.01 14.11 45.01 53.51 37.01 41.91 40.21 25.01 30.51 34.31
8.31 11.31 16.01 12.51 29.11 27.41 89.81 41.91 35.71 20.71 28.61 16.21
13.81 13.51 12.31 20.51 35.11 58.61 43.41 37.61 47.51 31.21 18.41 19.01
10.31 13.61 12.21 23.61 22.11 35.51 26.31 58.61 60.81 27.21 16.71 24.11
17.41 7.51 16.41 17.91 25.01 24.41 45.61 57.31 28.41 28.21 23.21 15.71
15.51 15.71 8.61 13.11 25.61 37.91 38.01 50.51 21.91 20.41 13.91 14.51
13.71 6.61 18.21 15.11 21.91 36.91 72.71 56.31 46.01 21.31 21.61 11.71
19.41 13.31 16.81 14.91 21.01 32.51 93.11 54.31 49.91 21.91 20.71 11.61
14.11 12.11 12.71 8.41 17.51 45.11 48.51 47.51 15.01 21.51 13.31 17.61
18.11 10.01 12.71 31.01 14.91 52.81 57.91 86.71 44.51 22.11 23.41 12.91
11.41 11.11 23.01 23.81 36.41 48.11 61.51 56.41 37.41 36.91 33.11 19.71
12.41 11.31 24.01 17.51 39.01 39.91 28.51 43.31 40.91 35.71 21.81 16.01
16.09 7.19 14.49 10.99 25.99 38.99 37.99 38.59 36.29 20.29 21.69 16.69
14.69 10.69 12.99 13.59 25.59 67.19 53.69 55.69 38.69 27.69 21.69 16.69
14.69 10.69 13.69 17.69 27.69 48.69 53.69 55.69 51.89 21.89 20.19 16.79
8.59 6.29 8.79 9.19 21.79 28.39 42.69 51.59 38.69 18.59 12.39 11.69
14.69 10.69 13.69 17.69 27.69 48.69 53.69 52.19 32.69 27.69 21.69 16.69
9.39 9.19 9.09 10.59 19.89 53.89 44.39 53.49 28.29 30.69 15.69 12.59
11.19 6.89 13.19 9.89 21.19 62.09 76.19 44.29 31.69 14.89 12.49 10.59
8.79 9.69 18.99 25.79 29.69 41.39 37.29 43.99 33.69 29.99 14.09 10.59
12.19 10.89 10.79 15.39 25.79 31.39 38.59 53.89 34.29 19.09 18.89 22.29
9.49 11.09 16.69 19.29 22.19 61.09 73.89 52.29 28.79 21.59 17.99 15.69
11.39 10.39 8.69 15.79 15.39 62.69 109.39 70.99 45.79 20.49 25.69 9.59
20.49 15.49 11.99 12.99 21.59 73.59 49.19 60.49 29.69 37.49 23.99 21.99
18.99 12.69 14.49 25.69 40.39 42.39 105.99 45.69 36.19 34.29 20.39 16.39
11.19 9.09 10.39 12.09 25.29 55.59 79.79 79.29 34.89 36.99 14.69 12.79
10.39 7.49 8.59 28.49 47.49 48.49 73.09 68.79 32.09 20.59 37.99 13.19
