"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-35.25 -30.05 -24.15 -9.45 0.85 10.35 18.75 13.55 5.55 -5.55 -25.45 -33.95
-30.85 -31.45 -27.85 -7.35 0.75 9.25 16.95 13.05 5.45 -12.75 -25.15 -32.65
-37.45 -33.65 -16.85 -11.65 0.35 12.25 16.05 11.95 5.55 -5.65 -25.35 -25.95
-28.95 -26.15 -22.85 -9.05 1.45 10.05 15.85 14.85 5.85 -7.85 -25.35 -30.25
-34.75 -36.25 -22.15 -8.95 2.85 13.65 19.85 14.35 4.65 -10.85 -23.95 -35.15
-38.33 -30.63 -15.73 -9.23 -0.13 8.57 15.37 10.87 6.77 -9.33 -24.03 -35.63
-29.33 -25.93 -20.53 -9.33 -1.23 10.17 17.77 13.67 5.87 -7.83 -28.43 -33.73
-30.93 -25.53 -19.43 -12.43 -1.33 9.67 17.37 13.67 4.97 -4.83 -22.13 -32.13
-30.83 -25.33 -25.93 -13.13 -1.43 9.27 18.47 13.27 6.57 -7.93 -25.43 -31.23
-35.23 -35.83 -19.23 -9.33 -0.23 7.37 18.27 14.27 4.87 -6.03 -30.33 -31.53
-37.03 -39.73 -25.93 -13.93 1.57 9.97 16.07 12.37 6.17 -9.73 -28.93 -26.53
-30.83 -30.93 -19.43 -8.33 0.07 12.67 20.67 11.77 4.77 -0.53 -19.23 -23.43
-34.13 -28.23 -12.03 -6.53 -0.03 8.87 18.27 11.37 3.27 -7.23 -34.13 -37.23
-38.93 -41.43 -23.03 -12.43 0.47 10.47 20.27 13.37 2.67 -9.73 -20.53 -28.73
-33.03 -32.93 -20.83 -10.83 -1.93 9.17 19.17 10.67 5.67 -9.53 -22.53 -29.73
-31.93 -33.93 -21.73 -11.23 1.07 11.07 18.27 15.17 5.97 -6.53 -16.53 -28.13
-36.73 -32.03 -21.83 -8.03 -0.83 12.27 16.97 12.27 2.47 -7.63 -29.43 -32.03
-30.73 -27.33 -18.03 -12.13 0.77 9.57 17.47 14.07 6.27 -7.43 -24.03 -30.33
-39.23 -36.03 -19.53 -8.63 -0.93 8.67 14.57 13.27 5.67 -14.03 -31.43 -31.73
-29.03 -29.93 -17.93 -8.33 2.47 12.87 17.57 12.27 5.67 -6.63 -23.63 -24.23
-30.49 -33.79 -23.49 -7.59 -0.79 10.71 15.71 10.91 5.41 -11.69 -24.59 -35.59
-35.49 -35.79 -23.19 -8.49 2.01 10.51 15.41 10.71 4.31 -13.59 -21.99 -32.69
-36.99 -25.29 -21.99 -9.49 0.01 10.01 17.71 12.71 3.91 -4.99 -15.59 -34.39
-43.39 -40.39 -24.19 -12.29 -1.79 13.81 18.71 11.51 4.41 -11.09 -25.39 -28.39
-36.59 -31.19 -23.89 -9.99 -1.59 9.81 18.11 15.11 5.71 -5.19 -27.49 -30.19
-24.19 -29.19 -20.39 -6.99 0.21 11.21 16.61 12.51 3.71 -10.49 -21.29 -26.59
-36.69 -26.09 -24.69 -5.89 0.31 10.61 17.11 13.51 3.41 -14.59 -26.99 -28.89
-30.09 -29.19 -17.39 -12.89 -0.39 11.31 15.91 13.11 6.41 -6.29 -16.09 -27.19
-29.69 -30.89 -21.59 -15.79 1.91 12.61 20.31 12.81 6.21 -9.99 -29.09 -30.39
-37.39 -35.59 -22.29 -8.99 0.31 13.91 15.91 11.81 4.91 -5.89 -21.39 -31.59
-34.39 -25.29 -21.69 -11.59 -0.19 10.31 19.31 12.81 4.71 -4.59 -20.39 -32.19
-37.79 -30.99 -23.49 -11.29 -0.69 6.31 17.21 13.01 5.11 -7.99 -31.19 -31.49
-31.19 -32.79 -20.99 -12.89 1.01 10.71 16.01 12.21 6.91 -6.59 -20.49 -22.49
-32.49 -23.59 -16.39 -12.09 1.41 6.91 14.71 11.11 2.51 -7.79 -25.69 -27.79
-37.99 -30.39 -11.29 -7.39 2.91 13.01 18.21 12.61 4.81 -7.19 -27.09 -30.59
-30.6 -33.9 -23.6 -7.7 -0.9 10.6 15.6 10.8 5.3 -11.8 -24.7 -35.7
-35.6 -35.9 -23.3 -8.6 1.9 10.4 15.3 10.6 4.2 -13.7 -22.1 -32.8
-37.1 -25.4 -22.1 -9.6 -0.1 9.9 17.6 12.6 3.8 -5.1 -15.7 -34.5
-43.5 -40.5 -24.3 -12.4 -1.9 13.7 18.6 11.4 4.3 -11.2 -25.5 -28.5
-36.7 -31.3 -24 -10.1 -1.7 9.7 18 15 5.6 -5.3 -27.6 -30.3
-24.3 -29.3 -20.5 -7.1 0.1 11.1 16.5 12.4 3.6 -10.6 -21.4 -26.7
-36.8 -26.2 -24.8 -6 0.2 10.5 17 13.4 3.3 -14.7 -27.1 -29
-30.2 -29.3 -17.5 -13 -0.5 11.2 15.8 13 6.3 -6.4 -16.2 -27.3
-29.8 -31 -21.7 -15.9 1.8 12.5 20.2 12.7 6.1 -10.1 -29.2 -30.5
-37.5 -35.7 -22.4 -9.1 0.2 13.8 15.8 11.7 4.8 -6 -21.5 -31.7
-34.5 -25.4 -21.8 -11.7 -0.3 10.2 19.2 12.7 4.6 -4.7 -20.5 -32.3
-37.9 -31.1 -23.6 -11.4 -0.8 6.2 17.1 12.9 5 -8.1 -31.3 -31.6
-31.3 -32.9 -21.1 -13 0.9 10.6 15.9 12.1 6.8 -6.7 -20.6 -22.6
-32.6 -23.7 -16.5 -12.2 1.3 6.8 14.6 11 2.4 -7.9 -25.8 -27.9
-38.1 -30.5 -11.4 -7.5 2.8 12.9 18.1 12.5 4.7 -7.3 -27.2 -30.7
-32.49 -31.29 -24.19 -10.99 -1.69 8.91 15.41 12.81 7.51 -5.99 -28.39 -39.09
-33.79 -29.99 -21.59 -9.89 2.21 11.51 17.21 11.21 6.11 -9.89 -25.69 -30.39
-29.99 -30.09 -19.69 -10.99 -1.49 9.91 18.71 13.31 6.81 -8.89 -24.19 -36.39
-39.39 -33.49 -21.69 -10.99 -0.99 9.71 17.61 13.01 5.31 -7.59 -24.69 -30.29
-33.59 -30.79 -19.99 -10.39 -0.49 10.61 16.91 13.21 3.21 -9.89 -24.79 -37.59
-29.59 -29.09 -17.79 -11.19 -2.69 9.91 20.61 12.71 5.91 -6.89 -23.09 -32.89
-35.19 -38.49 -16.69 -11.29 2.11 13.11 19.51 14.21 4.61 -8.29 -26.49 -29.49
