"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
12.63 15.13 17.13 28.13 28.43 37.63 34.53 55.03 36.13 37.93 28.33 29.33
15.33 19.33 9.83 32.23 25.83 40.73 77.53 51.43 25.53 15.83 18.03 19.33
13.93 8.13 24.63 23.73 38.13 30.43 55.63 64.33 73.13 21.93 30.63 30.53
13.93 10.53 10.83 14.03 35.13 27.03 59.93 70.33 51.73 28.13 17.13 12.63
15.43 16.83 19.03 26.93 47.63 92.73 78.23 67.63 59.53 19.63 19.53 14.43
14.65 20.95 10.55 13.25 25.95 30.35 55.45 53.05 31.35 12.65 23.95 13.85
15.35 13.95 12.35 15.15 21.85 82.15 44.75 97.55 64.65 14.15 10.95 18.05
11.55 21.15 14.95 4.95 17.15 64.95 45.45 36.35 52.25 35.75 20.55 20.35
17.85 7.45 6.35 15.35 75.05 44.85 114.15 62.95 43.15 12.15 18.25 18.65
8.75 18.25 11.05 12.75 54.25 43.55 73.55 87.45 48.15 35.95 26.35 18.45
8.35 5.95 15.85 21.55 42.15 80.55 45.25 119.75 48.75 9.25 27.95 17.85
12.45 9.25 16.85 10.95 14.85 10.15 40.05 17.35 17.75 18.15 6.15 6.25
16.75 9.35 14.55 9.65 57.55 17.65 23.25 41.95 63.05 16.15 13.25 8.25
11.45 9.35 10.65 7.15 7.15 43.15 142.75 94.25 35.55 12.55 22.85 14.95
12.95 6.75 30.35 10.25 14.65 12.65 101.75 60.75 63.05 17.75 18.35 15.95
12.55 15.05 17.05 28.05 28.35 37.55 34.45 54.95 36.05 37.85 28.25 29.25
15.25 19.25 9.75 32.15 25.75 40.65 77.45 51.35 25.45 15.75 17.95 19.25
13.85 8.05 24.55 23.65 38.05 30.35 55.55 64.25 73.05 21.85 30.55 30.45
13.85 10.45 10.75 13.95 35.05 26.95 59.85 70.25 51.65 28.05 17.05 12.55
15.35 16.75 18.95 26.85 47.55 92.65 78.15 67.55 59.45 19.55 19.45 14.35
15.64 11.74 4.94 6.64 50.34 38.44 29.64 79.34 56.44 23.04 22.34 12.64
12.14 4.74 8.44 21.84 31.14 24.24 66.34 44.94 60.64 42.24 15.04 12.34
14.84 9.04 7.04 7.64 17.84 64.04 109.44 63.94 47.94 39.14 13.04 18.54
17.24 14.54 16.44 24.44 54.94 18.94 30.94 51.94 39.74 38.04 21.34 18.24
16.64 13.24 14.24 22.44 39.84 58.14 55.44 64.04 45.64 25.94 14.04 13.84
15.74 14.14 12.04 22.14 41.94 60.14 92.34 57.54 57.84 30.74 18.64 13.24
10.94 14.34 21.94 9.94 31.04 40.94 84.54 112.64 37.04 28.64 26.74 25.34
13.24 11.84 13.64 6.94 35.74 44.24 91.74 90.04 59.24 38.04 10.04 15.94
6.74 3.64 19.34 18.64 37.54 61.44 129.84 63.64 34.44 16.44 29.94 9.54
16.34 15.04 10.94 21.84 21.34 42.84 22.54 70.44 46.64 28.94 21.04 13.04
9.14 6.64 7.94 8.94 13.24 31.74 54.34 104.34 32.34 27.64 19.24 9.54
4.74 5.94 9.64 21.34 44.54 30.84 40.94 54.84 83.04 22.84 15.34 6.44
10.14 10.04 7.44 8.74 22.74 33.64 44.84 36.14 43.54 22.44 11.74 11.34
8.84 9.44 16.04 25.94 25.44 76.94 76.14 79.04 39.14 39.74 16.44 10.94
10.14 7.04 13.14 27.64 26.24 64.74 41.04 29.74 52.74 16.24 12.74 8.44
7.36 6.76 4.86 18.66 22.16 30.06 48.56 49.76 9.36 13.86 11.86 12.76
1.66 0.26 13.66 13.16 28.96 29.86 68.46 25.26 29.96 30.76 15.76 3.96
8.16 2.26 5.66 12.56 28.36 74.06 94.06 41.66 41.46 33.76 10.66 5.56
14.66 3.26 2.06 18.56 29.26 47.96 91.46 62.96 41.06 35.96 12.76 2.96
3.46 7.56 11.06 26.36 42.06 54.96 49.36 49.86 49.76 20.26 8.66 9.66
10.06 4.76 10.56 25.86 29.76 64.76 110.46 66.46 91.26 30.06 20.46 14.36
15.16 2.86 6.76 18.06 27.26 52.06 45.56 78.26 58.66 23.86 1.36 7.76
11.86 5.46 16.16 18.66 18.96 48.66 105.26 46.16 90.26 28.76 3.96 13.36
13.16 10.16 15.86 10.56 20.16 102.36 28.36 51.56 46.86 28.86 14.56 3.16
13.06 3.36 11.86 11.26 56.96 82.46 48.76 53.16 41.06 51.96 25.36 5.46
4.66 0.56 6.16 11.36 44.36 37.66 109.26 72.26 81.06 25.26 22.06 23.56
19.46 18.16 8.86 14.16 39.16 123.46 53.26 51.46 66.26 44.26 27.06 27.86
14.76 22.76 15.66 19.96 27.96 57.76 92.36 71.76 53.76 31.16 25.76 6.76
16.46 9.46 13.76 22.46 40.26 53.56 49.36 38.46 77.76 24.66 11.46 9.66
7.66 17.16 9.66 9.56 9.46 40.56 29.96 49.36 44.36 20.36 21.06 7.96
6.42 5.82 3.92 17.72 21.22 29.12 47.62 48.82 8.42 12.92 10.92 11.82
0.72 0 12.72 12.22 28.02 28.92 67.52 24.32 29.02 29.82 14.82 3.02
7.22 1.32 4.72 11.62 27.42 73.12 93.12 40.72 40.52 32.82 9.72 4.62
13.72 2.32 1.12 17.62 28.32 47.02 90.52 62.02 40.12 35.02 11.82 2.02
2.52 6.62 10.12 25.42 41.12 54.02 48.42 48.92 48.82 19.32 7.72 8.72
9.12 3.82 9.62 24.92 28.82 63.82 109.52 65.52 90.32 29.12 19.52 13.42
14.22 1.92 5.82 17.12 26.32 51.12 44.62 77.32 57.72 22.92 0.42 6.82
10.92 4.52 15.22 17.72 18.02 47.72 104.32 45.22 89.32 27.82 3.02 12.42
12.22 9.22 14.92 9.62 19.22 101.42 27.42 50.62 45.92 27.92 13.62 2.22
12.12 2.42 10.92 10.32 56.02 81.52 47.82 52.22 40.12 51.02 24.42 4.52
3.72 0 5.22 10.42 43.42 36.72 108.32 71.32 80.12 24.32 21.12 22.62
18.52 17.22 7.92 13.22 38.22 122.52 52.32 50.52 65.32 43.32 26.12 26.92
13.82 21.82 14.72 19.02 27.02 56.82 91.42 70.82 52.82 30.22 24.82 5.82
15.52 8.52 12.82 21.52 39.32 52.62 48.42 37.52 76.82 23.72 10.52 8.72
6.72 16.22 8.72 8.62 8.52 39.62 29.02 48.42 43.42 19.42 20.12 7.02
11.69 3.19 10.49 8.99 15.49 92.59 60.09 32.89 54.29 31.99 15.49 2.99
11.99 8.69 8.69 10.89 20.49 58.29 57.79 76.89 49.49 45.79 14.89 8.59
7.89 2.69 9.59 10.79 33.39 41.89 31.69 76.69 55.89 29.09 14.09 4.49
8.09 5.69 6.39 13.19 43.19 45.79 35.99 70.99 24.29 21.39 16.59 10.59
3.09 9.09 7.79 21.49 38.79 64.09 28.39 57.79 39.39 15.89 10.19 6.79
7.19 7.09 7.29 10.29 20.79 27.39 68.49 48.09 64.79 25.99 15.59 10.49
6.39 5.39 10.89 7.39 10.99 52.99 94.59 19.09 49.89 35.69 8.09 4.69
3.59 7.09 17.59 33.99 44.19 58.99 41.19 81.39 50.79 18.09 19.69 8.29
12.79 11.19 4.19 36.49 33.99 72.89 95.39 89.69 51.99 24.49 8.49 6.69
3.69 11.19 11.69 26.49 16.99 38.49 74.59 35.69 24.69 11.69 18.49 5.59
10.29 4.59 5.19 10.89 27.59 108.79 53.39 67.39 67.79 20.29 7.99 10.89
3.19 6.39 9.99 20.69 29.69 82.89 120.49 92.09 31.39 27.79 11.89 9.29
4.99 8.69 13.69 30.79 31.19 69.79 30.99 93.79 61.19 44.09 11.19 7.29
15.99 8.79 10.39 26.79 34.89 54.79 68.99 96.89 48.99 28.89 7.49 3.89
4.09 2.79 4.29 18.69 40.89 54.69 65.69 68.89 47.69 40.99 16.39 4.79
18.78 13.78 12.58 20.98 43.78 43.38 8.88 33.48 37.18 19.68 27.58 19.88
19.58 13.78 12.88 19.48 37.08 66.68 42.78 61.38 47.78 32.38 18.18 19.58
4.38 20.98 0.68 6.18 24.18 59.78 46.88 78.78 46.88 21.18 19.28 6.18
16.98 3.98 9.88 8.48 18.48 27.78 58.08 80.78 72.58 26.08 11.78 3.28
3.38 0 7.18 12.58 37.38 46.88 132.68 72.88 57.58 29.38 3.88 11.28
19.28 2.78 7.28 8.58 33.98 74.78 132.88 89.18 82.48 34.18 38.08 0
9.98 7.88 13.98 35.28 41.68 52.78 54.78 27.08 36.38 40.58 16.78 15.18
