"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
9.04 8.54 10.64 12.24 25.64 40.34 59.74 73.74 33.84 35.04 35.64 12.94
16.64 10.24 13.54 19.64 19.84 37.34 56.04 29.24 39.44 32.04 31.64 14.44
18.24 14.74 12.94 15.64 17.54 43.34 55.34 54.84 36.34 29.94 16.14 17.14
17.14 15.64 19.14 11.14 48.64 45.04 28.94 40.04 41.64 23.24 31.14 39.64
6.64 11.94 15.44 11.54 27.54 21.64 90.14 34.74 36.44 19.74 28.44 15.84
14.74 14.94 12.54 19.84 34.04 55.44 34.44 36.14 53.94 31.74 18.84 20.14
9.14 15.44 11.94 21.84 18.64 31.64 18.54 54.24 68.54 29.64 13.14 25.74
18.54 6.94 15.14 16.64 24.14 19.24 40.64 61.64 25.74 26.54 22.84 15.84
16.44 17.14 7.14 11.94 23.94 37.14 32.14 54.94 19.34 17.44 11.84 15.14
12.24 6.84 17.34 15.04 21.04 37.74 76.64 52.54 46.94 19.74 22.14 11.94
21.74 14.44 16.34 14.14 18.84 31.64 100.94 56.84 49.74 21.04 21.24 10.24
14.64 12.14 13.14 7.54 16.24 44.64 41.14 44.74 10.64 20.84 12.04 16.64
20.34 9.64 12.24 27.74 13.24 46.54 53.04 89.24 41.64 22.14 19.84 11.84
10.54 11.44 21.84 24.34 36.64 42.74 62.74 57.44 37.54 38.74 36.14 19.54
12.44 11.74 25.24 19.04 36.54 40.84 23.84 32.84 39.24 33.04 18.34 15.44
14.47 7.77 12.07 12.27 23.87 40.67 41.67 43.67 35.37 21.77 19.67 15.67
13.67 9.67 11.37 13.57 23.57 55.37 49.67 52.67 36.67 25.67 19.67 15.67
13.67 9.67 11.67 15.67 24.67 45.67 49.67 52.67 43.67 22.57 18.87 15.77
10.37 7.27 9.27 11.27 21.67 35.07 43.97 50.47 36.67 20.87 14.87 12.97
13.67 9.67 11.67 15.67 24.67 45.67 49.67 50.87 33.47 25.67 19.67 15.67
10.77 8.87 9.37 11.97 20.77 48.37 44.87 51.57 31.17 27.27 16.57 13.47
11.77 7.57 11.37 11.67 21.37 52.67 61.27 46.67 32.97 18.97 14.87 12.37
10.47 9.17 14.37 19.77 25.67 41.87 41.27 46.57 34.07 26.87 15.77 12.37
12.37 9.77 10.17 14.47 23.67 36.67 41.87 51.77 34.37 21.17 18.17 18.67
10.27 9.97 13.47 17.57 22.07 54.87 60.07 49.17 29.67 21.67 17.77 14.67
8.97 9.77 5.27 14.27 11.67 64.67 118.77 68.67 49.47 17.67 25.17 7.17
22.47 17.77 10.07 9.87 16.77 65.77 44.77 58.07 25.57 39.07 23.67 24.07
19.77 12.67 14.57 23.87 39.27 38.57 114.17 44.27 31.07 32.37 20.27 15.77
11.67 8.57 9.77 11.77 21.97 49.77 77.47 75.97 33.27 39.27 12.87 13.37
11.07 7.77 6.37 26.17 51.57 44.77 66.77 69.87 29.37 17.37 38.97 13.77
14.5 10.5 12.5 16.5 25.5 46.5 50.5 53.5 37.5 26.5 20.5 16.5
14.5 10.5 12.5 16.5 25.5 46.5 50.5 53.5 37.5 26.5 20.5 16.5
14.5 10.5 12.5 16.5 25.5 46.5 50.5 53.5 37.5 26.5 20.5 16.5
14.5 10.5 12.5 16.5 25.5 46.5 50.5 53.5 37.5 26.5 20.5 16.5
14.5 10.5 12.5 16.5 25.5 46.5 50.5 53.5 37.5 26.5 20.5 16.5
14.5 10.5 12.5 16.5 25.5 46.5 50.5 53.5 37.5 26.5 20.5 16.5
14.5 10.5 12.5 16.5 25.5 46.5 50.5 53.5 37.5 26.5 20.5 16.5
14.5 10.5 12.5 16.5 25.5 46.5 50.5 53.5 37.5 26.5 20.5 16.5
14.5 10.5 12.5 16.5 25.5 46.5 50.5 53.5 37.5 26.5 20.5 16.5
14.5 10.5 12.5 16.5 25.5 46.5 50.5 53.5 37.5 26.5 20.5 16.5
14.5 10.5 12.5 16.5 25.5 46.5 50.5 53.5 37.5 26.5 20.5 16.5
14.5 10.5 12.5 16.5 25.5 46.5 50.5 53.5 37.5 26.5 20.5 16.5
14.5 10.5 12.5 16.5 25.5 46.5 50.5 53.5 37.5 26.5 20.5 16.5
14.5 10.5 12.5 16.5 25.5 46.5 50.5 53.5 37.5 26.5 20.5 16.5
14.5 10.5 12.5 16.5 25.5 46.5 50.5 53.5 37.5 26.5 20.5 16.5
3.85 11.95 4.55 4.75 24.55 54.35 65.35 32.75 30.05 21.95 18.05 15.25
4.15 1.15 1.55 22.05 54.05 63.65 44.35 48.45 37.35 8.15 4.35 7.65
14.25 6.45 10.15 18.15 16.25 46.65 81.05 70.65 12.45 26.45 6.95 7.15
10.65 11.35 13.85 8.35 26.15 69.95 53.75 63.25 29.15 20.85 21.25 13.55
6.15 12.45 9.15 2.95 18.55 69.45 76.75 47.55 21.45 24.35 19.95 12.25
7.45 5.05 12.25 13.95 33.85 48.05 44.55 91.65 39.85 14.55 8.15 10.05
11.15 14.75 5.85 9.55 41.05 51.45 58.35 81.35 33.55 7.35 12.15 3.15
6.05 14.35 4.35 3.85 16.35 86.05 101.55 30.05 47.05 17.05 14.45 11.85
