"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-33.78 -28.48 -23.18 -8.68 1.72 11.22 19.82 14.72 6.72 -4.48 -24.28 -32.38
-29.18 -30.08 -27.08 -6.48 1.52 10.22 17.82 14.42 6.62 -11.58 -23.58 -31.08
-36.28 -32.28 -15.68 -10.88 1.12 13.22 17.12 13.22 6.72 -4.78 -23.98 -24.28
-27.48 -24.68 -21.88 -8.38 2.32 11.02 16.72 16.12 6.92 -6.68 -23.78 -28.68
-33.08 -34.98 -21.18 -7.88 3.72 14.82 20.92 15.72 5.92 -9.78 -22.58 -33.88
-37 -29.3 -14.8 -8.6 0.6 9.5 16.4 12.1 7.9 -8.2 -22.7 -34.1
-27.9 -24.6 -19.5 -8.6 -0.6 11.1 18.8 15 7 -6.8 -27.1 -32.4
-29.4 -24.2 -18.5 -11.7 -0.6 10.7 18.4 14.9 6.1 -3.9 -20.7 -30.7
-29.5 -23.7 -25.1 -12.4 -0.7 10.1 19.5 14.5 7.8 -6.8 -24 -29.5
-33.8 -34.4 -18.3 -8.5 0.4 8.2 19.3 15.5 6 -5.1 -29 -29.9
-35.5 -38.4 -25.1 -13.2 2.3 10.9 17.1 13.6 7.2 -8.7 -27.6 -24.8
-29.4 -29.5 -18.6 -7.6 0.8 13.6 21.8 13 6 0.5 -17.7 -21.9
-32.6 -26.7 -11 -5.8 0.7 9.8 19.3 12.6 4.5 -6.2 -32.9 -35.6
-37.3 -39.9 -22.1 -11.7 1.2 11.4 21.3 14.6 3.8 -8.6 -19.1 -27.1
-31.5 -31.5 -19.8 -10.2 -1.2 10 20.2 11.9 6.8 -8.5 -21.2 -28.1
-30.5 -32.4 -20.7 -10.5 1.8 11.9 19.4 16.5 7.1 -5.6 -15.1 -26.5
-35.2 -30.6 -20.9 -7.3 -0.2 13.2 17.9 13.5 3.6 -6.6 -28.1 -30.5
-29.3 -25.8 -17.1 -11.4 1.5 10.5 18.5 15.4 7.4 -6.4 -22.9 -29
-37.8 -34.4 -18.5 -7.8 -0.2 9.6 15.6 14.5 6.8 -13 -30.2 -30.2
-27.6 -28.4 -17.1 -7.7 3.2 13.9 18.6 13.5 6.8 -5.7 -22.3 -22.5
-28.83 -32.33 -22.43 -6.73 -0.03 11.67 16.67 12.17 6.57 -10.63 -23.23 -34.13
-33.83 -34.23 -22.33 -7.63 2.87 11.47 16.47 11.97 5.47 -12.53 -20.73 -31.13
-35.53 -23.73 -21.13 -8.83 0.77 10.97 18.77 14.07 5.07 -3.83 -14.23 -32.93
-41.83 -39.13 -23.33 -11.53 -1.03 14.77 19.87 12.77 5.47 -10.03 -24.03 -26.83
-34.93 -29.73 -22.93 -9.13 -0.83 10.67 19.17 16.37 6.87 -4.13 -26.23 -28.43
-22.43 -27.73 -19.43 -6.23 0.87 12.17 17.67 13.77 4.77 -9.43 -19.83 -25.13
-35.23 -24.63 -23.73 -5.13 1.07 11.47 18.17 14.87 4.67 -13.53 -25.73 -27.43
-28.53 -27.73 -16.43 -12.13 0.37 12.27 16.97 14.37 7.57 -5.23 -14.73 -25.73
-27.93 -29.43 -20.63 -15.13 2.57 13.67 21.47 13.97 7.47 -8.83 -27.63 -28.83
-35.73 -34.03 -21.23 -8.23 1.07 14.87 16.87 13.07 6.07 -4.83 -19.93 -30.03
-32.73 -23.83 -20.83 -10.93 0.57 11.17 20.37 14.07 5.77 -3.53 -19.03 -30.73
-36.33 -29.53 -22.43 -10.43 0.07 7.27 18.27 14.27 6.27 -6.83 -29.73 -29.93
-29.53 -31.33 -20.03 -12.23 1.77 11.77 17.07 13.37 8.07 -5.63 -19.13 -20.83
-30.93 -22.13 -15.43 -11.33 2.17 7.87 15.77 12.37 3.57 -6.73 -24.53 -26.23
-36.43 -28.93 -10.33 -6.63 3.57 14.17 19.17 13.77 5.97 -6.33 -26.03 -29.23
-29 -32.5 -22.6 -6.9 -0.2 11.5 16.5 12 6.4 -10.8 -23.4 -34.3
