"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-32.6 -36.1 -26.2 -10.5 -3.8 7.9 12.9 8.4 2.8 -14.4 -27 -37.9
-37.6 -38 -26.1 -11.4 -0.9 7.7 12.7 8.2 1.7 -16.3 -24.5 -34.9
-39.3 -27.5 -24.9 -12.6 -3 7.2 15 10.3 1.3 -7.6 -18 -36.7
-45.6 -42.9 -27.1 -15.3 -4.8 11 16.1 9 1.7 -13.8 -27.8 -30.6
-38.7 -33.5 -26.7 -12.9 -4.6 6.9 15.4 12.6 3.1 -7.9 -30 -32.2
-26.2 -31.5 -23.2 -10 -2.9 8.4 13.9 10 1 -13.2 -23.6 -28.9
-39 -28.4 -27.5 -8.9 -2.7 7.7 14.4 11.1 0.9 -17.3 -29.5 -31.2
-32.3 -31.5 -20.2 -15.9 -3.4 8.5 13.2 10.6 3.8 -9 -18.5 -29.5
-31.7 -33.2 -24.4 -18.9 -1.2 9.9 17.7 10.2 3.7 -12.6 -31.4 -32.6
-39.5 -37.8 -25 -12 -2.7 11.1 13.1 9.3 2.3 -8.6 -23.7 -33.8
-36.5 -27.6 -24.6 -14.7 -3.2 7.4 16.6 10.3 2 -7.3 -22.8 -34.5
-40.1 -33.3 -26.2 -14.2 -3.7 3.5 14.5 10.5 2.5 -10.6 -33.5 -33.7
-33.3 -35.1 -23.8 -16 -2 8 13.3 9.6 4.3 -9.4 -22.9 -24.6
-34.7 -25.9 -19.2 -15.1 -1.6 4.1 12 8.6 -0.2 -10.5 -28.3 -30
-40.2 -32.7 -14.1 -10.4 -0.2 10.4 15.4 10 2.2 -10.1 -29.8 -33
-41.37 -33.97 -24.77 -15.97 -5.17 6.53 12.13 10.23 3.03 -7.37 -26.87 -31.87
-31.87 -30.27 -25.37 -11.77 -2.67 7.33 15.33 9.43 4.83 -8.87 -30.47 -31.97
-35.37 -34.37 -25.47 -13.87 -7.27 4.13 11.83 10.83 -0.87 -10.57 -28.67 -32.37
-33.17 -21.37 -22.77 -14.57 -3.87 7.23 13.03 8.73 0.53 -9.17 -26.07 -34.77
-37.07 -26.77 -25.27 -17.47 -0.97 7.73 13.23 9.03 1.63 -14.87 -29.97 -33.67
-40.57 -34.77 -24.47 -12.07 -2.47 4.93 15.63 8.73 3.73 -10.67 -30.17 -28.07
-28.77 -31.97 -30.07 -15.67 -1.07 7.83 13.53 6.03 1.93 -12.07 -26.77 -36.77
-32.87 -33.77 -21.57 -9.67 -2.37 7.43 12.73 10.23 2.43 -12.87 -23.87 -33.57
-38.97 -26.47 -23.47 -12.27 -4.97 9.33 12.23 9.43 1.83 -10.97 -27.67 -24.77
-40.67 -30.27 -23.37 -12.57 -3.27 8.43 12.33 9.13 1.23 -14.67 -27.87 -38.17
-41.67 -38.77 -30.17 -17.07 -2.17 10.53 15.13 10.43 2.73 -8.57 -29.47 -36.87
-31.47 -35.07 -29.77 -15.87 -2.17 8.13 14.83 8.43 2.83 -12.67 -28.87 -27.17
-36.17 -27.87 -19.97 -6.97 -0.87 8.33 12.83 10.13 3.83 -8.07 -28.07 -35.37
-30.97 -30.17 -22.37 -12.47 -3.67 5.73 13.13 9.63 2.83 -11.17 -28.57 -31.17
-34.87 -32.97 -27.27 -9.57 0.33 10.53 14.13 9.53 4.13 -7.07 -27.47 -36.97
-41.35 -28.35 -21.05 -15.15 -2.45 6.05 12.45 10.35 0.15 -12.75 -24.35 -37.65
-35.65 -33.05 -23.15 -15.15 -3.85 3.95 13.75 10.25 2.65 -13.95 -34.55 -35.85
-36.75 -25.75 -24.55 -14.15 -2.75 4.85 15.35 8.55 2.95 -9.85 -26.05 -36.75
-35.15 -37.05 -21.65 -11.95 -1.65 9.15 15.25 12.75 0.85 -7.75 -23.45 -33.15
-33.95 -29.55 -23.95 -12.95 -1.65 4.55 16.35 9.45 3.05 -10.45 -26.45 -32.25
-36.55 -33.05 -21.65 -10.65 -2.25 9.95 14.25 10.65 3.35 -8.45 -29.25 -28.95
-36.35 -33.35 -22.95 -12.75 -2.55 7.85 14.85 10.75 2.85 -10.55 -26.85 -32.35
-36.25 -33.25 -23.15 -12.85 -1.35 10.55 15.75 11.85 3.15 -9.35 -27.65 -39.05
-41.05 -30.25 -28.05 -16.05 -5.25 7.55 16.15 10.75 1.35 -11.05 -25.85 -33.05
-36.55 -28.05 -28.15 -16.15 -2.05 6.95 14.95 11.25 3.15 -11.55 -31.65 -38.85
-37.75 -32.45 -27.15 -12.65 -2.25 7.25 15.85 10.75 2.75 -8.45 -28.25 -36.35
