"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
18.85 14.85 17.85 24.85 35.85 56.85 61.85 62.85 43.85 31.85 26.85 21.85
18.85 14.85 17.85 24.85 35.85 56.85 61.85 62.85 43.85 31.85 26.85 21.85
18.85 14.85 17.85 24.85 35.85 56.85 61.85 62.85 43.85 31.85 26.85 21.85
18.85 14.85 17.85 24.85 35.85 56.85 61.85 62.85 43.85 31.85 26.85 21.85
18.85 14.85 17.85 24.85 35.85 56.85 61.85 62.85 43.85 31.85 26.85 21.85
22.38 19.98 16.78 34.48 32.78 56.28 68.18 58.88 49.48 30.48 25.48 14.08
20.58 19.48 13.38 23.68 37.08 71.18 58.78 46.98 34.78 30.28 27.28 31.08
22.98 15.98 14.88 23.28 27.48 85.88 80.08 78.88 41.88 37.68 27.68 18.38
14.88 12.78 17.18 18.38 38.08 82.18 66.78 49.48 36.98 23.18 29.18 21.38
25.48 11.08 16.18 21.88 36.78 59.88 63.08 77.68 52.88 36.48 19.68 22.38
18.48 16.78 21.18 20.38 32.88 64.88 75.48 80.68 51.48 39.38 34.58 29.58
17.58 11.38 17.18 18.08 39.68 74.58 29.78 64.28 34.58 22.68 20.48 19.38
14.18 9.88 15.38 35.18 42.58 59.28 72.38 54.58 44.28 26.08 20.38 15.08
12.78 8.58 14.28 19.08 24.78 67.58 42.78 60.18 45.08 27.58 29.38 16.88
21.08 14.88 8.28 35.38 36.98 62.68 79.28 85.98 37.28 29.58 22.48 18.48
18.88 10.68 11.08 28.78 36.68 46.78 58.68 31.38 41.98 33.58 22.28 18.28
17.38 12.58 14.98 25.48 49.48 28.38 47.78 84.98 45.68 29.08 23.28 18.48
15.18 13.78 16.98 20.18 28.48 56.88 38.38 39.58 48.28 27.78 27.88 22.68
15.18 13.68 17.38 20.08 42.58 56.28 77.58 81.48 32.68 37.18 21.08 20.78
25.68 12.08 22.38 20.68 43.78 75.08 67.68 73.48 45.58 39.98 21.58 17.28
14.93 13.63 14.93 23.13 34.63 51.63 65.03 80.13 44.13 35.13 34.33 20.13
19.23 14.83 20.83 27.53 30.53 52.93 58.23 51.03 46.03 42.33 34.73 22.63
23.33 19.33 16.93 24.63 28.63 59.33 62.53 66.13 56.43 37.93 26.63 25.03
20.53 19.93 22.73 22.33 50.43 65.93 47.33 49.83 43.43 30.13 34.83 37.03
14.13 15.63 20.43 19.13 37.03 37.23 95.33 54.03 40.03 25.83 34.03 22.33
18.03 17.13 16.23 28.63 43.53 68.03 56.83 43.43 47.73 34.93 22.93 23.93
16.23 17.13 16.43 32.33 32.33 46.43 37.33 68.33 60.03 29.23 24.73 29.13
21.53 12.63 21.33 25.93 33.33 33.33 56.53 60.83 35.93 34.03 28.93 21.33
19.63 19.83 14.13 20.43 34.13 45.93 48.63 53.43 28.33 26.83 20.33 19.73
19.83 11.13 23.13 21.53 28.73 42.73 76.03 65.53 50.03 26.53 26.13 16.83
22.43 17.33 21.03 22.33 29.13 39.63 95.13 59.23 56.03 26.63 25.53 17.93
18.63 16.83 16.43 14.73 24.83 52.13 60.13 55.63 22.23 26.33 19.03 24.23
21.33 15.03 17.23 42.83 22.53 66.63 69.43 91.13 52.03 26.53 31.33 19.13
16.63 15.73 27.43 31.23 44.33 59.33 67.53 61.83 42.53 39.63 36.13 25.73
17.13 15.73 26.53 23.13 48.93 46.43 36.93 56.63 47.43 41.33 29.23 22.13
