"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
17.46 13.46 16.46 23.46 34.46 55.46 60.46 61.46 42.46 30.46 25.46 20.46
17.46 13.46 16.46 23.46 34.46 55.46 60.46 61.46 42.46 30.46 25.46 20.46
17.46 13.46 16.46 23.46 34.46 55.46 60.46 61.46 42.46 30.46 25.46 20.46
17.46 13.46 16.46 23.46 34.46 55.46 60.46 61.46 42.46 30.46 25.46 20.46
17.46 13.46 16.46 23.46 34.46 55.46 60.46 61.46 42.46 30.46 25.46 20.46
21 18.6 15.4 33.1 31.4 54.9 66.8 57.5 48.1 29.1 24.1 12.7
19.2 18.1 12 22.3 35.7 69.8 57.4 45.6 33.4 28.9 25.9 29.7
21.6 14.6 13.5 21.9 26.1 84.5 78.7 77.5 40.5 36.3 26.3 17
13.5 11.4 15.8 17 36.7 80.8 65.4 48.1 35.6 21.8 27.8 20
24.1 9.7 14.8 20.5 35.4 58.5 61.7 76.3 51.5 35.1 18.3 21
17.1 15.4 19.8 19 31.5 63.5 74.1 79.3 50.1 38 33.2 28.2
16.2 10 15.8 16.7 38.3 73.2 28.4 62.9 33.2 21.3 19.1 18
12.8 8.5 14 33.8 41.2 57.9 71 53.2 42.9 24.7 19 13.7
11.4 7.2 12.9 17.7 23.4 66.2 41.4 58.8 43.7 26.2 28 15.5
19.7 13.5 6.9 34 35.6 61.3 77.9 84.6 35.9 28.2 21.1 17.1
17.5 9.3 9.7 27.4 35.3 45.4 57.3 30 40.6 32.2 20.9 16.9
16 11.2 13.6 24.1 48.1 27 46.4 83.6 44.3 27.7 21.9 17.1
13.8 12.4 15.6 18.8 27.1 55.5 37 38.2 46.9 26.4 26.5 21.3
13.8 12.3 16 18.7 41.2 54.9 76.2 80.1 31.3 35.8 19.7 19.4
24.3 10.7 21 19.3 42.4 73.7 66.3 72.1 44.2 38.6 20.2 15.9
13.54 12.24 13.54 21.74 33.24 50.24 63.64 78.74 42.74 33.74 32.94 18.74
17.84 13.44 19.44 26.14 29.14 51.54 56.84 49.64 44.64 40.94 33.34 21.24
21.94 17.94 15.54 23.24 27.24 57.94 61.14 64.74 55.04 36.54 25.24 23.64
19.14 18.54 21.34 20.94 49.04 64.54 45.94 48.44 42.04 28.74 33.44 35.64
12.74 14.24 19.04 17.74 35.64 35.84 93.94 52.64 38.64 24.44 32.64 20.94
16.64 15.74 14.84 27.24 42.14 66.64 55.44 42.04 46.34 33.54 21.54 22.54
14.84 15.74 15.04 30.94 30.94 45.04 35.94 66.94 58.64 27.84 23.34 27.74
20.14 11.24 19.94 24.54 31.94 31.94 55.14 59.44 34.54 32.64 27.54 19.94
18.24 18.44 12.74 19.04 32.74 44.54 47.24 52.04 26.94 25.44 18.94 18.34
18.44 9.74 21.74 20.14 27.34 41.34 74.64 64.14 48.64 25.14 24.74 15.44
21.04 15.94 19.64 20.94 27.74 38.24 93.74 57.84 54.64 25.24 24.14 16.54
17.24 15.44 15.04 13.34 23.44 50.74 58.74 54.24 20.84 24.94 17.64 22.84
19.94 13.64 15.84 41.44 21.14 65.24 68.04 89.74 50.64 25.14 29.94 17.74
15.24 14.34 26.04 29.84 42.94 57.94 66.14 60.44 41.14 38.24 34.74 24.34
15.74 14.34 25.14 21.74 47.54 45.04 35.54 55.24 46.04 39.94 27.84 20.74
13.56 12.26 13.56 21.76 33.26 50.26 63.66 78.76 42.76 33.76 32.96 18.76
17.86 13.46 19.46 26.16 29.16 51.56 56.86 49.66 44.66 40.96 33.36 21.26
21.96 17.96 15.56 23.26 27.26 57.96 61.16 64.76 55.06 36.56 25.26 23.66
19.16 18.56 21.36 20.96 49.06 64.56 45.96 48.46 42.06 28.76 33.46 35.66
12.76 14.26 19.06 17.76 35.66 35.86 93.96 52.66 38.66 24.46 32.66 20.96
16.66 15.76 14.86 27.26 42.16 66.66 55.46 42.06 46.36 33.56 21.56 22.56
14.86 15.76 15.06 30.96 30.96 45.06 35.96 66.96 58.66 27.86 23.36 27.76
20.16 11.26 19.96 24.56 31.96 31.96 55.16 59.46 34.56 32.66 27.56 19.96
18.26 18.46 12.76 19.06 32.76 44.56 47.26 52.06 26.96 25.46 18.96 18.36
18.46 9.76 21.76 20.16 27.36 41.36 74.66 64.16 48.66 25.16 24.76 15.46
21.06 15.96 19.66 20.96 27.76 38.26 93.76 57.86 54.66 25.26 24.16 16.56
17.26 15.46 15.06 13.36 23.46 50.76 58.76 54.26 20.86 24.96 17.66 22.86
19.96 13.66 15.86 41.46 21.16 65.26 68.06 89.76 50.66 25.16 29.96 17.76
15.26 14.36 26.06 29.86 42.96 57.96 66.16 60.46 41.16 38.26 34.76 24.36
15.76 14.36 25.16 21.76 47.56 45.06 35.56 55.26 46.06 39.96 27.86 20.76
17.83 13.83 16.83 23.83 34.83 55.83 60.83 61.83 42.83 30.83 25.83 20.83
17.83 13.83 16.83 23.83 34.83 55.83 60.83 61.83 42.83 30.83 25.83 20.83
17.83 13.83 16.83 23.83 34.83 55.83 60.83 61.83 42.83 30.83 25.83 20.83
17.83 13.83 16.83 23.83 34.83 55.83 60.83 61.83 42.83 30.83 25.83 20.83
17.83 13.83 16.83 23.83 34.83 55.83 60.83 61.83 42.83 30.83 25.83 20.83
17.83 13.83 16.83 23.83 34.83 55.83 60.83 61.83 42.83 30.83 25.83 20.83
17.83 13.83 16.83 23.83 34.83 55.83 60.83 61.83 42.83 30.83 25.83 20.83
17.83 13.83 16.83 23.83 34.83 55.83 60.83 61.83 42.83 30.83 25.83 20.83
17.83 13.83 16.83 23.83 34.83 55.83 60.83 61.83 42.83 30.83 25.83 20.83
17.83 13.83 16.83 23.83 34.83 55.83 60.83 61.83 42.83 30.83 25.83 20.83
17.83 13.83 16.83 23.83 34.83 55.83 60.83 61.83 42.83 30.83 25.83 20.83
17.83 13.83 16.83 23.83 34.83 55.83 60.83 61.83 42.83 30.83 25.83 20.83
17.83 13.83 16.83 23.83 34.83 55.83 60.83 61.83 42.83 31.03 25.83 16.23
17.83 13.83 16.83 23.83 34.83 40.13 60.13 61.83 24.23 22.63 25.83 21.03
17.73 9.63 22.03 12.73 25.23 88.53 71.03 61.83 22.63 31.83 22.13 16.23
17.82 13.82 16.82 23.82 34.82 55.82 60.82 61.82 42.82 30.82 25.82 20.82
17.82 13.82 16.82 23.82 34.82 55.82 60.82 61.82 42.82 30.82 25.82 20.82
17.82 13.82 16.82 23.82 34.82 55.82 60.82 61.82 42.82 30.82 25.82 20.82
17.82 13.82 16.82 23.82 34.82 55.82 60.82 61.82 42.82 30.82 25.82 20.82
17.82 13.82 16.82 23.82 34.82 55.82 60.82 61.82 42.82 30.82 25.82 20.82
17.82 13.82 16.82 23.82 34.82 55.82 60.82 61.82 42.82 30.82 25.82 20.82
17.82 13.82 16.82 23.82 34.82 55.82 60.82 61.82 42.82 30.82 25.82 20.82
17.82 13.82 16.82 23.82 34.82 55.82 60.82 61.82 42.82 30.82 25.82 20.82
17.82 13.82 16.82 23.82 34.82 55.82 60.82 61.82 42.82 30.82 25.82 20.82
17.82 13.82 16.82 23.82 34.82 55.82 60.82 61.82 42.82 30.82 25.82 20.82
17.82 13.82 16.82 23.82 34.82 55.82 60.82 61.82 42.82 30.82 25.82 20.82
17.82 13.82 16.82 23.82 34.82 55.82 60.82 61.82 42.82 30.82 25.82 20.82
17.82 13.82 16.82 23.82 34.82 55.82 60.82 61.82 42.82 31.02 25.82 16.22
17.82 13.82 16.82 23.82 34.82 40.12 60.12 61.82 24.22 22.62 25.82 21.02
17.72 9.62 22.02 12.72 25.22 88.52 71.02 61.82 22.62 31.82 22.12 16.22
17.54 13.54 16.54 23.54 34.54 55.54 60.54 61.54 42.54 30.54 25.54 20.54
17.54 13.54 16.54 23.54 34.54 55.54 60.54 61.54 42.54 30.54 25.54 20.54
17.54 13.54 16.54 23.54 34.54 55.54 60.54 61.54 42.54 30.54 25.54 20.54
17.54 13.54 16.54 23.54 34.54 55.54 60.54 61.54 42.54 30.54 25.54 20.54
17.54 13.54 16.54 23.54 34.54 55.54 60.54 61.54 42.54 30.54 25.54 20.54
17.54 13.54 16.54 23.54 34.54 55.54 60.54 61.54 42.54 30.54 25.54 20.54
17.54 13.54 16.54 23.54 34.54 55.54 60.54 61.54 42.54 30.54 25.54 20.54
17.54 13.54 16.54 23.54 34.54 55.54 60.54 61.54 42.54 30.54 25.54 20.54
17.54 13.54 16.54 23.54 34.54 55.54 60.54 61.54 42.54 30.54 25.54 20.54
17.54 13.54 16.54 23.54 34.54 55.54 60.54 61.54 42.54 30.54 25.54 20.54
17.54 13.54 16.54 23.54 34.54 55.54 60.54 61.54 42.54 30.54 25.54 20.54
17.54 13.54 16.54 23.54 34.54 55.54 60.54 61.54 42.54 30.54 25.54 20.54
17.54 13.54 16.54 23.54 34.54 55.54 60.54 61.54 42.54 30.54 25.54 20.54
17.54 13.54 16.54 23.54 34.54 55.54 60.54 61.54 42.54 30.54 25.54 20.54
17.54 13.54 16.54 23.54 34.54 55.54 60.54 61.54 42.54 30.54 25.54 20.54
21.09 18.69 15.49 33.19 31.49 54.99 66.89 57.59 48.19 29.19 24.19 12.79
19.29 18.19 12.09 22.39 35.79 69.89 57.49 45.69 33.49 28.99 25.99 29.79
21.69 14.69 13.59 21.99 26.19 84.59 78.79 77.59 40.59 36.39 26.39 17.09
13.59 11.49 15.89 17.09 36.79 80.89 65.49 48.19 35.69 21.89 27.89 20.09
24.19 9.79 14.89 20.59 35.49 58.59 61.79 76.39 51.59 35.19 18.39 21.09
17.19 15.49 19.89 19.09 31.59 63.59 74.19 79.39 50.19 38.09 33.29 28.29
16.29 10.09 15.89 16.79 38.39 73.29 28.49 62.99 33.29 21.39 19.19 18.09
12.89 8.59 14.09 33.89 41.29 57.99 71.09 53.29 42.99 24.79 19.09 13.79
11.49 7.29 12.99 17.79 23.49 66.29 41.49 58.89 43.79 26.29 28.09 15.59
19.79 13.59 6.99 34.09 35.69 61.39 77.99 84.69 35.99 28.29 21.19 17.19
17.59 9.39 9.79 27.49 35.39 45.49 57.39 30.09 40.69 32.29 20.99 16.99
16.09 11.29 13.69 24.19 48.19 27.09 46.49 83.69 44.39 27.79 21.99 17.19
13.89 12.49 15.69 18.89 27.19 55.59 37.09 38.29 46.99 26.49 26.59 21.39
13.89 12.39 16.09 18.79 41.29 54.99 76.29 80.19 31.39 35.89 19.79 19.49
24.39 10.79 21.09 19.39 42.49 73.79 66.39 72.19 44.29 38.69 20.29 15.99
13.51 12.21 13.51 21.71 33.21 50.21 63.61 78.71 42.71 33.71 32.91 18.71
17.81 13.41 19.41 26.11 29.11 51.51 56.81 49.61 44.61 40.91 33.31 21.21
21.91 17.91 15.51 23.21 27.21 57.91 61.11 64.71 55.01 36.51 25.21 23.61
19.11 18.51 21.31 20.91 49.01 64.51 45.91 48.41 42.01 28.71 33.41 35.61
12.71 14.21 19.01 17.71 35.61 35.81 93.91 52.61 38.61 24.41 32.61 20.91
16.61 15.71 14.81 27.21 42.11 66.61 55.41 42.01 46.31 33.51 21.51 22.51
14.81 15.71 15.01 30.91 30.91 45.01 35.91 66.91 58.61 27.81 23.31 27.71
20.11 11.21 19.91 24.51 31.91 31.91 55.11 59.41 34.51 32.61 27.51 19.91
18.21 18.41 12.71 19.01 32.71 44.51 47.21 52.01 26.91 25.41 18.91 18.31
18.41 9.71 21.71 20.11 27.31 41.31 74.61 64.11 48.61 25.11 24.71 15.41
21.01 15.91 19.61 20.91 27.71 38.21 93.71 57.81 54.61 25.21 24.11 16.51
17.21 15.41 15.01 13.31 23.41 50.71 58.71 54.21 20.81 24.91 17.61 22.81
19.91 13.61 15.81 41.41 21.11 65.21 68.01 89.71 50.61 25.11 29.91 17.71
15.21 14.31 26.01 29.81 42.91 57.91 66.11 60.41 41.11 38.21 34.71 24.31
15.71 14.31 25.11 21.71 47.51 45.01 35.51 55.21 46.01 39.91 27.81 20.71
17.46 13.46 16.46 23.46 34.46 55.46 60.46 61.46 42.46 30.46 25.46 20.46
17.46 13.46 16.46 23.46 34.46 55.46 60.46 61.46 42.46 30.46 25.46 20.46
17.46 13.46 16.46 23.46 34.46 55.46 60.46 61.46 42.46 30.46 25.46 20.46
17.46 13.46 16.46 23.46 34.46 55.46 60.46 61.46 42.46 30.46 25.46 20.46
17.46 13.46 16.46 23.46 34.46 55.46 60.46 61.46 42.46 30.46 25.46 20.46
17.46 13.46 16.46 23.46 34.46 55.46 60.46 61.46 42.46 30.46 25.46 20.46
17.46 13.46 16.46 23.46 34.46 55.46 60.46 61.46 42.46 30.46 25.46 20.46
17.46 13.46 16.46 23.46 34.46 55.46 60.46 61.46 42.46 30.46 25.46 20.46
17.46 13.46 16.46 23.46 34.46 55.46 60.46 61.46 42.46 30.46 25.46 20.46
17.46 13.46 16.46 23.46 34.46 55.46 60.46 61.46 42.46 30.46 25.46 20.46
