"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
10.18 8.88 10.18 18.38 29.88 46.88 60.28 75.38 39.38 30.38 29.58 15.38
14.48 10.08 16.08 22.78 25.78 48.18 53.48 46.28 41.28 37.58 29.98 17.88
18.58 14.58 12.18 19.88 23.88 54.58 57.78 61.38 51.68 33.18 21.88 20.28
15.78 15.18 17.98 17.58 45.68 61.18 42.58 45.08 38.68 25.38 30.08 32.28
9.38 10.88 15.68 14.38 32.28 32.48 90.58 49.28 35.28 21.08 29.28 17.58
13.28 12.38 11.48 23.88 38.78 63.28 52.08 38.68 42.98 30.18 18.18 19.18
11.48 12.38 11.68 27.58 27.58 41.68 32.58 63.58 55.28 24.48 19.98 24.38
16.78 7.88 16.58 21.18 28.58 28.58 51.78 56.08 31.18 29.28 24.18 16.58
14.88 15.08 9.38 15.68 29.38 41.18 43.88 48.68 23.58 22.08 15.58 14.98
15.08 6.38 18.38 16.78 23.98 37.98 71.28 60.78 45.28 21.78 21.38 12.08
17.68 12.58 16.28 17.58 24.38 34.88 90.38 54.48 51.28 21.88 20.78 13.18
13.88 12.08 11.68 9.98 20.08 47.38 55.38 50.88 17.48 21.58 14.28 19.48
16.58 10.28 12.48 38.08 17.78 61.88 64.68 86.38 47.28 21.78 26.58 14.38
11.88 10.98 22.68 26.48 39.58 54.58 62.78 57.08 37.78 34.88 31.38 20.98
12.38 10.98 21.78 18.38 44.18 41.68 32.18 51.88 42.68 36.58 24.48 17.38
17.63 6.73 15.73 10.53 29.93 38.93 34.93 34.33 37.23 18.13 23.63 18.63
15.63 11.63 13.73 14.83 29.13 81.83 58.63 59.63 40.63 28.63 23.63 18.63
15.63 11.63 14.63 21.63 32.63 53.63 58.63 59.63 59.73 20.43 21.33 18.83
7.13 5.43 7.83 7.53 23.03 22.63 42.03 53.53 40.63 15.83 9.93 11.23
15.63 11.63 14.63 21.63 32.63 53.63 58.63 54.43 32.03 28.63 23.63 18.63
8.13 9.43 8.23 9.83 20.13 61.63 44.63 56.43 25.73 32.83 14.83 12.53
10.63 6.33 13.83 8.73 22.13 74.03 92.63 42.73 30.53 10.73 10.13 9.53
7.33 10.23 22.03 35.03 35.93 42.53 33.83 42.33 33.43 31.93 12.53 9.53
12.13 11.83 10.53 17.83 29.53 27.33 35.83 57.03 34.33 16.63 19.53 26.93
8.33 12.13 18.73 22.53 22.33 70.23 89.13 56.63 27.53 20.33 17.53 17.83
13.23 10.93 11.03 18.93 19.63 64.43 105.33 75.13 43.03 22.13 26.43 12.03
19.13 13.93 12.83 17.23 27.63 84.63 54.13 64.13 32.83 35.33 24.53 21.83
18.53 12.83 13.63 30.83 45.03 47.63 102.83 47.63 40.63 35.13 20.63 17.63
10.33 9.53 9.93 13.23 30.33 63.73 84.63 84.73 36.33 34.43 16.13 12.53
9.23 6.73 9.83 34.33 47.73 54.13 81.23 69.93 34.33 22.53 37.83 12.73
14.12 10.12 13.12 20.12 31.12 52.12 57.12 58.12 39.12 27.12 22.12 17.12
14.12 10.12 13.12 20.12 31.12 52.12 57.12 58.12 39.12 27.12 22.12 17.12
14.12 10.12 13.12 20.12 31.12 52.12 57.12 58.12 39.12 27.12 22.12 17.12
14.12 10.12 13.12 20.12 31.12 52.12 57.12 58.12 39.12 27.12 22.12 17.12
14.12 10.12 13.12 20.12 31.12 52.12 57.12 58.12 39.12 27.12 22.12 17.12
14.12 10.12 13.12 20.12 31.12 52.12 57.12 58.12 39.12 27.12 22.12 17.12
14.12 10.12 13.12 20.12 31.12 52.12 57.12 58.12 39.12 27.12 22.12 17.12
14.12 10.12 13.12 20.12 31.12 52.12 57.12 58.12 39.12 27.12 22.12 17.12
