"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-34.98 -30.18 -23.68 -8.88 1.32 10.82 19.02 13.82 5.72 -5.18 -25.08 -33.88
-30.88 -31.28 -27.08 -6.88 1.42 9.62 17.42 13.12 5.62 -12.38 -25.28 -32.68
-36.88 -33.58 -16.68 -10.98 1.02 12.72 16.32 12.12 5.72 -5.18 -25.18 -26.08
-28.88 -26.18 -22.58 -8.48 2.02 10.52 16.42 14.92 6.12 -7.58 -25.38 -30.08
-35.38 -35.98 -21.68 -8.68 3.32 13.72 20.02 14.32 4.92 -10.38 -23.78 -34.58
-38.18 -30.48 -15.38 -8.68 0.52 8.92 15.62 11.12 7.02 -8.98 -23.98 -35.58
-29.08 -25.88 -20.18 -8.88 -0.68 10.62 18.02 13.82 6.12 -7.58 -28.28 -33.58
-30.88 -25.38 -18.98 -11.88 -0.68 10.02 17.62 13.82 5.22 -4.48 -21.98 -31.98
-30.58 -25.58 -25.58 -12.58 -0.78 9.62 18.72 13.42 6.82 -7.58 -25.28 -31.28
-35.18 -35.88 -18.88 -8.78 0.32 7.72 18.42 14.42 5.12 -5.68 -30.18 -31.58
-36.88 -39.78 -25.58 -13.48 2.12 10.42 16.32 12.52 6.42 -9.38 -28.88 -26.78
-30.68 -30.98 -19.08 -7.88 0.62 13.02 20.92 11.92 5.02 -0.28 -19.28 -23.48
-34.18 -28.38 -11.68 -5.98 0.52 9.22 18.62 11.52 3.42 -6.88 -33.98 -37.18
-39.08 -41.58 -22.68 -11.88 0.92 10.72 20.52 13.52 2.92 -9.38 -20.38 -28.78
-32.98 -32.88 -20.58 -10.28 -1.38 9.52 19.42 10.92 5.92 -9.18 -22.38 -29.78
-31.78 -34.08 -21.48 -10.58 1.62 11.42 18.52 15.22 6.12 -6.08 -16.38 -28.18
-36.78 -31.98 -21.48 -7.48 -0.28 12.72 17.22 12.42 2.72 -7.38 -29.28 -31.98
-30.58 -27.48 -17.78 -11.58 1.42 9.92 17.62 14.22 6.52 -6.98 -23.78 -30.18
-39.18 -36.18 -19.28 -8.08 -0.38 9.02 14.92 13.42 5.92 -13.58 -31.18 -31.68
-28.98 -29.98 -17.48 -7.78 2.92 13.22 17.82 12.42 5.92 -6.28 -23.38 -24.28
-30.43 -33.83 -23.13 -7.03 -0.23 11.07 15.97 11.07 5.67 -11.33 -24.33 -35.53
-35.63 -35.83 -22.83 -7.93 2.47 10.87 15.67 10.87 4.57 -13.13 -21.73 -32.53
-36.83 -25.33 -21.63 -8.93 0.47 10.37 17.97 12.87 4.17 -4.63 -15.33 -34.13
-43.33 -40.23 -23.73 -11.73 -1.13 14.17 18.87 11.67 4.67 -10.73 -25.13 -28.23
-36.63 -31.23 -23.53 -9.43 -1.13 10.17 18.37 15.27 5.97 -4.93 -27.13 -30.33
-24.33 -29.23 -19.93 -6.43 0.87 11.57 16.87 12.57 3.97 -10.13 -21.33 -26.43
-36.63 -26.13 -24.33 -5.23 0.97 10.97 17.37 13.67 3.67 -14.23 -26.73 -28.73
-30.03 -29.23 -17.03 -12.33 0.07 11.57 16.17 13.17 6.67 -5.93 -15.93 -27.03
-29.73 -30.83 -21.23 -15.23 2.47 12.97 20.47 12.97 6.47 -9.73 -28.93 -30.43
-37.33 -35.83 -21.93 -8.43 0.87 14.27 16.17 11.97 5.07 -5.53 -21.33 -31.63
