"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-33.63 -28.83 -22.33 -7.53 2.67 12.17 20.37 15.17 7.07 -3.83 -23.73 -32.53
-29.53 -29.93 -25.73 -5.53 2.77 10.97 18.77 14.47 6.97 -11.03 -23.93 -31.33
-35.53 -32.23 -15.33 -9.63 2.37 14.07 17.67 13.47 7.07 -3.83 -23.83 -24.73
-27.53 -24.83 -21.23 -7.13 3.37 11.87 17.77 16.27 7.47 -6.23 -24.03 -28.73
-34.03 -34.63 -20.33 -7.33 4.67 15.07 21.37 15.67 6.27 -9.03 -22.43 -33.23
-36.82 -29.12 -14.02 -7.32 1.88 10.28 16.98 12.48 8.38 -7.62 -22.62 -34.22
-27.72 -24.52 -18.82 -7.52 0.68 11.98 19.38 15.18 7.48 -6.22 -26.92 -32.22
-29.52 -24.02 -17.62 -10.52 0.68 11.38 18.98 15.18 6.58 -3.12 -20.62 -30.62
-29.22 -24.22 -24.22 -11.22 0.58 10.98 20.08 14.78 8.18 -6.22 -23.92 -29.92
-33.82 -34.52 -17.52 -7.42 1.68 9.08 19.78 15.78 6.48 -4.32 -28.82 -30.22
-35.52 -38.42 -24.22 -12.12 3.48 11.78 17.68 13.88 7.78 -8.02 -27.52 -25.42
-29.32 -29.62 -17.72 -6.52 1.98 14.38 22.28 13.28 6.38 1.08 -17.92 -22.12
-32.82 -27.02 -10.32 -4.62 1.88 10.58 19.98 12.88 4.78 -5.52 -32.62 -35.82
-37.72 -40.22 -21.32 -10.52 2.28 12.08 21.88 14.88 4.28 -8.02 -19.02 -27.42
-31.62 -31.52 -19.22 -8.92 -0.02 10.88 20.78 12.28 7.28 -7.82 -21.02 -28.42
-30.42 -32.72 -20.12 -9.22 2.98 12.78 19.88 16.58 7.48 -4.72 -15.02 -26.82
-35.42 -30.62 -20.12 -6.12 1.08 14.08 18.58 13.78 4.08 -6.02 -27.92 -30.62
-29.22 -26.12 -16.42 -10.22 2.78 11.28 18.98 15.58 7.88 -5.62 -22.42 -28.82
-37.82 -34.82 -17.92 -6.72 0.98 10.38 16.28 14.78 7.28 -12.22 -29.82 -30.32
-27.62 -28.62 -16.12 -6.42 4.28 14.58 19.18 13.78 7.28 -4.92 -22.02 -22.92
-29.08 -32.48 -21.78 -5.68 1.12 12.42 17.32 12.42 7.02 -9.98 -22.98 -34.18
-34.28 -34.48 -21.48 -6.58 3.82 12.22 17.02 12.22 5.92 -11.78 -20.38 -31.18
-35.48 -23.98 -20.28 -7.58 1.82 11.72 19.32 14.22 5.52 -3.28 -13.98 -32.78
-41.98 -38.88 -22.38 -10.38 0.22 15.52 20.22 13.02 6.02 -9.38 -23.78 -26.88
-35.28 -29.88 -22.18 -8.08 0.22 11.52 19.72 16.62 7.32 -3.58 -25.78 -28.98
-22.98 -27.88 -18.58 -5.08 2.22 12.92 18.22 13.92 5.32 -8.78 -19.98 -25.08
-35.28 -24.78 -22.98 -3.88 2.32 12.32 18.72 15.02 5.02 -12.88 -25.38 -27.38
-28.68 -27.88 -15.68 -10.98 1.42 12.92 17.52 14.52 8.02 -4.58 -14.58 -25.68
-28.38 -29.48 -19.88 -13.88 3.82 14.32 21.82 14.32 7.82 -8.38 -27.58 -29.08
-35.98 -34.48 -20.58 -7.08 2.22 15.62 17.52 13.32 6.42 -4.18 -19.98 -30.28
-32.98 -23.88 -19.88 -9.68 1.72 12.02 20.92 14.42 6.32 -2.98 -18.88 -30.68
-36.28 -29.58 -21.78 -9.38 1.22 8.02 18.82 14.52 6.72 -6.28 -29.68 -29.98
-29.78 -31.58 -19.28 -10.78 2.92 12.32 17.62 13.72 8.52 -4.78 -18.88 -21.18
-31.08 -22.18 -14.68 -10.18 3.32 8.62 16.32 12.72 4.12 -5.98 -24.08 -26.38
-36.68 -29.08 -9.58 -5.58 4.82 14.62 19.82 14.12 6.42 -5.38 -25.38 -28.98
-29.2 -32.6 -21.9 -5.8 1 12.3 17.2 12.3 6.9 -10.1 -23.1 -34.3
-34.4 -34.6 -21.6 -6.7 3.7 12.1 16.9 12.1 5.8 -11.9 -20.5 -31.3
-35.6 -24.1 -20.4 -7.7 1.7 11.6 19.2 14.1 5.4 -3.4 -14.1 -32.9
-42.1 -39 -22.5 -10.5 0.1 15.4 20.1 12.9 5.9 -9.5 -23.9 -27
-35.4 -30 -22.3 -8.2 0.1 11.4 19.6 16.5 7.2 -3.7 -25.9 -29.1
-23.1 -28 -18.7 -5.2 2.1 12.8 18.1 13.8 5.2 -8.9 -20.1 -25.2
-35.4 -24.9 -23.1 -4 2.2 12.2 18.6 14.9 4.9 -13 -25.5 -27.5
-28.8 -28 -15.8 -11.1 1.3 12.8 17.4 14.4 7.9 -4.7 -14.7 -25.8
-28.5 -29.6 -20 -14 3.7 14.2 21.7 14.2 7.7 -8.5 -27.7 -29.2
-36.1 -34.6 -20.7 -7.2 2.1 15.5 17.4 13.2 6.3 -4.3 -20.1 -30.4
-33.1 -24 -20 -9.8 1.6 11.9 20.8 14.3 6.2 -3.1 -19 -30.8
-36.4 -29.7 -21.9 -9.5 1.1 7.9 18.7 14.4 6.6 -6.4 -29.8 -30.1
-29.9 -31.7 -19.4 -10.9 2.8 12.2 17.5 13.6 8.4 -4.9 -19 -21.3
-31.2 -22.3 -14.8 -10.3 3.2 8.5 16.2 12.6 4 -6.1 -24.2 -26.5
-36.8 -29.2 -9.7 -5.7 4.7 14.5 19.7 14 6.3 -5.5 -25.5 -29.1
-31.06 -29.86 -22.46 -9.16 0.34 10.74 17.24 14.34 8.94 -4.36 -26.66 -37.86
-32.46 -28.46 -19.66 -7.86 4.14 13.34 18.84 12.74 7.74 -8.16 -23.96 -29.46
-28.36 -28.56 -17.86 -9.06 0.74 11.84 20.24 14.84 8.34 -7.16 -22.76 -35.16
-38.36 -31.66 -19.86 -9.16 0.94 11.44 19.34 14.44 6.94 -5.86 -23.16 -28.86
-32.06 -29.56 -18.16 -8.36 1.54 12.34 18.64 14.74 4.84 -8.06 -23.36 -35.96
-28.16 -27.66 -16.26 -9.26 -0.66 11.74 22.34 14.44 7.44 -5.36 -21.86 -31.46
-34.46 -36.76 -15.26 -9.16 3.74 14.64 21.24 15.64 6.14 -6.36 -25.16 -28.16
-33.86 -30.36 -20.46 -9.96 2.04 12.44 19.94 16.34 9.24 -5.86 -25.76 -28.36
-34.36 -29.96 -17.36 -9.26 4.34 10.64 20.64 14.54 6.94 -6.26 -21.76 -27.66
-24.46 -29.96 -22.76 -8.96 0.84 10.14 16.74 13.94 7.34 -3.46 -20.86 -28.76
-29.36 -30.86 -12.86 -5.76 -1.96 10.64 19.14 17.24 6.24 -2.66 -23.16 -30.86
-36.06 -26.76 -21.46 -8.16 4.94 13.94 16.34 14.24 8.64 -3.76 -25.36 -32.06
-31.46 -27.76 -21.26 -8.06 1.64 12.44 19.94 16.34 7.04 -4.86 -23.76 -29.26
-37.06 -32.06 -16.96 -7.56 0.94 11.14 19.84 13.94 6.84 -2.56 -19.26 -32.56
-26.16 -32.86 -18.66 -11.86 1.94 13.24 18.64 12.64 6.64 -5.46 -18.16 -31.16
-31.04 -29.84 -22.44 -9.14 0.36 10.76 17.26 14.36 8.96 -4.34 -26.64 -37.84
-32.44 -28.44 -19.64 -7.84 4.16 13.36 18.86 12.76 7.76 -8.14 -23.94 -29.44
-28.34 -28.54 -17.84 -9.04 0.76 11.86 20.26 14.86 8.36 -7.14 -22.74 -35.14
-38.34 -31.64 -19.84 -9.14 0.96 11.46 19.36 14.46 6.96 -5.84 -23.14 -28.84
-32.04 -29.54 -18.14 -8.34 1.56 12.36 18.66 14.76 4.86 -8.04 -23.34 -35.94
-28.14 -27.64 -16.24 -9.24 -0.64 11.76 22.36 14.46 7.46 -5.34 -21.84 -31.44
-34.44 -36.74 -15.24 -9.14 3.76 14.66 21.26 15.66 6.16 -6.34 -25.14 -28.14
-33.84 -30.34 -20.44 -9.94 2.06 12.46 19.96 16.36 9.26 -5.84 -25.74 -28.34
-34.34 -29.94 -17.34 -9.24 4.36 10.66 20.66 14.56 6.96 -6.24 -21.74 -27.64
-24.44 -29.94 -22.74 -8.94 0.86 10.16 16.76 13.96 7.36 -3.44 -20.84 -28.74
-29.34 -30.84 -12.84 -5.74 -1.94 10.66 19.16 17.26 6.26 -2.64 -23.14 -30.84
-36.04 -26.74 -21.44 -8.14 4.96 13.96 16.36 14.26 8.66 -3.74 -25.34 -32.04
-31.44 -27.74 -21.24 -8.04 1.66 12.46 19.96 16.36 7.06 -4.84 -23.74 -29.24
-37.04 -32.04 -16.94 -7.54 0.96 11.16 19.86 13.96 6.86 -2.54 -19.24 -32.54
-26.14 -32.84 -18.64 -11.84 1.96 13.26 18.66 12.66 6.66 -5.44 -18.14 -31.14
-36.79 -25.09 -16.39 -9.99 2.51 11.01 17.21 14.61 5.01 -8.49 -20.59 -34.99
-31.99 -28.59 -18.79 -10.29 1.01 9.11 18.21 14.31 7.21 -9.19 -29.49 -31.89
-32.89 -22.19 -19.59 -8.99 2.21 9.81 19.91 12.71 7.11 -5.79 -22.29 -32.99
-32.09 -33.09 -17.49 -7.29 3.31 13.61 19.41 16.51 5.31 -3.79 -19.19 -29.29
-29.69 -26.69 -19.49 -8.29 2.91 9.51 20.91 13.71 7.11 -6.09 -22.29 -29.19
-33.39 -29.79 -17.09 -5.59 2.51 14.51 18.41 14.91 7.51 -4.29 -25.79 -25.29
-32.99 -29.79 -18.19 -7.69 2.51 12.31 18.91 15.01 7.41 -6.19 -23.39 -29.29
-32.59 -29.49 -18.99 -7.99 3.81 15.01 20.31 15.81 7.41 -4.89 -23.79 -34.39
-36.99 -27.09 -23.49 -10.99 0.01 12.31 20.61 15.01 5.61 -6.79 -22.29 -29.69
-33.49 -24.79 -23.29 -10.79 2.71 11.81 19.51 15.41 7.31 -6.99 -27.79 -35.39
-33.79 -28.99 -22.49 -7.69 2.51 12.01 20.21 15.01 6.91 -3.99 -23.89 -32.69
-29.69 -30.09 -25.89 -5.69 2.61 10.81 18.61 14.31 6.81 -11.19 -24.09 -31.49
-35.69 -32.39 -15.49 -9.79 2.21 13.91 17.51 13.31 6.91 -3.99 -23.99 -24.89
-27.69 -24.99 -21.39 -7.29 3.21 11.71 17.61 16.11 7.31 -6.39 -24.19 -28.89
-34.19 -34.79 -20.49 -7.49 4.51 14.91 21.21 15.51 6.11 -9.19 -22.59 -33.39
-36.84 -29.14 -14.04 -7.34 1.86 10.26 16.96 12.46 8.36 -7.64 -22.64 -34.24
-27.74 -24.54 -18.84 -7.54 0.66 11.96 19.36 15.16 7.46 -6.24 -26.94 -32.24
-29.54 -24.04 -17.64 -10.54 0.66 11.36 18.96 15.16 6.56 -3.14 -20.64 -30.64
-29.24 -24.24 -24.24 -11.24 0.56 10.96 20.06 14.76 8.16 -6.24 -23.94 -29.94
-33.84 -34.54 -17.54 -7.44 1.66 9.06 19.76 15.76 6.46 -4.34 -28.84 -30.24
-35.54 -38.44 -24.24 -12.14 3.46 11.76 17.66 13.86 7.76 -8.04 -27.54 -25.44
-29.34 -29.64 -17.74 -6.54 1.96 14.36 22.26 13.26 6.36 1.06 -17.94 -22.14
-32.84 -27.04 -10.34 -4.64 1.86 10.56 19.96 12.86 4.76 -5.54 -32.64 -35.84
-37.74 -40.24 -21.34 -10.54 2.26 12.06 21.86 14.86 4.26 -8.04 -19.04 -27.44
-31.64 -31.54 -19.24 -8.94 -0.04 10.86 20.76 12.26 7.26 -7.84 -21.04 -28.44
-30.44 -32.74 -20.14 -9.24 2.96 12.76 19.86 16.56 7.46 -4.74 -15.04 -26.84
-35.44 -30.64 -20.14 -6.14 1.06 14.06 18.56 13.76 4.06 -6.04 -27.94 -30.64
-29.24 -26.14 -16.44 -10.24 2.76 11.26 18.96 15.56 7.86 -5.64 -22.44 -28.84
-37.84 -34.84 -17.94 -6.74 0.96 10.36 16.26 14.76 7.26 -12.24 -29.84 -30.34
-27.64 -28.64 -16.14 -6.44 4.26 14.56 19.16 13.76 7.26 -4.94 -22.04 -22.94
-29.16 -32.56 -21.86 -5.76 1.04 12.34 17.24 12.34 6.94 -10.06 -23.06 -34.26
-34.36 -34.56 -21.56 -6.66 3.74 12.14 16.94 12.14 5.84 -11.86 -20.46 -31.26
-35.56 -24.06 -20.36 -7.66 1.74 11.64 19.24 14.14 5.44 -3.36 -14.06 -32.86
-42.06 -38.96 -22.46 -10.46 0.14 15.44 20.14 12.94 5.94 -9.46 -23.86 -26.96
-35.36 -29.96 -22.26 -8.16 0.14 11.44 19.64 16.54 7.24 -3.66 -25.86 -29.06
-23.06 -27.96 -18.66 -5.16 2.14 12.84 18.14 13.84 5.24 -8.86 -20.06 -25.16
-35.36 -24.86 -23.06 -3.96 2.24 12.24 18.64 14.94 4.94 -12.96 -25.46 -27.46
-28.76 -27.96 -15.76 -11.06 1.34 12.84 17.44 14.44 7.94 -4.66 -14.66 -25.76
-28.46 -29.56 -19.96 -13.96 3.74 14.24 21.74 14.24 7.74 -8.46 -27.66 -29.16
-36.06 -34.56 -20.66 -7.16 2.14 15.54 17.44 13.24 6.34 -4.26 -20.06 -30.36
-33.06 -23.96 -19.96 -9.76 1.64 11.94 20.84 14.34 6.24 -3.06 -18.96 -30.76
-36.36 -29.66 -21.86 -9.46 1.14 7.94 18.74 14.44 6.64 -6.36 -29.76 -30.06
-29.86 -31.66 -19.36 -10.86 2.84 12.24 17.54 13.64 8.44 -4.86 -18.96 -21.26
-31.16 -22.26 -14.76 -10.26 3.24 8.54 16.24 12.64 4.04 -6.06 -24.16 -26.46
-36.76 -29.16 -9.66 -5.66 4.74 14.54 19.74 14.04 6.34 -5.46 -25.46 -29.06
-36.81 -25.11 -16.41 -10.01 2.49 10.99 17.19 14.59 4.99 -8.51 -20.61 -35.01
-32.01 -28.61 -18.81 -10.31 0.99 9.09 18.19 14.29 7.19 -9.21 -29.51 -31.91
-32.91 -22.21 -19.61 -9.01 2.19 9.79 19.89 12.69 7.09 -5.81 -22.31 -33.01
-32.11 -33.11 -17.51 -7.31 3.29 13.59 19.39 16.49 5.29 -3.81 -19.21 -29.31
-29.71 -26.71 -19.51 -8.31 2.89 9.49 20.89 13.69 7.09 -6.11 -22.31 -29.21
-33.41 -29.81 -17.11 -5.61 2.49 14.49 18.39 14.89 7.49 -4.31 -25.81 -25.31
-33.01 -29.81 -18.21 -7.71 2.49 12.29 18.89 14.99 7.39 -6.21 -23.41 -29.31
-32.61 -29.51 -19.01 -8.01 3.79 14.99 20.29 15.79 7.39 -4.91 -23.81 -34.41
-37.01 -27.11 -23.51 -11.01 -0.01 12.29 20.59 14.99 5.59 -6.81 -22.31 -29.71
