"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
19.4 15.4 18.4 25.4 35.4 58.4 62.4 65.4 46.4 34.4 28.4 22.4
19.4 15.4 18.4 25.4 35.4 58.4 62.4 65.4 46.4 34.4 28.4 22.4
19.4 15.4 18.4 25.4 35.4 58.4 62.4 65.4 46.4 34.4 28.4 22.4
19.4 15.4 18.4 25.4 35.4 58.4 62.4 65.4 46.4 34.4 28.4 22.4
19.4 15.4 18.4 25.4 35.4 58.4 62.4 65.4 46.4 34.4 28.4 22.4
23.45 20.75 18.05 34.85 30.55 63.45 71.25 52.85 51.25 34.55 26.45 13.65
21.55 20.85 13.65 24.75 39.15 67.45 54.35 49.45 37.05 34.55 28.75 32.95
26.55 18.45 15.45 23.85 26.15 87.55 80.85 79.25 43.65 38.65 29.05 18.45
15.15 13.75 18.35 17.05 42.05 84.45 72.25 50.45 37.65 24.85 31.05 22.45
27.05 10.85 17.25 23.45 35.85 61.35 56.15 86.05 54.35 41.75 20.45 24.05
18.35 17.05 21.95 20.25 35.35 73.95 75.45 91.75 57.05 45.15 36.05 30.35
19.15 11.75 18.15 21.45 36.55 69.65 29.45 59.15 37.65 26.15 22.05 19.95
13.35 10.15 17.75 41.35 42.45 61.85 77.85 61.15 45.15 28.85 21.55 17.05
12.15 7.95 13.65 21.05 25.45 67.75 44.15 62.65 50.75 27.25 33.35 17.55
21.05 14.45 7.55 34.45 39.05 66.25 87.75 91.55 39.85 30.35 23.55 18.15
17.95 10.35 10.95 29.95 31.85 51.05 56.95 33.35 43.85 33.65 24.35 19.05
16.75 11.35 14.05 26.95 46.15 26.35 41.35 86.25 49.15 31.95 23.75 19.05
15.15 14.45 17.15 18.55 26.75 63.05 42.75 44.25 56.25 30.95 28.35 22.85
14.35 14.15 18.35 21.75 37.25 59.25 72.85 79.55 34.65 38.95 20.95 21.95
25.95 12.25 22.75 20.25 44.25 73.85 67.65 77.65 44.55 44.25 23.45 17.15
15.61 13.91 16.11 21.31 33.11 52.71 66.51 78.91 44.81 37.81 39.71 19.71
19.81 15.81 20.81 30.21 28.61 48.71 62.51 48.81 49.71 41.51 38.71 21.61
23.41 20.01 17.61 23.71 27.21 58.21 63.11 66.01 53.91 40.41 26.61 24.61
21.01 19.91 23.41 20.61 54.21 66.41 45.91 53.11 49.01 31.71 37.41 39.31
14.01 16.91 20.21 20.01 35.21 36.71 95.61 54.61 43.71 28.21 35.51 23.31
20.41 18.11 18.81 29.31 43.31 69.41 54.01 44.41 55.51 37.81 25.01 25.31
16.41 19.11 17.01 33.01 31.51 44.41 35.31 71.41 67.51 34.61 23.71 30.61
22.81 13.11 21.31 25.81 32.11 33.81 55.31 72.11 36.11 35.81 30.21 22.61
20.81 20.51 13.81 20.31 32.81 51.11 47.41 64.31 29.31 26.91 20.61 21.11
19.11 11.51 22.71 23.11 29.71 48.21 80.61 68.21 52.11 27.91 28.31 17.81
24.11 18.61 22.61 22.81 29.81 44.61 110.01 63.71 58.31 30.01 28.21 18.01
19.11 17.31 18.11 15.21 24.41 53.91 54.11 57.21 22.81 28.81 19.71 24.21
