"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-38.88 -33.88 -28.58 -13.48 -3.28 6.12 14.62 9.42 1.52 -9.28 -29.38 -37.98
-34.08 -35.18 -32.58 -11.18 -3.28 4.82 12.62 9.02 1.32 -16.98 -29.08 -36.68
-41.48 -37.68 -20.68 -15.78 -3.78 8.12 11.72 7.82 1.52 -9.78 -29.18 -29.28
-32.18 -29.78 -27.18 -13.08 -2.58 5.82 11.42 10.72 1.82 -11.78 -28.88 -33.98
-38.78 -40.68 -26.38 -12.88 -1.08 9.62 15.72 10.32 0.62 -14.98 -27.78 -39.18
-42.11 -34.71 -19.91 -13.21 -4.31 4.19 11.09 6.79 2.59 -13.31 -28.11 -39.61
-33.31 -30.11 -24.51 -13.41 -5.21 5.89 13.49 9.59 1.89 -11.81 -32.11 -37.21
-34.71 -29.61 -23.71 -16.41 -5.41 5.39 13.09 9.49 0.79 -8.81 -26.01 -36.01
-34.81 -29.51 -30.11 -17.31 -5.51 4.99 14.29 9.09 2.59 -11.91 -29.31 -34.91
-39.11 -39.71 -23.31 -13.41 -4.41 3.19 13.99 10.19 0.79 -10.11 -34.31 -35.41
-40.71 -43.81 -30.01 -18.21 -2.71 5.69 11.89 8.09 2.09 -13.71 -32.91 -30.81
-34.81 -35.11 -23.41 -12.31 -4.11 8.19 16.39 7.59 0.79 -4.71 -23.41 -27.51
-37.91 -32.21 -16.31 -10.71 -4.21 4.49 13.99 7.19 -0.91 -11.11 -38.11 -41.31
-42.81 -45.31 -27.21 -16.51 -3.91 6.29 15.99 9.09 -1.41 -13.61 -24.31 -32.51
-36.91 -37.01 -25.01 -14.91 -6.11 4.79 14.89 6.59 1.59 -13.51 -26.51 -33.51
-35.81 -37.91 -25.91 -15.21 -3.11 6.69 13.89 10.99 1.79 -10.41 -20.51 -32.01
-40.51 -36.11 -26.11 -12.11 -5.11 7.99 12.59 8.09 -1.61 -11.61 -33.21 -36.01
-34.71 -31.41 -22.21 -16.11 -3.41 5.29 13.19 9.99 2.19 -11.41 -27.61 -33.91
-43.21 -40.01 -23.91 -12.71 -5.11 4.39 10.29 9.09 1.49 -18.01 -35.41 -35.21
-32.71 -33.91 -22.21 -12.51 -1.91 8.39 13.29 8.19 1.69 -10.61 -27.61 -28.31
-35.83 -35.03 -28.53 -15.03 -5.93 4.57 10.97 8.67 3.67 -9.73 -32.43 -43.63
-37.53 -34.13 -25.93 -13.93 -1.83 7.27 12.97 6.97 2.07 -14.03 -29.33 -34.03
-33.23 -33.73 -23.83 -15.03 -5.73 5.67 14.47 9.17 2.77 -12.93 -27.63 -40.53
-43.33 -37.33 -25.93 -15.03 -5.13 5.37 13.37 8.97 1.37 -11.43 -28.43 -34.13
-37.23 -34.73 -24.03 -14.43 -4.63 6.27 12.57 9.17 -0.93 -13.93 -28.63 -42.13
-32.63 -32.93 -21.83 -15.33 -7.03 5.67 16.47 8.57 1.87 -10.63 -26.73 -36.53
-38.73 -43.03 -20.53 -15.43 -1.93 9.07 15.47 10.17 0.47 -12.33 -30.33 -33.13
-39.03 -35.23 -26.83 -16.13 -4.03 6.67 14.07 10.97 3.87 -11.13 -30.83 -33.73
-39.93 -35.23 -22.83 -15.23 -1.43 4.57 15.07 8.97 1.27 -11.73 -27.33 -33.13
-28.93 -34.63 -28.93 -15.03 -5.43 3.87 10.47 7.97 1.57 -9.03 -25.83 -33.93
-34.13 -36.63 -18.03 -11.53 -8.53 4.27 13.27 11.67 0.37 -7.83 -28.33 -35.83
-41.43 -31.23 -27.23 -13.93 -0.63 8.07 10.07 8.67 3.17 -9.23 -31.73 -37.63
-36.13 -32.43 -27.33 -14.23 -4.33 6.27 14.27 10.87 1.57 -10.43 -28.63 -34.13
-42.53 -36.93 -22.83 -13.53 -5.23 5.07 14.27 8.27 1.27 -8.13 -24.63 -37.53
-31.13 -38.63 -24.63 -17.73 -4.03 7.27 12.77 6.67 0.87 -11.33 -22.83 -36.53
-42.26 -34.86 -20.06 -13.36 -4.46 4.04 10.94 6.64 2.44 -13.46 -28.26 -39.76
-33.46 -30.26 -24.66 -13.56 -5.36 5.74 13.34 9.44 1.74 -11.96 -32.26 -37.36
-34.86 -29.76 -23.86 -16.56 -5.56 5.24 12.94 9.34 0.64 -8.96 -26.16 -36.16
-34.96 -29.66 -30.26 -17.46 -5.66 4.84 14.14 8.94 2.44 -12.06 -29.46 -35.06
-39.26 -39.86 -23.46 -13.56 -4.56 3.04 13.84 10.04 0.64 -10.26 -34.46 -35.56
-40.86 -43.96 -30.16 -18.36 -2.86 5.54 11.74 7.94 1.94 -13.86 -33.06 -30.96
-34.96 -35.26 -23.56 -12.46 -4.26 8.04 16.24 7.44 0.64 -4.86 -23.56 -27.66
-38.06 -32.36 -16.46 -10.86 -4.36 4.34 13.84 7.04 -1.06 -11.26 -38.26 -41.46
-42.96 -45.46 -27.36 -16.66 -4.06 6.14 15.84 8.94 -1.56 -13.76 -24.46 -32.66
-37.06 -37.16 -25.16 -15.06 -6.26 4.64 14.74 6.44 1.44 -13.66 -26.66 -33.66
-35.96 -38.06 -26.06 -15.36 -3.26 6.54 13.74 10.84 1.64 -10.56 -20.66 -32.16
-40.66 -36.26 -26.26 -12.26 -5.26 7.84 12.44 7.94 -1.76 -11.76 -33.36 -36.16
-34.86 -31.56 -22.36 -16.26 -3.56 5.14 13.04 9.84 2.04 -11.56 -27.76 -34.06
-43.36 -40.16 -24.06 -12.86 -5.26 4.24 10.14 8.94 1.34 -18.16 -35.56 -35.36
-32.86 -34.06 -22.36 -12.66 -2.06 8.24 13.14 8.04 1.54 -10.76 -27.76 -28.46
-39.33 -35.53 -25.83 -11.83 -3.83 5.37 14.37 8.47 -2.23 -10.43 -30.33 -41.13
-40.03 -38.03 -23.83 -11.23 -0.33 8.07 14.07 8.07 0.67 -4.23 -30.33 -33.73
-34.23 -34.73 -22.13 -12.23 -3.33 5.97 14.37 8.47 3.67 -7.63 -21.63 -35.43
-30.83 -31.83 -23.43 -10.93 -2.63 4.87 11.97 8.87 2.47 -7.53 -33.03 -31.33
-40.73 -36.03 -25.63 -14.93 -2.23 7.97 12.37 8.67 0.97 -11.23 -32.23 -35.13
-39.53 -40.93 -27.73 -14.13 -3.03 4.77 11.77 6.57 2.87 -7.63 -27.33 -29.43
-39.13 -33.93 -29.33 -16.13 -4.23 6.67 11.97 8.07 2.77 -15.73 -34.83 -40.53
-37.53 -32.03 -22.73 -9.33 -2.33 8.07 16.37 6.77 0.87 -10.63 -28.13 -30.13
-39.43 -39.03 -24.13 -13.63 -4.63 9.27 12.57 10.97 -0.43 -9.63 -27.13 -32.53
-28.33 -40.43 -31.03 -14.03 -4.03 7.07 13.97 8.67 -0.23 -10.63 -28.33 -42.23
-39.53 -31.83 -25.53 -16.33 -5.43 7.77 15.27 7.37 1.37 -13.53 -23.33 -32.83
-33.33 -39.43 -26.13 -15.43 -3.43 8.77 13.47 8.97 -1.13 -13.93 -35.13 -36.13
-36.83 -35.43 -29.73 -18.33 -4.53 4.87 14.37 6.87 -0.53 -13.83 -30.23 -40.43
-40.23 -33.03 -19.83 -15.13 -5.63 10.07 12.87 9.77 2.67 -11.93 -26.83 -37.13
-40.93 -37.93 -29.83 -14.83 -3.33 7.97 11.97 6.97 0.67 -13.63 -32.93 -30.43
-34.17 -37.77 -27.57 -11.67 -4.87 6.53 11.43 6.63 1.33 -15.77 -28.47 -39.47
-39.17 -39.97 -27.37 -12.57 -2.17 6.33 11.23 6.53 0.13 -17.47 -25.57 -36.57
-40.47 -29.37 -26.27 -13.77 -4.07 5.83 13.53 8.53 -0.07 -8.87 -19.57 -38.17
-47.07 -44.37 -28.27 -16.27 -5.87 9.53 14.53 7.43 0.33 -14.97 -29.27 -32.47
-40.37 -35.27 -27.97 -14.07 -5.77 5.43 13.73 10.83 1.63 -9.37 -31.27 -33.97
-28.07 -33.37 -24.27 -10.97 -3.87 7.03 12.43 8.43 -0.27 -14.57 -25.17 -30.47
-40.57 -30.17 -28.77 -9.87 -3.77 6.43 12.73 9.33 -0.67 -18.67 -30.47 -32.27
-33.87 -33.17 -21.47 -17.07 -4.67 7.03 11.63 8.83 2.23 -10.07 -20.17 -31.07
-33.47 -34.87 -25.77 -20.07 -2.27 8.43 15.93 8.63 2.23 -13.97 -33.07 -34.67
-40.97 -39.87 -26.27 -13.07 -3.87 9.63 11.63 7.73 0.93 -9.87 -25.37 -35.57
-37.77 -29.47 -25.77 -15.77 -4.47 5.93 14.93 8.63 0.53 -8.67 -24.07 -36.17
-41.57 -35.17 -27.67 -15.37 -4.67 1.93 12.93 8.83 1.13 -11.97 -34.97 -35.27
-35.07 -36.97 -24.97 -16.97 -3.17 6.33 11.73 8.03 2.83 -10.57 -24.37 -26.57
-36.27 -27.67 -20.57 -16.17 -2.67 2.63 10.43 6.93 -1.57 -11.67 -29.67 -31.77
-41.87 -34.47 -15.57 -11.47 -1.37 8.73 14.03 8.33 0.73 -11.17 -30.97 -34.47
-34.4 -38 -27.8 -11.9 -5.1 6.3 11.2 6.4 1.1 -16 -28.7 -39.7
-39.4 -40.2 -27.6 -12.8 -2.4 6.1 11 6.3 -0.1 -17.7 -25.8 -36.8
-40.7 -29.6 -26.5 -14 -4.3 5.6 13.3 8.3 -0.3 -9.1 -19.8 -38.4
