"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-24.19 -27.89 -23.29 -10.79 -3.59 7.61 13.91 7.01 2.51 -7.19 -16.59 -19.19
-25.79 -32.69 -21.89 -10.59 -2.59 6.81 8.21 6.71 3.21 -11.19 -15.79 -22.79
-26.89 -26.89 -16.59 -9.69 -3.29 6.01 11.31 9.51 2.01 -8.99 -16.19 -15.89
-28.49 -25.39 -20.99 -14.39 -1.69 5.31 7.41 11.61 2.91 -6.49 -17.69 -17.09
-25.09 -18.69 -21.39 -8.39 1.01 9.41 14.91 9.21 2.71 -7.89 -18.09 -29.29
-27.16 -19.96 -15.66 -8.86 -2.26 5.74 9.84 6.64 -0.26 -5.96 -19.56 -29.26
-29.66 -24.16 -27.06 -13.76 -5.76 4.04 14.64 9.04 1.84 -13.26 -26.56 -29.36
-26.36 -20.36 -15.96 -8.86 -3.76 4.24 10.24 8.94 2.44 -8.16 -16.46 -20.16
-20.76 -28.66 -14.06 -7.56 -0.46 7.54 10.44 9.84 2.34 -3.16 -15.26 -25.36
-24.56 -19.66 -16.26 -11.16 -1.76 3.64 10.64 8.44 3.84 -4.96 -15.86 -19.36
-28.16 -24.26 -17.16 -7.56 -0.96 7.44 10.74 9.64 2.44 -4.76 -17.16 -19.26
-31.06 -19.46 -12.76 -5.86 -5.16 4.94 12.24 11.04 4.74 -6.66 -20.76 -30.26
-30.66 -20.06 -21.36 -8.86 -2.66 6.04 10.24 8.64 3.04 -7.86 -18.96 -27.46
-24.86 -19.46 -19.26 -13.96 -4.66 6.54 12.14 8.14 4.14 -4.26 -13.36 -21.06
-23.46 -16.16 -21.16 -11.16 -1.26 4.84 12.14 7.84 3.24 -9.46 -19.96 -21.96
-24.36 -28.06 -23.46 -10.96 -3.76 7.44 13.74 6.84 2.34 -7.36 -16.76 -19.36
