"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-34.21 -37.81 -27.61 -11.71 -4.91 6.49 11.39 6.59 1.29 -15.81 -28.51 -39.51
-39.21 -40.01 -27.41 -12.61 -2.21 6.29 11.19 6.49 0.09 -17.51 -25.61 -36.61
-40.51 -29.41 -26.31 -13.81 -4.11 5.79 13.49 8.49 -0.11 -8.91 -19.61 -38.21
-47.11 -44.41 -28.31 -16.31 -5.91 9.49 14.49 7.39 0.29 -15.01 -29.31 -32.51
-40.41 -35.31 -28.01 -14.11 -5.81 5.39 13.69 10.79 1.59 -9.41 -31.31 -34.01
-28.11 -33.41 -24.31 -11.01 -3.91 6.99 12.39 8.39 -0.31 -14.61 -25.21 -30.51
-40.61 -30.21 -28.81 -9.91 -3.81 6.39 12.69 9.29 -0.71 -18.71 -30.51 -32.31
-33.91 -33.21 -21.51 -17.11 -4.71 6.99 11.59 8.79 2.19 -10.11 -20.21 -31.11
-33.51 -34.91 -25.81 -20.11 -2.31 8.39 15.89 8.59 2.19 -14.01 -33.11 -34.71
-41.01 -39.91 -26.31 -13.11 -3.91 9.59 11.59 7.69 0.89 -9.91 -25.41 -35.61
-37.81 -29.51 -25.81 -15.81 -4.51 5.89 14.89 8.59 0.49 -8.71 -24.11 -36.21
-41.61 -35.21 -27.71 -15.41 -4.71 1.89 12.89 8.79 1.09 -12.01 -35.01 -35.31
-35.11 -37.01 -25.01 -17.01 -3.21 6.29 11.69 7.99 2.79 -10.61 -24.41 -26.61
-36.31 -27.71 -20.61 -16.21 -2.71 2.59 10.39 6.89 -1.61 -11.71 -29.71 -31.81
-41.91 -34.51 -15.61 -11.51 -1.41 8.69 13.99 8.29 0.69 -11.21 -31.01 -34.51
-43.03 -36.03 -26.03 -17.03 -6.73 5.07 10.27 8.77 1.57 -8.43 -28.53 -33.83
-32.83 -32.13 -26.83 -12.63 -4.03 5.77 13.87 7.67 3.37 -10.03 -31.93 -32.93
-37.83 -36.33 -26.83 -14.93 -8.43 2.57 10.37 9.17 -2.33 -11.83 -29.93 -33.93
-34.73 -23.23 -24.23 -15.53 -5.13 5.77 11.17 7.07 -1.03 -10.43 -27.53 -36.23
-38.43 -28.63 -26.23 -18.53 -2.33 6.27 11.57 7.27 0.17 -16.23 -31.63 -35.93
-41.83 -36.33 -25.93 -13.33 -3.73 3.27 13.97 7.07 2.17 -11.83 -32.13 -29.63
-30.53 -33.83 -31.43 -16.83 -2.23 6.37 11.87 4.37 0.47 -13.33 -28.43 -39.33
-34.73 -35.43 -22.93 -10.63 -3.53 5.97 11.07 8.57 0.87 -14.13 -25.43 -35.73
-40.33 -28.13 -24.73 -13.13 -6.03 7.97 10.67 7.67 0.37 -12.23 -29.13 -26.53
-43.23 -32.13 -24.63 -13.63 -4.43 6.87 10.77 7.47 -0.23 -15.83 -29.23 -39.53
-43.03 -40.43 -31.13 -18.13 -3.33 8.87 13.37 8.67 1.17 -9.83 -31.03 -38.33
-33.33 -36.93 -31.13 -16.83 -3.53 6.57 13.27 6.77 1.37 -13.93 -30.23 -28.83
-37.63 -29.63 -21.43 -8.13 -2.13 6.87 11.27 8.47 2.37 -9.33 -29.63 -36.73
-32.33 -31.63 -23.73 -13.33 -4.83 4.37 11.57 7.97 1.27 -12.23 -30.53 -33.23
-36.53 -34.93 -28.63 -10.43 -0.63 8.97 12.47 7.87 2.67 -8.43 -29.03 -38.63
-42.95 -29.85 -22.15 -16.35 -3.65 4.65 10.85 8.75 -1.25 -14.35 -25.75 -40.15
-36.95 -34.15 -24.75 -16.45 -5.15 2.35 12.15 8.55 1.35 -15.35 -36.15 -37.65
-38.25 -26.65 -25.85 -15.15 -3.85 3.15 13.85 6.75 1.45 -11.25 -27.55 -38.55
-37.05 -38.85 -23.15 -13.15 -2.75 7.75 13.65 11.05 -0.65 -9.05 -24.55 -34.75
-35.15 -31.15 -25.45 -14.15 -2.95 2.95 14.95 7.75 1.55 -11.85 -27.85 -34.25
-38.35 -34.85 -22.95 -11.55 -3.55 8.65 12.45 8.95 1.95 -9.75 -31.25 -30.15
-38.05 -35.15 -24.15 -13.75 -3.65 6.25 13.05 9.25 1.55 -11.85 -28.75 -34.45
-37.75 -34.95 -24.75 -14.05 -2.35 9.15 14.35 10.25 1.75 -10.65 -29.05 -40.75
-42.65 -31.65 -29.85 -17.25 -6.55 6.15 14.65 9.15 -0.25 -12.45 -26.95 -34.85
-38.45 -29.25 -29.85 -17.35 -3.35 5.55 13.45 9.65 1.65 -12.85 -33.55 -41.05
-39.15 -34.15 -28.85 -13.75 -3.55 5.85 14.35 9.15 1.25 -9.55 -29.65 -38.25
-34.35 -35.45 -32.85 -11.45 -3.55 4.55 12.35 8.75 1.05 -17.25 -29.35 -36.95
-41.75 -37.95 -20.95 -16.05 -4.05 7.85 11.45 7.55 1.25 -10.05 -29.45 -29.55
-32.45 -30.05 -27.45 -13.35 -2.85 5.55 11.15 10.45 1.55 -12.05 -29.15 -34.25
-39.05 -40.95 -26.65 -13.15 -1.35 9.35 15.45 10.05 0.35 -15.25 -28.05 -39.45
-39.27 -35.47 -25.77 -11.77 -3.77 5.43 14.43 8.53 -2.17 -10.37 -30.27 -41.07
-39.97 -37.97 -23.77 -11.17 -0.27 8.13 14.13 8.13 0.73 -4.17 -30.27 -33.67
-34.17 -34.67 -22.07 -12.17 -3.27 6.03 14.43 8.53 3.73 -7.57 -21.57 -35.37
-30.77 -31.77 -23.37 -10.87 -2.57 4.93 12.03 8.93 2.53 -7.47 -32.97 -31.27
-40.67 -35.97 -25.57 -14.87 -2.17 8.03 12.43 8.73 1.03 -11.17 -32.17 -35.07
-39.47 -40.87 -27.67 -14.07 -2.97 4.83 11.83 6.63 2.93 -7.57 -27.27 -29.37
-39.07 -33.87 -29.27 -16.07 -4.17 6.73 12.03 8.13 2.83 -15.67 -34.77 -40.47
-37.47 -31.97 -22.67 -9.27 -2.27 8.13 16.43 6.83 0.93 -10.57 -28.07 -30.07
-39.37 -38.97 -24.07 -13.57 -4.57 9.33 12.63 11.03 -0.37 -9.57 -27.07 -32.47
-28.27 -40.37 -30.97 -13.97 -3.97 7.13 14.03 8.73 -0.17 -10.57 -28.27 -42.17
-39.47 -31.77 -25.47 -16.27 -5.37 7.83 15.33 7.43 1.43 -13.47 -23.27 -32.77
-33.27 -39.37 -26.07 -15.37 -3.37 8.83 13.53 9.03 -1.07 -13.87 -35.07 -36.07
-36.77 -35.37 -29.67 -18.27 -4.47 4.93 14.43 6.93 -0.47 -13.77 -30.17 -40.37
-40.17 -32.97 -19.77 -15.07 -5.57 10.13 12.93 9.83 2.73 -11.87 -26.77 -37.07
-40.87 -37.87 -29.77 -14.77 -3.27 8.03 12.03 7.03 0.73 -13.57 -32.87 -30.37
-43.05 -36.05 -26.05 -17.05 -6.75 5.05 10.25 8.75 1.55 -8.45 -28.55 -33.85
-32.85 -32.15 -26.85 -12.65 -4.05 5.75 13.85 7.65 3.35 -10.05 -31.95 -32.95
-37.85 -36.35 -26.85 -14.95 -8.45 2.55 10.35 9.15 -2.35 -11.85 -29.95 -33.95
-34.75 -23.25 -24.25 -15.55 -5.15 5.75 11.15 7.05 -1.05 -10.45 -27.55 -36.25
-38.45 -28.65 -26.25 -18.55 -2.35 6.25 11.55 7.25 0.15 -16.25 -31.65 -35.95
-41.85 -36.35 -25.95 -13.35 -3.75 3.25 13.95 7.05 2.15 -11.85 -32.15 -29.65
-30.55 -33.85 -31.45 -16.85 -2.25 6.35 11.85 4.35 0.45 -13.35 -28.45 -39.35
-34.75 -35.45 -22.95 -10.65 -3.55 5.95 11.05 8.55 0.85 -14.15 -25.45 -35.75
-40.35 -28.15 -24.75 -13.15 -6.05 7.95 10.65 7.65 0.35 -12.25 -29.15 -26.55
-43.25 -32.15 -24.65 -13.65 -4.45 6.85 10.75 7.45 -0.25 -15.85 -29.25 -39.55
-43.05 -40.45 -31.15 -18.15 -3.35 8.85 13.35 8.65 1.15 -9.85 -31.05 -38.35
-33.35 -36.95 -31.15 -16.85 -3.55 6.55 13.25 6.75 1.35 -13.95 -30.25 -28.85
-37.65 -29.65 -21.45 -8.15 -2.15 6.85 11.25 8.45 2.35 -9.35 -29.65 -36.75
-32.35 -31.65 -23.75 -13.35 -4.85 4.35 11.55 7.95 1.25 -12.25 -30.55 -33.25
-36.55 -34.95 -28.65 -10.45 -0.65 8.95 12.45 7.85 2.65 -8.45 -29.05 -38.65
-35.95 -35.15 -28.65 -15.15 -6.05 4.45 10.85 8.55 3.55 -9.85 -32.55 -43.75
-37.65 -34.25 -26.05 -14.05 -1.95 7.15 12.85 6.85 1.95 -14.15 -29.45 -34.15
-33.35 -33.85 -23.95 -15.15 -5.85 5.55 14.35 9.05 2.65 -13.05 -27.75 -40.65
-43.45 -37.45 -26.05 -15.15 -5.25 5.25 13.25 8.85 1.25 -11.55 -28.55 -34.25
-37.35 -34.85 -24.15 -14.55 -4.75 6.15 12.45 9.05 -1.05 -14.05 -28.75 -42.25
-32.75 -33.05 -21.95 -15.45 -7.15 5.55 16.35 8.45 1.75 -10.75 -26.85 -36.65
-38.85 -43.15 -20.65 -15.55 -2.05 8.95 15.35 10.05 0.35 -12.45 -30.45 -33.25
-39.15 -35.35 -26.95 -16.25 -4.15 6.55 13.95 10.85 3.75 -11.25 -30.95 -33.85
-40.05 -35.35 -22.95 -15.35 -1.55 4.45 14.95 8.85 1.15 -11.85 -27.45 -33.25
-29.05 -34.75 -29.05 -15.15 -5.55 3.75 10.35 7.85 1.45 -9.15 -25.95 -34.05
-34.25 -36.75 -18.15 -11.65 -8.65 4.15 13.15 11.55 0.25 -7.95 -28.45 -35.95
-41.55 -31.35 -27.35 -14.05 -0.75 7.95 9.95 8.55 3.05 -9.35 -31.85 -37.75
-36.25 -32.55 -27.45 -14.35 -4.45 6.15 14.15 10.75 1.45 -10.55 -28.75 -34.25
-42.65 -37.05 -22.95 -13.65 -5.35 4.95 14.15 8.15 1.15 -8.25 -24.75 -37.65
-31.25 -38.75 -24.75 -17.85 -4.15 7.15 12.65 6.55 0.75 -11.45 -22.95 -36.65
-42.87 -29.77 -22.07 -16.27 -3.57 4.73 10.93 8.83 -1.17 -14.27 -25.67 -40.07
-36.87 -34.07 -24.67 -16.37 -5.07 2.43 12.23 8.63 1.43 -15.27 -36.07 -37.57
-38.17 -26.57 -25.77 -15.07 -3.77 3.23 13.93 6.83 1.53 -11.17 -27.47 -38.47
-36.97 -38.77 -23.07 -13.07 -2.67 7.83 13.73 11.13 -0.57 -8.97 -24.47 -34.67
-35.07 -31.07 -25.37 -14.07 -2.87 3.03 15.03 7.83 1.63 -11.77 -27.77 -34.17
-38.27 -34.77 -22.87 -11.47 -3.47 8.73 12.53 9.03 2.03 -9.67 -31.17 -30.07
-37.97 -35.07 -24.07 -13.67 -3.57 6.33 13.13 9.33 1.63 -11.77 -28.67 -34.37
-37.67 -34.87 -24.67 -13.97 -2.27 9.23 14.43 10.33 1.83 -10.57 -28.97 -40.67
-42.57 -31.57 -29.77 -17.17 -6.47 6.23 14.73 9.23 -0.17 -12.37 -26.87 -34.77
-38.37 -29.17 -29.77 -17.27 -3.27 5.63 13.53 9.73 1.73 -12.77 -33.47 -40.97
-39.07 -34.07 -28.77 -13.67 -3.47 5.93 14.43 9.23 1.33 -9.47 -29.57 -38.17
-34.27 -35.37 -32.77 -11.37 -3.47 4.63 12.43 8.83 1.13 -17.17 -29.27 -36.87
-41.67 -37.87 -20.87 -15.97 -3.97 7.93 11.53 7.63 1.33 -9.97 -29.37 -29.47
-32.37 -29.97 -27.37 -13.27 -2.77 5.63 11.23 10.53 1.63 -11.97 -29.07 -34.17
-38.97 -40.87 -26.57 -13.07 -1.27 9.43 15.53 10.13 0.43 -15.17 -27.97 -39.37
