"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
18.47 14.47 17.47 23.47 32.47 55.47 59.47 62.47 43.47 33.47 26.47 20.47
18.47 14.47 17.47 23.47 32.47 55.47 59.47 62.47 43.47 33.47 26.47 20.47
18.47 14.47 17.47 23.47 32.47 55.47 59.47 62.47 43.47 33.47 26.47 20.47
18.47 14.47 17.47 23.47 32.47 55.47 59.47 62.47 43.47 33.47 26.47 20.47
18.47 14.47 17.47 23.47 32.47 55.47 59.47 62.47 43.47 33.47 26.47 20.47
24.18 20.78 17.78 33.28 25.68 64.38 71.88 41.08 49.48 36.48 24.48 9.78
20.48 20.98 11.78 21.98 39.68 61.98 48.18 41.08 31.78 34.38 25.88 33.08
29.28 18.68 13.68 21.88 21.98 87.58 83.18 74.88 39.38 35.38 27.38 15.78
12.88 13.98 18.58 12.48 41.98 86.98 72.48 43.88 31.08 22.58 29.78 22.38
28.88 9.18 15.88 23.28 32.08 61.08 45.38 92.98 53.58 42.48 18.28 23.38
17.48 16.58 22.38 17.88 32.88 77.48 74.68 97.98 58.18 48.38 36.08 31.08
18.98 10.08 17.48 21.78 29.98 70.58 23.68 54.58 35.58 24.78 19.38 18.08
10.98 7.78 18.28 45.28 38.78 57.58 79.98 60.28 44.18 27.88 18.58 15.18
9.48 5.58 10.88 19.58 21.78 61.18 38.38 53.68 49.48 23.28 34.18 15.98
19.28 12.68 4.58 33.08 38.28 67.08 95.88 95.28 36.28 27.48 20.48 15.08
14.78 8.68 8.78 28.58 24.58 46.18 46.18 26.38 39.08 29.18 21.58 17.28
15.68 8.38 10.88 26.08 42.28 18.98 32.08 84.48 47.98 32.18 20.28 16.78
12.88 13.28 15.28 13.58 23.08 66.48 39.68 40.88 56.28 30.78 24.18 19.98
12.08 13.68 16.98 20.58 32.38 59.18 70.28 72.48 29.58 38.48 16.58 20.08
25.88 10.08 21.38 17.08 43.38 70.38 61.88 78.28 35.58 45.78 21.08 13.58
13.88 12.58 15.58 17.38 31.48 48.48 68.08 78.78 40.18 39.68 42.68 16.98
19.58 14.58 18.68 29.18 24.08 44.88 64.28 40.18 46.88 38.08 39.48 18.08
21.88 18.88 17.28 21.78 22.98 52.48 61.48 61.28 42.98 37.78 22.28 20.98
20.18 19.18 23.78 15.78 57.48 57.48 35.68 50.68 47.78 29.28 37.18 41.78
11.08 16.48 19.58 17.38 32.08 28.68 96.08 47.08 42.28 26.68 34.38 21.18
20.68 18.58 19.18 27.98 41.08 65.18 43.78 41.08 60.08 38.68 24.18 24.28
14.18 20.18 16.28 29.98 27.38 38.28 25.68 66.88 72.68 36.88 18.58 29.98
22.88 11.48 20.18 22.88 30.38 26.38 49.98 75.28 32.08 34.28 28.98 20.68
20.68 20.98 11.68 17.78 30.08 48.68 41.28 68.58 24.58 22.88 16.98 19.78
16.68 10.48 22.18 21.98 27.38 48.38 85.18 62.28 50.08 25.68 27.48 16.08
25.18 18.68 22.48 20.98 25.88 42.78 119.88 66.48 56.28 28.48 27.68 14.88
18.48 16.28 18.38 12.48 21.08 50.98 46.58 53.28 16.18 27.28 16.88 21.18
24.68 13.38 16.78 36.08 20.28 55.88 57.58 94.78 48.08 30.18 27.68 17.08
15.38 16.78 27.98 31.68 47.38 50.98 76.48 69.28 41.98 48.08 44.48 23.78
15.78 15.68 30.58 24.58 46.48 48.18 28.58 40.18 44.78 40.98 23.48 19.48
13.89 12.59 15.59 17.39 31.49 48.49 68.09 78.79 40.19 39.69 42.69 16.99
19.59 14.59 18.69 29.19 24.09 44.89 64.29 40.19 46.89 38.09 39.49 18.09
