"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
10.94 9.64 12.64 14.44 28.54 45.54 65.14 75.84 37.24 36.74 39.74 14.04
16.64 11.64 15.74 26.24 21.14 41.94 61.34 37.24 43.94 35.14 36.54 15.14
18.94 15.94 14.34 18.84 20.04 49.54 58.54 58.34 40.04 34.84 19.34 18.04
17.24 16.24 20.84 12.84 54.54 54.54 32.74 47.74 44.84 26.34 34.24 38.84
8.14 13.54 16.64 14.44 29.14 25.74 93.14 44.14 39.34 23.74 31.44 18.24
17.74 15.64 16.24 25.04 38.14 62.24 40.84 38.14 57.14 35.74 21.24 21.34
11.24 17.24 13.34 27.04 24.44 35.34 22.74 63.94 69.74 33.94 15.64 27.04
19.94 8.54 17.24 19.94 27.44 23.44 47.04 72.34 29.14 31.34 26.04 17.74
17.74 18.04 8.74 14.84 27.14 45.74 38.34 65.64 21.64 19.94 14.04 16.84
13.74 7.54 19.24 19.04 24.44 45.44 82.24 59.34 47.14 22.74 24.54 13.14
22.24 15.74 19.54 18.04 22.94 39.84 116.94 63.54 53.34 25.54 24.74 11.94
15.54 13.34 15.44 9.54 18.14 48.04 43.64 50.34 13.24 24.34 13.94 18.24
21.74 10.44 13.84 33.14 17.34 52.94 54.64 91.84 45.14 27.24 24.74 14.14
12.44 13.84 25.04 28.74 44.44 48.04 73.54 66.34 39.04 45.14 41.54 20.84
12.84 12.74 27.64 21.64 43.54 45.24 25.64 37.24 41.84 38.04 20.54 16.54
15.79 8.89 14.49 15.69 27.99 46.29 46.99 48.99 38.59 25.49 22.99 16.99
14.99 10.99 13.59 17.39 27.69 62.89 55.99 58.99 39.99 29.99 22.99 16.99
14.99 10.99 13.99 19.99 28.99 51.99 55.99 58.99 47.59 26.49 22.09 17.09
11.49 8.39 11.09 14.49 25.49 39.99 49.69 56.59 39.99 24.49 17.39 14.09
14.99 10.99 13.99 19.99 28.99 51.99 55.99 56.89 36.59 29.99 22.99 16.99
11.89 10.09 11.29 15.39 24.49 55.09 50.69 57.69 34.09 31.79 19.39 14.59
12.89 8.69 13.69 14.99 25.19 59.89 68.89 52.29 35.99 22.29 17.49 13.49
11.59 10.39 17.09 25.19 30.19 47.69 46.59 52.19 37.19 31.39 18.49 13.49
13.59 11.09 12.29 18.49 27.89 41.79 47.29 57.99 37.49 24.79 21.29 20.19
9.49 11.59 17.29 24.89 25.29 69.69 67.59 51.39 27.39 22.69 20.19 14.89
10.09 10.29 7.19 17.49 16.29 78.49 124.69 76.69 49.69 21.69 27.99 8.99
23.09 17.79 12.09 12.99 20.29 67.39 50.39 61.99 26.29 40.49 26.99 24.49
20.39 13.99 16.19 32.59 45.89 42.99 121.59 49.49 32.79 35.79 23.19 17.59
11.89 8.99 10.59 11.79 25.59 59.19 82.49 78.39 36.79 44.49 15.69 13.39
10.89 8.09 8.09 31.39 62.49 53.89 71.09 74.39 31.79 21.89 41.19 14.39
15.53 11.53 14.53 20.53 29.53 52.53 56.53 59.53 40.53 30.53 23.53 17.53
15.53 11.53 14.53 20.53 29.53 52.53 56.53 59.53 40.53 30.53 23.53 17.53
15.53 11.53 14.53 20.53 29.53 52.53 56.53 59.53 40.53 30.53 23.53 17.53
15.53 11.53 14.53 20.53 29.53 52.53 56.53 59.53 40.53 30.53 23.53 17.53
15.53 11.53 14.53 20.53 29.53 52.53 56.53 59.53 40.53 30.53 23.53 17.53
15.53 11.53 14.53 20.53 29.53 52.53 56.53 59.53 40.53 30.53 23.53 17.53
15.53 11.53 14.53 20.53 29.53 52.53 56.53 59.53 40.53 30.53 23.53 17.53
15.53 11.53 14.53 20.53 29.53 52.53 56.53 59.53 40.53 30.53 23.53 17.53
15.53 11.53 14.53 20.53 29.53 52.53 56.53 59.53 40.53 30.53 23.53 17.53
15.53 11.53 14.53 20.53 29.53 52.53 56.53 59.53 40.53 30.53 23.53 17.53
15.53 11.53 14.53 20.53 29.53 52.53 56.53 59.53 40.53 30.53 23.53 17.53
15.53 11.53 14.53 20.53 29.53 52.53 56.53 59.53 40.53 30.53 23.53 17.53
15.53 11.53 14.53 20.53 29.53 52.53 56.53 59.53 40.53 30.53 23.53 17.53
15.53 11.53 14.53 20.53 29.53 52.53 56.53 59.53 40.53 30.53 23.53 17.53
15.53 11.53 14.53 20.53 29.53 52.53 56.53 59.53 40.53 30.53 23.53 17.53
5.26 13.66 6.26 6.86 26.46 62.26 72.66 34.76 31.36 24.36 20.96 14.36
5.46 1.96 2.96 26.66 60.86 71.66 55.26 55.16 37.66 11.76 5.76 8.86
15.66 7.66 11.46 25.56 18.26 49.86 88.66 70.16 17.46 31.76 8.86 8.06
12.16 12.36 14.76 13.36 31.46 73.76 60.16 64.76 30.26 23.86 23.26 14.06
6.56 13.86 10.46 5.16 21.86 80.06 83.66 49.66 24.96 29.56 22.36 13.86
8.36 5.46 14.66 17.96 39.26 52.26 57.06 98.06 40.66 17.46 10.06 11.16
11.66 14.56 6.96 11.96 44.36 61.66 69.06 85.66 38.86 9.26 14.46 3.96
7.46 14.36 6.36 6.46 21.46 98.36 113.36 36.36 52.16 21.66 16.16 13.76
11.56 13.26 10.16 2.86 32.66 54.96 58.66 70.46 51.86 27.16 18.06 15.46
11.76 10.06 7.26 18.06 25.96 41.06 39.46 57.46 26.26 31.86 35.36 17.16
14.36 3.86 7.46 16.56 8.76 64.56 68.86 35.06 46.06 35.96 36.16 9.46
19.26 6.46 16.06 14.06 32.06 66.06 60.06 43.86 52.26 31.66 26.56 20.16
27.26 14.06 19.26 18.76 31.36 39.66 56.06 90.56 44.46 29.66 41.46 28.36
23.36 14.66 21.96 16.06 31.86 45.96 76.86 46.56 58.26 31.76 29.16 23.16
15.86 16.56 7.66 21.06 5.86 66.46 66.46 59.26 25.66 42.76 29.36 29.26
15.78 8.88 14.48 15.68 27.98 46.28 46.98 48.98 38.58 25.48 22.98 16.98
14.98 10.98 13.58 17.38 27.68 62.88 55.98 58.98 39.98 29.98 22.98 16.98
14.98 10.98 13.98 19.98 28.98 51.98 55.98 58.98 47.58 26.48 22.08 17.08
11.48 8.38 11.08 14.48 25.48 39.98 49.68 56.58 39.98 24.48 17.38 14.08
14.98 10.98 13.98 19.98 28.98 51.98 55.98 56.88 36.58 29.98 22.98 16.98
11.88 10.08 11.28 15.38 24.48 55.08 50.68 57.68 34.08 31.78 19.38 14.58
12.88 8.68 13.68 14.98 25.18 59.88 68.88 52.28 35.98 22.28 17.48 13.48
11.58 10.38 17.08 25.18 30.18 47.68 46.58 52.18 37.18 31.38 18.48 13.48
13.58 11.08 12.28 18.48 27.88 41.78 47.28 57.98 37.48 24.78 21.28 20.18
9.48 11.58 17.28 24.88 25.28 69.68 67.58 51.38 27.38 22.68 20.18 14.88
10.08 10.28 7.18 17.48 16.28 78.48 124.68 76.68 49.68 21.68 27.98 8.98
23.08 17.78 12.08 12.98 20.28 67.38 50.38 61.98 26.28 40.48 26.98 24.48
20.38 13.98 16.18 32.58 45.88 42.98 121.58 49.48 32.78 35.78 23.18 17.58
11.88 8.98 10.58 11.78 25.58 59.18 82.48 78.38 36.78 44.48 15.68 13.38
10.88 8.08 8.08 31.38 62.48 53.88 71.08 74.38 31.78 21.88 41.18 14.38
15.59 11.59 14.59 20.59 29.59 52.59 56.59 59.59 40.59 30.59 23.59 17.59
15.59 11.59 14.59 20.59 29.59 52.59 56.59 59.59 40.59 30.59 23.59 17.59
15.59 11.59 14.59 20.59 29.59 52.59 56.59 59.59 40.59 30.59 23.59 17.59
15.59 11.59 14.59 20.59 29.59 52.59 56.59 59.59 40.59 30.59 23.59 17.59
15.59 11.59 14.59 20.59 29.59 52.59 56.59 59.59 40.59 30.59 23.59 17.59
15.59 11.59 14.59 20.59 29.59 52.59 56.59 59.59 40.59 30.59 23.59 17.59
15.59 11.59 14.59 20.59 29.59 52.59 56.59 59.59 40.59 30.59 23.59 17.59
15.59 11.59 14.59 20.59 29.59 52.59 56.59 59.59 40.59 30.59 23.59 17.59
15.59 11.59 14.59 20.59 29.59 52.59 56.59 59.59 40.59 30.59 23.59 17.59
15.59 11.59 14.59 20.59 29.59 52.59 56.59 59.59 40.59 30.59 23.59 17.59
15.59 11.59 14.59 20.59 29.59 52.59 56.59 59.59 40.59 30.59 23.59 17.59
15.59 11.59 14.59 20.59 29.59 52.59 56.59 59.59 40.59 30.59 23.59 17.59
15.59 11.59 14.59 20.59 29.59 52.59 56.59 59.59 40.59 30.69 23.59 15.79
15.59 11.59 14.59 20.59 29.59 46.49 56.29 59.59 33.19 27.09 23.59 17.69
15.59 9.79 16.79 16.29 26.09 65.29 60.49 59.59 32.59 30.99 22.09 15.79
15.45 11.45 14.45 20.45 29.45 52.45 56.45 59.45 40.45 30.45 23.45 17.45
15.45 11.45 14.45 20.45 29.45 52.45 56.45 59.45 40.45 30.45 23.45 17.45
15.45 11.45 14.45 20.45 29.45 52.45 56.45 59.45 40.45 30.45 23.45 17.45
15.45 11.45 14.45 20.45 29.45 52.45 56.45 59.45 40.45 30.45 23.45 17.45
15.45 11.45 14.45 20.45 29.45 52.45 56.45 59.45 40.45 30.45 23.45 17.45
15.45 11.45 14.45 20.45 29.45 52.45 56.45 59.45 40.45 30.45 23.45 17.45
15.45 11.45 14.45 20.45 29.45 52.45 56.45 59.45 40.45 30.45 23.45 17.45
15.45 11.45 14.45 20.45 29.45 52.45 56.45 59.45 40.45 30.45 23.45 17.45
15.45 11.45 14.45 20.45 29.45 52.45 56.45 59.45 40.45 30.45 23.45 17.45
15.45 11.45 14.45 20.45 29.45 52.45 56.45 59.45 40.45 30.45 23.45 17.45
15.45 11.45 14.45 20.45 29.45 52.45 56.45 59.45 40.45 30.45 23.45 17.45
15.45 11.45 14.45 20.45 29.45 52.45 56.45 59.45 40.45 30.45 23.45 17.45
15.45 11.45 14.45 20.45 29.45 52.45 56.45 59.45 40.45 30.45 23.45 17.45
15.45 11.45 14.45 20.45 29.45 52.45 56.45 59.45 40.45 30.45 23.45 17.45
15.45 11.45 14.45 20.45 29.45 52.45 56.45 59.45 40.45 30.45 23.45 17.45
21.19 17.79 14.79 30.29 22.69 61.39 68.89 38.09 46.49 33.49 21.49 6.79
17.49 17.99 8.79 18.99 36.69 58.99 45.19 38.09 28.79 31.39 22.89 30.09
26.29 15.69 10.69 18.89 18.99 84.59 80.19 71.89 36.39 32.39 24.39 12.79
9.89 10.99 15.59 9.49 38.99 83.99 69.49 40.89 28.09 19.59 26.79 19.39
25.89 6.19 12.89 20.29 29.09 58.09 42.39 89.99 50.59 39.49 15.29 20.39
14.49 13.59 19.39 14.89 29.89 74.49 71.69 94.99 55.19 45.39 33.09 28.09
15.99 7.09 14.49 18.79 26.99 67.59 20.69 51.59 32.59 21.79 16.39 15.09
