"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-24.99 -28.69 -24.49 -12.09 -4.69 6.41 12.81 6.21 1.71 -7.99 -17.59 -19.99
-26.49 -33.29 -23.19 -11.69 -3.79 5.61 7.21 5.91 2.41 -12.19 -16.59 -23.39
-27.69 -27.89 -17.69 -10.79 -4.49 4.91 10.31 8.51 1.21 -9.89 -17.09 -16.39
-29.09 -26.19 -22.19 -15.49 -2.89 4.21 6.41 10.71 2.11 -7.39 -18.39 -17.79
-25.69 -19.59 -22.49 -9.49 -0.19 8.21 13.91 8.31 1.81 -8.79 -18.89 -29.89
-27.85 -20.85 -16.65 -10.15 -3.45 4.55 8.65 5.75 -1.05 -6.85 -20.15 -29.95
-30.35 -25.15 -28.25 -14.95 -6.95 2.75 13.45 8.05 1.05 -14.15 -27.35 -29.85
-27.15 -21.05 -16.95 -10.05 -4.85 3.05 9.35 7.95 1.65 -9.05 -17.15 -20.85
-21.55 -29.75 -15.05 -8.65 -1.65 6.45 9.55 8.95 1.55 -3.95 -16.05 -26.05
-25.05 -20.35 -17.25 -12.25 -2.95 2.45 9.85 7.55 3.05 -5.95 -16.65 -19.95
-28.85 -25.05 -18.35 -8.65 -2.05 6.45 9.75 8.75 1.65 -5.55 -18.05 -19.75
-31.85 -20.35 -13.75 -6.95 -6.45 3.95 11.35 10.15 3.95 -7.45 -21.55 -30.95
-31.45 -20.95 -22.35 -10.05 -3.75 5.15 9.35 7.75 2.25 -8.65 -19.65 -28.25
-25.65 -20.25 -20.55 -15.35 -5.95 5.35 11.15 7.25 3.15 -5.25 -14.25 -21.65
-24.25 -16.75 -22.35 -12.45 -2.45 3.75 11.15 6.85 2.45 -10.35 -20.85 -22.85
-25.15 -28.85 -24.65 -12.25 -4.85 6.25 12.65 6.05 1.55 -8.15 -17.75 -20.15
-26.65 -33.45 -23.35 -11.85 -3.95 5.45 7.05 5.75 2.25 -12.35 -16.75 -23.55
-27.85 -28.05 -17.85 -10.95 -4.65 4.75 10.15 8.35 1.05 -10.05 -17.25 -16.55
-29.25 -26.35 -22.35 -15.65 -3.05 4.05 6.25 10.55 1.95 -7.55 -18.55 -17.95
-25.85 -19.75 -22.65 -9.65 -0.35 8.05 13.75 8.15 1.65 -8.95 -19.05 -30.05
-24.69 -20.89 -21.19 -13.49 -7.29 5.31 9.11 4.81 1.11 -7.79 -16.99 -24.59
-27.49 -32.99 -23.89 -11.09 -4.69 3.61 10.21 4.01 2.91 -6.49 -17.99 -19.59
-26.79 -26.39 -22.79 -9.79 -9.89 5.01 10.61 4.61 1.71 -8.09 -16.09 -23.59
-28.99 -29.59 -21.79 -11.19 -5.89 4.71 8.81 9.21 2.81 -5.99 -20.59 -26.19
-25.09 -25.69 -12.49 -8.69 0.71 8.11 8.61 8.61 2.51 -13.09 -17.99 -21.99
-22.49 -25.29 -16.49 -9.39 -3.49 9.71 10.61 6.01 1.11 -6.89 -15.79 -24.49
-24.79 -28.29 -17.29 -12.79 -1.59 8.41 11.41 7.51 3.21 -8.39 -14.99 -21.99
-20.59 -24.19 -20.79 -16.09 -7.29 7.31 10.91 8.61 4.31 -3.69 -17.99 -17.89
-26.99 -24.79 -16.09 -10.59 -2.19 2.91 10.61 6.91 2.21 -5.69 -12.59 -20.99
-20.79 -22.39 -21.99 -12.39 -6.49 3.41 9.01 6.81 2.01 -7.49 -17.99 -24.29
-21.69 -25.19 -13.49 -12.49 -9.09 4.71 6.71 6.01 0.91 -6.49 -17.39 -24.19
-31.49 -22.39 -23.19 -11.99 -1.99 6.31 9.21 8.01 2.31 -7.89 -19.39 -25.99
-24.79 -22.79 -22.29 -15.59 -4.39 3.81 11.01 8.71 3.31 -8.29 -20.09 -19.09
-28.49 -28.99 -22.99 -15.09 -6.19 5.41 9.31 6.11 1.91 -3.69 -12.69 -24.49
-18.69 -29.49 -23.79 -15.29 -5.59 3.01 8.31 9.11 0.71 -8.39 -14.49 -25.39
-23.87 -27.87 -20.27 -11.47 -5.77 1.13 8.23 8.93 0.63 -10.47 -16.97 -21.97
-24.77 -30.77 -20.17 -9.87 -4.67 4.23 5.83 7.23 2.03 -4.37 -17.87 -22.97
-24.47 -26.07 -21.57 -10.17 -0.27 5.73 7.93 6.13 3.33 -4.77 -12.07 -26.37
-18.57 -31.17 -18.77 -8.37 -4.77 2.63 5.73 8.63 -0.67 -6.67 -18.07 -23.77
-32.07 -26.37 -15.27 -7.37 -3.47 4.83 7.83 5.73 2.43 -4.97 -17.17 -18.67
-26.17 -29.67 -21.37 -5.37 -5.17 3.23 9.43 7.03 2.63 -4.97 -16.57 -18.87
-22.17 -21.27 -26.67 -13.47 -6.97 4.33 10.93 5.73 2.83 -10.27 -20.87 -26.97
-26.27 -27.57 -22.57 -5.17 -2.87 6.53 10.53 10.33 -1.17 -7.37 -21.27 -15.87
-23.37 -28.47 -17.97 -9.27 -3.17 5.63 12.93 6.43 2.53 -4.97 -17.77 -18.67
-18.57 -30.67 -25.67 -9.07 -1.47 5.53 9.83 5.13 0.93 -4.47 -21.27 -32.37
-25.17 -28.07 -14.47 -17.67 -2.57 5.93 9.63 8.33 -1.57 -9.97 -21.77 -20.27
-24.27 -23.47 -28.77 -12.27 -1.67 5.23 11.13 10.53 3.43 -8.37 -24.07 -25.07
-23.67 -25.87 -28.17 -15.27 -7.07 3.63 7.73 5.53 -2.27 -6.67 -15.47 -33.07
-22.17 -23.97 -15.67 -17.37 -3.17 6.33 10.63 7.93 1.63 -10.97 -15.17 -20.97
-30.27 -30.77 -27.37 -11.57 -5.07 5.23 9.73 5.13 1.33 -11.37 -19.97 -20.77
-23.64 -27.64 -20.04 -11.24 -5.54 1.36 8.46 9.16 0.86 -10.24 -16.74 -21.74
-24.54 -30.54 -19.94 -9.64 -4.44 4.46 6.06 7.46 2.26 -4.14 -17.64 -22.74
-24.24 -25.84 -21.34 -9.94 -0.04 5.96 8.16 6.36 3.56 -4.54 -11.84 -26.14
-18.34 -30.94 -18.54 -8.14 -4.54 2.86 5.96 8.86 -0.44 -6.44 -17.84 -23.54
-31.84 -26.14 -15.04 -7.14 -3.24 5.06 8.06 5.96 2.66 -4.74 -16.94 -18.44
-25.94 -29.44 -21.14 -5.14 -4.94 3.46 9.66 7.26 2.86 -4.74 -16.34 -18.64
-21.94 -21.04 -26.44 -13.24 -6.74 4.56 11.16 5.96 3.06 -10.04 -20.64 -26.74
-26.04 -27.34 -22.34 -4.94 -2.64 6.76 10.76 10.56 -0.94 -7.14 -21.04 -15.64
-23.14 -28.24 -17.74 -9.04 -2.94 5.86 13.16 6.66 2.76 -4.74 -17.54 -18.44
-18.34 -30.44 -25.44 -8.84 -1.24 5.76 10.06 5.36 1.16 -4.24 -21.04 -32.14
-24.94 -27.84 -14.24 -17.44 -2.34 6.16 9.86 8.56 -1.34 -9.74 -21.54 -20.04
-24.04 -23.24 -28.54 -12.04 -1.44 5.46 11.36 10.76 3.66 -8.14 -23.84 -24.84
-23.44 -25.64 -27.94 -15.04 -6.84 3.86 7.96 5.76 -2.04 -6.44 -15.24 -32.84
-21.94 -23.74 -15.44 -17.14 -2.94 6.56 10.86 8.16 1.86 -10.74 -14.94 -20.74
-30.04 -30.54 -27.14 -11.34 -4.84 5.46 9.96 5.36 1.56 -11.14 -19.74 -20.54
-25.38 -24.58 -22.08 -12.68 -3.98 5.92 10.42 9.42 2.52 -5.68 -16.18 -24.48
-21.28 -28.88 -22.48 -8.38 -4.68 2.82 8.92 9.52 3.72 -6.38 -18.78 -24.88
-26.48 -27.78 -25.58 -11.78 -6.98 1.92 11.62 4.82 -0.18 -5.88 -20.58 -30.68
-17.78 -20.58 -19.98 -13.98 -2.58 3.82 7.42 7.22 -1.58 -6.28 -11.48 -20.68
-22.38 -17.68 -17.78 -15.48 -5.18 3.92 8.82 6.22 1.42 -9.88 -15.08 -20.38
-26.38 -28.58 -21.18 -10.38 -4.78 6.12 9.62 7.82 1.82 -6.88 -12.18 -16.18
-19.88 -19.68 -22.98 -13.48 -5.78 6.02 8.52 6.72 1.32 -5.18 -14.98 -26.38
-24.28 -27.38 -16.48 -8.38 -2.48 5.72 10.02 7.22 2.72 -9.48 -15.88 -27.48
-25.58 -23.28 -19.58 -11.98 -6.68 5.42 9.02 4.12 -1.88 -8.28 -13.38 -20.98
-35.38 -24.08 -22.48 -10.58 -7.18 3.72 10.12 10.32 3.72 -11.18 -14.98 -29.58
-32.58 -27.28 -26.98 -16.58 -3.88 3.62 5.52 7.32 0.82 -6.78 -17.48 -28.98
-29.38 -23.18 -28.88 -13.08 -3.98 6.72 9.92 6.82 2.12 -9.88 -16.68 -20.28
-29.38 -18.18 -18.68 -6.88 -0.68 5.92 11.32 8.02 3.02 -6.78 -12.88 -20.88
-20.38 -20.48 -19.08 -10.48 -3.48 3.82 8.12 5.52 2.82 -4.08 -15.58 -18.88
-22.58 -26.98 -24.18 -11.48 -4.18 6.32 7.32 9.82 2.62 -7.68 -21.38 -30.08
-22.29 -21.19 -12.09 -12.89 -5.29 5.61 12.51 8.11 1.31 -6.09 -17.79 -22.89
-21.29 -17.99 -20.59 -7.49 0.21 4.51 12.61 6.11 3.81 -8.79 -14.19 -24.89
-26.99 -24.09 -29.09 -11.89 -2.09 5.81 10.51 7.61 1.61 -5.09 -18.79 -28.39
-30.69 -24.79 -23.89 -16.89 -5.49 4.21 11.81 6.81 1.91 -6.49 -24.29 -20.19
-25.49 -27.89 -17.39 -11.89 -6.09 5.11 10.81 6.81 0.91 -9.79 -25.59 -21.19
-26.39 -37.39 -24.49 -14.19 -3.69 3.11 10.51 6.71 1.41 -11.99 -14.09 -24.69
-28.59 -22.79 -10.69 -4.99 -3.59 4.91 11.31 8.41 1.51 -3.69 -9.79 -20.09
-29.49 -22.59 -13.69 -14.79 -3.69 2.91 6.21 6.71 -0.89 -9.49 -27.29 -31.29
-33.39 -30.39 -22.29 -14.09 -8.89 1.41 9.91 4.41 1.21 -9.49 -12.89 -22.19
-29.39 -25.29 -14.99 -13.69 -6.59 2.21 9.71 5.01 3.71 -8.59 -19.29 -21.59
-25.19 -30.79 -20.09 -16.29 -4.99 2.41 9.01 6.11 2.21 -10.89 -14.69 -22.09
-30.19 -22.39 -19.89 -10.49 -8.09 4.31 9.61 7.11 -0.69 -6.79 -23.99 -20.79
-30.09 -21.09 -18.49 -8.59 -2.59 6.01 8.61 7.91 -0.69 -8.69 -16.79 -23.89
-27.69 -29.29 -15.19 -12.79 -5.59 5.31 13.61 8.01 3.21 -8.59 -26.29 -14.79
-23.99 -26.29 -16.29 -9.49 -4.59 3.71 8.61 6.31 3.11 -9.59 -17.49 -20.19
-23.74 -27.74 -20.14 -11.34 -5.64 1.26 8.36 9.06 0.76 -10.34 -16.84 -21.84
-24.64 -30.64 -20.04 -9.74 -4.54 4.36 5.96 7.36 2.16 -4.24 -17.74 -22.84
-24.34 -25.94 -21.44 -10.04 -0.14 5.86 8.06 6.26 3.46 -4.64 -11.94 -26.24
-18.44 -31.04 -18.64 -8.24 -4.64 2.76 5.86 8.76 -0.54 -6.54 -17.94 -23.64
-31.94 -26.24 -15.14 -7.24 -3.34 4.96 7.96 5.86 2.56 -4.84 -17.04 -18.54
-26.04 -29.54 -21.24 -5.24 -5.04 3.36 9.56 7.16 2.76 -4.84 -16.44 -18.74
-22.04 -21.14 -26.54 -13.34 -6.84 4.46 11.06 5.86 2.96 -10.14 -20.74 -26.84
-26.14 -27.44 -22.44 -5.04 -2.74 6.66 10.66 10.46 -1.04 -7.24 -21.14 -15.74
-23.24 -28.34 -17.84 -9.14 -3.04 5.76 13.06 6.56 2.66 -4.84 -17.64 -18.54
-18.44 -30.54 -25.54 -8.94 -1.34 5.66 9.96 5.26 1.06 -4.34 -21.14 -32.24
-25.04 -27.94 -14.34 -17.54 -2.44 6.06 9.76 8.46 -1.44 -9.84 -21.64 -20.14
-24.14 -23.34 -28.64 -12.14 -1.54 5.36 11.26 10.66 3.56 -8.24 -23.94 -24.94
-23.54 -25.74 -28.04 -15.14 -6.94 3.76 7.86 5.66 -2.14 -6.54 -15.34 -32.94
-22.04 -23.84 -15.54 -17.24 -3.04 6.46 10.76 8.06 1.76 -10.84 -15.04 -20.84
-30.14 -30.64 -27.24 -11.44 -4.94 5.36 9.86 5.26 1.46 -11.24 -19.84 -20.64
-25.55 -24.75 -22.25 -12.85 -4.15 5.75 10.25 9.25 2.35 -5.85 -16.35 -24.65
-21.45 -29.05 -22.65 -8.55 -4.85 2.65 8.75 9.35 3.55 -6.55 -18.95 -25.05
-26.65 -27.95 -25.75 -11.95 -7.15 1.75 11.45 4.65 -0.35 -6.05 -20.75 -30.85
-17.95 -20.75 -20.15 -14.15 -2.75 3.65 7.25 7.05 -1.75 -6.45 -11.65 -20.85
-22.55 -17.85 -17.95 -15.65 -5.35 3.75 8.65 6.05 1.25 -10.05 -15.25 -20.55
-26.55 -28.75 -21.35 -10.55 -4.95 5.95 9.45 7.65 1.65 -7.05 -12.35 -16.35
-20.05 -19.85 -23.15 -13.65 -5.95 5.85 8.35 6.55 1.15 -5.35 -15.15 -26.55
-24.45 -27.55 -16.65 -8.55 -2.65 5.55 9.85 7.05 2.55 -9.65 -16.05 -27.65
-25.75 -23.45 -19.75 -12.15 -6.85 5.25 8.85 3.95 -2.05 -8.45 -13.55 -21.15
-35.55 -24.25 -22.65 -10.75 -7.35 3.55 9.95 10.15 3.55 -11.35 -15.15 -29.75
-32.75 -27.45 -27.15 -16.75 -4.05 3.45 5.35 7.15 0.65 -6.95 -17.65 -29.15
-29.55 -23.35 -29.05 -13.25 -4.15 6.55 9.75 6.65 1.95 -10.05 -16.85 -20.45
-29.55 -18.35 -18.85 -7.05 -0.85 5.75 11.15 7.85 2.85 -6.95 -13.05 -21.05
-20.55 -20.65 -19.25 -10.65 -3.65 3.65 7.95 5.35 2.65 -4.25 -15.75 -19.05
-22.75 -27.15 -24.35 -11.65 -4.35 6.15 7.15 9.65 2.45 -7.85 -21.55 -30.25
-25.76 -24.96 -22.46 -13.06 -4.36 5.54 10.04 9.04 2.14 -6.06 -16.56 -24.86
-21.66 -29.26 -22.86 -8.76 -5.06 2.44 8.54 9.14 3.34 -6.76 -19.16 -25.26
-26.86 -28.16 -25.96 -12.16 -7.36 1.54 11.24 4.44 -0.56 -6.26 -20.96 -31.06
-18.16 -20.96 -20.36 -14.36 -2.96 3.44 7.04 6.84 -1.96 -6.66 -11.86 -21.06
-22.76 -18.06 -18.16 -15.86 -5.56 3.54 8.44 5.84 1.04 -10.26 -15.46 -20.76
-26.76 -28.96 -21.56 -10.76 -5.16 5.74 9.24 7.44 1.44 -7.26 -12.56 -16.56
-20.26 -20.06 -23.36 -13.86 -6.16 5.64 8.14 6.34 0.94 -5.56 -15.36 -26.76
-24.66 -27.76 -16.86 -8.76 -2.86 5.34 9.64 6.84 2.34 -9.86 -16.26 -27.86
-25.96 -23.66 -19.96 -12.36 -7.06 5.04 8.64 3.74 -2.26 -8.66 -13.76 -21.36
-35.76 -24.46 -22.86 -10.96 -7.56 3.34 9.74 9.94 3.34 -11.56 -15.36 -29.96
-32.96 -27.66 -27.36 -16.96 -4.26 3.24 5.14 6.94 0.44 -7.16 -17.86 -29.36
-29.76 -23.56 -29.26 -13.46 -4.36 6.34 9.54 6.44 1.74 -10.26 -17.06 -20.66
-29.76 -18.56 -19.06 -7.26 -1.06 5.54 10.94 7.64 2.64 -7.16 -13.26 -21.26
-20.76 -20.86 -19.46 -10.86 -3.86 3.44 7.74 5.14 2.44 -4.46 -15.96 -19.26
-22.96 -27.36 -24.56 -11.86 -4.56 5.94 6.94 9.44 2.24 -8.06 -21.76 -30.46
-23.84 -27.84 -20.24 -11.44 -5.74 1.16 8.26 8.96 0.66 -10.44 -16.94 -21.94
-24.74 -30.74 -20.14 -9.84 -4.64 4.26 5.86 7.26 2.06 -4.34 -17.84 -22.94
-24.44 -26.04 -21.54 -10.14 -0.24 5.76 7.96 6.16 3.36 -4.74 -12.04 -26.34
-18.54 -31.14 -18.74 -8.34 -4.74 2.66 5.76 8.66 -0.64 -6.64 -18.04 -23.74
-32.04 -26.34 -15.24 -7.34 -3.44 4.86 7.86 5.76 2.46 -4.94 -17.14 -18.64
-26.14 -29.64 -21.34 -5.34 -5.14 3.26 9.46 7.06 2.66 -4.94 -16.54 -18.84
-22.14 -21.24 -26.64 -13.44 -6.94 4.36 10.96 5.76 2.86 -10.24 -20.84 -26.94
-26.24 -27.54 -22.54 -5.14 -2.84 6.56 10.56 10.36 -1.14 -7.34 -21.24 -15.84
-23.34 -28.44 -17.94 -9.24 -3.14 5.66 12.96 6.46 2.56 -4.94 -17.74 -18.64
-18.54 -30.64 -25.64 -9.04 -1.44 5.56 9.86 5.16 0.96 -4.44 -21.24 -32.34
-25.14 -28.04 -14.44 -17.64 -2.54 5.96 9.66 8.36 -1.54 -9.94 -21.74 -20.24
-24.24 -23.44 -28.74 -12.24 -1.64 5.26 11.16 10.56 3.46 -8.34 -24.04 -25.04
-23.64 -25.84 -28.14 -15.24 -7.04 3.66 7.76 5.56 -2.24 -6.64 -15.44 -33.04
-22.14 -23.94 -15.64 -17.34 -3.14 6.36 10.66 7.96 1.66 -10.94 -15.14 -20.94
-30.24 -30.74 -27.34 -11.54 -5.04 5.26 9.76 5.16 1.36 -11.34 -19.94 -20.74
-25.83 -25.03 -22.53 -13.13 -4.43 5.47 9.97 8.97 2.07 -6.13 -16.63 -24.93
-21.73 -29.33 -22.93 -8.83 -5.13 2.37 8.47 9.07 3.27 -6.83 -19.23 -25.33
-26.93 -28.23 -26.03 -12.23 -7.43 1.47 11.17 4.37 -0.63 -6.33 -21.03 -31.13
-18.23 -21.03 -20.43 -14.43 -3.03 3.37 6.97 6.77 -2.03 -6.73 -11.93 -21.13
-22.83 -18.13 -18.23 -15.93 -5.63 3.47 8.37 5.77 0.97 -10.33 -15.53 -20.83
-26.83 -29.03 -21.63 -10.83 -5.23 5.67 9.17 7.37 1.37 -7.33 -12.63 -16.63
-20.33 -20.13 -23.43 -13.93 -6.23 5.57 8.07 6.27 0.87 -5.63 -15.43 -26.83
-24.73 -27.83 -16.93 -8.83 -2.93 5.27 9.57 6.77 2.27 -9.93 -16.33 -27.93
-26.03 -23.73 -20.03 -12.43 -7.13 4.97 8.57 3.67 -2.33 -8.73 -13.83 -21.43
-35.83 -24.53 -22.93 -11.03 -7.63 3.27 9.67 9.87 3.27 -11.63 -15.43 -30.03
-33.03 -27.73 -27.43 -17.03 -4.33 3.17 5.07 6.87 0.37 -7.23 -17.93 -29.43
-29.83 -23.63 -29.33 -13.53 -4.43 6.27 9.47 6.37 1.67 -10.33 -17.13 -20.73
-29.83 -18.63 -19.13 -7.33 -1.13 5.47 10.87 7.57 2.57 -7.23 -13.33 -21.33
-20.83 -20.93 -19.53 -10.93 -3.93 3.37 7.67 5.07 2.37 -4.53 -16.03 -19.33
-23.03 -27.43 -24.63 -11.93 -4.63 5.87 6.87 9.37 2.17 -8.13 -21.83 -30.53
-25.85 -25.05 -22.55 -13.15 -4.45 5.45 9.95 8.95 2.05 -6.15 -16.65 -24.95
-21.75 -29.35 -22.95 -8.85 -5.15 2.35 8.45 9.05 3.25 -6.85 -19.25 -25.35
-26.95 -28.25 -26.05 -12.25 -7.45 1.45 11.15 4.35 -0.65 -6.35 -21.05 -31.15
-18.25 -21.05 -20.45 -14.45 -3.05 3.35 6.95 6.75 -2.05 -6.75 -11.95 -21.15
-22.85 -18.15 -18.25 -15.95 -5.65 3.45 8.35 5.75 0.95 -10.35 -15.55 -20.85
-26.85 -29.05 -21.65 -10.85 -5.25 5.65 9.15 7.35 1.35 -7.35 -12.65 -16.65
-20.35 -20.15 -23.45 -13.95 -6.25 5.55 8.05 6.25 0.85 -5.65 -15.45 -26.85
-24.75 -27.85 -16.95 -8.85 -2.95 5.25 9.55 6.75 2.25 -9.95 -16.35 -27.95
-26.05 -23.75 -20.05 -12.45 -7.15 4.95 8.55 3.65 -2.35 -8.75 -13.85 -21.45
-35.85 -24.55 -22.95 -11.05 -7.65 3.25 9.65 9.85 3.25 -11.65 -15.45 -30.05
-33.05 -27.75 -27.45 -17.05 -4.35 3.15 5.05 6.85 0.35 -7.25 -17.95 -29.45
-29.85 -23.65 -29.35 -13.55 -4.45 6.25 9.45 6.35 1.65 -10.35 -17.15 -20.75
-29.85 -18.65 -19.15 -7.35 -1.15 5.45 10.85 7.55 2.55 -7.25 -13.35 -21.35
-20.85 -20.95 -19.55 -10.95 -3.95 3.35 7.65 5.05 2.35 -4.55 -16.05 -19.35
-23.05 -27.45 -24.65 -11.95 -4.65 5.85 6.85 9.35 2.15 -8.15 -21.85 -30.55
-23.88 -27.88 -20.28 -11.48 -5.78 1.12 8.22 8.92 0.62 -10.48 -16.98 -21.98
-24.78 -30.78 -20.18 -9.88 -4.68 4.22 5.82 7.22 2.02 -4.38 -17.88 -22.98
-24.48 -26.08 -21.58 -10.18 -0.28 5.72 7.92 6.12 3.32 -4.78 -12.08 -26.38
-18.58 -31.18 -18.78 -8.38 -4.78 2.62 5.72 8.62 -0.68 -6.68 -18.08 -23.78
-32.08 -26.38 -15.28 -7.38 -3.48 4.82 7.82 5.72 2.42 -4.98 -17.18 -18.68
-26.18 -29.68 -21.38 -5.38 -5.18 3.22 9.42 7.02 2.62 -4.98 -16.58 -18.88
-22.18 -21.28 -26.68 -13.48 -6.98 4.32 10.92 5.72 2.82 -10.28 -20.88 -26.98
-26.28 -27.58 -22.58 -5.18 -2.88 6.52 10.52 10.32 -1.18 -7.38 -21.28 -15.88
-23.38 -28.48 -17.98 -9.28 -3.18 5.62 12.92 6.42 2.52 -4.98 -17.78 -18.68
-18.58 -30.68 -25.68 -9.08 -1.48 5.52 9.82 5.12 0.92 -4.48 -21.28 -32.38
-25.18 -28.08 -14.48 -17.68 -2.58 5.92 9.62 8.32 -1.58 -9.98 -21.78 -20.28
-24.28 -23.48 -28.78 -12.28 -1.68 5.22 11.12 10.52 3.42 -8.38 -24.08 -25.08
-23.68 -25.88 -28.18 -15.28 -7.08 3.62 7.72 5.52 -2.28 -6.68 -15.48 -33.08
-22.18 -23.98 -15.68 -17.38 -3.18 6.32 10.62 7.92 1.62 -10.98 -15.18 -20.98
-30.28 -30.78 -27.38 -11.58 -5.08 5.22 9.72 5.12 1.32 -11.38 -19.98 -20.78
