"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-31.5 -26.3 -21.6 -6.7 3.6 13 21.6 16.6 8.7 -2.3 -22.3 -30.4
-26.6 -27.9 -25.8 -4.3 3.4 11.8 19.5 16.4 8.6 -9.8 -21.6 -29
-34.4 -30.3 -13.5 -9 3 15 18.8 15.1 8.7 -2.8 -21.9 -21.5
-24.8 -22.4 -20.2 -6.3 4.2 12.8 18.4 18.1 8.9 -4.7 -21.4 -26.5
-30.6 -33.4 -19.4 -5.9 5.8 16.8 22.8 17.7 7.9 -7.9 -20.5 -31.9
-34.84 -27.34 -12.84 -6.54 2.46 11.26 18.16 14.06 9.76 -6.24 -20.64 -32.04
-25.74 -22.64 -17.64 -6.64 1.36 12.86 20.56 16.86 9.06 -4.74 -24.84 -30.04
-27.14 -22.24 -16.74 -9.74 1.26 12.46 20.16 16.76 7.96 -1.84 -18.64 -28.54
-27.34 -21.84 -23.24 -10.44 1.16 11.86 21.26 16.36 9.76 -4.74 -21.94 -27.34
-31.54 -32.34 -16.44 -6.64 2.36 9.96 21.16 17.36 7.96 -3.04 -26.94 -27.74
-33.34 -36.44 -23.14 -11.24 4.06 12.66 18.86 15.36 9.16 -6.74 -25.54 -22.74
-27.34 -27.54 -16.64 -5.54 2.66 15.26 23.56 14.86 7.96 2.56 -15.74 -19.64
-30.44 -24.64 -9.24 -3.94 2.46 11.46 20.96 14.46 6.36 -4.14 -30.84 -33.54
-35.24 -37.94 -20.24 -9.74 3.06 13.16 23.06 16.36 5.76 -6.54 -16.94 -24.94
-29.34 -29.54 -17.94 -8.24 0.56 11.76 21.96 13.76 8.76 -6.44 -19.14 -25.94
-28.34 -30.44 -18.84 -8.54 3.66 13.66 20.96 18.36 8.96 -3.54 -13.14 -24.34
-33.14 -28.64 -19.04 -5.34 1.66 15.06 19.66 15.26 5.46 -4.54 -26.04 -28.44
-27.24 -23.84 -15.24 -9.34 3.36 12.16 20.26 17.26 9.26 -4.34 -20.64 -26.74
-35.64 -32.44 -16.74 -5.84 1.66 11.36 17.36 16.36 8.66 -10.94 -28.14 -27.84
-25.34 -26.44 -15.34 -5.74 4.96 15.56 20.36 15.46 8.86 -3.64 -20.34 -20.44
-26.56 -30.36 -20.56 -4.76 1.84 13.54 18.54 14.04 8.54 -8.66 -21.16 -31.96
-31.66 -32.36 -20.46 -5.66 4.74 13.34 18.24 13.84 7.44 -10.46 -18.56 -28.96
-33.26 -21.76 -19.26 -6.96 2.64 12.74 20.64 15.84 7.04 -1.76 -12.16 -30.76
-39.66 -37.16 -21.46 -9.46 0.84 16.54 21.64 14.64 7.54 -7.86 -21.86 -24.76
-32.76 -27.76 -21.06 -7.16 1.04 12.44 20.84 18.24 8.84 -2.06 -24.16 -26.26
-20.26 -25.76 -17.46 -4.26 2.64 13.94 19.44 15.74 6.84 -7.36 -17.76 -22.96
