"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
14.25 17.35 22.35 29.05 36.85 38.15 39.15 52.35 44.85 41.95 36.15 32.25
18.65 17.35 14.95 33.65 27.55 41.65 69.55 51.65 28.15 16.85 20.35 23.95
16.85 9.35 24.45 19.25 33.95 43.95 43.05 56.75 69.95 25.25 35.85 37.75
21.85 13.15 14.05 15.35 34.05 27.45 53.55 61.95 58.65 25.75 26.55 17.65
22.45 21.15 25.95 27.45 46.75 80.85 93.75 64.65 68.35 26.45 25.65 21.95
17.17 20.57 13.07 17.67 23.97 26.77 68.47 52.77 34.27 16.87 26.47 21.17
16.17 20.27 15.27 14.97 20.77 64.67 48.67 100.07 74.97 18.87 20.17 24.97
15.57 23.07 17.27 6.37 18.77 54.27 42.37 41.67 62.47 44.47 22.77 25.27
22.37 8.87 7.27 13.47 70.07 53.37 104.17 70.17 47.17 18.67 24.77 25.37
10.87 19.97 16.17 13.87 44.67 41.77 72.87 88.77 49.47 42.07 29.37 28.07
14.77 9.27 25.17 20.37 37.17 81.27 41.17 99.97 51.57 14.27 28.47 21.57
14.57 10.37 18.87 11.37 15.07 10.37 37.77 20.17 19.27 21.77 7.27 7.67
19.97 10.67 16.07 9.97 51.67 18.27 23.37 42.07 66.87 19.47 15.97 10.37
13.57 10.57 11.87 7.87 8.37 40.67 129.67 90.67 38.77 15.37 26.97 19.07
15.97 8.27 31.17 13.67 22.17 25.07 97.27 62.07 63.37 22.97 19.87 20.47
14.17 17.27 22.27 28.97 36.77 38.07 39.07 52.27 44.77 41.87 36.07 32.17
18.57 17.27 14.87 33.57 27.47 41.57 69.47 51.57 28.07 16.77 20.27 23.87
16.77 9.27 24.37 19.17 33.87 43.87 42.97 56.67 69.87 25.17 35.77 37.67
21.77 13.07 13.97 15.27 33.97 27.37 53.47 61.87 58.57 25.67 26.47 17.57
22.37 21.07 25.87 27.37 46.67 80.77 93.67 64.57 68.27 26.37 25.57 21.87
22.9 14.6 5.7 7 50.1 34 24.7 61.5 55.3 29.5 29.9 22.2
