"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
12.19 10.49 11.19 17.79 28.29 47.09 58.89 70.99 42.09 32.29 33.39 16.79
15.49 12.29 17.39 24.49 24.59 46.09 53.79 47.89 45.29 41.19 34.59 19.29
20.89 17.49 12.59 18.99 23.49 55.49 56.49 60.79 56.69 38.49 24.89 22.69
17.29 17.19 18.49 16.79 45.89 64.59 44.09 46.69 42.79 28.69 33.39 33.89
11.09 13.29 15.79 14.79 30.39 33.19 89.19 52.29 37.79 24.59 32.39 20.49
16.39 13.99 13.39 23.89 38.69 64.99 54.99 36.59 45.49 33.49 19.99 21.49
13.69 14.89 12.19 28.19 28.69 42.19 33.49 66.69 57.59 28.49 22.69 27.29
19.09 9.79 17.39 21.19 27.39 29.49 53.19 61.99 32.79 33.79 26.89 19.29
16.99 17.29 9.99 15.39 28.29 45.89 44.59 52.89 24.89 24.79 17.49 17.19
17.19 7.19 18.79 17.09 24.09 39.99 70.99 64.19 46.89 24.39 23.79 13.59
19.59 14.99 18.09 17.69 25.79 37.89 99.99 53.79 54.99 26.49 23.89 15.09
15.39 14.19 12.59 10.09 19.89 47.99 52.19 51.39 19.09 25.19 15.89 22.09
18.89 11.99 12.99 37.99 19.29 61.39 62.99 82.79 51.39 25.99 31.29 16.79
14.39 13.99 24.69 25.29 41.29 55.59 64.89 60.29 39.59 40.39 36.39 23.19
13.39 12.79 22.69 16.79 46.09 43.19 30.39 50.99 44.99 41.79 27.49 19.19
20.25 7.95 17.15 10.85 30.25 39.85 35.75 35.05 40.25 20.85 26.95 20.95
17.95 13.95 14.95 15.15 29.45 83.85 59.95 60.95 43.95 32.95 26.95 20.95
17.95 13.95 15.95 21.95 32.95 54.95 59.95 60.95 64.65 23.45 24.35 21.15
8.15 6.45 8.55 7.75 23.35 23.25 42.95 54.75 43.95 18.15 11.25 12.65
17.95 13.95 15.95 21.95 32.95 54.95 59.95 55.65 34.65 32.95 26.95 20.95
9.35 11.35 9.05 10.15 20.35 63.15 45.65 57.65 27.75 37.75 16.95 14.15
12.25 7.55 15.15 9.05 22.35 75.85 94.65 43.75 33.05 12.25 11.55 10.75
8.45 12.25 23.95 35.35 36.25 43.65 34.65 43.25 36.25 36.75 14.25 10.75
13.95 14.25 11.55 18.15 29.85 28.05 36.65 58.25 37.05 19.05 22.25 30.25
9.65 14.55 20.45 24.55 24.05 74.35 91.15 55.65 28.55 23.05 20.85 19.35
15.15 12.45 12.25 18.55 21.45 71.15 103.35 77.35 43.55 25.85 29.25 14.15
21.15 15.25 13.95 17.45 27.95 81.15 55.05 63.25 33.55 37.15 27.65 23.75
20.55 15.25 13.95 33.55 46.15 47.65 102.25 48.25 42.75 39.05 23.15 20.35
12.25 11.25 10.95 12.65 30.35 67.55 83.75 82.05 39.55 39.35 18.55 14.45
10.95 8.45 10.85 33.65 51.45 57.85 80.15 69.05 36.55 26.75 40.45 15.05
16.08 12.08 14.08 20.08 31.08 53.08 58.08 59.08 42.08 31.08 25.08 19.08
16.08 12.08 14.08 20.08 31.08 53.08 58.08 59.08 42.08 31.08 25.08 19.08
16.08 12.08 14.08 20.08 31.08 53.08 58.08 59.08 42.08 31.08 25.08 19.08
16.08 12.08 14.08 20.08 31.08 53.08 58.08 59.08 42.08 31.08 25.08 19.08
16.08 12.08 14.08 20.08 31.08 53.08 58.08 59.08 42.08 31.08 25.08 19.08
16.08 12.08 14.08 20.08 31.08 53.08 58.08 59.08 42.08 31.08 25.08 19.08
16.08 12.08 14.08 20.08 31.08 53.08 58.08 59.08 42.08 31.08 25.08 19.08
16.08 12.08 14.08 20.08 31.08 53.08 58.08 59.08 42.08 31.08 25.08 19.08
16.08 12.08 14.08 20.08 31.08 53.08 58.08 59.08 42.08 31.08 25.08 19.08
16.08 12.08 14.08 20.08 31.08 53.08 58.08 59.08 42.08 31.08 25.08 19.08
16.08 12.08 14.08 20.08 31.08 53.08 58.08 59.08 42.08 31.08 25.08 19.08
16.08 12.08 14.08 20.08 31.08 53.08 58.08 59.08 42.08 31.08 25.08 19.08
16.08 12.08 14.08 20.08 31.08 53.08 58.08 59.08 42.08 31.08 25.08 19.08
16.08 12.08 14.08 20.08 31.08 53.08 58.08 59.08 42.08 31.08 25.08 19.08
16.08 12.08 14.08 20.08 31.08 53.08 58.08 59.08 42.08 31.08 25.08 19.08
9.36 18.06 9.36 12.86 30.16 56.36 79.06 37.96 27.66 25.56 23.26 14.16
7.56 4.56 5.16 25.56 48.76 58.56 53.96 54.16 34.16 13.76 11.26 11.86
15.46 9.86 13.26 26.36 20.56 53.56 84.16 84.26 22.06 31.66 16.56 11.56
15.46 13.16 13.46 15.36 32.96 70.16 62.06 52.76 30.56 34.76 27.26 14.76
10.46 14.96 11.36 10.16 25.96 66.76 70.56 54.46 29.66 30.06 22.86 16.56
10.06 8.46 18.16 17.56 38.86 70.86 50.86 72.26 40.06 19.06 14.46 14.96
13.36 11.96 8.56 13.16 39.76 54.36 68.26 75.36 34.26 16.76 15.86 9.86
10.96 13.26 10.36 11.76 27.26 77.26 107.96 45.86 55.26 25.96 19.56 19.36
12.76 15.46 9.76 7.36 30.06 48.66 60.86 61.36 68.16 32.96 17.86 16.46
11.66 11.36 8.86 16.66 33.26 47.46 37.96 59.76 38.96 36.66 38.36 17.86
15.76 4.96 9.86 14.66 12.46 55.66 67.36 55.66 43.56 40.16 28.36 10.66
