"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-35.54 -30.54 -24.54 -9.54 0.56 10.06 18.36 13.06 5.06 -5.64 -25.74 -34.84
-31.04 -31.54 -28.24 -7.44 0.66 8.76 16.56 12.36 4.76 -13.34 -25.94 -33.54
-37.74 -34.04 -16.94 -11.84 0.26 11.96 15.46 11.36 4.96 -5.94 -25.84 -26.34
-29.04 -26.34 -23.34 -9.14 1.26 9.66 15.36 14.26 5.36 -8.24 -25.64 -30.84
-36.44 -36.94 -22.34 -9.24 2.76 13.26 19.36 13.66 4.06 -11.34 -24.34 -35.54
-38.81 -31.01 -15.91 -9.21 -0.31 8.09 14.89 10.39 6.19 -9.61 -24.61 -36.31
-30.01 -26.51 -20.51 -9.41 -1.21 9.89 17.29 13.19 5.49 -8.21 -28.61 -33.81
-31.51 -25.91 -19.71 -12.41 -1.41 9.29 16.89 13.09 4.49 -5.01 -22.51 -32.71
-31.41 -26.21 -26.11 -13.31 -1.51 8.89 18.09 12.69 6.19 -8.21 -25.81 -31.81
-35.91 -36.11 -19.31 -9.41 -0.31 7.09 17.79 13.79 4.39 -6.31 -30.91 -32.31
-37.51 -40.21 -25.91 -14.31 1.29 9.69 15.69 11.79 5.69 -10.01 -29.41 -27.91
-31.51 -31.61 -19.31 -8.41 -0.11 12.09 20.19 11.19 4.39 -1.01 -20.21 -24.31
-34.81 -28.71 -12.31 -6.71 -0.21 8.29 17.79 10.79 2.69 -7.41 -34.61 -38.21
-39.81 -41.91 -23.21 -12.51 0.09 10.19 19.79 12.69 2.19 -9.91 -20.81 -29.31
-33.71 -33.41 -21.11 -10.81 -2.11 8.79 18.59 10.19 5.09 -9.81 -23.01 -30.41
-32.51 -34.61 -22.01 -11.21 0.89 10.59 17.59 14.49 5.39 -6.61 -17.11 -28.91
-37.31 -32.51 -22.11 -8.11 -1.01 11.89 16.39 11.69 1.99 -8.01 -29.71 -32.81
-31.41 -28.01 -18.21 -12.11 0.59 9.19 16.99 13.59 5.79 -7.71 -24.01 -30.51
-39.91 -36.71 -20.01 -8.71 -1.21 8.29 14.09 12.69 4.99 -14.31 -31.91 -32.01
-29.51 -30.41 -18.21 -8.41 2.09 12.29 17.09 11.79 5.29 -6.91 -24.01 -25.21
-31.1 -34.3 -23.6 -7.8 -0.9 10.4 15.3 10.3 4.9 -12.1 -25 -36.3
-36.2 -36.5 -23.3 -8.6 1.7 10.2 15 10.2 3.8 -13.7 -21.9 -33.3
-37.2 -25.9 -22.3 -9.7 -0.2 9.7 17.3 12 3.5 -5.2 -16 -34.9
-43.9 -40.7 -24.2 -12.3 -1.9 13.4 18.2 11 3.9 -11.3 -25.8 -29.2
