"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-33.82 -37.02 -26.32 -10.52 -3.62 7.68 12.58 7.58 2.18 -14.82 -27.72 -39.02
-38.92 -39.22 -26.02 -11.32 -1.02 7.48 12.28 7.48 1.08 -16.42 -24.62 -36.02
-39.92 -28.62 -25.02 -12.42 -2.92 6.98 14.58 9.28 0.78 -7.92 -18.72 -37.62
-46.62 -43.42 -26.92 -15.02 -4.62 10.68 15.48 8.28 1.18 -14.02 -28.52 -31.92
-40.02 -34.52 -26.72 -12.92 -4.52 6.68 14.78 11.68 2.48 -8.42 -30.32 -33.62
-27.82 -32.62 -22.92 -9.72 -2.52 8.18 13.48 9.28 0.58 -13.62 -24.52 -29.92
-40.12 -29.32 -27.52 -8.62 -2.52 7.68 13.88 10.18 0.08 -17.72 -29.62 -31.72
-33.42 -32.42 -20.22 -15.82 -3.42 8.08 12.68 9.58 3.08 -9.12 -19.42 -30.52
-33.22 -34.12 -24.52 -18.82 -1.02 9.58 16.88 9.48 2.98 -13.02 -32.42 -34.32
-40.52 -39.22 -25.02 -11.82 -2.62 10.78 12.68 8.58 1.78 -8.92 -24.72 -35.22
-37.42 -28.72 -24.42 -14.42 -3.22 7.18 15.98 9.58 1.48 -7.72 -23.22 -35.72
-41.12 -34.32 -26.42 -14.12 -3.42 3.08 13.98 9.68 1.98 -11.02 -34.22 -34.72
-34.72 -36.22 -23.82 -15.52 -1.92 7.38 12.78 8.88 3.68 -9.62 -23.52 -26.32
-35.82 -26.82 -19.32 -14.92 -1.42 3.78 11.58 7.78 -0.72 -10.72 -28.72 -31.32
-41.52 -33.72 -14.32 -10.32 -0.12 9.68 15.08 9.28 1.58 -9.92 -30.02 -33.92
-42.39 -35.79 -24.59 -15.69 -5.49 6.41 11.41 9.61 2.41 -7.49 -27.79 -33.59
-31.99 -31.69 -25.59 -11.49 -2.89 6.81 15.11 8.51 4.31 -8.79 -30.99 -31.89
