"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-26.1 -18.7 -14.2 -7.6 -1 7 11.1 7.9 1 -4.8 -18.3 -28.1
-28.6 -22.9 -25.6 -12.5 -4.5 5.4 15.9 10.3 3.1 -12.1 -25.5 -28.3
-25.4 -19 -14.6 -7.6 -2.6 5.6 11.5 10.2 3.7 -7 -15.3 -19.2
-19.7 -27.4 -12.7 -6.4 0.8 8.9 11.8 11.1 3.6 -2 -14.1 -24.3
-23.5 -18.4 -14.9 -9.9 -0.6 4.9 12 9.7 5.1 -3.8 -14.7 -18.3
-27.2 -23 -15.7 -6.3 0.3 8.8 12 11 3.7 -3.6 -16.1 -18.2
-30 -18.3 -11.4 -4.6 -3.9 6.3 13.5 12.3 6 -5.5 -19.7 -29.2
-29.6 -18.8 -20 -7.6 -1.3 7.4 11.4 9.9 4.3 -6.7 -17.8 -26.4
-23.8 -18.2 -17.9 -12.6 -3.4 7.9 13.4 9.4 5.3 -3.1 -12.2 -20
-22.4 -14.9 -19.9 -10 0 6.2 13.4 9.1 4.5 -8.3 -18.8 -20.9
-23.3 -26.7 -22.2 -9.7 -2.5 8.8 15 8.1 3.6 -6.2 -15.7 -18.3
-24.8 -31.5 -20.8 -9.5 -1.4 8 9.3 7.8 4.3 -10.2 -14.9 -21.9
-26 -25.8 -15.4 -8.6 -2.2 7.2 12.4 10.6 3.1 -7.9 -15.2 -14.9
-27.6 -24.3 -19.8 -13.3 -0.6 6.4 8.5 12.7 4 -5.6 -16.7 -16.3
-24.2 -17.6 -20.1 -7.2 2.2 10.6 16 10.3 3.8 -6.9 -17 -28.4
-22.7 -18.6 -18.6 -10.8 -4.6 8.2 11.5 7.3 3.5 -5.4 -14.9 -22.9
-25.3 -30.6 -21.4 -8 -2.4 6.2 12.6 6.5 5.6 -3.7 -15.5 -17.8
-24.3 -24.2 -20.3 -7.1 -7.4 8 13.1 7 4 -5.7 -14.1 -21.7
-27.1 -27.2 -19 -8.5 -3.2 7.3 11.4 11.4 5 -3.9 -18.5 -24.2
-23.1 -23.8 -9.9 -5.6 3.8 11.1 11.2 10.9 4.9 -11.1 -15.9 -20.5
-20.5 -23.2 -13.9 -6.6 -0.7 12.4 13.1 8.4 3.4 -4.6 -13.7 -22.7
-23 -26.2 -14.5 -10.1 1.2 11.1 13.9 9.9 5.5 -6.1 -12.7 -19.9
-18.6 -22.1 -18.4 -13.6 -4.6 10.1 13.5 11 6.8 -1.2 -15.7 -15.7
-25 -22.5 -13.4 -7.8 0.5 5.6 13.1 9.2 4.5 -3.5 -10.3 -19.2
-18.8 -19.9 -19.1 -9.8 -3.9 6.2 11.5 9.4 4.4 -5.3 -15.8 -22.4
-19.7 -22.9 -10.9 -9.9 -6.5 7.6 8.9 8.2 3.2 -4.1 -15.2 -22.3
-29.6 -20.1 -20.5 -9.3 0.7 9.1 11.9 10.4 4.7 -5.6 -17.3 -24.3
-23.1 -20.4 -19.6 -12.8 -1.6 6.6 13.5 11.1 5.7 -5.8 -17.9 -17.6
-26.5 -26.6 -20.1 -12.5 -3.5 8.1 11.8 8.5 4.2 -1.4 -10.5 -22.8
-17.2 -27.2 -20.8 -12.6 -3 5.9 10.9 11.3 3.1 -6 -12.3 -23.5
-22.7 -21.7 -18.6 -9.3 -0.7 9.4 13.6 12.5 5.6 -2.6 -13.5 -22
-18.7 -25.4 -19 -5 -1.3 6.2 12.1 12.6 6.7 -3.3 -16.2 -22.7
-24 -25 -22.1 -8.6 -3.5 5.3 14.8 8 2.8 -2.9 -17.8 -28.1
-15.3 -17.3 -16.6 -10.6 0.7 7.2 10.5 10.4 1.3 -3.3 -8.6 -18.2
-20 -14.3 -14.3 -12.1 -1.7 7.5 12.2 9.2 4.2 -6.9 -12.6 -18.1
-23.7 -25.4 -17.9 -7.1 -1.4 9.4 12.8 10.9 4.9 -3.9 -9.3 -13.6
-17.2 -16.6 -19.6 -10.1 -2.4 9.4 11.7 9.7 4.3 -2.2 -12.1 -23.8
-21.6 -24.3 -13.2 -5 0.9 9.1 13.2 10.3 5.7 -6.5 -13 -25
-22.9 -20.2 -16.2 -8.6 -3.3 8.8 12.2 7.2 1.1 -5.3 -10.5 -18.4
-32.7 -20.9 -19.1 -7.3 -3.8 7.1 13.3 13.4 6.7 -8.2 -12 -27
-29.9 -24.2 -23.6 -13.2 -0.5 7 8.6 10.4 3.8 -3.8 -14.6 -26.3
-26.7 -20 -25.5 -9.7 -0.6 10.1 13.1 9.9 5.1 -6.9 -13.8 -17.7
-26.7 -15.2 -15.3 -3.5 2.7 9.3 14.4 11.1 6 -3.8 -10 -18.4
-17.7 -17.4 -15.7 -7.1 -0.1 7.2 11.3 8.6 5.7 -1.2 -12.7 -16.3
-19.9 -23.9 -20.8 -8.1 -0.8 9.7 10.5 12.9 5.6 -4.7 -18.5 -27.5
-21.4 -24.9 -17.1 -8.3 -2.6 4.3 11.2 11.8 3.3 -7.4 -14.3 -19.7
-22.3 -27.9 -16.9 -6.7 -1.5 7.4 8.8 10.1 4.8 -1.6 -15.2 -20.6
-22 -23.1 -18.4 -7 2.9 8.9 10.9 9 6.1 -2 -9.4 -24
-16.1 -28.2 -15.6 -5.2 -1.6 5.8 8.7 11.6 2.1 -3.8 -15.5 -21.4
-29.6 -23.5 -12.3 -4.6 -0.1 8.3 11 8.8 5.2 -2.3 -14.6 -16.6
-23.2 -26.9 -17.5 -1.7 -1.4 6.6 12.6 10 5.6 -2 -13.7 -15.9
-19.9 -18.5 -23.7 -10.2 -3.4 7.5 13.7 8.6 5.7 -7.6 -19.1 -25.3
-23.6 -24.1 -19.3 -2 0.4 9.6 13.7 12.9 1.8 -4.6 -19.3 -13.8
-21.1 -26.2 -14.9 -6.2 -0.1 9 15.4 9.3 5.3 -2.1 -15.2 -16.9
-15.8 -28 -22.4 -5.8 1.9 8.9 12.8 8.2 3.7 -1.4 -18.3 -30.3
-22.4 -25 -11.5 -14.4 0.7 8.8 13.1 11.1 1.3 -7 -18.5 -18.2
-21.8 -21 -25.4 -9.2 1.4 8.7 14 13.3 6.3 -5.6 -21.9 -23
-21 -22.9 -25.1 -12.4 -3.9 7 11 8.4 0.5 -4.1 -13.1 -30.8
-19.6 -21.5 -12.7 -14.1 -0.2 9.5 13.5 10.8 4.6 -7.9 -12.9 -19.2
-28.1 -27.8 -24.5 -8.8 -2 8.4 12.2 7.8 4.2 -8.6 -17.8 -18.7
-20.7 -18.9 -8.8 -9.6 -2.3 8 14.8 10.6 3.7 -4.5 -15.6 -21
-18.9 -15.4 -17.1 -4.9 3.1 7.6 15.3 8.6 6.2 -6.6 -12.2 -22.6
-24.5 -20.9 -26.3 -9.3 0.3 8.7 13.2 10 3.8 -2.7 -16.3 -26.6
-28.7 -22.6 -21.4 -14.4 -2.6 6.8 14.4 9.2 4.5 -4.3 -21.7 -18.3
-23.4 -25.2 -14.3 -9.1 -3 7.8 13.6 9.3 3.2 -7.1 -23.6 -19.6
-24.3 -34.7 -21.6 -11.5 -0.9 5.9 13 9.2 4.1 -9.6 -12.4 -22.3
-26.1 -20.8 -8 -2.3 -0.8 7.9 14.2 10.6 3.7 -1 -7.7 -17.5
-27.2 -20 -10.8 -11.7 -0.7 5.3 9.1 9.1 1.5 -6.9 -25.5 -30
-31.3 -28.3 -19.4 -11.4 -6 4.5 12.8 6.9 3.4 -7.3 -10.4 -20.3
-27.6 -22.6 -12.6 -11 -4 4.8 12.1 7.3 6 -6.5 -16.9 -20
-23.3 -28.5 -17.5 -13.5 -1.9 5.4 11.5 8.9 4.6 -8.1 -11.8 -19.9
-28.7 -20.1 -17.5 -7.6 -5.2 7.3 11.7 9.3 1.5 -4.2 -21.7 -19.5
-28.2 -18.4 -15.6 -5.9 0 8.6 11.1 10.6 1.7 -6 -14 -21.4
-26.3 -27.4 -13 -9.8 -2.7 7.5 15.8 10.3 5.4 -6.7 -24.5 -13.3
-21.7 -23.1 -13.7 -6.9 -1.9 6.4 11.3 8.8 5.5 -7.2 -15.2 -18.4
-25.6 -23.9 -15 -4.9 -1.1 8.2 13.1 11.7 4.3 -11.7 -12.2 -17.6
-26.1 -31.3 -19 -4.7 3.2 11.4 13.6 9.8 4.3 -12.2 -9.3 -21.2
-21.4 -23.1 -15.4 -14.8 -4.1 3.9 11.5 7.4 3.5 -4.5 -13.4 -29.2
-28.3 -28.7 -19.3 -13.2 0.2 5.3 12.6 9.7 6.3 -7.8 -12.5 -22.7
-27.2 -22.4 -16.6 -7.3 -1 8 9.5 6.9 4.6 -4.2 -16.5 -18.8
-15 -19.3 -19.5 -10.4 -2.9 9.7 12.2 13.8 4.7 -0.3 -10.2 -14.8
-27.8 -25.5 -20 -5.1 1.9 7.9 14.2 7.9 3.9 -10.1 -12.4 -14.3
-19 -21.9 -14.7 -9.8 -3.7 8.5 13.7 9 4.8 -2.8 -14.5 -18.5
-16.3 -16.1 -11.3 -15.4 -0.6 8.6 13.9 9.8 4.1 -6.9 -22.2 -20.3
-29.6 -31.1 -13.1 -10.2 -3.7 8.6 10.9 9.6 6.1 -3.9 -15.7 -25.5
-22.3 -26 -11.4 -8 -3.3 7 10.6 7.9 1.8 -2.9 -8.7 -29.3
-27.7 -23.4 -14.9 -13.4 0.9 6.9 14.4 8.6 4.4 -1.4 -18.5 -22.5
-20.6 -23.1 -11 -12.6 -0.8 8.3 14.2 10.5 4.3 -4 -16.4 -17.4
-26.6 -19.8 -9.2 -12 1.9 12.1 15.1 10.3 4.5 -3.8 -14.8 -23
-29.2 -18.8 -13.3 -3.9 -0.4 10 17.1 10.1 2.9 -7.2 -21.5 -20.4
-23.2 -21.2 -19.5 -3.4 3.6 12.1 12.7 8.5 6.1 -1.8 -13.2 -24.4
-25.6 -19 -12.7 -16.7 1.2 5.2 11.7 9.4 3.5 -10.1 -21.2 -16.6
-19.2 -18.9 -11.9 -9.2 -1.5 11 15.2 10.2 3.4 -5.7 -14.9 -21.7
-22.7 -30.3 -10.6 -3.9 -2.4 10.8 12.1 9.6 4.1 -2.4 -19.2 -20.9
-14.7 -13 -11.9 -0.4 2.6 7 13.3 11.2 5.4 -4.2 -15.7 -23.5
-20.3 -19.5 -10.4 -10.4 0.2 8.2 13.4 7.1 0.8 -3.3 -8.3 -19.7
-27.7 -25.5 -12.8 -3.5 1.6 7.5 8.7 7.1 6.2 -1.9 -16.8 -27
-23.7 -30.8 -13.4 -13.5 -1.4 7.8 15.9 10.5 1.2 -8.8 -25 -22.7
-29 -19.6 -20.2 -11.9 -3.7 6.5 12.3 9.2 3.7 -2.7 -17.7 -15.3
-27.1 -19.4 -11.4 -5 1.8 11.1 13.3 10.8 4.1 -3.3 -15 -25.8
-25.8 -27.3 -17.8 -6.1 2.1 9.5 11.7 12 5.8 -6.9 -16.1 -19.4
-25.2 -19.2 -13.6 -7.7 -0.3 8.6 12.8 8.1 2.3 -3.8 -16 -24.6
-24.5 -22.7 -14.9 -7.9 2.4 9.2 13.1 14.3 4.9 -3 -16.1 -15.5
-18.5 -21 -17 -13.3 0.6 9.7 15.5 8.8 3.9 -5 -12.3 -23
-18.3 -20.9 -18.3 -10 3.2 9 14.3 10.7 6.7 -0.3 -7 -17.3
-31.1 -23 -15.4 -12 0 11.6 11.8 8.4 4.9 -6.8 -19.6 -17.9
-14.6 -29.2 -11.6 -4.2 -1.4 7.5 16.8 10.7 5.4 -0.4 -13.1 -15.5
-17.5 -19 -15.1 -10.3 -1.3 8 14.6 9.1 3.9 -2 -11.3 -14.1
-23.6 -25.2 -13.8 -9 -1.9 8.1 12.3 10.4 6.9 -3.1 -16.5 -30
-26.6 -30 -15.4 -5.9 1.5 7.8 12.3 9.5 3 -1.2 -13.7 -24.2
-21.7 -26.3 -10.8 -3.6 3.5 11.7 11.2 7.6 6.5 -1.5 -13.9 -13.8
-20.3 -20 -16.4 -4.7 2.6 12 14.3 9.6 6.1 -2.4 -14 -22.7
-26.5 -17.7 -22.8 -5.6 0 10.1 16.3 11.1 3.6 -5.8 -9.1 -17.9
-27.5 -25.9 -10 -7 0.6 9.1 9.6 10.8 3.4 -7.7 -13.3 -17.1
-25.6 -17.3 -9.7 -5.1 4.9 12 10.2 8.6 4.7 -6.5 -15 -18
-23.3 -12.6 -12.7 -3 2.4 11.4 16.9 13.5 7.7 -2.6 -19.4 -26
-23.4 -20.8 -6.6 -9.1 -3.2 8.4 15.3 10.7 3.4 -2.9 -10.3 -13.3
-17.7 -22.3 -20 -8.5 -2.5 8.9 15.2 9.9 6.9 -2.2 -15.1 -16.3
