"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-21.42 -24.92 -17.12 -8.32 -2.62 4.28 11.18 11.78 3.28 -7.42 -14.32 -19.72
-22.32 -27.92 -16.92 -6.72 -1.52 7.38 8.78 10.08 4.78 -1.62 -15.22 -20.62
-22.02 -23.12 -18.42 -7.02 2.88 8.88 10.88 8.98 6.08 -2.02 -9.42 -24.02
-16.12 -28.22 -15.62 -5.22 -1.62 5.78 8.68 11.58 2.08 -3.82 -15.52 -21.42
-29.62 -23.52 -12.32 -4.62 -0.12 8.28 10.98 8.78 5.18 -2.32 -14.62 -16.62
-23.22 -26.92 -17.52 -1.72 -1.42 6.58 12.58 9.98 5.58 -2.02 -13.72 -15.92
-19.92 -18.52 -23.72 -10.22 -3.42 7.48 13.68 8.58 5.68 -7.62 -19.12 -25.32
-23.62 -24.12 -19.32 -2.02 0.38 9.58 13.68 12.88 1.78 -4.62 -19.32 -13.82
-21.12 -26.22 -14.92 -6.22 -0.12 8.98 15.38 9.28 5.28 -2.12 -15.22 -16.92
-15.82 -28.02 -22.42 -5.82 1.88 8.88 12.78 8.18 3.68 -1.42 -18.32 -30.32
-22.42 -25.02 -11.52 -14.42 0.68 8.78 13.08 11.08 1.28 -7.02 -18.52 -18.22
-21.82 -21.02 -25.42 -9.22 1.38 8.68 13.98 13.28 6.28 -5.62 -21.92 -23.02
-21.02 -22.92 -25.12 -12.42 -3.92 6.98 10.98 8.38 0.48 -4.12 -13.12 -30.82
-19.62 -21.52 -12.72 -14.12 -0.22 9.48 13.48 10.78 4.58 -7.92 -12.92 -19.22
-28.12 -27.82 -24.52 -8.82 -2.02 8.38 12.18 7.78 4.18 -8.62 -17.82 -18.72
-23.14 -22.14 -19.04 -9.74 -1.14 8.96 13.16 12.06 5.16 -3.04 -13.94 -22.44
-19.14 -25.84 -19.44 -5.44 -1.74 5.76 11.66 12.16 6.26 -3.74 -16.64 -23.14
-24.44 -25.44 -22.54 -9.04 -3.94 4.86 14.36 7.56 2.36 -3.34 -18.24 -28.54
-15.74 -17.74 -17.04 -11.04 0.26 6.76 10.06 9.96 0.86 -3.74 -9.04 -18.64
-20.44 -14.74 -14.74 -12.54 -2.14 7.06 11.76 8.76 3.76 -7.34 -13.04 -18.54
-24.14 -25.84 -18.34 -7.54 -1.84 8.96 12.36 10.46 4.46 -4.34 -9.74 -14.04
-17.64 -17.04 -20.04 -10.54 -2.84 8.96 11.26 9.26 3.86 -2.64 -12.54 -24.24
-22.04 -24.74 -13.64 -5.44 0.46 8.66 12.76 9.86 5.26 -6.94 -13.44 -25.44
-23.34 -20.64 -16.64 -9.04 -3.74 8.36 11.76 6.76 0.66 -5.74 -10.94 -18.84
-33.14 -21.34 -19.54 -7.74 -4.24 6.66 12.86 12.96 6.26 -8.64 -12.44 -27.44
