"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
13 13 15 14 16 32 32 34 32 26 19 18
13 13 15 14 16 32 32 34 32 26 19 18
13 13 15 14 16 32 32 34 32 26 19 18
13 13 15 14 16 32 32 34 32 26 19 18
13 13 15 14 16 32 32 34 32 26 19 18
10.1 16.3 16.5 33.9 31.7 9.7 57.8 53.9 36.3 26 21.7 18
13 13 15 14 16 32 32 34 32 26 19 18
7.3 13 2.7 9.8 24.4 35.6 23.7 13 23.7 27.8 7.4 9.3
13 6.8 9.6 9.8 18.7 23.7 52.5 78.8 26.9 24.1 12 27.8
13 13 15 14 16 32 32 34 32 26 19 18
13 13 15 14 16 32 32 34 32 26 19 18
13 13 15 14 16 32 32 34 32 26 19 18
13 13 15 14 16 32 32 34 32 26 19 18
13 13 15 14 16 32 32 34 32 26 19 18
13 13 15 14 16 32 32 34 32 26 19 18
13 13 15 14 16 32 32 34 32 26 19 18
13 13 15 14 16 32 32 34 32 26 19 18
13 13 15 14 16 32 32 34 32 26 19 18
13 13 15 14 16 32 32 34 32 26 19 18
13 13 15 14 16 32 32 34 32 26 19 18
13 13 15 14 16 32 32 34 32 26 19 18
13 13 15 14 16 32 32 34 32 26 19 18
13 13 15 14 16 32 32 34 32 26 19 18
13 13 15 14 16 32 32 34 32 26 19 18
13 13 15 14 16 32 32 34 32 26 19 18
13 13 15 14 16 32 32 34 32 26 19 18
13 13 15 14 16 32 32 34 32 26 19 18
13 13 15 14 16 32 32 34 32 26 19 18
2.8 4.1 8.1 8.4 5.6 20.4 24.6 42 22.5 24.1 18.2 4.6
15.8 2.8 4.2 8.4 11.5 34.6 25.5 34 32 26 19 18
13 13 15 14 16 32 32 34 32 26 19 18
13 13 15 14 16 32 32 34 32 26 19 18
13 9.6 3.4 5.9 12.9 30.2 9.4 24.1 32 26 19 18
7.3 10 4.8 5.3 11.2 37.3 10.7 30.7 6.6 35.3 12.6 5.7
9.6 17.6 3.7 5 7.2 43.8 95.5 41.9 15.3 22.2 13.8 5.2
1.8 6.2 7.4 7.4 20.4 46 31.3 30 29.4 32.5 17.3 20.7
14.1 10.4 5.8 7.7 13 23.6 32.4 82.2 22.6 34.7 11.4 6.4
7.8 9.8 7.2 9.4 13.5 21.6 41 55.3 20.4 16.3 10.3 7.6
6.1 10.4 9.8 7.6 7.4 49.4 33.8 53.6 65.3 20.7 13.4 19.2
15 7.8 11.9 18.9 25.1 46.6 25.6 39.5 36.5 29.4 11.6 6.1
2.8 7.6 2.6 23.9 20.9 65.6 64.6 59.5 43 47 23.4 1.7
29.3 23.2 3.7 10.5 20.2 47 79.6 63.8 41.3 21.5 9.7 14.3
12.3 15.5 4.1 13.6 26.8 23.1 31.3 78.8 51.3 18.9 8 9.6
15.6 7.1 7.7 13.1 25.4 29.7 28.4 47.3 36.7 35.5 20.9 16.4
13.5 15.5 12.6 11 22.4 28.6 29.4 42.8 30.1 24.3 16.1 18.5
9.6 11.6 13.3 15.6 13.8 32.6 24.9 37.7 43.8 16.8 13.5 9.8
