"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
8.67 10.67 12.37 14.67 12.87 31.67 23.97 36.77 42.87 15.87 12.57 8.87
6.27 3.47 3.97 9.37 18.57 61.67 36.77 45.87 26.17 33.87 6.77 10.17
13.37 6.27 4.07 7.57 31.77 13.17 35.77 45.87 24.17 35.77 11.87 4.07
7.47 7.87 13.37 7.07 22.17 23.37 33.37 29.87 16.17 42.67 15.67 25.47
5.47 8.37 7.27 3.97 11.27 92.07 41.77 31.67 16.27 49.27 22.77 17.27
10.57 3.37 5.97 9.47 17.07 34.57 57.57 70.07 19.87 27.37 15.67 12.47
7.97 8.87 4.17 6.27 15.07 41.87 69.27 78.47 35.87 22.27 15.67 7.87
2.37 7.47 4.87 13.07 14.47 16.37 43.27 65.07 23.37 19.67 38.97 27.67
13.67 20.47 25.37 7.37 13.07 42.27 39.17 33.47 22.87 26.67 24.17 14.37
23.87 2.77 2.57 13.47 9.07 63.47 33.47 37.77 23.67 19.07 10.07 13.97
9.97 18.77 5.77 5.47 7.17 57.57 16.57 18.67 20.37 11.27 20.77 9.97
15.57 10.37 10.37 13.37 19.67 17.17 24.37 15.47 39.87 10.27 4.27 9.07
13.97 12.07 2.97 8.87 18.77 39.97 12.97 75.67 26.27 23.77 8.27 8.27
9.97 18.37 19.37 9.47 8.37 30.97 5.77 15.07 27.87 13.57 21.47 23.37
6.77 7.47 8.57 5.97 4.67 93.27 27.47 63.17 39.07 20.87 14.97 27.47
11.92 11.92 13.92 12.92 14.92 30.92 30.92 32.92 30.92 24.92 17.92 16.92
11.92 11.92 13.92 12.92 14.92 30.92 30.92 32.92 30.92 24.92 17.92 16.92
11.92 8.52 2.32 4.82 11.82 29.12 8.32 23.02 30.92 24.92 17.92 16.92
6.22 8.92 3.72 4.22 10.12 36.22 9.62 29.62 5.52 34.22 11.52 4.62
8.52 16.52 2.62 3.92 6.12 42.72 94.42 40.82 14.22 21.12 12.72 4.12
0.72 5.12 6.32 6.32 19.32 44.92 30.22 28.92 28.32 31.42 16.22 19.62
13.02 9.32 4.72 6.62 11.92 22.52 31.32 81.12 21.52 33.62 10.32 5.32
6.72 8.72 6.12 8.32 12.42 20.52 39.92 54.22 19.32 15.22 9.22 6.52
5.02 9.32 8.72 6.52 6.32 48.32 32.72 52.52 64.22 19.62 12.32 18.12
13.92 6.72 10.82 17.82 24.02 45.52 24.52 38.42 35.42 28.32 10.52 5.02
1.72 6.52 1.52 22.82 19.82 64.52 63.52 58.42 41.92 45.92 22.32 0.62
28.22 22.12 2.62 9.42 19.12 45.92 78.52 62.72 40.22 20.42 8.62 13.22
11.22 14.42 3.02 12.52 25.72 22.02 30.22 77.72 50.22 17.82 6.92 8.52
14.52 6.02 6.62 12.02 24.32 28.62 27.32 46.22 35.62 34.42 19.82 15.32
12.42 14.42 11.52 9.92 21.32 27.52 28.32 41.72 29.02 23.22 15.02 17.42
11.98 11.98 13.98 12.98 14.98 30.98 30.98 32.98 30.98 24.98 17.98 16.98
11.98 11.98 13.98 12.98 14.98 30.98 30.98 32.98 30.98 24.98 17.98 16.98
11.98 8.58 2.38 4.88 11.88 29.18 8.38 23.08 30.98 24.98 17.98 16.98
6.28 8.98 3.78 4.28 10.18 36.28 9.68 29.68 5.58 34.28 11.58 4.68
8.58 16.58 2.68 3.98 6.18 42.78 94.48 40.88 14.28 21.18 12.78 4.18
