"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
13.84 13.84 15.84 14.84 16.84 32.84 32.84 34.84 32.84 26.84 19.84 18.84
13.84 13.84 15.84 14.84 16.84 32.84 32.84 34.84 32.84 26.84 19.84 18.84
13.84 13.84 15.84 14.84 16.84 32.84 32.84 34.84 32.84 26.84 19.84 18.84
13.84 13.84 15.84 14.84 16.84 32.84 32.84 34.84 32.84 26.84 19.84 18.84
13.84 13.84 15.84 14.84 16.84 32.84 32.84 34.84 32.84 26.84 19.84 18.84
10.84 10.44 28.94 11.34 22.64 23.14 55.84 8.64 40.54 37.44 19.14 4.94
24.94 20.44 16.04 21.24 21.64 25.14 30.04 20.44 25.54 29.14 11.24 7.74
11.04 25.34 18.34 14.54 14.44 19.74 63.14 23.54 22.44 31.64 33.34 13.04
14.04 30.14 30.54 8.84 29.94 82.84 22.84 39.64 34.74 41.34 8.24 26.24
23.54 3.64 14.94 11.24 16.24 52.24 19.74 23.04 28.24 24.04 6.84 17.34
14.44 9.44 6.64 12.34 33.24 53.44 55.64 24.44 47.24 24.34 18.64 27.34
17.44 18.24 14.84 20.04 11.64 21.64 12.54 45.54 37.74 21.94 35.64 21.04
7.64 10.04 21.54 17.34 11.84 32.84 54.14 43.24 21.74 37.34 4.74 27.94
11.94 13.04 10.34 16.64 10.24 37.94 33.84 22.84 26.74 10.54 23.44 24.54
7.64 2.14 9.64 5.94 14.44 43.74 77.74 37.74 42.04 31.24 18.54 12.34
13.74 8.24 5.24 15.14 7.84 23.94 37.94 45.84 27.64 31.84 34.34 25.64
27.74 15.34 6.44 8.84 21.64 9.74 8.44 49.84 26.64 23.94 16.54 13.04
16.84 24.64 20.54 10.54 13.74 29.44 32.34 55.84 25.24 38.74 24.04 9.04
9.54 6.84 16.84 14.74 11.74 23.64 25.04 44.34 38.44 16.64 31.84 15.94
7.34 9.34 7.44 15.64 21.04 27.94 34.54 10.84 27.14 21.34 17.94 20.74
21.91 12.31 11.61 15.51 10.11 16.71 27.41 30.01 30.31 40.41 21.51 19.41
11.81 11.01 9.71 29.21 12.41 26.11 46.01 17.01 31.91 17.51 27.61 28.01
10.01 17.81 13.51 9.01 12.71 14.31 24.61 31.01 26.51 15.31 19.41 6.11
8.21 12.61 5.11 6.41 13.41 20.61 12.41 23.21 33.41 17.61 24.11 17.91
10.81 12.41 10.91 11.01 25.11 52.91 20.41 47.91 48.71 46.41 8.01 12.11
22.81 13.91 18.01 20.21 17.31 56.41 8.91 22.11 26.51 17.31 20.11 29.21
7.81 13.31 11.61 23.81 9.71 44.71 37.51 16.01 46.81 24.81 5.81 13.91
17.51 11.41 9.81 12.61 16.41 17.91 36.71 23.81 35.51 15.61 20.61 16.71
16.41 19.01 12.01 10.61 17.01 22.91 18.31 53.91 48.11 25.31 16.41 58.31
9.01 12.31 49.31 20.21 10.31 15.01 19.91 55.81 37.01 19.41 26.91 9.21
17.31 29.31 10.51 13.71 23.51 45.91 23.01 34.31 21.41 21.31 29.51 9.91
8.01 13.91 29.11 9.71 28.91 35.71 24.51 20.31 8.91 45.61 37.51 20.11
21.61 16.31 17.51 13.91 8.51 47.81 42.11 68.71 74.31 30.01 11.71 25.91
10.11 9.31 25.31 27.51 18.71 33.61 54.31 65.41 43.81 26.31 19.91 14.11
9.61 10.91 20.71 24.91 25.81 34.21 32.11 46.91 6.91 24.41 8.51 24.51
21.9 12.3 11.6 15.5 10.1 16.7 27.4 30 30.3 40.4 21.5 19.4
11.8 11 9.7 29.2 12.4 26.1 46 17 31.9 17.5 27.6 28
10 17.8 13.5 9 12.7 14.3 24.6 31 26.5 15.3 19.4 6.1
8.2 12.6 5.1 6.4 13.4 20.6 12.4 23.2 33.4 17.6 24.1 17.9
10.8 12.4 10.9 11 25.1 52.9 20.4 47.9 48.7 46.4 8 12.1
22.8 13.9 18 20.2 17.3 56.4 8.9 22.1 26.5 17.3 20.1 29.2
7.8 13.3 11.6 23.8 9.7 44.7 37.5 16 46.8 24.8 5.8 13.9
17.5 11.4 9.8 12.6 16.4 17.9 36.7 23.8 35.5 15.6 20.6 16.7
16.4 19 12 10.6 17 22.9 18.3 53.9 48.1 25.3 16.4 58.3
9 12.3 49.3 20.2 10.3 15 19.9 55.8 37 19.4 26.9 9.2
17.3 29.3 10.5 13.7 23.5 45.9 23 34.3 21.4 21.3 29.5 9.9
8 13.9 29.1 9.7 28.9 35.7 24.5 20.3 8.9 45.6 37.5 20.1
21.6 16.3 17.5 13.9 8.5 47.8 42.1 68.7 74.3 30 11.7 25.9
10.1 9.3 25.3 27.5 18.7 33.6 54.3 65.4 43.8 26.3 19.9 14.1
9.6 10.9 20.7 24.9 25.8 34.2 32.1 46.9 6.9 24.4 8.5 24.5
14.63 14.63 16.63 15.63 17.63 33.63 33.63 35.63 33.63 27.63 20.63 19.63
14.63 14.63 16.63 15.63 17.63 33.63 33.63 35.63 33.63 27.63 20.63 19.63
14.63 14.63 16.63 15.63 17.63 33.63 33.63 35.63 33.63 27.63 20.63 19.63
14.63 14.63 16.63 15.63 17.63 33.63 33.63 35.63 33.63 27.63 20.63 19.63
14.63 14.63 16.63 15.63 17.63 33.63 33.63 35.63 33.63 27.63 20.63 19.63
14.63 14.63 16.63 15.63 17.63 33.63 33.63 35.63 33.63 27.63 20.63 19.63
14.63 14.63 16.63 15.63 17.63 33.63 33.63 35.63 33.63 27.63 20.63 19.63
14.63 14.63 16.63 15.63 17.63 33.63 33.63 35.63 33.63 27.63 20.63 19.63
14.63 14.63 16.63 15.63 17.63 33.63 33.63 35.63 33.63 27.63 20.63 19.63
14.63 14.63 16.63 15.63 17.63 33.63 33.63 35.63 33.63 27.63 20.63 19.63
14.63 14.63 16.63 15.63 17.63 33.63 33.63 35.63 33.63 27.63 20.63 19.63
14.63 14.63 16.63 15.63 17.63 33.63 33.63 35.63 33.63 27.63 20.63 19.63
14.63 14.63 16.63 15.63 17.63 33.63 33.63 35.63 33.63 27.63 20.63 19.63
4.43 5.73 9.73 10.03 7.23 22.03 26.23 43.63 24.13 25.73 19.83 6.23
17.43 4.43 5.83 10.03 13.13 36.23 27.13 35.63 33.63 27.63 20.63 19.63
14.64 14.64 16.64 15.64 17.64 33.64 33.64 35.64 33.64 27.64 20.64 19.64
14.64 14.64 16.64 15.64 17.64 33.64 33.64 35.64 33.64 27.64 20.64 19.64
14.64 14.64 16.64 15.64 17.64 33.64 33.64 35.64 33.64 27.64 20.64 19.64
14.64 14.64 16.64 15.64 17.64 33.64 33.64 35.64 33.64 27.64 20.64 19.64
14.64 14.64 16.64 15.64 17.64 33.64 33.64 35.64 33.64 27.64 20.64 19.64
14.64 14.64 16.64 15.64 17.64 33.64 33.64 35.64 33.64 27.64 20.64 19.64
14.64 14.64 16.64 15.64 17.64 33.64 33.64 35.64 33.64 27.64 20.64 19.64
14.64 14.64 16.64 15.64 17.64 33.64 33.64 35.64 33.64 27.64 20.64 19.64
14.64 14.64 16.64 15.64 17.64 33.64 33.64 35.64 33.64 27.64 20.64 19.64
14.64 14.64 16.64 15.64 17.64 33.64 33.64 35.64 33.64 27.64 20.64 19.64
