"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
15.47 15.47 17.47 16.47 18.47 34.47 34.47 36.47 34.47 28.47 21.47 20.47
15.47 15.47 17.47 16.47 18.47 34.47 34.47 36.47 34.47 28.47 21.47 20.47
15.47 15.47 17.47 16.47 18.47 34.47 34.47 36.47 34.47 28.47 21.47 20.47
15.47 15.47 17.47 16.47 18.47 34.47 34.47 36.47 34.47 28.47 21.47 20.47
15.47 15.47 17.47 16.47 18.47 34.47 34.47 36.47 34.47 28.47 21.47 20.47
12.46 12.06 30.56 12.96 24.26 24.76 57.46 10.26 42.16 39.06 20.76 6.56
26.56 22.06 17.66 22.86 23.26 26.76 31.66 22.06 27.16 30.76 12.86 9.36
12.66 26.96 19.96 16.16 16.06 21.36 64.76 25.16 24.06 33.26 34.96 14.66
15.66 31.76 32.16 10.46 31.56 84.46 24.46 41.26 36.36 42.96 9.86 27.86
25.16 5.26 16.56 12.86 17.86 53.86 21.36 24.66 29.86 25.66 8.46 18.96
16.06 11.06 8.26 13.96 34.86 55.06 57.26 26.06 48.86 25.96 20.26 28.96
19.06 19.86 16.46 21.66 13.26 23.26 14.16 47.16 39.36 23.56 37.26 22.66
9.26 11.66 23.16 18.96 13.46 34.46 55.76 44.86 23.36 38.96 6.36 29.56
13.56 14.66 11.96 18.26 11.86 39.56 35.46 24.46 28.36 12.16 25.06 26.16
9.26 3.76 11.26 7.56 16.06 45.36 79.36 39.36 43.66 32.86 20.16 13.96
15.36 9.86 6.86 16.76 9.46 25.56 39.56 47.46 29.26 33.46 35.96 27.26
29.36 16.96 8.06 10.46 23.26 11.36 10.06 51.46 28.26 25.56 18.16 14.66
18.46 26.26 22.16 12.16 15.36 31.06 33.96 57.46 26.86 40.36 25.66 10.66
11.16 8.46 18.46 16.36 13.36 25.26 26.66 45.96 40.06 18.26 33.46 17.56
8.96 10.96 9.06 17.26 22.66 29.56 36.16 12.46 28.76 22.96 19.56 22.36
23.53 13.93 13.23 17.13 11.73 18.33 29.03 31.63 31.93 42.03 23.13 21.03
13.43 12.63 11.33 30.83 14.03 27.73 47.63 18.63 33.53 19.13 29.23 29.63
11.63 19.43 15.13 10.63 14.33 15.93 26.23 32.63 28.13 16.93 21.03 7.73
9.83 14.23 6.73 8.03 15.03 22.23 14.03 24.83 35.03 19.23 25.73 19.53
12.43 14.03 12.53 12.63 26.73 54.53 22.03 49.53 50.33 48.03 9.63 13.73
24.43 15.53 19.63 21.83 18.93 58.03 10.53 23.73 28.13 18.93 21.73 30.83
9.43 14.93 13.23 25.43 11.33 46.33 39.13 17.63 48.43 26.43 7.43 15.53
19.13 13.03 11.43 14.23 18.03 19.53 38.33 25.43 37.13 17.23 22.23 18.33
18.03 20.63 13.63 12.23 18.63 24.53 19.93 55.53 49.73 26.93 18.03 59.93
10.63 13.93 50.93 21.83 11.93 16.63 21.53 57.43 38.63 21.03 28.53 10.83
18.93 30.93 12.13 15.33 25.13 47.53 24.63 35.93 23.03 22.93 31.13 11.53
9.63 15.53 30.73 11.33 30.53 37.33 26.13 21.93 10.53 47.23 39.13 21.73
23.23 17.93 19.13 15.53 10.13 49.43 43.73 70.33 75.93 31.63 13.33 27.53
11.73 10.93 26.93 29.13 20.33 35.23 55.93 67.03 45.43 27.93 21.53 15.73
11.23 12.53 22.33 26.53 27.43 35.83 33.73 48.53 8.53 26.03 10.13 26.13
23.5 13.9 13.2 17.1 11.7 18.3 29 31.6 31.9 42 23.1 21
13.4 12.6 11.3 30.8 14 27.7 47.6 18.6 33.5 19.1 29.2 29.6
11.6 19.4 15.1 10.6 14.3 15.9 26.2 32.6 28.1 16.9 21 7.7
9.8 14.2 6.7 8 15 22.2 14 24.8 35 19.2 25.7 19.5
12.4 14 12.5 12.6 26.7 54.5 22 49.5 50.3 48 9.6 13.7
24.4 15.5 19.6 21.8 18.9 58 10.5 23.7 28.1 18.9 21.7 30.8
9.4 14.9 13.2 25.4 11.3 46.3 39.1 17.6 48.4 26.4 7.4 15.5
19.1 13 11.4 14.2 18 19.5 38.3 25.4 37.1 17.2 22.2 18.3
18 20.6 13.6 12.2 18.6 24.5 19.9 55.5 49.7 26.9 18 59.9
10.6 13.9 50.9 21.8 11.9 16.6 21.5 57.4 38.6 21 28.5 10.8
18.9 30.9 12.1 15.3 25.1 47.5 24.6 35.9 23 22.9 31.1 11.5
9.6 15.5 30.7 11.3 30.5 37.3 26.1 21.9 10.5 47.2 39.1 21.7
23.2 17.9 19.1 15.5 10.1 49.4 43.7 70.3 75.9 31.6 13.3 27.5
11.7 10.9 26.9 29.1 20.3 35.2 55.9 67 45.4 27.9 21.5 15.7
11.2 12.5 22.3 26.5 27.4 35.8 33.7 48.5 8.5 26 10.1 26.1
16.14 16.14 18.14 17.14 19.14 35.14 35.14 37.14 35.14 29.14 22.14 21.14
16.14 16.14 18.14 17.14 19.14 35.14 35.14 37.14 35.14 29.14 22.14 21.14
16.14 16.14 18.14 17.14 19.14 35.14 35.14 37.14 35.14 29.14 22.14 21.14
16.14 16.14 18.14 17.14 19.14 35.14 35.14 37.14 35.14 29.14 22.14 21.14
16.14 16.14 18.14 17.14 19.14 35.14 35.14 37.14 35.14 29.14 22.14 21.14
16.14 16.14 18.14 17.14 19.14 35.14 35.14 37.14 35.14 29.14 22.14 21.14
16.14 16.14 18.14 17.14 19.14 35.14 35.14 37.14 35.14 29.14 22.14 21.14
16.14 16.14 18.14 17.14 19.14 35.14 35.14 37.14 35.14 29.14 22.14 21.14
16.14 16.14 18.14 17.14 19.14 35.14 35.14 37.14 35.14 29.14 22.14 21.14
16.14 16.14 18.14 17.14 19.14 35.14 35.14 37.14 35.14 29.14 22.14 21.14
16.14 16.14 18.14 17.14 19.14 35.14 35.14 37.14 35.14 29.14 22.14 21.14
16.14 16.14 18.14 17.14 19.14 35.14 35.14 37.14 35.14 29.14 22.14 21.14
16.14 16.14 18.14 17.14 19.14 35.14 35.14 37.14 35.14 29.14 22.14 21.14
5.94 7.24 11.24 11.54 8.74 23.54 27.74 45.14 25.64 27.24 21.34 7.74
18.94 5.94 7.34 11.54 14.64 37.74 28.64 37.14 35.14 29.14 22.14 21.14
16.16 16.16 18.16 17.16 19.16 35.16 35.16 37.16 35.16 29.16 22.16 21.16
16.16 16.16 18.16 17.16 19.16 35.16 35.16 37.16 35.16 29.16 22.16 21.16
16.16 16.16 18.16 17.16 19.16 35.16 35.16 37.16 35.16 29.16 22.16 21.16
16.16 16.16 18.16 17.16 19.16 35.16 35.16 37.16 35.16 29.16 22.16 21.16
16.16 16.16 18.16 17.16 19.16 35.16 35.16 37.16 35.16 29.16 22.16 21.16
16.16 16.16 18.16 17.16 19.16 35.16 35.16 37.16 35.16 29.16 22.16 21.16
16.16 16.16 18.16 17.16 19.16 35.16 35.16 37.16 35.16 29.16 22.16 21.16
16.16 16.16 18.16 17.16 19.16 35.16 35.16 37.16 35.16 29.16 22.16 21.16
16.16 16.16 18.16 17.16 19.16 35.16 35.16 37.16 35.16 29.16 22.16 21.16
16.16 16.16 18.16 17.16 19.16 35.16 35.16 37.16 35.16 29.16 22.16 21.16
16.16 16.16 18.16 17.16 19.16 35.16 35.16 37.16 35.16 29.16 22.16 21.16
16.16 16.16 18.16 17.16 19.16 35.16 35.16 37.16 35.16 29.16 22.16 21.16
16.16 16.16 18.16 17.16 19.16 35.16 35.16 37.16 35.16 29.16 22.16 21.16
5.96 7.26 11.26 11.56 8.76 23.56 27.76 45.16 25.66 27.26 21.36 7.76
18.96 5.96 7.36 11.56 14.66 37.76 28.66 37.16 35.16 29.16 22.16 21.16
15.3 15.3 17.3 16.3 18.3 34.3 34.3 36.3 34.3 28.3 21.3 20.3
15.3 15.3 17.3 16.3 18.3 34.3 34.3 36.3 34.3 28.3 21.3 20.3
15.3 15.3 17.3 16.3 18.3 34.3 34.3 36.3 34.3 28.3 21.3 20.3
15.3 15.3 17.3 16.3 18.3 34.3 34.3 36.3 34.3 28.3 21.3 20.3
15.3 15.3 17.3 16.3 18.3 34.3 34.3 36.3 34.3 28.3 21.3 20.3
12.4 18.6 18.8 36.2 34 12 60.1 56.2 38.6 28.3 24 20.3
15.3 15.3 17.3 16.3 18.3 34.3 34.3 36.3 34.3 28.3 21.3 20.3
9.6 15.3 5 12.1 26.7 37.9 26 15.3 26 30.1 9.7 11.6
15.3 9.1 11.9 12.1 21 26 54.8 81.1 29.2 26.4 14.3 30.1
15.3 15.3 17.3 16.3 18.3 34.3 34.3 36.3 34.3 28.3 21.3 20.3
15.3 15.3 17.3 16.3 18.3 34.3 34.3 36.3 34.3 28.3 21.3 20.3
15.3 15.3 17.3 16.3 18.3 34.3 34.3 36.3 34.3 28.3 21.3 20.3
15.3 15.3 17.3 16.3 18.3 34.3 34.3 36.3 34.3 28.3 21.3 20.3
15.3 15.3 17.3 16.3 18.3 34.3 34.3 36.3 34.3 28.3 21.3 20.3
15.3 15.3 17.3 16.3 18.3 34.3 34.3 36.3 34.3 28.3 21.3 20.3
12.26 11.86 30.36 12.76 24.06 24.56 57.26 10.06 41.96 38.86 20.56 6.36
26.36 21.86 17.46 22.66 23.06 26.56 31.46 21.86 26.96 30.56 12.66 9.16
12.46 26.76 19.76 15.96 15.86 21.16 64.56 24.96 23.86 33.06 34.76 14.46
15.46 31.56 31.96 10.26 31.36 84.26 24.26 41.06 36.16 42.76 9.66 27.66
24.96 5.06 16.36 12.66 17.66 53.66 21.16 24.46 29.66 25.46 8.26 18.76
15.86 10.86 8.06 13.76 34.66 54.86 57.06 25.86 48.66 25.76 20.06 28.76
18.86 19.66 16.26 21.46 13.06 23.06 13.96 46.96 39.16 23.36 37.06 22.46
9.06 11.46 22.96 18.76 13.26 34.26 55.56 44.66 23.16 38.76 6.16 29.36
13.36 14.46 11.76 18.06 11.66 39.36 35.26 24.26 28.16 11.96 24.86 25.96
9.06 3.56 11.06 7.36 15.86 45.16 79.16 39.16 43.46 32.66 19.96 13.76
15.16 9.66 6.66 16.56 9.26 25.36 39.36 47.26 29.06 33.26 35.76 27.06
29.16 16.76 7.86 10.26 23.06 11.16 9.86 51.26 28.06 25.36 17.96 14.46
18.26 26.06 21.96 11.96 15.16 30.86 33.76 57.26 26.66 40.16 25.46 10.46
10.96 8.26 18.26 16.16 13.16 25.06 26.46 45.76 39.86 18.06 33.26 17.36
8.76 10.76 8.86 17.06 22.46 29.36 35.96 12.26 28.56 22.76 19.36 22.16
23.6 14 13.3 17.2 11.8 18.4 29.1 31.7 32 42.1 23.2 21.1
13.5 12.7 11.4 30.9 14.1 27.8 47.7 18.7 33.6 19.2 29.3 29.7
11.7 19.5 15.2 10.7 14.4 16 26.3 32.7 28.2 17 21.1 7.8
9.9 14.3 6.8 8.1 15.1 22.3 14.1 24.9 35.1 19.3 25.8 19.6
12.5 14.1 12.6 12.7 26.8 54.6 22.1 49.6 50.4 48.1 9.7 13.8
24.5 15.6 19.7 21.9 19 58.1 10.6 23.8 28.2 19 21.8 30.9
9.5 15 13.3 25.5 11.4 46.4 39.2 17.7 48.5 26.5 7.5 15.6
19.2 13.1 11.5 14.3 18.1 19.6 38.4 25.5 37.2 17.3 22.3 18.4
18.1 20.7 13.7 12.3 18.7 24.6 20 55.6 49.8 27 18.1 60
10.7 14 51 21.9 12 16.7 21.6 57.5 38.7 21.1 28.6 10.9
19 31 12.2 15.4 25.2 47.6 24.7 36 23.1 23 31.2 11.6
9.7 15.6 30.8 11.4 30.6 37.4 26.2 22 10.6 47.3 39.2 21.8
23.3 18 19.2 15.6 10.2 49.5 43.8 70.4 76 31.7 13.4 27.6
11.8 11 27 29.2 20.4 35.3 56 67.1 45.5 28 21.6 15.8
11.3 12.6 22.4 26.6 27.5 35.9 33.8 48.6 8.6 26.1 10.2 26.2
15.48 15.48 17.48 16.48 18.48 34.48 34.48 36.48 34.48 28.48 21.48 20.48
15.48 15.48 17.48 16.48 18.48 34.48 34.48 36.48 34.48 28.48 21.48 20.48
15.48 15.48 17.48 16.48 18.48 34.48 34.48 36.48 34.48 28.48 21.48 20.48
15.48 15.48 17.48 16.48 18.48 34.48 34.48 36.48 34.48 28.48 21.48 20.48
15.48 15.48 17.48 16.48 18.48 34.48 34.48 36.48 34.48 28.48 21.48 20.48
12.58 18.78 18.98 36.38 34.18 12.18 60.28 56.38 38.78 28.48 24.18 20.48
15.48 15.48 17.48 16.48 18.48 34.48 34.48 36.48 34.48 28.48 21.48 20.48
9.78 15.48 5.18 12.28 26.88 38.08 26.18 15.48 26.18 30.28 9.88 11.78
15.48 9.28 12.08 12.28 21.18 26.18 54.98 81.28 29.38 26.58 14.48 30.28
15.48 15.48 17.48 16.48 18.48 34.48 34.48 36.48 34.48 28.48 21.48 20.48
15.48 15.48 17.48 16.48 18.48 34.48 34.48 36.48 34.48 28.48 21.48 20.48
15.48 15.48 17.48 16.48 18.48 34.48 34.48 36.48 34.48 28.48 21.48 20.48
15.48 15.48 17.48 16.48 18.48 34.48 34.48 36.48 34.48 28.48 21.48 20.48
15.48 15.48 17.48 16.48 18.48 34.48 34.48 36.48 34.48 28.48 21.48 20.48
15.48 15.48 17.48 16.48 18.48 34.48 34.48 36.48 34.48 28.48 21.48 20.48
15.09 15.09 17.09 16.09 18.09 34.09 34.09 36.09 34.09 28.09 21.09 20.09
15.09 15.09 17.09 16.09 18.09 34.09 34.09 36.09 34.09 28.09 21.09 20.09
15.09 11.69 5.49 7.99 14.99 32.29 11.49 26.19 34.09 28.09 21.09 20.09
9.39 12.09 6.89 7.39 13.29 39.39 12.79 32.79 8.69 37.39 14.69 7.79
11.69 19.69 5.79 7.09 9.29 45.89 97.59 43.99 17.39 24.29 15.89 7.29
3.89 8.29 9.49 9.49 22.49 48.09 33.39 32.09 31.49 34.59 19.39 22.79
16.19 12.49 7.89 9.79 15.09 25.69 34.49 84.29 24.69 36.79 13.49 8.49
9.89 11.89 9.29 11.49 15.59 23.69 43.09 57.39 22.49 18.39 12.39 9.69
8.19 12.49 11.89 9.69 9.49 51.49 35.89 55.69 67.39 22.79 15.49 21.29
17.09 9.89 13.99 20.99 27.19 48.69 27.69 41.59 38.59 31.49 13.69 8.19
4.89 9.69 4.69 25.99 22.99 67.69 66.69 61.59 45.09 49.09 25.49 3.79
31.39 25.29 5.79 12.59 22.29 49.09 81.69 65.89 43.39 23.59 11.79 16.39
14.39 17.59 6.19 15.69 28.89 25.19 33.39 80.89 53.39 20.99 10.09 11.69
17.69 9.19 9.79 15.19 27.49 31.79 30.49 49.39 38.79 37.59 22.99 18.49
15.59 17.59 14.69 13.09 24.49 30.69 31.49 44.89 32.19 26.39 18.19 20.59
11.89 13.89 15.59 17.89 16.09 34.89 27.19 39.99 46.09 19.09 15.79 12.09
9.49 6.69 7.19 12.59 21.79 64.89 39.99 49.09 29.39 37.09 9.99 13.39
16.59 9.49 7.29 10.79 34.99 16.39 38.99 49.09 27.39 38.99 15.09 7.29
10.69 11.09 16.59 10.29 25.39 26.59 36.59 33.09 19.39 45.89 18.89 28.69
8.69 11.59 10.49 7.19 14.49 95.29 44.99 34.89 19.49 52.49 25.99 20.49
13.79 6.59 9.19 12.69 20.29 37.79 60.79 73.29 23.09 30.59 18.89 15.69
