"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
20.37 10.77 10.07 13.97 8.57 15.17 25.87 28.47 28.77 38.87 19.97 17.87
10.27 9.47 8.17 27.67 10.87 24.57 44.47 15.47 30.37 15.97 26.07 26.47
8.47 16.27 11.97 7.47 11.17 12.77 23.07 29.47 24.97 13.77 17.87 4.57
6.67 11.07 3.57 4.87 11.87 19.07 10.87 21.67 31.87 16.07 22.57 16.37
9.27 10.87 9.37 9.47 23.57 51.37 18.87 46.37 47.17 44.87 6.47 10.57
21.27 12.37 16.47 18.67 15.77 54.87 7.37 20.57 24.97 15.77 18.57 27.67
6.27 11.77 10.07 22.27 8.17 43.17 35.97 14.47 45.27 23.27 4.27 12.37
15.97 9.87 8.27 11.07 14.87 16.37 35.17 22.27 33.97 14.07 19.07 15.17
14.87 17.47 10.47 9.07 15.47 21.37 16.77 52.37 46.57 23.77 14.87 56.77
7.47 10.77 47.77 18.67 8.77 13.47 18.37 54.27 35.47 17.87 25.37 7.67
15.77 27.77 8.97 12.17 21.97 44.37 21.47 32.77 19.87 19.77 27.97 8.37
6.47 12.37 27.57 8.17 27.37 34.17 22.97 18.77 7.37 44.07 35.97 18.57
20.07 14.77 15.97 12.37 6.97 46.27 40.57 67.17 72.77 28.47 10.17 24.37
8.57 7.77 23.77 25.97 17.17 32.07 52.77 63.87 42.27 24.77 18.37 12.57
8.07 9.37 19.17 23.37 24.27 32.67 30.57 45.37 5.37 22.87 6.97 22.97
12.02 12.02 14.02 13.02 15.02 31.02 31.02 33.02 31.02 25.02 18.02 17.02
12.02 12.02 14.02 13.02 15.02 31.02 31.02 33.02 31.02 25.02 18.02 17.02
12.02 8.62 2.42 4.92 11.92 29.22 8.42 23.12 31.02 25.02 18.02 17.02
6.32 9.02 3.82 4.32 10.22 36.32 9.72 29.72 5.62 34.32 11.62 4.72
8.62 16.62 2.72 4.02 6.22 42.82 94.52 40.92 14.32 21.22 12.82 4.22
0.82 5.22 6.42 6.42 19.42 45.02 30.32 29.02 28.42 31.52 16.32 19.72
13.12 9.42 4.82 6.72 12.02 22.62 31.42 81.22 21.62 33.72 10.42 5.42
