"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-34.26 -31.76 -28.16 -17.76 -7.16 4.94 13.34 9.94 1.84 -11.86 -26.96 -30.96
-32.76 -32.26 -29.46 -16.96 -7.26 4.64 12.64 9.84 1.84 -14.06 -26.56 -30.56
-35.36 -33.06 -25.76 -18.36 -7.46 5.44 12.64 9.64 1.84 -12.46 -26.56 -27.66
-32.36 -30.86 -27.76 -17.56 -6.96 4.84 12.34 10.34 1.94 -12.56 -26.46 -29.86
-33.86 -34.06 -27.56 -17.36 -6.46 6.14 13.84 10.24 1.64 -13.46 -26.36 -31.56
-38.78 -33.78 -23.38 -17.68 -8.08 4.12 11.62 8.22 3.12 -11.78 -25.38 -33.28
-32.08 -30.08 -26.38 -16.18 -8.88 4.12 13.02 10.62 2.12 -11.98 -28.88 -35.08
-32.78 -31.88 -28.58 -20.38 -9.28 4.42 12.52 10.12 0.42 -11.28 -25.18 -32.98
-34.78 -23.68 -32.18 -20.68 -9.68 4.12 13.42 9.62 2.82 -12.28 -26.78 -29.48
-35.98 -36.68 -26.48 -17.18 -8.98 2.12 14.92 11.12 2.12 -11.98 -29.68 -30.88
-37.48 -39.18 -32.78 -20.88 -7.18 4.02 11.82 9.52 1.72 -15.48 -28.68 -22.08
-34.38 -33.68 -26.68 -16.38 -7.68 6.52 15.22 9.32 1.62 -5.68 -18.18 -23.38
-32.58 -28.68 -19.68 -14.88 -7.48 4.12 12.82 8.82 0.82 -12.78 -35.08 -34.98
-35.18 -38.88 -29.78 -19.68 -7.18 5.82 15.22 10.12 -0.38 -13.28 -22.38 -26.68
-33.38 -34.28 -26.08 -20.08 -9.58 4.02 14.22 7.62 1.72 -14.08 -24.38 -29.48
-34.58 -32.68 -26.78 -19.38 -6.28 4.92 14.32 12.72 3.42 -12.38 -20.58 -26.58
-35.08 -32.28 -28.18 -15.68 -8.98 5.42 12.32 9.02 -0.18 -11.68 -31.08 -31.18
-32.48 -28.08 -23.58 -19.18 -6.68 4.32 13.02 10.92 2.12 -13.78 -28.98 -32.98
-37.88 -34.48 -24.28 -15.88 -7.28 4.22 10.62 9.62 2.02 -17.48 -32.28 -31.38
-30.88 -31.38 -26.08 -16.38 -5.28 7.32 13.42 9.52 2.82 -11.88 -25.08 -22.88
-33.57 -32.47 -28.47 -18.37 -8.37 4.23 11.93 9.43 2.23 -12.17 -28.17 -32.87
-35.07 -35.17 -29.17 -19.07 -5.67 5.13 13.33 8.03 0.63 -14.67 -28.07 -28.27
-34.07 -31.27 -27.87 -18.37 -9.47 4.43 13.23 9.43 2.23 -13.67 -25.97 -30.67
-35.47 -34.87 -29.47 -18.07 -7.57 4.13 11.93 12.03 3.23 -10.07 -28.37 -31.87
-31.17 -28.47 -23.37 -18.27 -8.07 4.33 11.73 10.43 0.83 -13.57 -26.77 -32.67
-32.67 -32.07 -26.37 -18.57 -8.67 4.53 13.53 8.33 1.23 -10.87 -24.37 -31.17
-32.47 -37.27 -24.27 -19.07 -6.07 6.53 13.83 10.03 1.13 -13.87 -26.37 -28.97
-33.27 -30.77 -29.47 -18.97 -9.17 5.43 13.13 11.83 3.23 -11.47 -26.47 -29.87
-35.87 -30.67 -25.27 -18.97 -5.87 4.53 15.13 10.13 2.13 -10.57 -22.57 -29.87
-29.47 -31.27 -29.47 -18.27 -8.27 3.63 11.03 8.13 1.03 -11.57 -25.87 -30.97
-32.17 -35.27 -23.07 -17.17 -10.17 3.33 12.43 10.43 0.53 -10.67 -26.27 -30.37
-36.17 -28.17 -28.57 -17.67 -4.77 5.43 10.83 9.03 2.73 -11.27 -29.67 -32.57
-32.77 -29.67 -29.27 -18.77 -7.87 4.63 13.43 11.13 2.23 -12.27 -24.07 -28.77
-36.37 -31.87 -27.57 -18.57 -8.97 3.13 15.33 8.93 2.93 -7.77 -23.37 -30.87
-27.17 -36.57 -27.87 -19.87 -6.97 5.53 13.13 7.23 0.83 -14.27 -18.47 -31.77
-38.9 -33.9 -23.5 -17.8 -8.2 4 11.5 8.1 3 -11.9 -25.5 -33.4
-32.2 -30.2 -26.5 -16.3 -9 4 12.9 10.5 2 -12.1 -29 -35.2
-32.9 -32 -28.7 -20.5 -9.4 4.3 12.4 10 0.3 -11.4 -25.3 -33.1
-34.9 -23.8 -32.3 -20.8 -9.8 4 13.3 9.5 2.7 -12.4 -26.9 -29.6
-36.1 -36.8 -26.6 -17.3 -9.1 2 14.8 11 2 -12.1 -29.8 -31
-37.6 -39.3 -32.9 -21 -7.3 3.9 11.7 9.4 1.6 -15.6 -28.8 -22.2
-34.5 -33.8 -26.8 -16.5 -7.8 6.4 15.1 9.2 1.5 -5.8 -18.3 -23.5
-32.7 -28.8 -19.8 -15 -7.6 4 12.7 8.7 0.7 -12.9 -35.2 -35.1
-35.3 -39 -29.9 -19.8 -7.3 5.7 15.1 10 -0.5 -13.4 -22.5 -26.8
-33.5 -34.4 -26.2 -20.2 -9.7 3.9 14.1 7.5 1.6 -14.2 -24.5 -29.6
-34.7 -32.8 -26.9 -19.5 -6.4 4.8 14.2 12.6 3.3 -12.5 -20.7 -26.7
-35.2 -32.4 -28.3 -15.8 -9.1 5.3 12.2 8.9 -0.3 -11.8 -31.2 -31.3
-32.6 -28.2 -23.7 -19.3 -6.8 4.2 12.9 10.8 2 -13.9 -29.1 -33.1
-38 -34.6 -24.4 -16 -7.4 4.1 10.5 9.5 1.9 -17.6 -32.4 -31.5
-31 -31.5 -26.2 -16.5 -5.4 7.2 13.3 9.4 2.7 -12 -25.2 -23
-35.75 -35.45 -27.25 -16.05 -7.55 4.75 13.75 8.25 -1.05 -11.55 -28.65 -35.25
-34.35 -35.65 -25.25 -15.75 -3.85 6.25 13.85 9.65 1.15 -5.05 -25.75 -28.75
-30.95 -34.05 -25.05 -18.35 -6.35 4.95 13.55 10.25 4.05 -7.15 -17.95 -30.85
-29.85 -31.25 -24.45 -15.45 -6.25 3.55 11.55 9.35 3.35 -7.85 -30.15 -25.35
-36.95 -34.75 -27.65 -18.75 -5.45 6.05 11.95 8.35 1.35 -12.25 -28.75 -30.85
-36.95 -36.65 -30.45 -18.05 -6.45 3.85 11.95 8.55 3.65 -7.75 -25.35 -27.05
-35.95 -29.55 -30.55 -19.15 -7.15 4.95 11.75 9.05 3.75 -14.65 -28.55 -34.35
-34.65 -28.75 -25.25 -13.15 -4.75 6.35 16.15 8.25 1.15 -10.85 -23.65 -26.55
-35.85 -34.25 -27.55 -16.55 -7.25 7.35 13.05 11.75 0.15 -10.05 -24.05 -25.25
-24.15 -37.15 -33.05 -18.05 -8.25 5.85 14.05 10.15 0.95 -12.45 -29.15 -37.25
-35.35 -26.65 -25.95 -20.85 -9.25 6.75 13.95 8.35 1.95 -16.75 -19.75 -25.35
-31.65 -34.45 -28.65 -19.45 -6.15 7.15 12.95 10.65 -2.15 -16.25 -33.25 -34.85
-33.65 -34.85 -32.05 -21.25 -8.55 2.85 14.05 7.75 -0.15 -15.95 -31.75 -37.85
-37.75 -31.05 -22.75 -18.75 -7.95 8.55 13.55 11.25 2.85 -11.95 -23.05 -31.05
-36.15 -37.55 -32.15 -19.05 -6.45 7.25 11.45 7.75 0.65 -14.85 -29.65 -25.75
-28.79 -34.29 -27.39 -13.79 -8.49 4.71 10.61 8.41 2.11 -15.19 -26.79 -34.89
-32.39 -35.79 -30.39 -15.79 -4.69 5.41 11.61 7.61 0.91 -17.79 -26.59 -31.89
-38.29 -30.79 -29.39 -18.59 -7.79 5.11 13.31 10.01 1.21 -9.69 -19.99 -36.19
-42.09 -42.69 -31.49 -20.89 -9.19 7.11 14.51 8.71 0.51 -15.09 -28.09 -28.69
-34.99 -31.99 -28.49 -16.89 -7.29 3.81 13.21 11.21 1.61 -9.39 -31.39 -28.49
-23.79 -30.49 -28.39 -15.89 -8.29 5.61 12.21 9.81 0.01 -14.49 -21.09 -28.99
-36.69 -28.79 -29.99 -14.09 -8.09 4.11 12.81 10.91 1.21 -18.29 -29.59 -30.39
-30.79 -30.39 -24.09 -20.49 -7.09 5.41 11.91 11.31 3.01 -10.89 -18.99 -29.19
-27.39 -30.59 -27.19 -22.79 -6.49 6.31 16.31 9.11 3.51 -12.59 -28.09 -27.79
-36.59 -32.59 -27.49 -17.89 -8.09 7.21 11.81 9.31 2.21 -10.39 -21.69 -28.59
-34.59 -29.39 -27.59 -19.79 -7.29 4.81 14.21 8.71 0.71 -9.39 -23.59 -32.89
-37.89 -33.59 -29.09 -17.59 -7.49 2.21 13.01 9.61 1.41 -11.39 -30.19 -32.39
-30.99 -31.49 -27.39 -21.69 -5.89 6.51 12.11 8.81 2.41 -12.89 -25.49 -22.99
-33.89 -27.19 -23.69 -19.19 -5.39 2.21 10.51 7.91 -0.29 -12.99 -30.79 -28.49
-35.69 -31.39 -19.49 -13.59 -4.89 7.91 13.11 9.31 1.71 -12.79 -30.99 -32.39
-28.98 -34.48 -27.58 -13.98 -8.68 4.52 10.42 8.22 1.92 -15.38 -26.98 -35.08
-32.58 -35.98 -30.58 -15.98 -4.88 5.22 11.42 7.42 0.72 -17.98 -26.78 -32.08
-38.48 -30.98 -29.58 -18.78 -7.98 4.92 13.12 9.82 1.02 -9.88 -20.18 -36.38
-42.28 -42.88 -31.68 -21.08 -9.38 6.92 14.32 8.52 0.32 -15.28 -28.28 -28.88
-35.18 -32.18 -28.68 -17.08 -7.48 3.62 13.02 11.02 1.42 -9.58 -31.58 -28.68
-23.98 -30.68 -28.58 -16.08 -8.48 5.42 12.02 9.62 -0.18 -14.68 -21.28 -29.18
-36.88 -28.98 -30.18 -14.28 -8.28 3.92 12.62 10.72 1.02 -18.48 -29.78 -30.58
-30.98 -30.58 -24.28 -20.68 -7.28 5.22 11.72 11.12 2.82 -11.08 -19.18 -29.38
-27.58 -30.78 -27.38 -22.98 -6.68 6.12 16.12 8.92 3.32 -12.78 -28.28 -27.98
-36.78 -32.78 -27.68 -18.08 -8.28 7.02 11.62 9.12 2.02 -10.58 -21.88 -28.78
-34.78 -29.58 -27.78 -19.98 -7.48 4.62 14.02 8.52 0.52 -9.58 -23.78 -33.08
-38.08 -33.78 -29.28 -17.78 -7.68 2.02 12.82 9.42 1.22 -11.58 -30.38 -32.58
-31.18 -31.68 -27.58 -21.88 -6.08 6.32 11.92 8.62 2.22 -13.08 -25.68 -23.18
-34.08 -27.38 -23.88 -19.38 -5.58 2.02 10.32 7.72 -0.48 -13.18 -30.98 -28.68
-35.88 -31.58 -19.68 -13.78 -5.08 7.72 12.92 9.12 1.52 -12.98 -31.18 -32.58
-28.88 -34.38 -27.48 -13.88 -8.58 4.62 10.52 8.32 2.02 -15.28 -26.88 -34.98
-32.48 -35.88 -30.48 -15.88 -4.78 5.32 11.52 7.52 0.82 -17.88 -26.68 -31.98
-38.38 -30.88 -29.48 -18.68 -7.88 5.02 13.22 9.92 1.12 -9.78 -20.08 -36.28
-42.18 -42.78 -31.58 -20.98 -9.28 7.02 14.42 8.62 0.42 -15.18 -28.18 -28.78
-35.08 -32.08 -28.58 -16.98 -7.38 3.72 13.12 11.12 1.52 -9.48 -31.48 -28.58
-23.88 -30.58 -28.48 -15.98 -8.38 5.52 12.12 9.72 -0.08 -14.58 -21.18 -29.08
-36.78 -28.88 -30.08 -14.18 -8.18 4.02 12.72 10.82 1.12 -18.38 -29.68 -30.48
-30.88 -30.48 -24.18 -20.58 -7.18 5.32 11.82 11.22 2.92 -10.98 -19.08 -29.28
-27.48 -30.68 -27.28 -22.88 -6.58 6.22 16.22 9.02 3.42 -12.68 -28.18 -27.88
-36.68 -32.68 -27.58 -17.98 -8.18 7.12 11.72 9.22 2.12 -10.48 -21.78 -28.68
-34.68 -29.48 -27.68 -19.88 -7.38 4.72 14.12 8.62 0.62 -9.48 -23.68 -32.98
-37.98 -33.68 -29.18 -17.68 -7.58 2.12 12.92 9.52 1.32 -11.48 -30.28 -32.48
-31.08 -31.58 -27.48 -21.78 -5.98 6.42 12.02 8.72 2.32 -12.98 -25.58 -23.08
-33.98 -27.28 -23.78 -19.28 -5.48 2.12 10.42 7.82 -0.38 -13.08 -30.88 -28.58
-35.78 -31.48 -19.58 -13.68 -4.98 7.82 13.02 9.22 1.62 -12.88 -31.08 -32.48
-36.02 -30.72 -26.42 -18.72 -7.42 4.28 12.08 9.58 0.78 -13.32 -25.82 -31.52
-33.72 -32.12 -27.02 -18.62 -7.82 3.68 12.58 9.58 1.58 -13.72 -29.22 -31.02
