"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-28.82 -34.32 -27.42 -13.82 -8.52 4.68 10.58 8.38 2.08 -15.22 -26.82 -34.92
-32.42 -35.82 -30.42 -15.82 -4.72 5.38 11.58 7.58 0.88 -17.82 -26.62 -31.92
-38.32 -30.82 -29.42 -18.62 -7.82 5.08 13.28 9.98 1.18 -9.72 -20.02 -36.22
-42.12 -42.72 -31.52 -20.92 -9.22 7.08 14.48 8.68 0.48 -15.12 -28.12 -28.72
-35.02 -32.02 -28.52 -16.92 -7.32 3.78 13.18 11.18 1.58 -9.42 -31.42 -28.52
-23.82 -30.52 -28.42 -15.92 -8.32 5.58 12.18 9.78 -0.02 -14.52 -21.12 -29.02
-36.72 -28.82 -30.02 -14.12 -8.12 4.08 12.78 10.88 1.18 -18.32 -29.62 -30.42
-30.82 -30.42 -24.12 -20.52 -7.12 5.38 11.88 11.28 2.98 -10.92 -19.02 -29.22
-27.42 -30.62 -27.22 -22.82 -6.52 6.28 16.28 9.08 3.48 -12.62 -28.12 -27.82
-36.62 -32.62 -27.52 -17.92 -8.12 7.18 11.78 9.28 2.18 -10.42 -21.72 -28.62
-34.62 -29.42 -27.62 -19.82 -7.32 4.78 14.18 8.68 0.68 -9.42 -23.62 -32.92
-37.92 -33.62 -29.12 -17.62 -7.52 2.18 12.98 9.58 1.38 -11.42 -30.22 -32.42
-31.02 -31.52 -27.42 -21.72 -5.92 6.48 12.08 8.78 2.38 -12.92 -25.52 -23.02
-33.92 -27.22 -23.72 -19.22 -5.42 2.18 10.48 7.88 -0.32 -13.02 -30.82 -28.52
-35.72 -31.42 -19.52 -13.62 -4.92 7.88 13.08 9.28 1.68 -12.82 -31.02 -32.42
-38.83 -28.83 -29.53 -20.43 -8.33 3.67 11.37 9.17 1.97 -10.23 -24.83 -29.43
-33.13 -30.73 -28.33 -16.03 -6.73 5.07 13.57 9.37 2.77 -12.63 -28.83 -33.53
-28.83 -31.23 -29.73 -17.73 -11.83 1.47 9.87 8.97 -2.23 -12.23 -30.83 -31.83
-30.53 -20.63 -26.03 -19.83 -7.53 4.27 10.97 8.37 -0.33 -10.83 -25.23 -33.13
-36.73 -24.23 -32.03 -23.13 -3.93 5.17 11.77 9.27 0.87 -15.23 -27.63 -29.93
-40.43 -35.33 -28.43 -15.53 -6.93 3.57 13.37 7.87 3.77 -12.53 -27.53 -26.23
-25.43 -29.23 -34.33 -19.53 -5.73 4.77 11.87 5.97 1.47 -13.63 -24.53 -30.33
-27.33 -33.43 -25.43 -14.63 -6.93 5.17 11.47 9.77 2.47 -15.13 -22.93 -30.13
-37.13 -28.03 -27.53 -20.33 -10.13 5.47 11.47 8.97 0.57 -12.83 -26.53 -23.63
-36.33 -30.43 -29.43 -18.03 -7.73 6.07 11.07 8.17 0.67 -16.13 -27.73 -37.13
-40.23 -37.83 -34.03 -22.23 -6.23 7.87 14.27 9.77 1.37 -9.93 -28.93 -35.33
-27.63 -32.73 -35.13 -21.43 -5.53 5.77 12.87 8.17 2.17 -14.13 -28.43 -24.53
-34.53 -26.83 -23.43 -10.83 -5.33 5.77 10.97 9.27 1.97 -9.83 -25.93 -35.03
-29.23 -30.73 -26.33 -17.93 -7.73 2.67 11.37 8.27 1.77 -12.83 -25.43 -27.93
-32.53 -30.03 -31.23 -16.83 -6.53 7.97 12.77 9.87 2.47 -9.43 -28.13 -33.43
-36.09 -30.79 -26.49 -18.79 -7.49 4.21 12.01 9.51 0.71 -13.39 -25.89 -31.59
-33.79 -32.19 -27.09 -18.69 -7.89 3.61 12.51 9.51 1.51 -13.79 -29.29 -31.09
-34.39 -29.69 -27.59 -18.39 -7.49 3.81 13.01 8.91 1.71 -12.39 -26.39 -31.29
-33.79 -33.69 -26.59 -17.69 -7.19 5.31 13.01 10.31 1.01 -11.79 -25.69 -30.29
-33.59 -30.89 -27.29 -17.99 -7.19 3.81 13.31 9.21 1.71 -12.69 -26.59 -29.89
-34.09 -32.09 -26.69 -17.29 -7.39 5.61 12.71 9.61 1.81 -11.99 -27.39 -28.69
-34.09 -32.39 -27.09 -17.99 -7.49 4.91 12.91 9.61 1.61 -12.69 -26.59 -29.89
-34.09 -32.39 -27.09 -17.99 -7.19 5.81 13.11 10.01 1.71 -12.39 -26.79 -32.29
-35.69 -31.09 -28.69 -19.09 -8.39 4.81 13.21 9.61 1.11 -12.89 -25.99 -30.09
-34.19 -30.29 -28.79 -19.09 -7.29 4.51 12.81 9.81 1.71 -13.09 -28.09 -32.09
-34.49 -31.99 -28.39 -17.99 -7.39 4.71 13.11 9.71 1.61 -12.09 -27.19 -31.19
-32.99 -32.49 -29.69 -17.19 -7.49 4.41 12.41 9.61 1.61 -14.29 -26.79 -30.79
-35.59 -33.29 -25.99 -18.59 -7.69 5.21 12.41 9.41 1.61 -12.69 -26.79 -27.89
-32.59 -31.09 -27.99 -17.79 -7.19 4.61 12.11 10.11 1.71 -12.79 -26.69 -30.09
-34.09 -34.29 -27.79 -17.59 -6.69 5.91 13.61 10.01 1.41 -13.69 -26.59 -31.79
-35.7 -35.4 -27.2 -16 -7.5 4.8 13.8 8.3 -1 -11.5 -28.6 -35.2
-34.3 -35.6 -25.2 -15.7 -3.8 6.3 13.9 9.7 1.2 -5 -25.7 -28.7
-30.9 -34 -25 -18.3 -6.3 5 13.6 10.3 4.1 -7.1 -17.9 -30.8
-29.8 -31.2 -24.4 -15.4 -6.2 3.6 11.6 9.4 3.4 -7.8 -30.1 -25.3
-36.9 -34.7 -27.6 -18.7 -5.4 6.1 12 8.4 1.4 -12.2 -28.7 -30.8
-36.9 -36.6 -30.4 -18 -6.4 3.9 12 8.6 3.7 -7.7 -25.3 -27
-35.9 -29.5 -30.5 -19.1 -7.1 5 11.8 9.1 3.8 -14.6 -28.5 -34.3
-34.6 -28.7 -25.2 -13.1 -4.7 6.4 16.2 8.3 1.2 -10.8 -23.6 -26.5
-35.8 -34.2 -27.5 -16.5 -7.2 7.4 13.1 11.8 0.2 -10 -24 -25.2
-24.1 -37.1 -33 -18 -8.2 5.9 14.1 10.2 1 -12.4 -29.1 -37.2
-35.3 -26.6 -25.9 -20.8 -9.2 6.8 14 8.4 2 -16.7 -19.7 -25.3
-31.6 -34.4 -28.6 -19.4 -6.1 7.2 13 10.7 -2.1 -16.2 -33.2 -34.8
-33.6 -34.8 -32 -21.2 -8.5 2.9 14.1 7.8 -0.1 -15.9 -31.7 -37.8
-37.7 -31 -22.7 -18.7 -7.9 8.6 13.6 11.3 2.9 -11.9 -23 -31
-36.1 -37.5 -32.1 -19 -6.4 7.3 11.5 7.8 0.7 -14.8 -29.6 -25.7
-38.84 -28.84 -29.54 -20.44 -8.34 3.66 11.36 9.16 1.96 -10.24 -24.84 -29.44
-33.14 -30.74 -28.34 -16.04 -6.74 5.06 13.56 9.36 2.76 -12.64 -28.84 -33.54
-28.84 -31.24 -29.74 -17.74 -11.84 1.46 9.86 8.96 -2.24 -12.24 -30.84 -31.84
-30.54 -20.64 -26.04 -19.84 -7.54 4.26 10.96 8.36 -0.34 -10.84 -25.24 -33.14
-36.74 -24.24 -32.04 -23.14 -3.94 5.16 11.76 9.26 0.86 -15.24 -27.64 -29.94
-40.44 -35.34 -28.44 -15.54 -6.94 3.56 13.36 7.86 3.76 -12.54 -27.54 -26.24
-25.44 -29.24 -34.34 -19.54 -5.74 4.76 11.86 5.96 1.46 -13.64 -24.54 -30.34
-27.34 -33.44 -25.44 -14.64 -6.94 5.16 11.46 9.76 2.46 -15.14 -22.94 -30.14
-37.14 -28.04 -27.54 -20.34 -10.14 5.46 11.46 8.96 0.56 -12.84 -26.54 -23.64
-36.34 -30.44 -29.44 -18.04 -7.74 6.06 11.06 8.16 0.66 -16.14 -27.74 -37.14
-40.24 -37.84 -34.04 -22.24 -6.24 7.86 14.26 9.76 1.36 -9.94 -28.94 -35.34
-27.64 -32.74 -35.14 -21.44 -5.54 5.76 12.86 8.16 2.16 -14.14 -28.44 -24.54
-34.54 -26.84 -23.44 -10.84 -5.34 5.76 10.96 9.26 1.96 -9.84 -25.94 -35.04
-29.24 -30.74 -26.34 -17.94 -7.74 2.66 11.36 8.26 1.76 -12.84 -25.44 -27.94
-32.54 -30.04 -31.24 -16.84 -6.54 7.96 12.76 9.86 2.46 -9.44 -28.14 -33.44
-33.67 -32.57 -28.57 -18.47 -8.47 4.13 11.83 9.33 2.13 -12.27 -28.27 -32.97
-35.17 -35.27 -29.27 -19.17 -5.77 5.03 13.23 7.93 0.53 -14.77 -28.17 -28.37
-34.17 -31.37 -27.97 -18.47 -9.57 4.33 13.13 9.33 2.13 -13.77 -26.07 -30.77
-35.57 -34.97 -29.57 -18.17 -7.67 4.03 11.83 11.93 3.13 -10.17 -28.47 -31.97
