"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
13.83 13.83 14.83 14.83 16.83 31.83 33.83 33.83 33.83 26.83 17.83 19.83
13.83 13.83 14.83 14.83 16.83 31.83 33.83 33.83 33.83 26.83 17.83 19.83
13.83 13.83 14.83 14.83 16.83 31.83 33.83 33.83 33.83 26.83 17.83 19.83
13.83 13.83 14.83 14.83 16.83 31.83 33.83 33.83 33.83 26.83 17.83 19.83
13.83 13.83 14.83 14.83 16.83 31.83 33.83 33.83 33.83 26.83 17.83 19.83
10.57 10.07 26.27 11.57 23.97 23.47 58.87 8.47 41.77 37.37 15.97 5.17
25.07 19.97 15.27 21.17 21.57 25.37 29.47 20.97 27.27 28.77 9.47 8.07
10.87 25.07 17.47 14.17 14.87 18.07 65.97 23.67 22.67 31.57 29.97 14.87
13.97 31.27 27.37 9.07 30.27 83.37 24.87 37.47 35.67 41.37 7.17 27.47
22.87 3.47 13.77 10.67 15.27 51.67 21.77 21.87 29.27 23.17 5.97 17.57
14.47 9.57 6.07 12.77 33.57 52.37 58.87 23.77 47.77 24.27 16.97 28.37
17.47 17.97 13.47 19.37 11.47 19.27 12.87 44.97 38.57 21.97 31.67 22.37
7.57 9.87 19.97 17.07 11.07 31.67 57.07 43.07 22.37 36.47 4.37 30.87
11.77 13.57 9.17 15.47 10.77 37.87 34.37 21.87 27.77 10.77 19.87 25.77
7.47 1.87 9.07 5.67 15.47 41.67 79.07 34.17 43.47 31.97 17.07 13.27
14.07 8.77 4.27 15.97 7.87 22.17 34.47 47.57 25.77 31.37 30.07 27.87
29.07 15.87 6.37 7.37 22.57 10.27 7.77 48.37 27.97 23.77 15.57 12.57
16.77 24.67 20.27 11.27 11.97 25.67 30.37 57.67 24.17 39.67 22.47 9.47
9.67 6.77 15.77 14.97 11.27 22.37 27.07 43.77 41.47 15.67 31.07 14.87
7.17 9.67 6.77 15.87 22.17 27.37 35.67 10.57 29.37 21.67 15.47 21.97
23.09 11.99 10.99 14.89 10.09 16.39 28.49 28.69 29.89 42.29 18.79 20.99
11.69 11.29 9.39 30.09 11.49 25.49 49.39 17.09 31.69 17.89 24.69 31.29
9.99 17.79 12.29 8.69 12.89 13.89 24.59 29.49 27.89 15.19 17.59 6.09
7.89 12.89 4.79 6.49 12.89 20.39 13.29 22.79 35.59 17.59 20.79 18.39
10.69 12.59 10.59 10.69 26.19 50.79 19.19 47.69 49.39 47.39 7.09 12.19
22.59 13.49 17.29 20.79 17.09 52.79 8.49 22.49 26.89 14.79 17.69 29.79
7.59 13.29 10.69 23.79 8.89 45.19 39.99 14.59 48.79 25.59 5.69 14.69
17.59 11.39 9.49 12.29 16.69 16.79 37.99 20.39 34.99 14.69 18.79 17.09
16.79 18.19 11.09 10.89 17.49 21.89 18.69 53.59 51.59 26.39 15.09 64.09
