"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-29.01 -34.61 -27.71 -14.21 -8.71 4.49 10.29 7.99 1.89 -15.51 -27.21 -35.31
-32.81 -36.21 -31.01 -16.21 -4.91 5.09 11.29 7.19 0.69 -18.11 -27.11 -32.21
-38.61 -31.61 -30.11 -19.21 -8.11 4.79 12.99 9.59 1.09 -10.11 -20.61 -36.71
-42.41 -43.21 -32.01 -21.51 -9.51 6.69 14.29 8.29 0.29 -15.41 -28.61 -29.21
-35.31 -32.31 -28.91 -17.31 -7.41 3.49 12.79 10.69 1.39 -9.81 -31.91 -28.81
-24.31 -30.91 -28.91 -16.51 -8.61 5.19 11.89 9.49 -0.21 -15.01 -21.41 -29.61
-37.01 -29.41 -30.41 -14.71 -8.41 3.79 12.49 10.49 1.09 -18.61 -29.91 -30.71
-31.21 -30.81 -24.71 -21.01 -7.41 4.99 11.59 10.89 2.69 -11.31 -19.51 -29.81
-27.71 -30.81 -27.51 -23.41 -6.91 5.89 15.99 8.69 3.39 -12.81 -28.41 -28.21
-36.91 -32.81 -27.91 -18.51 -8.41 6.79 11.49 8.99 2.09 -10.71 -22.11 -28.91
-35.01 -30.01 -28.11 -20.31 -7.61 4.49 13.89 8.29 0.39 -9.91 -24.11 -33.41
-38.31 -34.11 -29.61 -18.01 -7.71 1.99 12.69 9.19 1.19 -11.71 -30.41 -32.91
-31.41 -31.71 -27.91 -22.31 -6.11 6.19 11.79 8.39 1.99 -13.41 -26.11 -23.51
-34.41 -27.71 -24.31 -19.61 -5.61 1.99 10.29 7.49 -0.41 -13.51 -31.41 -29.01
-36.01 -31.71 -20.31 -14.01 -5.21 7.59 12.79 8.89 1.49 -13.31 -31.51 -33.01
-39.53 -28.63 -30.23 -21.03 -8.53 3.37 11.17 8.77 1.87 -10.43 -24.83 -29.63
-33.63 -31.13 -28.73 -16.33 -6.93 4.87 13.47 9.17 2.67 -12.93 -29.23 -34.23
-29.03 -31.43 -30.23 -18.13 -12.03 1.27 9.57 8.47 -2.43 -12.63 -31.33 -32.23
-30.93 -21.13 -26.43 -20.33 -7.73 3.97 10.77 7.97 -0.53 -11.23 -25.63 -33.43
-37.13 -24.63 -32.73 -23.73 -4.13 4.87 11.57 8.97 0.67 -15.43 -27.93 -30.33
-40.83 -35.73 -28.93 -16.03 -7.23 3.37 13.07 7.47 3.57 -12.83 -27.73 -26.63
-25.63 -29.43 -34.83 -19.93 -5.93 4.47 11.57 5.57 1.27 -14.03 -24.73 -30.43
-27.43 -33.73 -25.93 -15.13 -7.23 4.87 11.17 9.47 2.27 -15.63 -23.53 -30.53
-37.43 -28.63 -28.03 -21.03 -10.43 5.07 11.27 8.57 0.37 -13.23 -26.83 -24.13
-36.53 -31.03 -30.03 -18.53 -8.03 5.87 10.87 7.77 0.57 -16.43 -28.13 -37.53
