"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
17.97 10.07 9.17 12.67 9.17 15.57 28.37 32.67 29.07 38.87 22.27 17.47
10.27 8.77 7.57 24.47 10.77 23.47 45.47 14.57 31.37 16.27 26.77 25.47
8.47 14.97 10.87 7.67 10.67 13.07 25.37 30.57 25.07 14.17 17.07 5.57
7.17 11.07 5.27 4.87 13.37 18.37 11.37 22.27 33.87 15.77 23.57 20.27
7.97 10.27 9.27 8.77 22.07 46.77 23.27 44.67 47.77 40.87 8.57 10.67
19.07 12.57 14.07 17.37 15.47 52.57 7.37 21.87 29.17 16.57 18.67 27.47
5.67 11.87 9.67 20.37 7.57 40.87 34.17 16.27 50.07 23.67 4.47 14.07
14.97 8.67 7.97 10.77 14.57 15.17 34.77 22.17 34.07 14.37 19.27 15.17
13.87 17.17 8.87 8.47 14.77 21.07 17.27 52.37 44.77 21.77 14.07 53.27
6.97 9.77 39.97 17.17 8.47 14.47 23.27 53.47 37.57 17.07 24.87 8.07
15.47 24.97 8.47 11.17 19.77 40.27 26.57 35.07 22.67 18.67 27.37 7.87
6.67 11.67 23.27 7.57 24.17 32.27 24.07 20.27 6.97 40.47 33.87 18.27
18.67 13.47 13.87 11.67 6.67 44.07 42.67 71.17 70.77 26.37 10.07 22.87
7.67 7.27 20.77 24.47 16.47 30.57 53.47 62.17 43.67 25.27 20.37 13.17
7.67 9.07 18.27 21.77 21.87 32.17 29.57 44.37 8.17 22.47 7.37 22.27
10.83 10.83 11.83 11.83 13.83 29.83 31.83 33.83 31.83 23.83 17.83 16.83
10.83 10.83 11.83 11.83 13.83 29.83 31.83 33.83 31.83 23.83 17.83 16.83
10.83 7.63 1.83 4.53 11.43 27.83 8.33 24.33 31.83 23.83 17.83 16.83
5.63 8.13 2.93 3.83 9.33 35.63 10.93 31.53 5.73 34.13 11.73 4.53
7.83 15.83 2.13 3.53 5.53 41.63 97.23 42.43 14.53 19.93 13.33 3.73
0.43 4.23 5.63 5.93 17.53 47.03 30.23 29.03 29.03 31.93 15.83 20.13
12.13 9.53 3.93 6.23 12.43 21.43 31.03 84.83 23.13 33.83 10.73 5.43
6.03 8.13 4.93 7.43 11.23 16.93 40.23 53.93 20.13 14.43 9.93 6.13
4.53 8.63 7.53 6.53 5.93 46.83 33.73 59.03 66.23 18.33 12.93 17.43
12.63 5.83 9.33 16.33 22.63 42.73 23.43 39.53 34.63 26.63 10.73 5.23
1.93 6.73 1.03 20.63 17.13 60.43 69.43 56.23 43.83 41.03 23.73 0.93
26.13 21.83 2.83 8.43 17.13 44.73 76.33 61.63 40.53 22.93 9.93 15.33
11.43 13.63 4.33 11.73 24.23 22.13 37.33 75.23 48.53 18.73 8.43 9.13
13.73 5.23 5.43 11.63 21.93 26.13 30.43 49.13 36.53 34.93 19.23 14.63
11.53 13.73 9.33 9.93 21.63 25.93 30.53 44.43 29.43 21.13 17.63 17.83
11.39 11.39 12.39 12.39 14.39 30.39 32.39 34.39 32.39 24.39 18.39 17.39
11.39 11.39 12.39 12.39 14.39 30.39 32.39 34.39 32.39 24.39 18.39 17.39
11.39 11.39 12.39 12.39 14.39 30.39 32.39 34.39 32.39 24.39 18.39 17.39
11.39 11.39 12.39 12.39 14.39 30.39 32.39 34.39 32.39 24.39 18.39 17.39
11.39 11.39 12.39 12.39 14.39 30.39 32.39 34.39 32.39 24.39 18.39 17.39
8.69 14.49 13.69 30.79 29.09 8.79 58.99 54.89 36.79 24.39 21.09 17.39
11.39 11.39 12.39 12.39 14.39 30.39 32.39 34.39 32.39 24.39 18.39 17.39
6.19 11.39 1.69 8.49 22.29 33.89 23.79 12.79 23.79 26.09 6.79 8.69
11.39 5.69 7.69 8.49 16.99 22.29 53.49 80.49 27.09 22.59 11.39 27.19
11.39 11.39 12.39 12.39 14.39 30.39 32.39 34.39 32.39 24.39 18.39 17.39
11.39 11.39 12.39 12.39 14.39 30.39 32.39 34.39 32.39 24.39 18.39 17.39
11.39 11.39 12.39 12.39 14.39 30.39 32.39 34.39 32.39 24.39 18.39 17.39
11.39 11.39 12.39 12.39 14.39 30.39 32.39 34.39 32.39 24.39 18.39 17.39
11.39 11.39 12.39 12.39 14.39 30.39 32.39 34.39 32.39 24.39 18.39 17.39
11.39 11.39 12.39 12.39 14.39 30.39 32.39 34.39 32.39 24.39 18.39 17.39
6.95 9.75 9.75 12.65 12.25 31.55 26.85 34.65 43.65 15.15 13.55 11.55
4.85 2.75 2.65 10.25 20.75 58.55 35.65 45.75 29.85 29.15 6.15 9.95
12.75 5.85 4.45 7.25 27.75 16.35 40.05 47.75 21.55 33.35 10.15 4.55
6.75 8.45 12.75 5.05 19.95 26.05 34.45 33.05 18.25 38.25 16.35 24.85
4.95 8.55 6.75 3.15 10.45 85.35 45.05 32.85 16.65 48.85 23.25 17.25
9.55 3.35 5.45 9.05 16.65 32.85 56.15 74.35 22.05 25.35 14.75 12.45
