"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-34.17 -31.47 -28.07 -17.07 -6.57 5.23 13.73 10.13 2.13 -11.37 -26.87 -31.27
-32.27 -32.17 -29.67 -16.17 -6.77 4.83 12.83 10.03 2.13 -14.17 -26.37 -30.67
-35.57 -33.07 -24.97 -17.97 -7.07 5.93 12.83 9.73 2.13 -12.17 -26.27 -27.07
-31.87 -30.27 -27.57 -16.97 -6.37 5.13 12.43 10.73 2.23 -12.27 -26.17 -29.77
-33.67 -34.37 -27.27 -16.67 -5.77 6.73 14.23 10.53 1.83 -13.47 -26.07 -31.87
-36.28 -30.08 -25.68 -18.28 -6.88 4.62 12.22 9.82 0.92 -13.18 -25.28 -31.78
-33.38 -31.88 -26.48 -18.18 -7.38 3.72 12.82 9.82 1.92 -13.78 -29.58 -31.18
-34.18 -28.68 -27.18 -17.78 -6.88 4.02 13.42 9.12 2.12 -11.98 -25.98 -31.38
-33.38 -33.68 -25.88 -16.88 -6.48 5.92 13.42 10.82 1.22 -11.08 -24.98 -30.18
-33.18 -30.18 -26.78 -17.28 -6.48 4.02 13.82 9.42 2.22 -12.28 -26.18 -29.68
-33.78 -31.68 -25.98 -16.38 -6.68 6.22 13.02 9.92 2.32 -11.48 -27.18 -28.18
-33.78 -32.08 -26.48 -17.28 -6.88 5.42 13.32 9.92 2.02 -12.28 -26.18 -29.68
-33.78 -32.08 -26.48 -17.28 -6.48 6.52 13.52 10.42 2.12 -11.88 -26.38 -32.68
-35.78 -30.38 -28.48 -18.58 -7.98 5.22 13.72 9.92 1.42 -12.48 -25.38 -29.98
-33.88 -29.48 -28.58 -18.68 -6.68 5.02 13.22 10.12 2.22 -12.78 -28.08 -32.38
-34.28 -31.58 -28.18 -17.18 -6.68 5.12 13.62 10.02 2.02 -11.48 -26.98 -31.38
-32.38 -32.28 -29.78 -16.28 -6.88 4.72 12.72 9.92 2.02 -14.28 -26.48 -30.78
-35.68 -33.18 -25.08 -18.08 -7.18 5.82 12.72 9.62 2.02 -12.28 -26.38 -27.18
-31.98 -30.38 -27.68 -17.08 -6.48 5.02 12.32 10.62 2.12 -12.38 -26.28 -29.88
-33.78 -34.48 -27.38 -16.78 -5.88 6.62 14.12 10.42 1.72 -13.58 -26.18 -31.98
-33.14 -32.24 -28.24 -17.84 -8.04 4.46 12.06 9.66 2.76 -11.74 -28.24 -33.54
-34.64 -34.44 -28.44 -18.24 -5.34 5.56 13.46 8.36 1.16 -14.14 -27.54 -28.34
-33.54 -31.14 -27.24 -17.74 -8.74 4.86 13.56 9.76 2.56 -13.24 -25.74 -30.94
-35.44 -34.44 -28.74 -17.44 -7.14 4.66 12.36 12.06 3.46 -9.94 -27.94 -31.64
-31.14 -28.54 -23.14 -17.64 -7.54 4.76 12.16 10.56 1.06 -13.44 -26.44 -33.24
-32.04 -31.64 -25.64 -18.04 -8.44 4.86 13.96 8.76 1.66 -10.84 -24.34 -31.04
-32.54 -36.84 -23.94 -18.44 -5.64 6.86 14.16 10.26 1.46 -13.34 -26.24 -28.94
-33.34 -30.64 -28.74 -18.34 -8.54 5.76 13.46 11.86 3.46 -11.34 -26.34 -29.74
-35.54 -30.74 -24.94 -18.24 -5.44 4.86 15.26 10.26 2.46 -10.44 -22.54 -29.84
-29.44 -31.14 -28.84 -17.74 -7.84 4.06 11.36 8.56 1.46 -11.24 -25.44 -30.74
-32.04 -34.74 -22.74 -16.54 -9.54 3.86 12.76 10.76 0.96 -10.44 -26.04 -30.34
-35.84 -28.34 -27.94 -17.14 -4.54 5.86 11.16 9.36 3.06 -11.04 -29.24 -32.34
-32.64 -29.64 -28.64 -18.04 -7.34 5.06 13.76 11.16 2.46 -11.94 -24.14 -28.84
-36.14 -31.84 -26.84 -17.64 -8.54 3.46 15.16 9.06 2.56 -7.94 -23.34 -31.94
-27.14 -36.44 -26.84 -20.24 -6.94 6.16 12.96 7.16 1.36 -13.44 -18.64 -32.44
-35.83 -35.33 -26.93 -15.73 -7.23 5.07 14.17 8.27 -1.03 -11.23 -28.73 -35.93
-34.73 -35.43 -24.83 -15.23 -3.13 6.57 14.27 9.47 1.27 -4.63 -25.73 -28.83
-30.63 -33.63 -24.53 -17.83 -6.03 5.27 13.97 10.17 4.37 -6.93 -17.73 -30.73
-29.33 -30.63 -23.73 -14.93 -5.73 3.57 11.87 9.37 3.77 -7.43 -30.23 -25.03
-36.73 -34.53 -27.53 -18.43 -4.93 6.57 12.17 8.37 1.57 -12.23 -29.33 -30.83
-36.53 -37.33 -30.63 -17.83 -6.23 3.97 11.87 8.17 3.97 -7.63 -25.43 -26.53
-35.83 -29.43 -30.73 -18.83 -6.93 5.27 11.67 8.87 3.87 -15.23 -29.33 -35.23
-34.43 -28.63 -24.83 -12.63 -4.63 6.77 16.47 7.97 1.27 -10.93 -23.93 -26.73
-36.03 -34.83 -26.63 -16.23 -7.33 7.97 12.97 11.97 0.07 -10.23 -24.33 -25.73
-23.63 -37.53 -33.03 -17.33 -7.73 6.37 14.37 10.07 0.87 -12.23 -28.73 -37.93
-35.43 -27.03 -26.13 -20.43 -8.93 7.17 14.67 8.37 2.17 -16.43 -19.53 -25.93
-31.23 -34.83 -28.03 -19.13 -5.73 7.97 13.37 10.57 -1.93 -16.33 -33.63 -34.73
-33.13 -34.63 -32.03 -21.13 -8.13 3.07 14.47 7.47 -0.03 -15.83 -31.43 -38.33
-37.33 -30.63 -22.13 -18.43 -7.93 9.37 13.57 11.37 3.17 -12.03 -23.73 -31.83
-36.53 -37.53 -31.93 -18.63 -6.03 7.67 11.57 7.77 1.07 -14.73 -30.13 -25.33
-35.69 -35.19 -26.79 -15.59 -7.09 5.21 14.31 8.41 -0.89 -11.09 -28.59 -35.79
-34.59 -35.29 -24.69 -15.09 -2.99 6.71 14.41 9.61 1.41 -4.49 -25.59 -28.69
-30.49 -33.49 -24.39 -17.69 -5.89 5.41 14.11 10.31 4.51 -6.79 -17.59 -30.59
-29.19 -30.49 -23.59 -14.79 -5.59 3.71 12.01 9.51 3.91 -7.29 -30.09 -24.89
-36.59 -34.39 -27.39 -18.29 -4.79 6.71 12.31 8.51 1.71 -12.09 -29.19 -30.69
-36.39 -37.19 -30.49 -17.69 -6.09 4.11 12.01 8.31 4.11 -7.49 -25.29 -26.39
-35.69 -29.29 -30.59 -18.69 -6.79 5.41 11.81 9.01 4.01 -15.09 -29.19 -35.09
-34.29 -28.49 -24.69 -12.49 -4.49 6.91 16.61 8.11 1.41 -10.79 -23.79 -26.59
