"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-31.17 -28.47 -25.07 -14.07 -3.57 8.23 16.73 13.13 5.13 -8.37 -23.87 -28.27
-29.27 -29.17 -26.67 -13.17 -3.77 7.83 15.83 13.03 5.13 -11.17 -23.37 -27.67
-32.57 -30.07 -21.97 -14.97 -4.07 8.93 15.83 12.73 5.13 -9.17 -23.27 -24.07
-28.87 -27.27 -24.57 -13.97 -3.37 8.13 15.43 13.73 5.23 -9.27 -23.17 -26.77
-30.67 -31.37 -24.27 -13.67 -2.77 9.73 17.23 13.53 4.83 -10.47 -23.07 -28.87
-36.05 -30.55 -19.05 -13.95 -4.45 7.05 14.45 11.25 6.45 -9.05 -22.15 -31.25
-27.95 -26.35 -23.15 -12.75 -5.55 7.35 16.45 13.95 5.65 -8.55 -26.15 -32.25
-28.85 -27.35 -24.15 -16.75 -5.55 7.85 15.85 13.45 4.15 -7.35 -21.15 -30.05
-30.85 -20.35 -28.75 -17.25 -6.05 7.15 16.95 13.05 6.55 -8.85 -23.45 -26.35
-32.85 -33.75 -22.65 -13.45 -5.05 5.05 17.85 14.45 5.15 -8.45 -27.55 -27.15
-34.05 -36.85 -29.45 -17.45 -3.25 7.45 15.05 12.55 5.15 -11.85 -26.05 -19.45
-30.35 -29.75 -23.15 -12.35 -4.15 10.25 19.35 12.35 4.85 -1.75 -14.85 -19.75
-29.75 -25.45 -15.85 -11.15 -4.15 7.25 16.25 11.75 4.15 -9.15 -32.55 -32.25
-32.85 -36.55 -26.05 -16.25 -3.55 8.95 18.95 13.35 2.75 -10.25 -18.75 -23.85
-30.05 -31.45 -22.65 -16.25 -6.15 7.15 17.75 10.65 5.25 -10.85 -20.85 -25.85
-30.95 -30.05 -23.45 -15.85 -2.95 8.45 17.55 16.05 6.55 -8.95 -16.25 -23.45
-32.55 -29.75 -25.05 -11.95 -5.45 9.45 15.65 12.15 2.65 -8.45 -27.75 -28.35
-29.25 -24.55 -20.15 -16.05 -3.35 7.45 16.25 14.25 5.55 -9.95 -25.25 -29.55
-35.65 -31.55 -21.05 -12.55 -4.15 7.25 13.45 13.05 5.35 -14.85 -30.05 -28.35
-27.15 -27.95 -22.45 -12.95 -1.65 11.05 16.85 12.65 5.95 -8.55 -22.15 -19.45
-26.1 -31.5 -24.9 -10.6 -4.9 8.4 13.9 11.3 5.3 -12.4 -23.7 -32.4
-29.8 -33 -26.9 -12.1 -1.1 8.7 14.7 10.7 4.2 -15 -22.9 -29.4
-35 -26 -25.8 -15 -3.9 8.4 16.8 13.4 4.2 -6.2 -16 -33.3
-39.5 -39.7 -28 -16.9 -5.8 11.3 18.1 11.9 3.9 -12 -24.5 -25.6
-32.1 -28.9 -25.7 -13.4 -4.4 7.1 16.7 14.8 5.2 -5.8 -27.9 -25
-19.7 -27.2 -24.3 -11.8 -4.9 9.1 15.5 13 3.2 -11.3 -18 -25.4
-33.6 -24.9 -27 -10.7 -4.7 7.6 15.8 14.1 4.1 -15.3 -26 -27
-27.4 -27 -20.5 -17 -3.8 9.1 15 14.5 6.5 -7.6 -15.3 -25.7
-24.5 -27.9 -23.8 -19.7 -2.6 10 20.1 12.2 6.8 -9.7 -25.7 -25.4
-33.5 -30.4 -24.2 -13.8 -4.3 11.1 15 12.4 5.3 -7 -18.7 -26.3
-30.9 -25.1 -24.8 -16.3 -3.9 8 17.8 12.2 4.1 -5.9 -19.8 -29.9
-35.1 -30.1 -25.7 -14.4 -4.2 5 16.2 12.9 5 -8.3 -27.6 -29.3
-27.5 -29.1 -23.7 -18.3 -2.5 9.9 15.1 12.1 6.2 -9.1 -21.3 -19
-30.1 -23.4 -19.8 -15.8 -2.1 5.1 13.5 11 2.6 -9.6 -27.1 -25
-33.1 -28.3 -15.3 -10.3 -1.2 11.8 16.6 12.4 5 -9.3 -27.7 -29
-26.2 -31.6 -25 -10.7 -5 8.3 13.8 11.2 5.2 -12.5 -23.8 -32.5
-29.9 -33.1 -27 -12.2 -1.2 8.6 14.6 10.6 4.1 -15.1 -23 -29.5
-35.1 -26.1 -25.9 -15.1 -4 8.3 16.7 13.3 4.1 -6.3 -16.1 -33.4
-39.6 -39.8 -28.1 -17 -5.9 11.2 18 11.8 3.8 -12.1 -24.6 -25.7
-32.2 -29 -25.8 -13.5 -4.5 7 16.6 14.7 5.1 -5.9 -28 -25.1
-19.8 -27.3 -24.4 -11.9 -5 9 15.4 12.9 3.1 -11.4 -18.1 -25.5
-33.7 -25 -27.1 -10.8 -4.8 7.5 15.7 14 4 -15.4 -26.1 -27.1
-27.5 -27.1 -20.6 -17.1 -3.9 9 14.9 14.4 6.4 -7.7 -15.4 -25.8
-24.6 -28 -23.9 -19.8 -2.7 9.9 20 12.1 6.7 -9.8 -25.8 -25.5
-33.6 -30.5 -24.3 -13.9 -4.4 11 14.9 12.3 5.2 -7.1 -18.8 -26.4
-31 -25.2 -24.9 -16.4 -4 7.9 17.7 12.1 4 -6 -19.9 -30
-35.2 -30.2 -25.8 -14.5 -4.3 4.9 16.1 12.8 4.9 -8.4 -27.7 -29.4
-27.6 -29.2 -23.8 -18.4 -2.6 9.8 15 12 6.1 -9.2 -21.4 -19.1
-30.2 -23.5 -19.9 -15.9 -2.2 5 13.4 10.9 2.5 -9.7 -27.2 -25.1
-33.2 -28.4 -15.4 -10.4 -1.3 11.7 16.5 12.3 4.9 -9.4 -27.8 -29.1
-30.16 -29.26 -25.26 -14.86 -5.06 7.44 15.04 12.64 5.74 -8.76 -25.26 -30.56
-31.66 -31.46 -25.46 -15.26 -2.36 8.54 16.44 11.34 4.14 -11.16 -24.56 -25.36
-30.56 -28.16 -24.26 -14.76 -5.76 7.84 16.54 12.74 5.54 -10.26 -22.76 -27.96
-32.46 -31.46 -25.76 -14.46 -4.16 7.64 15.34 15.04 6.44 -6.96 -24.96 -28.66
-28.16 -25.56 -20.16 -14.66 -4.56 7.74 15.14 13.54 4.04 -10.46 -23.46 -30.26
