"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
11.4 11.4 13.4 12.4 15.4 30.4 31.4 33.4 31.4 25.4 17.4 17.4
11.4 11.4 13.4 12.4 15.4 30.4 31.4 33.4 31.4 25.4 17.4 17.4
11.4 11.4 13.4 12.4 15.4 30.4 31.4 33.4 31.4 25.4 17.4 17.4
11.4 11.4 13.4 12.4 15.4 30.4 31.4 33.4 31.4 25.4 17.4 17.4
11.4 11.4 13.4 12.4 15.4 30.4 31.4 33.4 31.4 25.4 17.4 17.4
11.39 11.39 13.39 12.39 15.39 30.39 31.39 33.39 31.39 25.39 17.39 17.39
11.39 11.39 13.39 12.39 15.39 30.39 31.39 33.39 31.39 25.39 17.39 17.39
11.39 11.39 13.39 12.39 15.39 30.39 31.39 33.39 31.39 25.39 17.39 17.39
11.39 11.39 13.39 12.39 15.39 30.39 31.39 33.39 31.39 25.39 17.39 17.39
11.39 11.39 13.39 12.39 15.39 30.39 31.39 33.39 31.39 25.39 17.39 17.39
8.69 14.49 14.79 30.79 31.09 8.79 57.19 53.29 35.69 25.39 19.89 17.39
11.39 11.39 13.39 12.39 15.39 30.39 31.39 33.39 31.39 25.39 17.39 17.39
6.19 11.39 1.89 8.49 23.79 33.89 23.09 12.39 23.09 27.19 6.39 8.69
11.39 5.69 8.39 8.49 18.09 22.39 51.89 78.19 26.29 23.49 10.79 27.19
11.39 11.39 13.39 12.39 15.39 30.39 31.39 33.39 31.39 25.39 17.39 17.39
11.39 11.39 13.39 12.39 15.39 30.39 31.39 33.39 31.39 25.39 17.39 17.39
11.39 11.39 13.39 12.39 15.39 30.39 31.39 33.39 31.39 25.39 17.39 17.39
11.39 11.39 13.39 12.39 15.39 30.39 31.39 33.39 31.39 25.39 17.39 17.39
11.39 11.39 13.39 12.39 15.39 30.39 31.39 33.39 31.39 25.39 17.39 17.39
11.39 11.39 13.39 12.39 15.39 30.39 31.39 33.39 31.39 25.39 17.39 17.39
12.23 12.23 14.23 13.23 16.23 31.23 32.23 34.23 32.23 26.23 18.23 18.23
12.23 12.23 14.23 13.23 16.23 31.23 32.23 34.23 32.23 26.23 18.23 18.23
12.23 12.23 14.23 13.23 16.23 31.23 32.23 34.23 32.23 26.23 18.23 18.23
12.23 12.23 14.23 13.23 16.23 31.23 32.23 34.23 32.23 26.23 18.23 18.23
12.23 12.23 14.23 13.23 16.23 31.23 32.23 34.23 32.23 26.23 18.23 18.23
12.23 12.23 14.23 13.23 16.23 31.23 32.23 34.23 32.23 26.23 18.23 18.23
12.23 12.23 14.23 13.23 16.23 31.23 32.23 34.23 32.23 26.23 18.23 18.23
12.23 12.23 14.23 13.23 16.23 31.23 32.23 34.23 32.23 26.23 18.23 18.23
12.23 12.23 14.23 13.23 16.23 31.23 32.23 34.23 32.23 26.23 18.23 18.23
12.23 12.23 14.23 13.23 16.23 31.23 32.23 34.23 32.23 26.23 18.23 18.23
12.23 12.23 14.23 13.23 16.23 31.23 32.23 34.23 32.23 26.23 18.23 18.23
12.23 12.23 14.23 13.23 16.23 31.23 32.23 34.23 32.23 26.23 18.23 18.23
12.23 12.23 14.23 13.23 16.23 31.23 32.23 34.23 32.23 26.23 18.23 18.23
2.83 4.03 7.83 8.03 5.83 20.03 24.83 42.23 22.73 24.33 17.53 4.83
14.83 2.83 4.13 8.03 11.73 33.73 25.73 34.23 32.23 26.23 18.23 18.23
8.55 9.95 11.75 13.05 13.25 29.95 24.05 38.45 42.75 15.85 11.85 8.95
6.25 3.45 4.15 8.85 18.35 59.85 37.15 45.25 26.25 33.65 6.55 10.15
12.15 5.85 4.15 7.35 31.25 12.45 35.75 45.75 24.75 35.55 11.85 4.35
7.05 7.35 12.85 7.45 22.35 23.45 33.95 30.55 16.25 41.55 14.65 25.95
5.15 7.85 6.85 3.55 10.85 88.95 43.25 32.15 15.95 46.25 20.85 16.05
9.55 3.25 5.55 8.15 16.45 32.75 58.85 67.75 21.55 26.45 15.25 11.55
