"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
14.42 14.42 16.42 15.42 18.42 33.42 34.42 36.42 34.42 28.42 20.42 20.42
14.42 14.42 16.42 15.42 18.42 33.42 34.42 36.42 34.42 28.42 20.42 20.42
14.42 14.42 16.42 15.42 18.42 33.42 34.42 36.42 34.42 28.42 20.42 20.42
14.42 14.42 16.42 15.42 18.42 33.42 34.42 36.42 34.42 28.42 20.42 20.42
14.42 14.42 16.42 15.42 18.42 33.42 34.42 36.42 34.42 28.42 20.42 20.42
11.3 11.9 27.6 13.1 25 25.3 57.3 10.2 42 39.7 19.1 6.5
23.8 20.1 17.2 21.3 22.4 27.2 28.9 23.2 30.2 30.7 11.6 10.2
12.2 24.9 20.6 14.4 15.8 20.6 63.7 26 23.4 33.4 34.3 16.6
14.9 29.9 28.2 9.7 30.2 83.2 26 41.5 37 41.3 9.3 27.9
22.7 4.9 15.5 12.3 17.1 50.4 21.9 24.7 29.8 24.3 8.6 19
14.9 11.3 8.4 12.9 34.2 52.8 55.3 29.4 49.9 26.7 20.9 30
17.5 17.7 15.6 19.1 13.3 21.3 14.2 46.3 38.4 23.4 35.4 23.7
8.8 10.8 21.1 18.4 13 33.5 55 46.9 22.9 37.5 6.3 29.9
13.4 14.1 10.8 16 12.3 40.1 35.8 24.9 29.4 12.4 22.1 26
8.3 3.7 10.6 6.9 19.3 46 78.3 37.2 41.9 33.1 19.3 14.4
14.2 9.3 6.4 15.6 9.7 27.4 37.3 47 26.7 33.4 32.5 27.9
27.9 15.4 8.3 10 23.6 12 10.2 49.6 30.5 25.3 17.6 13.8
17.3 23.5 20.6 12 14.4 28.2 34.1 59.3 27.5 39.4 24.1 10.4
10 8.2 16.9 15 13.1 24.1 27.9 44.9 40.2 18.2 33 15.3
8.1 10.9 8.8 15.8 22.2 28.8 35.9 12.7 28 23.3 18.2 21.5
21.81 12.51 12.41 16.01 11.71 18.51 29.91 30.61 31.41 41.61 21.01 21.11
12.81 12.21 11.01 29.31 13.01 29.11 49.11 20.31 32.31 20.21 27.11 29.81
11.21 18.31 14.61 10.01 14.11 17.21 26.51 33.51 27.81 17.01 19.61 7.41
9.31 13.71 6.61 7.81 15.51 20.81 14.01 25.41 34.81 20.01 23.81 19.81
11.51 13.61 12.21 11.91 27.31 50.11 23.91 48.61 48.81 48.01 9.61 13.61
21.91 14.11 18.51 20.51 19.11 51.81 11.81 24.91 27.71 18.41 20.81 29.51
8.61 13.81 11.91 23.11 10.81 44.11 39.31 16.21 48.41 26.51 7.51 15.71
17.91 12.41 11.11 12.91 17.61 18.51 38.81 29.31 34.91 17.01 21.71 17.71
17.11 18.41 12.71 12.01 18.61 23.21 19.61 56.01 51.01 28.21 17.71 60.01
10.01 13.31 46.91 19.71 12.61 15.91 21.11 57.41 40.41 21.71 28.21 11.21
17.81 28.81 11.91 14.71 23.91 47.11 24.51 34.81 23.81 23.51 29.21 12.11
9.51 14.31 28.91 10.71 31.01 39.71 26.01 21.81 10.91 46.11 37.81 20.81
21.81 16.71 18.11 16.11 10.01 44.71 42.21 63.21 76.81 32.61 12.61 26.51
10.91 10.51 25.01 27.21 20.51 33.61 54.91 68.21 44.21 27.51 20.31 15.51
11.41 12.11 21.71 25.61 28.31 34.41 36.21 45.51 8.61 26.01 10.01 25.61
21.79 12.49 12.39 15.99 11.69 18.49 29.89 30.59 31.39 41.59 20.99 21.09
12.79 12.19 10.99 29.29 12.99 29.09 49.09 20.29 32.29 20.19 27.09 29.79
