"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
13.58 13.58 15.58 14.58 17.58 32.58 33.58 35.58 33.58 27.58 19.58 19.58
13.58 13.58 15.58 14.58 17.58 32.58 33.58 35.58 33.58 27.58 19.58 19.58
13.58 13.58 15.58 14.58 17.58 32.58 33.58 35.58 33.58 27.58 19.58 19.58
13.58 13.58 15.58 14.58 17.58 32.58 33.58 35.58 33.58 27.58 19.58 19.58
13.58 13.58 15.58 14.58 17.58 32.58 33.58 35.58 33.58 27.58 19.58 19.58
10.46 11.06 26.76 12.26 24.16 24.46 56.46 9.36 41.16 38.86 18.26 5.66
22.96 19.26 16.36 20.46 21.56 26.36 28.06 22.36 29.36 29.86 10.76 9.36
11.36 24.06 19.76 13.56 14.96 19.76 62.86 25.16 22.56 32.56 33.46 15.76
14.06 29.06 27.36 8.86 29.36 82.36 25.16 40.66 36.16 40.46 8.46 27.06
21.86 4.06 14.66 11.46 16.26 49.56 21.06 23.86 28.96 23.46 7.76 18.16
14.06 10.46 7.56 12.06 33.36 51.96 54.46 28.56 49.06 25.86 20.06 29.16
16.66 16.86 14.76 18.26 12.46 20.46 13.36 45.46 37.56 22.56 34.56 22.86
7.96 9.96 20.26 17.56 12.16 32.66 54.16 46.06 22.06 36.66 5.46 29.06
12.56 13.26 9.96 15.16 11.46 39.26 34.96 24.06 28.56 11.56 21.26 25.16
7.46 2.86 9.76 6.06 18.46 45.16 77.46 36.36 41.06 32.26 18.46 13.56
13.36 8.46 5.56 14.76 8.86 26.56 36.46 46.16 25.86 32.56 31.66 27.06
27.06 14.56 7.46 9.16 22.76 11.16 9.36 48.76 29.66 24.46 16.76 12.96
16.46 22.66 19.76 11.16 13.56 27.36 33.26 58.46 26.66 38.56 23.26 9.56
9.16 7.36 16.06 14.16 12.26 23.26 27.06 44.06 39.36 17.36 32.16 14.46
7.26 10.06 7.96 14.96 21.36 27.96 35.06 11.86 27.16 22.46 17.36 20.66
20.98 11.68 11.58 15.18 10.88 17.68 29.08 29.78 30.58 40.78 20.18 20.28
11.98 11.38 10.18 28.48 12.18 28.28 48.28 19.48 31.48 19.38 26.28 28.98
10.38 17.48 13.78 9.18 13.28 16.38 25.68 32.68 26.98 16.18 18.78 6.58
8.48 12.88 5.78 6.98 14.68 19.98 13.18 24.58 33.98 19.18 22.98 18.98
10.68 12.78 11.38 11.08 26.48 49.28 23.08 47.78 47.98 47.18 8.78 12.78
21.08 13.28 17.68 19.68 18.28 50.98 10.98 24.08 26.88 17.58 19.98 28.68
7.78 12.98 11.08 22.28 9.98 43.28 38.48 15.38 47.58 25.68 6.68 14.88
