"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-31.5 -29 -25.2 -14.8 -4.1 8 16.3 12.8 4.8 -9 -24.1 -28.1
-30.1 -29.4 -26.4 -14.1 -4.2 7.7 15.7 12.8 4.8 -11.1 -23.7 -27.7
-32.5 -30.1 -23 -15.4 -4.4 8.5 15.7 12.6 4.8 -9.6 -23.7 -25.1
-29.8 -28.1 -24.9 -14.7 -3.9 7.9 15.4 13.3 4.8 -9.6 -23.6 -27.1
-31.1 -31.1 -24.6 -14.5 -3.5 9.1 16.7 13.2 4.6 -10.6 -23.5 -28.6
-36.06 -30.86 -20.66 -14.76 -4.96 7.14 14.54 11.24 6.14 -8.86 -22.46 -30.56
-29.16 -27.16 -23.56 -13.26 -5.86 7.14 15.94 13.64 5.14 -9.06 -26.06 -32.26
-29.96 -28.86 -25.56 -17.36 -6.16 7.44 15.54 13.14 3.54 -8.46 -22.16 -30.06
-31.86 -20.76 -29.26 -17.66 -6.56 7.24 16.44 12.64 5.74 -9.36 -23.86 -26.76
-33.26 -33.86 -23.66 -14.06 -5.76 5.14 17.84 14.14 5.14 -9.06 -26.76 -28.06
-34.66 -36.26 -29.86 -17.86 -3.96 7.14 14.84 12.54 4.74 -12.46 -25.76 -19.36
-31.46 -30.76 -23.86 -13.36 -4.56 9.64 18.34 12.34 4.64 -2.76 -15.26 -20.56
-29.76 -25.66 -16.66 -11.76 -4.36 7.34 15.94 11.84 3.94 -9.76 -32.16 -32.16
-32.36 -35.96 -26.86 -16.66 -4.06 8.94 18.34 13.24 2.54 -10.36 -19.56 -23.96
-30.46 -31.36 -23.16 -17.06 -6.46 7.14 17.34 10.64 4.74 -11.16 -21.46 -26.56
-31.66 -29.76 -23.86 -16.26 -3.16 8.04 17.44 15.74 6.44 -9.46 -17.66 -23.76
-32.36 -29.36 -25.36 -12.66 -5.76 8.54 15.34 12.04 2.74 -8.76 -28.06 -28.26
-29.46 -25.26 -20.66 -16.26 -3.46 7.44 16.04 14.04 5.14 -10.86 -26.06 -30.16
-35.06 -31.56 -21.26 -12.96 -4.16 7.34 13.64 12.64 5.04 -14.56 -29.26 -28.66
-28.06 -28.36 -23.06 -13.36 -2.06 10.54 16.54 12.44 5.74 -8.96 -22.16 -19.96
-26.07 -31.47 -24.57 -10.77 -5.37 7.83 13.63 11.33 5.13 -12.27 -23.87 -32.07
-29.57 -32.87 -27.47 -12.77 -1.47 8.53 14.53 10.63 3.93 -14.87 -23.87 -29.07
-35.47 -27.87 -26.47 -15.47 -4.77 8.23 16.33 13.13 4.23 -6.77 -16.97 -33.37
-39.27 -39.77 -28.47 -17.87 -6.07 10.23 17.53 11.73 3.43 -12.17 -25.17 -25.77
-32.17 -29.17 -25.57 -13.97 -4.17 6.93 16.33 14.33 4.73 -6.57 -28.47 -25.57
-20.97 -27.57 -25.37 -12.87 -5.07 8.73 15.23 12.83 3.03 -11.57 -18.27 -26.27
-33.97 -25.77 -27.17 -11.07 -5.07 7.13 15.83 13.93 4.23 -15.37 -26.77 -27.67
-28.07 -27.57 -21.07 -17.47 -3.97 8.53 14.93 14.43 6.03 -8.07 -15.87 -26.37
-24.67 -27.77 -24.27 -19.67 -3.27 9.33 19.43 12.03 6.53 -9.67 -25.17 -24.97
-33.87 -29.67 -24.57 -14.77 -4.87 10.33 14.73 12.33 5.23 -7.57 -18.77 -25.87
-31.77 -26.37 -24.77 -16.77 -4.27 7.93 17.23 11.83 3.73 -6.47 -20.77 -29.97
-35.07 -30.67 -26.17 -14.67 -4.37 5.33 16.03 12.63 4.33 -8.47 -27.37 -29.67
-28.27 -28.57 -24.47 -18.57 -2.77 9.63 15.13 11.83 5.43 -9.87 -22.37 -20.07
-30.97 -24.17 -20.67 -16.17 -2.37 5.23 13.53 10.93 2.73 -10.17 -27.87 -25.57
-32.87 -28.57 -16.47 -10.67 -1.67 11.13 16.13 12.43 4.73 -9.77 -28.07 -29.57
-26.17 -31.57 -24.67 -10.87 -5.47 7.73 13.53 11.23 5.03 -12.37 -23.97 -32.17
-29.67 -32.97 -27.57 -12.87 -1.57 8.43 14.43 10.53 3.83 -14.97 -23.97 -29.17
-35.57 -27.97 -26.57 -15.57 -4.87 8.13 16.23 13.03 4.13 -6.87 -17.07 -33.47
-39.37 -39.87 -28.57 -17.97 -6.17 10.13 17.43 11.63 3.33 -12.27 -25.27 -25.87
-32.27 -29.27 -25.67 -14.07 -4.27 6.83 16.23 14.23 4.63 -6.67 -28.57 -25.67
-21.07 -27.67 -25.47 -12.97 -5.17 8.63 15.13 12.73 2.93 -11.67 -18.37 -26.37
-34.07 -25.87 -27.27 -11.17 -5.17 7.03 15.73 13.83 4.13 -15.47 -26.87 -27.77
-28.17 -27.67 -21.17 -17.57 -4.07 8.43 14.83 14.33 5.93 -8.17 -15.97 -26.47
-24.77 -27.87 -24.37 -19.77 -3.37 9.23 19.33 11.93 6.43 -9.77 -25.27 -25.07
-33.97 -29.77 -24.67 -14.87 -4.97 10.23 14.63 12.23 5.13 -7.67 -18.87 -25.97
-31.87 -26.47 -24.87 -16.87 -4.37 7.83 17.13 11.73 3.63 -6.57 -20.87 -30.07
-35.17 -30.77 -26.27 -14.77 -4.47 5.23 15.93 12.53 4.23 -8.57 -27.47 -29.77
-28.37 -28.67 -24.57 -18.67 -2.87 9.53 15.03 11.73 5.33 -9.97 -22.47 -20.17
-31.07 -24.27 -20.77 -16.27 -2.47 5.13 13.43 10.83 2.63 -10.27 -27.97 -25.67
-32.97 -28.67 -16.57 -10.77 -1.77 11.03 16.03 12.33 4.63 -9.87 -28.17 -29.67
-30.89 -29.59 -25.49 -15.39 -5.19 7.31 15.01 12.41 5.11 -9.39 -25.19 -29.89
-32.19 -32.19 -26.19 -15.99 -2.69 8.21 16.21 11.11 3.61 -11.69 -25.09 -25.59
-31.29 -28.39 -24.99 -15.39 -6.29 7.51 16.11 12.41 5.11 -10.69 -23.09 -27.79
-32.69 -31.89 -26.49 -15.09 -4.49 7.31 15.01 14.91 6.11 -7.39 -25.39 -28.99
-28.49 -25.79 -20.69 -15.29 -4.99 7.41 14.71 13.41 3.81 -10.59 -23.89 -29.69
-29.99 -29.19 -23.59 -15.59 -5.49 7.61 16.41 11.41 4.21 -8.09 -21.59 -28.29
-29.69 -34.09 -21.49 -15.99 -3.09 9.51 16.71 13.01 4.11 -10.89 -23.49 -26.29
-30.59 -27.99 -26.49 -15.89 -5.99 8.51 16.11 14.71 6.11 -8.69 -23.59 -27.09
-32.99 -27.89 -22.49 -15.99 -2.89 7.61 18.01 13.01 5.11 -7.79 -19.89 -27.19
