"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-26.66 -24.16 -20.36 -9.96 0.74 12.84 21.14 17.64 9.64 -4.16 -19.26 -23.26
-25.26 -24.56 -21.56 -9.26 0.64 12.54 20.54 17.64 9.64 -6.26 -18.86 -22.86
-27.66 -25.26 -18.16 -10.56 0.44 13.34 20.54 17.44 9.64 -4.76 -18.86 -20.26
-24.96 -23.26 -20.06 -9.86 0.94 12.74 20.24 18.14 9.64 -4.76 -18.76 -22.26
-26.26 -26.26 -19.76 -9.66 1.34 13.94 21.54 18.04 9.44 -5.76 -18.66 -23.76
-31.28 -26.08 -15.88 -9.98 -0.18 11.92 19.32 16.02 10.92 -4.08 -17.68 -25.78
-24.38 -22.38 -18.78 -8.48 -1.08 11.92 20.72 18.42 9.92 -4.28 -21.28 -27.48
-25.18 -24.08 -20.78 -12.58 -1.38 12.22 20.32 17.92 8.32 -3.68 -17.38 -25.28
-27.08 -15.98 -24.48 -12.88 -1.78 12.02 21.22 17.42 10.52 -4.58 -19.08 -21.98
-28.48 -29.08 -18.88 -9.28 -0.98 9.92 22.62 18.92 9.92 -4.28 -21.98 -23.28
-29.88 -31.48 -25.08 -13.08 0.82 11.92 19.62 17.32 9.52 -7.68 -20.98 -14.58
-26.68 -25.98 -19.08 -8.58 0.22 14.42 23.12 17.12 9.42 2.02 -10.48 -15.78
-24.98 -20.88 -11.88 -6.98 0.42 12.12 20.72 16.62 8.72 -4.98 -27.38 -27.38
-27.58 -31.18 -22.08 -11.88 0.72 13.72 23.12 18.02 7.32 -5.58 -14.78 -19.18
-25.68 -26.58 -18.38 -12.28 -1.68 11.92 22.12 15.42 9.52 -6.38 -16.68 -21.78
-26.88 -24.98 -19.08 -11.48 1.62 12.82 22.22 20.52 11.22 -4.68 -12.88 -18.98
-27.58 -24.58 -20.58 -7.88 -0.98 13.32 20.12 16.82 7.52 -3.98 -23.28 -23.48
-24.68 -20.48 -15.88 -11.48 1.32 12.22 20.82 18.82 9.92 -6.08 -21.28 -25.38
-30.28 -26.78 -16.48 -8.18 0.62 12.12 18.42 17.42 9.82 -9.78 -24.48 -23.88
-23.28 -23.58 -18.28 -8.58 2.72 15.32 21.32 17.22 10.52 -4.18 -17.38 -15.18
-21.25 -26.65 -19.75 -5.95 -0.55 12.65 18.45 16.15 9.95 -7.45 -19.05 -27.25
-24.75 -28.05 -22.65 -7.95 3.35 13.35 19.35 15.45 8.75 -10.05 -19.05 -24.25
-30.65 -23.05 -21.65 -10.65 0.05 13.05 21.15 17.95 9.05 -1.95 -12.15 -28.55
