"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Aug" "Sep" "Okt" "Nov" "Dez"
-29.12 -34.52 -27.62 -13.82 -8.42 4.78 10.58 8.28 2.08 -15.32 -26.92 -35.12
-32.62 -35.92 -30.52 -15.82 -4.52 5.48 11.48 7.58 0.88 -17.92 -26.92 -32.12
-38.52 -30.92 -29.52 -18.52 -7.82 5.18 13.28 10.08 1.18 -9.82 -20.02 -36.42
-42.32 -42.82 -31.52 -20.92 -9.12 7.18 14.48 8.68 0.38 -15.22 -28.22 -28.82
-35.22 -32.22 -28.62 -17.02 -7.22 3.88 13.28 11.28 1.68 -9.62 -31.52 -28.62
-24.02 -30.62 -28.42 -15.92 -8.12 5.68 12.18 9.78 -0.02 -14.62 -21.32 -29.32
-37.02 -28.82 -30.22 -14.12 -8.12 4.08 12.78 10.88 1.18 -18.42 -29.82 -30.72
-31.12 -30.62 -24.12 -20.52 -7.02 5.48 11.88 11.38 2.98 -11.12 -18.92 -29.42
-27.72 -30.82 -27.32 -22.72 -6.32 6.28 16.38 8.98 3.48 -12.72 -28.22 -28.02
-36.92 -32.72 -27.62 -17.82 -7.92 7.28 11.68 9.28 2.18 -10.62 -21.82 -28.92
-34.82 -29.42 -27.82 -19.82 -7.32 4.88 14.18 8.78 0.68 -9.52 -23.82 -33.02
-38.12 -33.72 -29.22 -17.72 -7.42 2.28 12.98 9.58 1.28 -11.52 -30.42 -32.72
-31.32 -31.62 -27.52 -21.62 -5.82 6.58 12.08 8.78 2.38 -12.92 -25.42 -23.12
-34.02 -27.22 -23.72 -19.22 -5.42 2.18 10.48 7.88 -0.32 -13.22 -30.92 -28.62
-35.92 -31.62 -19.52 -13.72 -4.72 8.08 13.08 9.38 1.68 -12.82 -31.12 -32.62
-38.79 -29.09 -29.59 -20.29 -8.19 3.81 11.41 9.21 2.01 -10.49 -24.99 -29.69
-33.39 -30.89 -28.39 -16.19 -6.69 5.21 13.51 9.41 2.71 -12.69 -28.89 -33.59
